addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
安徽省,合肥市,瑶海区,明光路街道,117.3016267,31.8584716,146,203,85,159,272,201,38,14,28,32,62,0,1,15,80,65,843,9,14,49,66,7,27,55,26,7,2,3,0,7,0,0,0,13,12,76,8,9,3823815382,7424418,合肥市瑶海区,合肥市瑶海区明光路街道,20.0,30.0,16.0,20.0,86.0,82.33333333333333,65.02230769230769,45.373145108338804
安徽省,合肥市,瑶海区,胜利路街道,117.2963607,31.8650544,178,215,106,171,344,232,48,11,27,37,66,6,1,20,95,68,980,9,18,38,50,6,27,43,37,4,2,2,2,7,0,0,1,18,9,155,7,11,3823815381,7424419,合肥市瑶海区,合肥市瑶海区胜利路街道,20.0,30.0,23.0,20.0,93.0,82.33333333333333,65.02230769230769,45.373145108338804
安徽省,合肥市,瑶海区,三里街街道,117.3136977,31.8750899,151,176,85,134,220,170,18,16,4,21,52,0,0,2,40,50,269,8,15,22,25,8,14,33,25,0,2,0,6,8,0,0,0,4,9,6,2,6,3823816983,7424422,合肥市瑶海区,合肥市瑶海区三里街街道,20.0,30.0,19.0,20.0,89.0,82.33333333333333,65.02230769230769,45.373145108338804
安徽省,合肥市,瑶海区,铜陵路街道,117.3182129,31.8725892,143,168,71,131,202,167,14,16,4,19,50,0,0,1,34,48,211,8,13,14,26,6,10,26,20,0,3,0,5,7,0,0,0,4,8,8,4,7,3823816984,7424427,合肥市瑶海区,合肥市瑶海区铜陵路街道,20.0,30.0,19.0,20.0,89.0,82.33333333333333,65.02230769230769,45.373145108338804
安徽省,合肥市,瑶海区,七里站街道,117.333556,31.8692886,99,161,70,120,185,144,4,18,1,19,46,0,0,0,14,40,104,7,11,0,20,4,9,5,21,1,4,0,2,5,0,0,0,5,3,0,2,5,3823816985,7424425,合肥市瑶海区,合肥市瑶海区七里站街道,20.0,30.0,20.0,18.4,88.4,82.33333333333333,65.02230769230769,45.373145108338804
安徽省,合肥市,瑶海区,红光街道,117.341491,31.8498879,32,124,48,78,116,94,4,15,0,13,33,0,0,0,5,34,31,6,7,12,14,2,14,5,7,0,1,0,2,5,0,0,0,0,4,2,1,5,3823819195,7424426,合肥市瑶海区,合肥市瑶海区红光街道,20.0,30.0,10.0,10.3,70.3,82.33333333333333,65.02230769230769,45.373145108338804
安徽省,合肥市,瑶海区,和平路街道,117.3177203,31.8566082,129,155,46,106,201,138,20,15,5,18,55,0,1,4,32,59,385,9,14,14,13,24,20,29,18,1,3,0,3,10,0,0,0,0,8,8,5,6,3823819194,7424420,合肥市瑶海区,合肥市瑶海区和平路街道,20.0,30.0,15.0,20.0,85.0,82.33333333333333,65.02230769230769,45.373145108338804
安徽省,合肥市,瑶海区,城东街道,117.3417161,31.8405574,28,98,32,80,78,69,3,13,0,8,25,0,0,0,0,29,36,5,7,16,14,0,10,5,8,1,2,0,1,3,0,0,0,0,3,0,1,6,3823814759,7424428,合肥市瑶海区,合肥市瑶海区城东街道,20.0,30.0,10.0,10.6,70.6,82.33333333333333,65.02230769230769,45.373145108338804
安徽省,合肥市,瑶海区,长淮街道,117.3032952,31.8739579,180,217,101,158,265,205,25,12,11,27,55,1,0,9,82,58,544,9,18,39,31,6,12,17,34,0,2,0,4,11,0,0,0,3,8,3,4,6,3823820988,7424423,合肥市瑶海区,合肥市瑶海区长淮街道,20.0,30.0,18.0,20.0,88.0,82.33333333333333,65.02230769230769,45.373145108338804
安徽省,合肥市,瑶海区,方庙街道,117.3388735,31.8809307,64,120,49,114,151,116,6,11,0,15,34,1,0,0,13,25,173,6,11,5,8,1,21,15,11,0,1,0,0,3,0,0,0,0,2,12,3,7,3823820997,7424424,合肥市瑶海区,合肥市瑶海区方庙街道,20.0,30.0,5.0,20.0,75.0,82.33333333333333,65.02230769230769,45.373145108338804
