addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
重庆市,市辖区,万州区,高笋塘街道,108.3736514,30.8127341,33,47,67,94,129,76,0,1,0,0,2,0,0,0,1,10,47,8,6,9,7,16,21,11,28,0,0,0,0,0,0,0,0,1,1,16,6,3,6242376305,5690413,市辖区万州区,市辖区万州区高笋塘街道,20.0,28.0,1.0,12.3,61.3,40.598076923076924,45.39692307692307,39.41852570320078
重庆市,市辖区,万州区,太白街道,108.357828,30.82482,44,55,55,78,80,42,0,1,0,0,0,0,0,0,1,7,26,8,8,17,7,12,30,7,0,0,1,0,0,0,0,0,0,0,3,0,6,4,6242376311,5690414,市辖区万州区,市辖区万州区太白街道,20.0,28.0,0.0,10.6,58.6,40.598076923076924,45.39692307692307,39.41852570320078
重庆市,市辖区,万州区,牌楼街道,108.383,30.793,33,20,62,70,106,70,0,0,0,0,2,0,0,0,1,6,71,6,7,10,4,27,6,34,26,0,0,0,0,1,0,0,0,0,2,9,5,4,6242376308,5690494,市辖区万州区,市辖区万州区牌楼街道,20.0,26.0,5.0,15.0,66.0,40.598076923076924,45.39692307692307,39.41852570320078
重庆市,市辖区,万州区,双河口街道,108.381,30.7582,35,20,68,40,63,15,0,0,0,0,2,0,0,0,1,2,17,4,7,6,2,15,4,10,0,0,0,0,0,1,0,0,0,1,1,3,4,5,6242376310,5690634,市辖区万州区,市辖区万州区双河口街道,17.0,26.0,6.0,9.0,58.0,40.598076923076924,45.39692307692307,39.41852570320078
重庆市,市辖区,万州区,龙都街道,108.4070726,30.7666192,59,34,72,46,74,22,2,0,0,0,2,0,0,0,1,3,30,7,9,23,1,17,5,23,0,0,0,0,0,0,0,0,0,0,1,3,3,1,6242376307,5692261,市辖区万州区,市辖区万州区龙都街道,18.0,28.0,0.0,11.3,57.3,40.598076923076924,45.39692307692307,39.41852570320078
重庆市,市辖区,万州区,周家坝街道,108.3643331,30.8428198,49,76,64,67,110,27,1,2,0,0,1,0,0,0,0,6,24,7,8,12,6,21,13,14,0,0,0,0,0,0,0,0,0,0,1,4,4,6,3932518768,5692265,市辖区万州区,市辖区万州区周家坝街道,20.0,30.0,0.0,10.8,60.8,40.598076923076924,45.39692307692307,39.41852570320078
重庆市,市辖区,万州区,沙河街道,108.3493129,30.8274949,43,54,49,75,40,16,0,1,0,0,0,0,0,0,0,6,13,7,8,23,10,5,27,4,0,0,0,0,0,0,0,0,0,0,2,0,2,5,3932518763,5692262,市辖区万州区,市辖区万州区沙河街道,20.0,27.2,0.0,9.3,56.5,40.598076923076924,45.39692307692307,39.41852570320078
重庆市,市辖区,万州区,钟鼓楼街道,108.3831348,30.8219104,25,58,87,89,177,88,0,1,0,0,1,0,0,0,1,8,66,8,6,6,25,20,4,19,20,0,0,0,0,0,0,0,0,1,1,9,3,3,3932518767,5692264,市辖区万州区,市辖区万州区钟鼓楼街道,20.0,28.0,1.0,13.5,62.5,40.598076923076924,45.39692307692307,39.41852570320078
重庆市,市辖区,万州区,百安坝街道,108.4364947,30.7687129,53,31,24,57,92,4,4,2,0,0,2,0,0,0,0,3,98,8,8,17,18,5,30,17,1,2,2,0,0,1,0,0,0,0,1,4,7,5,6242376303,5692259,市辖区万州区,市辖区万州区百安坝街道,18.0,30.0,5.0,18.200000000000003,71.2,40.598076923076924,45.39692307692307,39.41852570320078
重庆市,市辖区,万州区,五桥街道,108.4484346,30.7710432,37,27,25,54,87,5,4,2,0,0,2,0,0,0,0,2,92,8,7,20,5,7,27,14,1,0,2,0,0,1,0,0,0,0,1,22,2,6,6242376313,5692263,市辖区万州区,市辖区万州区五桥街道,17.0,30.0,5.0,18.4,70.4,40.598076923076924,45.39692307692307,39.41852570320078
