addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
福建省,福州市,鼓楼区,鼓东街道,119.2973613,26.0959852,66,150,257,322,320,152,38,3,10,14,31,8,4,20,114,21,1348,8,18,0,14,38,52,69,21,7,0,2,4,9,3,1,9,36,4,268,8,8,8264063669,12099706,福州市鼓楼区,福州市鼓楼区鼓东街道,20.0,30.0,30.0,20.0,100.0,92.6,58.684999999999995,45.58471971066908
福建省,福州市,鼓楼区,鼓西街道,119.2850017,26.09163,63,127,219,257,360,112,42,1,8,14,26,6,2,18,114,17,1284,8,15,10,20,33,28,70,17,14,1,0,1,9,0,0,3,19,2,578,8,9,8264063671,12099708,福州市鼓楼区,福州市鼓楼区鼓西街道,20.0,30.0,23.0,20.0,93.0,92.6,58.684999999999995,45.58471971066908
福建省,福州市,鼓楼区,温泉街道,119.3065452,26.0939425,78,162,286,307,270,175,34,3,9,12,30,7,5,19,123,20,1373,8,18,0,27,18,44,52,17,3,0,1,4,8,1,1,9,27,2,67,7,8,8264063675,12099712,福州市鼓楼区,福州市鼓楼区温泉街道,20.0,30.0,30.0,20.0,100.0,92.6,58.684999999999995,45.58471971066908
福建省,福州市,鼓楼区,东街街道,119.2993784,26.0875059,78,183,256,299,317,151,40,2,7,14,26,5,4,21,122,22,1302,8,14,0,19,24,49,70,30,10,0,1,7,10,3,1,14,74,4,816,8,10,8264063670,12099707,福州市鼓楼区,福州市鼓楼区东街街道,20.0,30.0,30.0,20.0,100.0,92.6,58.684999999999995,45.58471971066908
福建省,福州市,鼓楼区,南街街道,119.2868041,26.0837672,59,135,218,288,348,131,42,1,5,13,26,5,2,20,125,17,1307,8,14,8,42,39,51,85,25,8,0,1,4,7,0,0,4,37,3,883,7,9,8264063672,12099709,福州市鼓楼区,福州市鼓楼区南街街道,20.0,30.0,23.0,20.0,93.0,92.6,58.684999999999995,45.58471971066908
福建省,福州市,鼓楼区,安泰街道,119.2969583,26.0788234,51,194,259,368,332,196,36,1,6,14,32,5,3,20,135,28,1385,8,14,0,19,36,77,54,27,10,0,2,4,4,2,0,4,44,4,551,8,9,8264063673,12099710,福州市鼓楼区,福州市鼓楼区安泰街道,20.0,30.0,28.0,20.0,98.0,92.6,58.684999999999995,45.58471971066908
福建省,福州市,鼓楼区,华大街道,119.2976188,26.1107838,48,120,242,295,225,186,28,4,11,14,36,16,5,17,85,15,1165,8,17,18,33,34,36,22,14,3,0,5,1,4,2,1,0,3,2,53,5,6,8264063668,12099705,福州市鼓楼区,福州市鼓楼区华大街道,20.0,30.0,25.0,20.0,95.0,92.6,58.684999999999995,45.58471971066908
福建省,福州市,鼓楼区,水部街道,119.3110084,26.0793731,60,209,268,315,276,225,30,2,4,13,33,5,2,19,130,27,1911,8,14,0,30,36,27,26,10,5,0,0,0,4,0,0,1,7,1,36,7,7,8264063674,12099711,福州市鼓楼区,福州市鼓楼区水部街道,20.0,30.0,18.0,20.0,88.0,92.6,58.684999999999995,45.58471971066908
福建省,福州市,鼓楼区,五凤街道,119.2750453,26.1105141,32,57,157,170,222,79,21,2,7,10,20,7,1,6,26,10,439,9,14,5,0,21,15,21,3,1,0,0,1,0,0,0,0,1,1,21,3,8,8264063667,12099704,福州市鼓楼区,福州市鼓楼区五凤街道,20.0,30.0,11.0,20.0,81.0,92.6,58.684999999999995,45.58471971066908
福建省,福州市,鼓楼区,洪山镇,119.2702388,26.0673832,61,145,211,319,295,198,37,3,11,17,26,3,2,1,78,61,801,8,17,21,8,27,25,24,5,1,0,0,0,0,0,0,0,3,2,7,6,9,8264063666,12099703,福州市鼓楼区,福州市鼓楼区洪山镇,20.0,30.0,8.0,20.0,78.0,92.6,58.684999999999995,45.58471971066908
