addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
广东省,广州市,荔湾区,沙面街道,113.2429491,23.1099395,138,355,324,288,586,1107,106,5,56,45,142,29,5,77,475,63,5199,9,19,20.0,55.0,56.0,45.0,55.0,156.0,11.0,0.0,8.0,4.0,18.0,6.0,3.0,8.0,71.0,9.0,552.0,8.0,10.0,6384507893,9460176,广州市荔湾区,广州市荔湾区沙面街道,20.0,30.0,30.0,20.0,100.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,岭南街道,113.242414,23.1127136,144,365,334,292,533,1139,104,5,63,45,143,31,5,80,477,61,5190,9,18,19.0,55.0,51.0,59.0,56.0,154.0,13.0,0.0,5.0,5.0,13.0,5.0,3.0,7.0,81.0,8.0,500.0,8.0,10.0,6384507872,9460175,广州市荔湾区,广州市荔湾区岭南街道,20.0,30.0,30.0,20.0,100.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,华林街道,113.243446,23.11782,139,383,332,311,501,1156,108,7,70,49,138,32,7,85,510,58,5359,9,19,8.0,51.0,41.0,74.0,57.0,152.0,5.0,0.0,0.0,10.0,22.0,3.0,3.0,12.0,100.0,4.0,394.0,8.0,8.0,-1,9460174,广州市荔湾区,广州市荔湾区华林街道,20.0,30.0,30.0,20.0,100.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,多宝街道,113.2348478,23.115755,162,321,278,275,519,988,87,6,41,40,130,25,5,59,337,52,4280,9,16,30.0,27.0,6.0,63.0,47.0,138.0,10.0,0.0,9.0,9.0,23.0,5.0,1.0,6.0,80.0,3.0,450.0,7.0,13.0,6384507856,9460173,广州市荔湾区,广州市荔湾区多宝街道,20.0,30.0,30.0,20.0,100.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,昌华街道,113.2304352,23.1181703,164,271,229,280,564,936,63,6,31,36,126,20,5,53,313,46,3418,9,16,35.0,8.0,17.0,58.0,39.0,114.0,6.0,0.0,9.0,6.0,21.0,2.0,1.0,1.0,50.0,3.0,352.0,6.0,13.0,6384507803,9460165,广州市荔湾区,广州市荔湾区昌华街道,20.0,30.0,30.0,20.0,100.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,逢源街道,113.2375646,23.1261527,147,365,276,319,481,1068,67,4,54,42,134,28,6,69,453,47,3909,9,17,0.0,41.0,16.0,44.0,52.0,143.0,8.0,1.0,5.0,6.0,25.0,3.0,1.0,11.0,74.0,10.0,432.0,7.0,8.0,6384507804,9460166,广州市荔湾区,广州市荔湾区逢源街道,20.0,30.0,30.0,20.0,100.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,龙津街道,113.243283,23.1254374,150,391,307,315,451,1135,80,5,61,47,149,36,7,88,500,54,4755,9,20,0.0,47.0,41.0,48.0,41.0,141.0,14.0,1.0,2.0,12.0,29.0,4.0,1.0,24.0,132.0,7.0,475.0,7.0,10.0,6384507805,9460167,广州市荔湾区,广州市荔湾区龙津街道,20.0,30.0,30.0,20.0,100.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,金花街道,113.2443988,23.1303213,179,400,312,339,467,1150,72,4,56,46,149,38,7,91,506,58,5003,9,19,11.0,58.0,44.0,24.0,43.0,163.0,12.0,1.0,4.0,12.0,28.0,3.0,2.0,28.0,123.0,7.0,556.0,8.0,9.0,6384507806,9460168,广州市荔湾区,广州市荔湾区金花街道,20.0,30.0,30.0,20.0,100.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,彩虹街道,113.2326883,23.1317667,117,356,168,282,486,939,53,4,42,34,113,19,6,55,337,38,3020,9,17,22.0,56.0,32.0,21.0,91.0,157.0,7.0,2.0,2.0,3.0,19.0,2.0,1.0,7.0,51.0,10.0,415.0,7.0,8.0,6384507807,9460169,广州市荔湾区,广州市荔湾区彩虹街道,20.0,30.0,30.0,20.0,100.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,南源街道,113.2292631,23.1404438,106,336,140,294,491,837,36,4,11,27,101,11,5,37,260,28,2505,9,15,20.0,62.0,10.0,17.0,88.0,96.0,3.0,1.0,1.0,0.0,18.0,1.0,0.0,0.0,14.0,6.0,325.0,7.0,8.0,6384507808,9460170,广州市荔湾区,广州市荔湾区南源街道,20.0,30.0,21.0,20.0,91.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,西村街道,113.2347751,23.1472608,126,367,142,215,545,860,43,6,22,20,87,14,4,31,216,36,2800,9,16,26.0,75.0,11.0,30.0,105.0,132.0,3.0,1.0,1.0,1.0,18.0,0.0,1.0,0.0,11.0,3.0,271.0,6.0,8.0,6384507810,9460172,广州市荔湾区,广州市荔湾区西村街道,20.0,30.0,23.0,20.0,93.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,站前街道,113.2425106,23.1426143,183,399,192,281,514,1047,55,6,41,31,115,25,4,65,388,44,4064,8,20,22.0,93.0,23.0,28.0,87.0,141.0,3.0,1.0,4.0,4.0,17.0,0.0,1.0,4.0,33.0,3.0,374.0,7.0,8.0,6384507809,9460171,广州市荔湾区,广州市荔湾区站前街道,20.0,30.0,25.0,20.0,95.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,桥中街道,113.2197009,23.1230363,157,168,113,279,570,728,36,5,14,20,81,9,2,21,218,30,2087,9,15,37.0,14.0,33.0,26.0,43.0,74.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,160.0,6.0,7.0,6383895691,9459352,广州市荔湾区,广州市荔湾区桥中街道,20.0,30.0,17.0,20.0,87.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,白鹤洞街道,113.2414001,23.0819969,81,214,202,320,641,762,81,10,18,20,76,14,3,27,132,46,4313,9,20,27.0,11.0,8.0,42.0,63.0,69.0,3.0,1.0,0.0,3.0,12.0,0.0,0.0,3.0,6.0,7.0,451.0,6.0,9.0,6384430904,9460054,广州市荔湾区,广州市荔湾区白鹤洞街道,20.0,30.0,23.0,20.0,93.0,94.72727272727273,85.10738636363637,57.442546583850934
广东省,广州市,荔湾区,冲口街道,113.2415825,23.0881211,94,264,236,313,671,831,96,10,34,26,84,22,4,35,195,53,4432,9,21,27.0,6.0,18.0,40.0,54.0,80.0,7.0,1.0,0.0,1.0,9.0,2.0,0.0,2.0,5.0,8.0,396.0,6.0,9.0,6384430905,9460055,广州市荔湾区,广州市荔湾区冲口街道,20.0,30.0,27.0,20.0,97.0,94.72727272727273,85.10738636363637,57.442546583850934
