addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
广西壮族自治区,南宁市,兴宁区,民生街道,108.334744,22.8397936,52,108,83,65,222,252,29,10,3,16,14,6,9,60,318,6,343,8,19,6,11,3,9,25,10,3,3,0,1,0,1,1,0,14,1,18,7,10,8005520634,-1,南宁市兴宁区,南宁市兴宁区民生街道,12.0,30.0,23.0,20.0,85.0,64.48333333333333,42.4984251968504,38.60407023144453
广西壮族自治区,南宁市,兴宁区,朝阳街道,108.3160114,22.8253965,28,143,88,52,228,250,39,7,7,17,18,6,11,68,348,10,689,8,17,11,47,17,21,47,89,9,0,2,6,4,2,5,12,146,2,101,7,12,8005520633,-1,南宁市兴宁区,南宁市兴宁区朝阳街道,12.0,30.0,30.0,20.0,92.0,64.48333333333333,42.4984251968504,38.60407023144453
广西壮族自治区,南宁市,兴宁区,兴东街道,108.3434944,22.8665647,41,52,96,56,165,87,18,8,2,7,6,1,0,1,38,4,98,6,18,9,2,13,10,30,6,3,0,0,0,1,0,0,0,8,2,5,5,5,8005520632,-1,南宁市兴宁区,南宁市兴宁区兴东街道,11.0,30.0,16.0,18.3,75.3,64.48333333333333,42.4984251968504,38.60407023144453
广西壮族自治区,南宁市,兴宁区,三塘镇,108.4150875,22.8806753,6,8,41,31,61,19,1,1,0,1,5,0,0,0,4,2,121,4,12,4,0,14,4,9,5,0,0,0,1,2,0,0,0,2,1,5,4,9,1710350886,-1,南宁市兴宁区,南宁市兴宁区三塘镇,9.0,30.0,12.0,20.0,71.0,64.48333333333333,42.4984251968504,38.60407023144453
广西壮族自治区,南宁市,兴宁区,五塘镇,108.5449047,22.9424707,13,0,4,24,5,16,0,1,0,0,2,0,0,0,0,3,2,4,4,6,0,0,3,2,9,0,0,0,0,1,0,0,0,0,1,0,3,3,3633721338,-1,南宁市兴宁区,南宁市兴宁区五塘镇,10.0,19.6,5.0,4.2,38.800000000000004,64.48333333333333,42.4984251968504,38.60407023144453
广西壮族自治区,南宁市,兴宁区,昆仑镇,108.6829942,23.0638077,4,0,5,2,17,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,0,5,2,8,0,0,0,0,0,0,0,0,0,0,1,0,2,2,5082157919,-1,南宁市兴宁区,南宁市兴宁区昆仑镇,8.0,14.8,0.0,2.0,24.8,64.48333333333333,42.4984251968504,38.60407023144453
广西壮族自治区,南宁市,青秀区,新竹街道,108.3410392,22.8206838,50,151,127,72,251,263,47,10,18,16,23,6,10,77,354,9,856,9,18,2,12,4,7,30,19,4,0,0,3,4,0,3,20,58,1,86,5,6,4565141664,6809463,南宁市青秀区,南宁市青秀区新竹街道,20.0,30.0,25.0,20.0,95.0,64.83333333333333,42.4984251968504,38.60407023144453
广西壮族自治区,南宁市,青秀区,中山街道,108.3481401,22.7961196,32,109,102,58,202,150,43,9,16,9,18,2,3,27,62,4,816,8,13,10,28,21,15,13,14,4,2,1,5,3,0,0,0,3,1,123,6,8,4565141665,6809464,南宁市青秀区,南宁市青秀区中山街道,19.0,30.0,18.0,20.0,87.0,64.83333333333333,42.4984251968504,38.60407023144453
广西壮族自治区,南宁市,青秀区,建政街道,108.3539163,22.8365307,82,62,122,80,191,164,30,9,8,11,14,3,4,47,147,6,250,9,19,15,10,20,14,30,24,2,1,0,1,2,0,0,0,5,1,7,6,8,8004398713,-1,南宁市青秀区,南宁市青秀区建政街道,12.0,30.0,20.0,20.0,82.0,64.83333333333333,42.4984251968504,38.60407023144453
广西壮族自治区,南宁市,青秀区,南湖街道,108.3688724,22.8273742,104,46,142,108,197,172,38,5,10,6,25,0,1,21,70,5,292,9,18,6,14,37,1,36,8,2,1,1,1,4,0,0,0,12,1,40,7,8,8004398712,-1,南宁市青秀区,南宁市青秀区南湖街道,12.0,30.0,21.0,20.0,83.0,64.83333333333333,42.4984251968504,38.60407023144453
