addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
海南省,海口市,秀英区,秀英街道,110.2641347,20.0059782,35,31,71,62,149,37,2,1,1,1,9,0,1,0,9,4,237,7,11,3,2,13,17,3,0,0,0,0,0,1,0,0,0,0,2,2,1,4,12361353789,18311857,海口市秀英区,海口市秀英区秀英街道,19.0,30.0,10.0,20.0,79.0,66.5625,67.03023255813955,41.225
海南省,海口市,秀英区,海秀街道,110.2605915,20.0140204,15,27,54,56,133,34,2,1,1,1,4,0,1,0,6,2,235,7,10,0,2,17,20,16,0,0,0,0,0,1,0,0,0,0,2,35,3,5,12361353788,18311858,海口市秀英区,海口市秀英区海秀街道,17.0,30.0,10.0,20.0,77.0,66.5625,67.03023255813955,41.225
海南省,海口市,秀英区,长流镇,110.202214,20.014491,11,20,34,47,131,17,0,0,0,2,5,0,0,0,0,1,19,7,11,0,7,5,5,24,2,0,0,0,1,1,0,0,0,0,1,2,2,7,5363735396,18311855,海口市秀英区,海口市秀英区长流镇,16.0,26.0,10.0,10.1,62.1,66.5625,67.03023255813955,41.225
海南省,海口市,秀英区,西秀镇,110.1663755,20.0056745,12,20,6,24,96,4,2,2,1,1,4,0,0,0,0,1,91,7,11,0,11,0,1,17,0,0,0,1,1,1,0,0,0,0,1,12,3,6,12361353787,18311854,海口市秀英区,海口市秀英区西秀镇,16.0,30.0,15.0,18.3,79.3,66.5625,67.03023255813955,41.225
海南省,海口市,秀英区,海秀镇,110.2844846,19.9946135,36,10,69,59,178,28,1,3,2,1,11,0,1,0,7,4,82,7,14,11,0,14,11,15,3,0,0,0,0,2,0,0,0,0,1,1,3,4,12361352621,18311856,海口市秀英区,海口市秀英区海秀镇,19.0,30.0,10.0,16.3,75.3,66.5625,67.03023255813955,41.225
海南省,海口市,秀英区,石山镇,110.2052742,19.9392711,0,0,14,6,81,1,1,1,0,0,0,0,0,0,0,9,15,8,7,0,0,2,3,24,0,0,0,0,0,0,0,0,0,0,3,0,2,4,1875783506,18311853,海口市秀英区,海口市秀英区石山镇,20.0,30.0,0.0,8.5,58.5,66.5625,67.03023255813955,41.225
海南省,海口市,秀英区,永兴镇,110.2631979,19.8936046,4,1,0,6,85,0,4,0,0,0,0,0,0,0,0,3,19,6,6,2,1,0,3,17,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2284335898,18311852,海口市秀英区,海口市秀英区永兴镇,18.0,26.0,0.0,7.9,51.9,66.5625,67.03023255813955,41.225
海南省,海口市,秀英区,东山镇,110.2348052,19.7515732,1,0,2,8,28,2,0,0,0,0,0,0,0,0,1,1,3,3,9,0,0,2,6,15,0,0,0,0,0,0,0,0,0,0,1,1,2,4,3926652800,18311851,海口市秀英区,海口市秀英区东山镇,16.0,25.0,0.0,8.4,49.4,66.5625,67.03023255813955,41.225
海南省,海口市,龙华区,中山街道,110.3411275,20.0402563,56,79,123,98,824,65,17,2,13,3,14,3,2,9,72,24,358,8,11,0,15,19,18,45,13,1,0,0,0,2,0,0,0,16,2,11,8,6,12361353795,18311869,海口市龙华区,海口市龙华区中山街道,20.0,30.0,16.0,20.0,86.0,69.7090909090909,67.03023255813955,41.225
海南省,海口市,龙华区,滨海街道,110.3210807,20.038495,62,35,127,128,726,61,32,4,8,2,9,1,2,11,71,10,442,8,9,51,3,14,24,105,10,3,0,4,0,1,0,1,0,2,3,46,6,6,12361353794,18311867,海口市龙华区,海口市龙华区滨海街道,20.0,30.0,14.0,20.0,84.0,69.7090909090909,67.03023255813955,41.225
海南省,海口市,龙华区,金贸街道,110.3129107,20.028874,58,27,152,105,277,58,12,2,7,1,10,0,1,4,35,6,249,8,9,14,2,27,11,52,6,1,0,1,0,3,0,0,1,11,2,67,6,5,12361353793,18311866,海口市龙华区,海口市龙华区金贸街道,20.0,30.0,18.0,20.0,88.0,69.7090909090909,67.03023255813955,41.225
海南省,海口市,龙华区,大同街道,110.3283709,20.0276971,64,33,155,115,362,73,10,2,10,2,14,0,1,4,59,11,296,8,10,9,8,33,14,69,13,0,0,3,0,1,0,0,1,10,2,58,5,6,12361353792,18311868,海口市龙华区,海口市龙华区大同街道,20.0,30.0,18.0,20.0,88.0,69.7090909090909,67.03023255813955,41.225
