addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
河北省,石家庄市,长安区,建北街道,114.5160318,38.0635524,31,79,81,64,181,19,6,1,6,6,25,2,0,4,34,14,1059,9,15,0,6,4,9,12,1,2,0,0,0,0,0,0,0,0,1,576,2,8,6634193036,9818656,石家庄市长安区,石家庄市长安区建北街道,20.0,30.0,5.0,20.0,75.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,青园街道,114.5112035,38.0439737,45,82,60,75,140,22,7,0,11,9,34,0,0,5,48,19,1099,8,15,0,14,3,17,19,11,2,0,6,3,7,0,0,3,26,3,205,6,8,6634193037,9818658,石家庄市长安区,石家庄市长安区青园街道,20.0,28.0,23.0,20.0,91.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,广安街道,114.51979,38.0468936,34,73,58,74,138,18,4,1,11,11,39,1,0,6,57,19,1097,7,14,0,11,2,11,21,4,0,0,1,3,9,0,0,2,12,2,153,6,8,6634193033,9818653,石家庄市长安区,石家庄市长安区广安街道,20.0,30.0,23.0,20.0,93.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,育才街道,114.5304254,38.0526563,22,67,44,66,117,19,4,2,10,12,40,1,0,4,40,13,982,7,14,0,14,3,9,19,0,0,0,0,2,6,0,0,0,1,1,52,4,7,6634193040,9818663,石家庄市长安区,石家庄市长安区育才街道,20.0,30.0,16.0,20.0,86.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,跃进街道,114.5497448,38.0544235,31,58,36,52,92,8,0,6,6,9,30,1,0,0,17,8,318,5,12,0,2,4,10,10,0,0,1,0,1,3,1,0,0,1,1,7,1,5,6634193041,9818664,石家庄市长安区,石家庄市长安区跃进街道,20.0,28.0,21.0,20.0,89.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,河东街道,114.5450689,38.0411376,58,48,28,53,110,7,2,4,9,11,37,1,0,3,47,10,297,5,15,0,6,7,16,16,1,0,0,1,3,5,0,0,0,7,1,10,3,7,6634193034,9818654,石家庄市长安区,石家庄市长安区河东街道,20.0,30.0,21.0,20.0,91.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,长丰街道,114.5428222,38.0688712,25,38,41,49,101,4,1,2,0,3,14,1,0,0,10,5,562,5,9,6,6,5,6,15,1,0,0,0,0,1,0,0,0,3,1,3,2,4,6634193031,9818650,石家庄市长安区,石家庄市长安区长丰街道,20.0,30.0,8.0,20.0,78.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,谈固街道,114.5688644,38.0502137,91,30,46,50,73,11,0,7,4,7,25,1,0,0,12,4,77,7,10,14,6,4,6,9,1,0,1,3,0,5,0,0,0,0,1,0,2,8,6634193039,9818660,石家庄市长安区,石家庄市长安区谈固街道,19.0,28.0,10.0,15.7,72.7,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,中山东路街道,114.4990852,38.0456134,37,88,92,79,144,34,7,0,12,8,37,1,0,6,41,16,1058,9,14,4,16,13,19,31,9,2,0,3,2,10,0,0,2,18,4,142,7,7,6634193042,9818665,石家庄市长安区,石家庄市长安区中山东路街道,20.0,28.0,23.0,20.0,91.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,阜康街道,114.4923667,38.0587177,31,88,103,89,182,44,11,1,7,5,28,0,0,6,32,14,1112,9,15,7,7,17,7,12,0,0,0,0,0,6,0,0,0,0,3,16,5,4,6634193032,9818651,石家庄市长安区,石家庄市长安区阜康街道,20.0,30.0,10.0,20.0,80.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,建安街道,114.500922,38.0574138,26,96,101,79,183,26,9,0,7,6,31,0,0,5,34,14,1109,9,16,8,19,17,14,30,1,1,0,0,1,9,0,0,0,0,3,252,4,5,6634193035,9818655,石家庄市长安区,石家庄市长安区建安街道,20.0,28.0,15.0,20.0,83.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,胜北街道,114.508569,38.07218,37,63,87,53,173,11,5,3,1,1,17,1,0,0,4,9,940,9,13,8,19,21,7,42,2,1,0,0,0,1,0,0,0,0,1,256,2,7,-1,-1,石家庄市长安区,石家庄市长安区胜北街道,5.0,30.0,10.0,20.0,65.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,西兆通镇,114.5961014,38.0756729,68,21,42,43,84,16,4,3,0,1,8,0,0,0,0,2,47,7,9,0,2,0,5,9,0,0,0,0,1,3,0,0,0,0,2,10,3,3,1716003523,9818662,石家庄市长安区,石家庄市长安区西兆通镇,17.0,30.0,10.0,13.7,70.7,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,南村镇,114.6367852,38.0606362,13,17,26,44,100,19,0,5,0,0,1,0,0,0,2,4,84,6,8,0,3,0,1,16,0,0,0,0,0,0,0,0,0,1,1,2,3,1,1716016229,9818657,石家庄市长安区,石家庄市长安区南村镇,19.0,28.0,1.0,16.6,64.6,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,高营镇,114.5381784,38.0775042,34,55,53,42,121,6,3,3,0,1,5,2,0,0,4,6,536,5,11,8,6,7,5,16,2,0,0,0,0,1,0,0,0,0,1,2,4,3,5425061942,9818652,石家庄市长安区,石家庄市长安区高营镇,20.0,30.0,5.0,20.0,75.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,长安区,桃园镇,114.5138064,38.085118,48,46,72,51,150,12,4,4,1,0,5,1,0,0,1,4,665,7,12,12,12,13,7,47,2,2,0,0,0,0,1,0,0,0,1,30,4,7,5425061941,9818661,石家庄市长安区,石家庄市长安区桃园镇,19.0,30.0,10.0,20.0,79.0,80.25,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,东里街道,114.4622556,38.0284489,39,49,129,95,174,54,12,3,6,7,20,2,1,2,14,12,770,8,15,7,8,22,16,45,5,0,2,0,2,8,0,0,0,0,2,190,7,6,6633512293,9818250,石家庄市桥西区,石家庄市桥西区东里街道,20.0,30.0,15.0,20.0,85.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,中山街道,114.4776342,38.0390319,36,66,137,91,171,51,5,2,10,9,33,1,0,4,28,16,701,8,12,0,33,15,21,27,12,3,0,0,0,7,0,0,1,8,1,103,7,5,6633512306,9818263,石家庄市桥西区,石家庄市桥西区中山街道,20.0,30.0,18.0,20.0,88.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,南长街道,114.4756416,38.0220024,46,61,133,105,178,50,7,3,6,6,22,2,1,1,14,12,593,8,11,8,2,59,10,15,6,0,0,0,0,0,1,0,0,0,1,49,4,5,6633512297,9818254,石家庄市桥西区,石家庄市桥西区南长街道,20.0,30.0,10.0,20.0,80.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,维明街道,114.4618084,38.0403843,32,60,98,90,167,53,12,3,0,7,22,0,0,3,14,10,750,8,15,0,15,12,16,23,11,0,1,0,2,6,0,0,1,5,1,195,6,6,6633512299,9818256,石家庄市桥西区,石家庄市桥西区维明街道,20.0,30.0,17.0,20.0,87.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,友谊街道,114.4428,38.0408296,40,31,72,81,158,56,18,4,1,6,23,0,0,2,10,7,713,7,14,0,8,6,5,20,8,5,1,0,1,1,0,0,1,1,1,187,3,8,6633512303,9818260,石家庄市桥西区,石家庄市桥西区友谊街道,20.0,30.0,18.0,20.0,88.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,红旗街道,114.4545656,37.9982358,58,33,110,70,155,20,4,1,2,4,12,1,1,0,5,5,232,9,10,10,3,13,14,22,0,0,0,2,3,3,0,1,0,3,1,48,6,9,6633512294,-1,石家庄市桥西区,石家庄市桥西区红旗街道,12.0,30.0,20.0,20.0,82.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,新石街道,114.4672466,38.0049526,45,28,130,88,148,32,4,1,6,6,16,2,1,0,5,7,285,8,13,10,0,24,10,33,6,1,0,0,1,1,1,1,0,0,1,67,7,7,6633512301,9818258,石家庄市桥西区,石家庄市桥西区新石街道,20.0,30.0,22.0,20.0,92.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,苑东街道,114.4101415,38.0379851,44,25,28,38,98,25,16,1,1,1,12,1,0,1,1,7,279,5,14,0,7,0,5,8,11,4,0,0,0,1,0,0,0,0,1,7,4,6,6633512304,9818261,石家庄市桥西区,石家庄市桥西区苑东街道,20.0,30.0,10.0,20.0,80.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,西里街道,114.4292604,38.0276483,54,35,48,59,145,30,16,3,1,3,12,1,0,1,1,6,519,9,12,12,4,5,4,16,5,0,1,0,0,1,0,0,0,0,2,69,3,3,6633512300,9818257,石家庄市桥西区,石家庄市桥西区西里街道,20.0,30.0,10.0,20.0,80.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,振头街道,114.4395752,38.0108579,57,33,71,56,161,13,1,2,2,5,13,2,1,0,3,7,395,9,11,14,8,16,13,9,0,0,0,0,1,1,0,0,0,0,1,4,5,5,6633512305,9818262,石家庄市桥西区,石家庄市桥西区振头街道,20.0,30.0,15.0,20.0,85.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,留营街道,114.4053582,38.0617399,53,5,48,36,120,9,11,4,1,0,9,0,0,0,0,4,130,7,13,4,0,7,8,19,0,1,0,0,0,2,0,0,0,0,1,4,3,7,6633512296,9818253,石家庄市桥西区,石家庄市桥西区留营街道,19.0,30.0,10.0,20.0,79.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,长兴街道,114.3933712,38.0504184,51,17,31,30,118,15,9,3,1,0,8,0,0,0,0,5,69,6,13,8,0,5,1,15,0,0,0,0,0,2,0,0,0,0,1,5,3,6,6633512290,9818247,石家庄市桥西区,石家庄市桥西区长兴街道,20.0,30.0,10.0,15.4,75.4,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,彭后街道,114.4903433,38.0276168,50,68,144,110,168,57,9,3,10,8,30,2,0,6,43,17,618,8,11,13,11,25,10,20,0,0,0,5,0,2,1,0,0,0,1,27,4,6,6633512298,9818255,石家庄市桥西区,石家庄市桥西区彭后街道,20.0,30.0,15.0,20.0,85.0,84.37647058823529,48.16123188405797,45.77052537845058
河北省,石家庄市,桥西区,东风街道,114.5018756,38.0255358,53,71,140,95,108,57,9,1,15,6,30,1,0,6,53,17,514,8,13,16,6,7,7,8,2,0,1,1,1,2,0,0,0,1,2,37,4,3,6633512291,9818248,石家庄市桥西区,石家庄市桥西区东风街道,20.0,30.0,16.0,20.0,86.0,84.37647058823529,48.16123188405797,45.77052537845058
