addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
黑龙江省,哈尔滨市,道里区,兆麟街道,126.6230895,45.7690121,110,132,177,342,164,230,64,1,7,23,53,1,1,30,302,30,3752,9,16,8,32,55,33,37,23,8,0,3,7,10,0,1,20,137,5,424,6,11,6356453537,10784833,哈尔滨市道里区,哈尔滨市道里区兆麟街道,20.0,30.0,25.0,20.0,95.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,新阳路街道,126.6118314,45.7570034,157,128,202,321,200,235,75,0,6,22,49,2,1,30,304,26,4204,9,17,19,27,59,63,31,32,2,0,0,3,8,0,0,1,28,7,679,6,10,6356453536,10784827,哈尔滨市道里区,哈尔滨市道里区新阳路街道,20.0,28.0,23.0,20.0,91.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,抚顺街道,126.6095258,45.7558612,159,127,202,309,214,234,72,0,6,21,49,2,1,31,305,26,4211,9,17,17,19,50,67,29,29,2,0,0,0,5,0,0,2,26,8,687,5,10,9912837469,14389221,哈尔滨市道里区,哈尔滨市道里区抚顺街道,20.0,28.0,18.0,20.0,86.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,共乐街道,126.6048799,45.7488353,170,133,239,289,253,210,53,1,2,14,50,3,1,31,274,24,4294,9,17,15,17,56,70,20,24,2,0,0,2,3,0,0,0,10,5,653,4,7,6356453525,10784821,哈尔滨市道里区,哈尔滨市道里区共乐街道,20.0,30.0,21.0,20.0,91.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,新华街道,126.583908,45.7326935,118,89,231,169,145,95,12,3,1,6,25,1,0,5,56,13,3763,8,14,39,25,33,8,30,1,0,0,0,1,1,0,0,1,11,2,326,5,7,6356453535,10784819,哈尔滨市道里区,哈尔滨市道里区新华街道,20.0,30.0,23.0,20.0,93.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,城乡路街道,126.5745026,45.72271,83,89,234,78,109,75,15,8,2,4,17,1,0,5,56,9,2935,7,15,11,16,25,2,9,0,0,1,1,1,2,0,0,0,5,1,255,5,7,6356453522,10784817,哈尔滨市道里区,哈尔滨市道里区城乡路街道,20.0,30.0,20.0,20.0,90.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,工农街道,126.5547034,45.7354757,66,68,138,53,91,32,15,6,2,3,11,0,0,4,29,7,2322,9,15,0,4,17,6,5,6,7,0,0,0,2,0,0,3,9,1,291,5,7,6356453526,10784818,哈尔滨市道里区,哈尔滨市道里区工农街道,20.0,30.0,18.0,20.0,88.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,尚志街道,126.6169034,45.7682853,111,126,174,330,173,229,64,0,6,24,46,1,1,30,300,27,3496,9,16,10,23,50,44,40,19,3,0,2,5,12,0,1,23,164,5,488,6,12,6356453531,10784832,哈尔滨市道里区,哈尔滨市道里区尚志街道,20.0,28.0,25.0,20.0,93.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,斯大林街道,126.6221379,45.7771908,66,118,141,275,146,181,48,1,6,21,43,1,1,28,296,29,2907,9,15,5,8,27,33,29,22,8,0,2,3,7,0,1,10,83,4,406,8,8,6356453532,10784834,哈尔滨市道里区,哈尔滨市道里区斯大林街道,20.0,30.0,25.0,20.0,95.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,通江街道,126.6092878,45.7735121,83,92,156,281,168,191,41,0,5,19,31,1,1,28,282,25,2653,9,16,2,13,18,29,40,40,9,0,2,2,11,1,1,14,156,3,405,7,7,6356453533,10784831,哈尔滨市道里区,哈尔滨市道里区通江街道,20.0,28.0,30.0,20.0,98.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,经纬街道,126.6134343,45.7631907,117,126,180,326,185,237,68,0,6,25,46,2,1,30,308,28,3781,9,15,14,22,44,48,37,32,3,0,0,3,11,0,0,17,136,7,584,6,11,6356453528,10784829,哈尔滨市道里区,哈尔滨市道里区经纬街道,20.0,28.0,23.0,20.0,91.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,工程街道,126.6042143,45.7693758,89,89,164,276,167,207,36,0,5,18,32,1,1,28,270,21,2852,9,16,4,13,19,35,41,39,3,0,2,0,10,1,1,14,133,5,508,7,7,6356453524,10784830,哈尔滨市道里区,哈尔滨市道里区工程街道,20.0,28.0,25.0,20.0,93.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,安静街道,126.6070056,45.762062,125,115,175,292,185,230,65,0,6,20,44,2,1,30,306,25,3664,9,16,16,23,48,56,39,33,0,0,0,2,9,0,0,10,100,6,631,6,8,6356453521,10784828,哈尔滨市道里区,哈尔滨市道里区安静街道,20.0,28.0,23.0,20.0,91.0,82.70434782608696,52.255445544554455,45.96646840148699
黑龙江省,哈尔滨市,道里区,安和街道,126.6050159,45.7537763,157,124,213,289,227,224,55,1,4,16,49,2,1,32,306,25,4093,8,17,27,15,45,72,27,34,1,0,0,1,5,0,0,2,27,7,715,3,7,6356453520,10784825,哈尔滨市道里区,哈尔滨市道里区安和街道,20.0,30.0,23.0,20.0,93.0,82.70434782608696,52.255445544554455,45.96646840148699
