addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
湖北省,武汉市,江岸区,大智街道,114.2847432,30.5880406,0,141,116,160,267,141,36,1,40,22,42,59,6,40,131,38,1228,8,15,0,28,22,48,62,30,4,0,10,8,14,6,2,16,43,12,295,6,8,-2,3117595,武汉市江岸区,武汉市江岸区大智街道,13.0,30.0,30.0,20.0,93.0,85.05,70.69567901234568,41.03788721207307
湖北省,武汉市,江岸区,一元街道,114.2937555,30.5926758,15,127,101,159,270,122,23,1,35,17,40,46,5,38,115,34,1144,8,18,0,37,20,42,41,19,6,0,11,3,11,6,0,9,15,13,323,7,7,-2,3117596,武汉市江岸区,武汉市江岸区一元街道,13.0,30.0,28.0,20.0,91.0,85.05,70.69567901234568,41.03788721207307
湖北省,武汉市,江岸区,车站街道,113.92437,30.9506938,17,12,16,48,151,18,1,0,0,1,3,2,0,0,6,2,228,5,8,0,0,0,13,34,6,1,0,0,0,0,0,0,0,0,1,4,4,4,5873574593,8632230,武汉市江岸区,武汉市江岸区车站街道,17.0,28.0,0.0,20.0,65.0,85.05,70.69567901234568,41.03788721207307
湖北省,武汉市,江岸区,四唯街道,114.3007046,30.6029178,21,98,80,122,237,106,19,3,27,19,48,19,5,34,97,40,976,8,18,0,36,32,20,26,23,4,0,7,2,8,9,1,2,11,5,131,7,9,-2,3117598,武汉市江岸区,武汉市江岸区四唯街道,13.0,30.0,30.0,20.0,93.0,85.05,70.69567901234568,41.03788721207307
湖北省,武汉市,江岸区,永清街道,114.3034308,30.6058368,26,108,81,114,213,96,16,3,28,16,45,20,5,24,63,43,857,8,18,7,35,27,14,26,21,2,0,4,2,8,8,1,2,10,2,139,6,9,-2,3117601,武汉市江岸区,武汉市江岸区永清街道,13.0,30.0,30.0,20.0,93.0,85.05,70.69567901234568,41.03788721207307
湖北省,武汉市,江岸区,西马街道,114.2844107,30.5983059,0,148,113,158,307,144,34,1,40,23,49,58,6,41,129,51,1182,8,15,0,29,9,28,57,17,4,0,10,5,13,4,0,7,18,4,121,6,8,-2,3117608,武汉市江岸区,武汉市江岸区西马街道,13.0,30.0,28.0,20.0,91.0,85.05,70.69567901234568,41.03788721207307
湖北省,武汉市,江岸区,球场街道,114.2940537,30.6015894,21,111,88,136,264,105,21,3,33,22,45,28,6,36,110,47,1019,8,17,0,43,23,28,29,23,6,0,13,4,10,10,1,2,10,9,127,7,9,-2,3117609,武汉市江岸区,武汉市江岸区球场街道,13.0,30.0,30.0,20.0,93.0,85.05,70.69567901234568,41.03788721207307
湖北省,武汉市,江岸区,劳动街道,114.2928493,30.6042112,35,129,87,129,257,105,20,4,33,23,49,28,8,35,108,48,990,8,17,0,38,20,19,32,13,6,0,7,4,11,8,1,2,8,4,88,6,10,-2,3117610,武汉市江岸区,武汉市江岸区劳动街道,13.0,30.0,30.0,20.0,93.0,85.05,70.69567901234568,41.03788721207307
湖北省,武汉市,江岸区,二七街道,114.3064413,30.6300372,47,94,52,59,208,60,6,4,17,11,35,13,3,6,23,43,815,7,13,4,22,2,15,17,10,0,0,5,3,5,0,0,0,0,14,51,5,8,-2,3117613,武汉市江岸区,武汉市江岸区二七街道,13.0,30.0,15.0,20.0,78.0,85.05,70.69567901234568,41.03788721207307
湖北省,武汉市,江岸区,新村街道,114.3139611,30.6313828,37,73,44,49,166,47,3,1,9,8,29,6,1,5,15,39,813,8,13,8,16,10,10,23,7,1,0,4,1,7,0,0,0,0,11,35,6,7,-2,3117616,武汉市江岸区,武汉市江岸区新村街道,13.0,30.0,15.0,20.0,78.0,85.05,70.69567901234568,41.03788721207307
