addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
吉林省,长春市,南关区,南岭街道,125.3298584,43.8534058,27,48,43,99,181,54,46,5,8,18,33,7,3,32,109,30,1887,9,13,8,8,4,12,38,0,12,2,4,1,3,0,1,0,7,1,192,4,10,6423665172,9512460,长春市南关区,长春市南关区南岭街道,20.0,30.0,23.0,20.0,93.0,90.57142857142857,51.954504504504506,47.34024767801857
吉林省,长春市,南关区,自强街道,125.3234694,43.8877162,18,77,140,208,247,106,48,7,3,28,47,9,8,58,185,50,2678,9,15,0,13,13,40,61,17,12,0,2,3,6,1,1,19,52,10,468,5,8,6423665182,9512467,长春市南关区,长春市南关区自强街道,20.0,30.0,30.0,20.0,100.0,90.57142857142857,51.954504504504506,47.34024767801857
吉林省,长春市,南关区,民康街道,125.3278251,43.8792007,16,46,105,198,275,69,60,9,7,32,50,9,7,59,202,55,2902,9,14,0,9,8,33,29,20,12,0,2,7,10,1,0,9,11,14,326,6,6,6423665170,15875648,长春市南关区,长春市南关区民康街道,20.0,30.0,28.0,20.0,98.0,90.57142857142857,51.954504504504506,47.34024767801857
吉林省,长春市,南关区,新春街道,125.3309829,43.8938764,26,87,119,204,241,92,39,7,2,20,45,2,3,32,129,50,2232,9,15,2,11,16,30,71,4,4,1,0,4,10,0,0,2,29,4,343,4,8,6423665176,9512463,长春市南关区,长春市南关区新春街道,20.0,30.0,23.0,20.0,93.0,90.57142857142857,51.954504504504506,47.34024767801857
吉林省,长春市,南关区,长通街道,125.3494401,43.8991729,40,94,88,173,212,76,20,4,1,11,26,1,2,15,88,37,1316,9,14,0,3,36,36,23,11,2,0,0,1,3,0,0,0,6,4,100,6,9,6423665163,9512453,长春市南关区,长春市南关区长通街道,20.0,30.0,21.0,20.0,91.0,90.57142857142857,51.954504504504506,47.34024767801857
吉林省,长春市,南关区,全安街道,125.3382242,43.8844593,24,64,106,206,241,83,47,6,5,18,46,8,4,39,148,53,2298,9,16,6,13,12,31,49,7,2,0,0,4,5,0,0,1,5,12,136,7,8,6423665173,9512461,长春市南关区,长春市南关区全安街道,20.0,30.0,22.0,20.0,92.0,90.57142857142857,51.954504504504506,47.34024767801857
吉林省,长春市,南关区,曙光街道,125.3265112,43.8695539,16,44,54,160,250,62,65,5,11,28,44,9,5,59,186,47,2461,9,14,0,6,9,29,11,9,11,0,0,4,8,0,1,5,19,7,369,7,9,6423665174,9512462,长春市南关区,长春市南关区曙光街道,20.0,30.0,25.0,20.0,95.0,90.57142857142857,51.954504504504506,47.34024767801857
吉林省,长春市,南关区,永吉街道,125.3414951,43.8700564,24,51,59,151,247,63,51,3,10,17,39,8,4,46,140,50,1881,9,13,6,9,7,18,16,4,3,1,1,3,3,0,0,0,2,6,52,7,9,6423665179,9512465,长春市南关区,长春市南关区永吉街道,20.0,30.0,17.0,20.0,87.0,90.57142857142857,51.954504504504506,47.34024767801857
吉林省,长春市,南关区,桃源街道,125.3481878,43.8892857,40,77,88,184,219,73,32,4,2,16,37,2,3,26,101,45,1287,9,14,6,6,39,34,38,9,2,0,0,2,5,0,0,0,1,5,15,6,6,6423665175,15875647,长春市南关区,长春市南关区桃源街道,20.0,30.0,16.0,20.0,86.0,90.57142857142857,51.954504504504506,47.34024767801857
吉林省,长春市,南关区,鸿城街道,125.3447474,43.8479457,40,71,45,94,126,57,34,4,8,5,15,0,2,8,35,16,985,9,13,2,7,2,20,7,0,9,1,4,0,2,0,0,1,0,2,48,4,7,6423665165,9512455,长春市南关区,长春市南关区鸿城街道,20.0,30.0,12.0,20.0,82.0,90.57142857142857,51.954504504504506,47.34024767801857
