addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
山西省,太原市,小店区,坞城街道,112.5734817,37.805296,78,70,85,94,204,46,44,1,12,11,11,5,1,8,104,16,813,8,9,0,14,8,7,14,2,6,0,6,4,7,0,0,1,1,3,80,7,4,6680341672,9881418,太原市小店区,太原市小店区坞城街道,20.0,30.0,18.0,20.0,88.0,68.09,57.865,42.070422535211264
山西省,太原市,小店区,营盘街道,112.5656292,37.8313111,72,87,90,85,184,24,11,1,14,16,12,9,0,11,83,15,126,8,12,6,11,7,10,24,4,0,0,0,0,0,3,0,0,19,2,3,3,2,6680341674,9881420,太原市小店区,太原市小店区营盘街道,20.0,30.0,16.0,20.0,86.0,68.09,57.865,42.070422535211264
山西省,太原市,小店区,北营街道,112.6399975,37.8079806,13,12,13,33,174,0,7,0,0,0,1,0,1,0,1,9,435,7,5,0,0,0,6,58,0,1,0,0,0,0,0,0,0,0,3,46,6,2,6680341668,9881412,太原市小店区,太原市小店区北营街道,20.0,26.0,0.0,17.0,63.0,68.09,57.865,42.070422535211264
山西省,太原市,小店区,平阳路街道,112.5436596,37.8128557,41,55,49,156,205,27,28,2,20,6,12,5,0,14,138,13,306,7,9,12,15,3,8,19,3,3,0,0,0,1,2,0,3,16,3,28,7,5,6680341671,9881415,太原市小店区,太原市小店区平阳路街道,20.0,30.0,23.0,20.0,93.0,68.09,57.865,42.070422535211264
山西省,太原市,小店区,黄陵街道,112.6109615,37.7750066,84,46,130,103,187,30,44,0,1,1,1,1,1,0,18,4,687,8,14,20,5,36,17,15,3,0,0,0,0,0,0,0,0,0,1,1,2,2,6680341669,9881413,太原市小店区,太原市小店区黄陵街道,19.0,28.0,5.0,20.0,72.0,68.09,57.865,42.070422535211264
山西省,太原市,小店区,小店街道,112.5579099,37.7311007,19,25,31,45,122,15,9,2,0,2,1,0,0,0,4,3,74,6,7,0,10,6,5,30,3,0,2,0,0,0,0,0,0,0,3,1,2,1,6680341673,9881419,太原市小店区,太原市小店区小店街道,18.0,30.0,0.0,14.5,62.5,68.09,57.865,42.070422535211264
山西省,太原市,小店区,龙城街道,112.5678037,37.7680038,15,30,33,92,170,24,15,1,1,3,1,1,1,3,18,4,154,7,10,2,2,4,9,19,0,1,0,0,0,0,0,0,0,0,1,3,5,2,6680341670,-1,太原市小店区,太原市小店区龙城街道,11.0,30.0,5.0,20.0,66.0,68.09,57.865,42.070422535211264
山西省,太原市,小店区,北格镇,112.532,37.6368,2,10,13,13,17,1,0,0,0,0,1,0,0,0,0,8,11,4,7,0,2,3,1,3,0,0,0,0,0,1,0,0,0,0,2,0,1,3,5263028575,9881411,太原市小店区,太原市小店区北格镇,20.0,20.3,5.0,8.1,53.4,68.09,57.865,42.070422535211264
山西省,太原市,小店区,西温庄乡,112.622,37.7269,0,8,37,33,55,0,4,0,0,1,0,0,0,0,1,1,10,4,6,0,1,0,11,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,5263041289,7780397,太原市小店区,太原市小店区西温庄乡,16.0,26.0,0.0,7.0,49.0,68.09,57.865,42.070422535211264
山西省,太原市,小店区,刘家堡乡,112.468,37.6486,12,22,5,20,297,1,0,1,0,0,0,0,0,0,0,3,0,4,2,6,8,4,2,79,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5263028580,9881414,太原市小店区,太原市小店区刘家堡乡,18.0,28.0,0.0,2.0,48.0,68.09,57.865,42.070422535211264
山西省,太原市,迎泽区,柳巷街道,112.5602263,37.8649188,61,162,135,198,304,121,11,1,29,17,25,15,0,9,89,16,687,8,11,0,38,4,37,79,33,4,0,1,2,3,3,0,4,32,2,294,8,8,6681310390,9882824,太原市迎泽区,太原市迎泽区柳巷街道,20.0,30.0,28.0,20.0,98.0,91.5,57.865,42.070422535211264
山西省,太原市,迎泽区,文庙街道,112.5829101,37.8621775,86,135,132,140,288,82,11,0,2,10,11,9,0,4,48,12,567,8,12,13,16,34,47,32,26,2,0,0,0,1,2,0,0,6,1,15,4,5,6681310393,9882827,太原市迎泽区,太原市迎泽区文庙街道,20.0,28.0,21.0,20.0,89.0,91.5,57.865,42.070422535211264
山西省,太原市,迎泽区,庙前街道,112.5411524,37.8633985,43,118,155,190,311,130,10,1,30,20,29,17,0,15,104,20,619,8,10,2,10,15,21,51,10,1,0,19,1,5,4,0,3,15,3,43,7,5,6681310391,9882825,太原市迎泽区,太原市迎泽区庙前街道,20.0,30.0,28.0,20.0,98.0,91.5,57.865,42.070422535211264
山西省,太原市,迎泽区,迎泽街道,112.5558936,37.8498603,69,135,124,181,261,103,15,1,28,16,19,18,0,12,108,15,467,8,10,8,20,26,15,24,8,1,1,2,7,2,2,0,0,5,1,20,5,5,6681310394,9882828,太原市迎泽区,太原市迎泽区迎泽街道,20.0,30.0,25.0,20.0,95.0,91.5,57.865,42.070422535211264
山西省,太原市,迎泽区,桥东街道,112.5737456,37.8511234,84,122,105,162,274,87,11,1,14,14,12,16,0,6,60,14,402,8,12,17,15,18,10,22,10,2,0,1,2,2,0,0,0,6,1,6,3,6,6681310392,9882826,太原市迎泽区,太原市迎泽区桥东街道,20.0,30.0,21.0,20.0,91.0,91.5,57.865,42.070422535211264
山西省,太原市,迎泽区,老军营街道,112.537778,37.8490783,54,107,165,127,254,89,11,1,37,16,20,11,0,15,61,16,390,8,9,3,7,18,19,33,1,1,0,11,3,6,3,0,2,3,1,17,6,5,6681310389,9882823,太原市迎泽区,太原市迎泽区老军营街道,20.0,30.0,25.0,20.0,95.0,91.5,57.865,42.070422535211264
山西省,太原市,迎泽区,郝庄镇,112.5927904,37.8541124,79,94,99,121,191,53,8,0,2,4,4,6,0,1,22,7,93,9,11,5,0,22,22,32,9,0,0,0,0,0,0,0,0,3,1,12,5,6,5263889776,9882822,太原市迎泽区,太原市迎泽区郝庄镇,20.0,28.0,8.0,18.5,74.5,91.5,57.865,42.070422535211264
