addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
天津市,市辖区,和平区,劝业场街道,117.1906037,39.1222333,45,271,345,521,547,634,44,2,27,30,65,24,5,72,415,21,11844,8,18,0,23,45,92,87,104,4,1,6,4,15,5,2,12,189,4,4289,6,11,10819512351,15736627,市辖区和平区,市辖区和平区劝业场街道,20.0,30.0,30.0,20.0,100.0,97.33333333333333,69.30039682539683,69.30039682539683
天津市,市辖区,和平区,小白楼街道,117.2056727,39.119425,69,277,377,507,537,595,24,2,22,25,66,27,4,57,363,22,11063,8,19,0,41,71,104,92,116,2,0,11,4,9,6,1,17,76,3,2104,7,11,10819512378,15736628,市辖区和平区,市辖区和平区小白楼街道,20.0,30.0,30.0,20.0,100.0,97.33333333333333,69.30039682539683,69.30039682539683
天津市,市辖区,和平区,五大道街道,117.1903193,39.1111726,77,215,325,516,537,600,57,1,23,27,59,25,4,56,399,19,11540,8,18,0,22,14,92,47,55,3,0,0,3,9,0,0,2,53,2,4872,6,10,10819512406,15736630,市辖区和平区,市辖区和平区五大道街道,20.0,30.0,23.0,20.0,93.0,97.33333333333333,69.30039682539683,69.30039682539683
天津市,市辖区,和平区,新兴街道,117.1823125,39.1019611,85,164,214,393,466,499,62,3,26,25,57,20,3,41,286,20,11206,7,17,34,17,19,85,39,62,9,0,1,5,10,2,0,2,6,2,632,5,10,10819512407,15736631,市辖区和平区,市辖区和平区新兴街道,20.0,30.0,28.0,20.0,98.0,97.33333333333333,69.30039682539683,69.30039682539683
天津市,市辖区,和平区,南营门街道,117.1852915,39.1148528,65,186,325,508,547,615,55,1,21,25,54,21,5,57,407,20,11718,8,18,0,23,21,67,45,65,5,0,1,5,13,0,0,2,45,3,4803,6,9,10819512394,15736629,市辖区和平区,市辖区和平区南营门街道,20.0,30.0,23.0,20.0,93.0,97.33333333333333,69.30039682539683,69.30039682539683
天津市,市辖区,和平区,南市街道,117.1782524,39.1309348,15,289,318,494,491,614,38,1,20,25,49,14,4,65,385,21,10893,8,17,0,34,54,83,64,105,5,1,2,5,7,2,1,14,79,2,1228,6,10,10819499003,15736626,市辖区和平区,市辖区和平区南市街道,20.0,30.0,30.0,20.0,100.0,97.33333333333333,69.30039682539683,69.30039682539683
天津市,市辖区,河东区,大王庄街道,117.21537,39.1254618,75,272,366,449,545,531,22,4,24,18,71,23,4,47,362,21,9874,8,20,4,62,57,52,70,47,2,1,2,1,5,1,0,7,15,1,239,6,10,10821072645,15738600,市辖区河东区,市辖区河东区大王庄街道,20.0,30.0,28.0,20.0,98.0,91.76923076923077,69.30039682539683,69.30039682539683
天津市,市辖区,河东区,大直沽街道,117.2372873,39.1114516,97,217,249,375,596,352,25,10,30,16,63,22,5,27,200,20,2823,8,19,10,25,11,33,99,26,4,1,0,1,11,1,0,4,5,2,129,5,13,10821072681,15738601,市辖区河东区,市辖区河东区大直沽街道,20.0,30.0,27.0,20.0,97.0,91.76923076923077,69.30039682539683,69.30039682539683
天津市,市辖区,河东区,中山门街道,117.2590998,39.1057225,96,77,186,314,514,259,24,10,19,10,38,7,7,18,145,16,2057,8,18,14,13,8,98,176,59,9,4,13,5,11,3,4,8,83,3,779,4,16,10821072676,15738602,市辖区河东区,市辖区河东区中山门街道,20.0,30.0,30.0,20.0,100.0,91.76923076923077,69.30039682539683,69.30039682539683
天津市,市辖区,河东区,富民路街道,117.2455889,39.0898256,123,104,212,349,524,291,27,13,20,12,54,12,7,19,118,14,1786,8,18,6,2,33,28,58,22,1,1,0,0,3,1,3,0,5,2,347,6,6,10821072682,15738603,市辖区河东区,市辖区河东区富民路街道,20.0,30.0,22.0,20.0,92.0,91.76923076923077,69.30039682539683,69.30039682539683
