addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
新疆维吾尔自治区,乌鲁木齐市,天山区,燕儿窝街道,87.5951115,43.737889,31,31,14,46,151,121,3,8,2,1,6,3,0,0,5,33,774,7,16,12,22,0,14,12,23,1,2,0,0,0,0,0,0,4,4,9,3,10,6126819275,9091358,乌鲁木齐市天山区,乌鲁木齐市天山区燕儿窝街道,20.0,30.0,9.0,20.0,79.0,88.88125,72.51475409836065,46.12051886792453
新疆维吾尔自治区,乌鲁木齐市,天山区,胜利路街道,87.6156096,43.765712,49,71,70,97,413,310,21,9,11,13,26,20,1,16,73,168,3942,8,20,3,14,12,10,55,35,4,0,3,5,7,5,0,4,21,19,743,7,5,6126819269,9091352,乌鲁木齐市天山区,乌鲁木齐市天山区胜利路街道,20.0,30.0,28.0,20.0,98.0,88.88125,72.51475409836065,46.12051886792453
新疆维吾尔自治区,乌鲁木齐市,天山区,团结路街道,87.6163725,43.776546,48,88,96,114,466,366,21,6,16,17,27,21,1,21,85,205,4849,8,19,14,16,13,38,63,54,10,1,5,8,8,5,1,3,28,30,875,6,10,6126819270,9091353,乌鲁木齐市天山区,乌鲁木齐市天山区团结路街道,20.0,30.0,30.0,20.0,100.0,88.88125,72.51475409836065,46.12051886792453
新疆维吾尔自治区,乌鲁木齐市,天山区,解放南路街道,87.6124861,43.7872744,60,118,141,118,494,423,27,3,15,18,28,21,2,22,97,218,5391,8,18,2,4,32,26,76,51,7,0,1,6,4,5,0,10,14,34,844,6,7,6126819267,9091350,乌鲁木齐市天山区,乌鲁木齐市天山区解放南路街道,20.0,30.0,28.0,20.0,98.0,88.88125,72.51475409836065,46.12051886792453
新疆维吾尔自治区,乌鲁木齐市,天山区,新华南路街道,87.6066799,43.7778758,59,106,98,101,451,367,24,7,16,14,27,22,2,22,95,190,5382,8,18,19,15,12,27,54,46,9,1,6,5,7,3,0,5,15,24,1142,6,8,6126819273,9091356,乌鲁木齐市天山区,乌鲁木齐市天山区新华南路街道,20.0,30.0,28.0,20.0,98.0,88.88125,72.51475409836065,46.12051886792453
新疆维吾尔自治区,乌鲁木齐市,天山区,和平路街道,87.6304555,43.7847769,42,65,130,139,449,361,25,5,16,18,28,20,1,19,70,197,3557,7,18,12,13,15,16,71,42,1,0,1,1,7,2,1,2,15,26,266,5,9,6126819263,9091346,乌鲁木齐市天山区,乌鲁木齐市天山区和平路街道,20.0,30.0,30.0,20.0,100.0,88.88125,72.51475409836065,46.12051886792453
新疆维吾尔自治区,乌鲁木齐市,天山区,解放北路街道,87.6209165,43.7947205,48,107,151,120,553,427,26,5,16,16,28,16,2,23,88,214,4280,8,18,10,23,33,31,42,64,1,0,4,3,6,3,0,9,8,34,422,7,7,6126819266,9091349,乌鲁木齐市天山区,乌鲁木齐市天山区解放北路街道,20.0,30.0,28.0,20.0,98.0,88.88125,72.51475409836065,46.12051886792453
新疆维吾尔自治区,乌鲁木齐市,天山区,幸福路街道,87.6511598,43.7803385,28,34,92,113,325,235,17,4,6,10,19,14,1,8,44,125,869,7,14,6,0,21,22,85,29,0,0,0,0,1,1,0,0,0,15,20,2,5,6126819271,9091354,乌鲁木齐市天山区,乌鲁木齐市天山区幸福路街道,20.0,30.0,15.0,20.0,85.0,88.88125,72.51475409836065,46.12051886792453
新疆维吾尔自治区,乌鲁木齐市,天山区,东门街道,87.6298645,43.7981494,37,79,146,119,512,391,28,5,13,15,22,15,2,18,71,180,2891,8,17,10,20,26,24,40,76,3,0,4,5,7,1,0,3,2,25,89,6,8,6126819262,9091345,乌鲁木齐市天山区,乌鲁木齐市天山区东门街道,20.0,30.0,24.0,20.0,94.0,88.88125,72.51475409836065,46.12051886792453
新疆维吾尔自治区,乌鲁木齐市,天山区,新华北路街道,87.6104285,43.7964489,78,125,140,115,500,448,27,5,20,15,28,15,2,27,95,206,4767,8,18,2,25,46,15,46,55,4,0,6,2,3,2,0,8,11,26,763,6,6,6126819272,9091355,乌鲁木齐市天山区,乌鲁木齐市天山区新华北路街道,20.0,30.0,28.0,20.0,98.0,88.88125,72.51475409836065,46.12051886792453
