addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
西藏自治区,拉萨市,城关区,八廓街道,91.1313483,29.6516869,21,30,119,44,197,2,30,1,4,7,7,9,2,7,74,42,2216,9,15,2,3,17,9,19,0,6,0,1,1,2,4,0,2,41,19,1180,6,9,4103161628,8252837,拉萨市城关区,拉萨市城关区八廓街道,20.0,30.0,28.0,20.0,98.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,吉日街道,91.1362811,29.6523753,21,30,121,49,187,2,31,1,4,7,7,9,2,7,69,39,2229,9,15,2,5,23,9,17,0,3,0,1,1,3,5,0,3,38,20,902,6,9,4103161630,8252836,拉萨市城关区,拉萨市城关区吉日街道,20.0,30.0,28.0,20.0,98.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,吉崩岗街道,91.1301674,29.6578417,21,30,121,46,206,2,25,1,4,7,7,12,2,7,75,42,2207,9,14,2,5,22,7,38,0,4,0,1,4,3,2,2,2,42,20,1128,6,11,4103161632,8252844,拉萨市城关区,拉萨市城关区吉崩岗街道,20.0,30.0,30.0,20.0,100.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,扎细街道,91.1436485,29.6753084,34,21,78,24,189,1,7,1,1,8,7,12,0,4,49,34,1272,9,12,0,0,6,3,29,0,0,0,0,1,0,3,0,0,2,4,23,2,6,4103161638,8252868,拉萨市城关区,拉萨市城关区扎细街道,20.0,30.0,17.0,20.0,87.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,公德林街道,91.1157307,29.6674153,27,24,100,39,188,3,19,0,4,7,8,8,2,7,74,37,2068,8,14,0,8,6,6,35,2,0,0,0,2,2,1,0,2,1,4,92,7,6,4103161631,8252867,拉萨市城关区,拉萨市城关区公德林街道,20.0,28.0,23.0,20.0,91.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,嘎玛贡桑街道,91.1521483,29.6600852,30,25,105,29,161,0,9,1,4,6,5,11,0,3,58,37,1569,8,14,0,6,7,2,25,0,0,0,0,0,1,0,0,0,3,6,147,3,6,4103161634,8252869,拉萨市城关区,拉萨市城关区嘎玛贡桑街道,20.0,28.0,13.0,20.0,81.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,两岛街道,91.1265224,29.6421365,21,30,109,47,154,2,40,2,4,5,6,9,2,6,70,31,2143,9,14,12,0,15,11,29,0,6,0,0,0,0,0,0,0,6,5,349,6,7,4103161635,8252870,拉萨市城关区,拉萨市城关区两岛街道,20.0,30.0,11.0,20.0,81.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,金珠西路街道,91.0496986,29.6398055,61,4,8,28,115,5,19,2,2,1,4,4,0,0,4,5,261,7,15,4,0,0,3,23,0,3,0,0,1,0,0,0,0,0,2,49,5,10,4103161633,8252882,拉萨市城关区,拉萨市城关区金珠西路街道,20.0,30.0,10.0,20.0,80.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,蔡公堂街道,91.2199142,29.6415548,14,13,3,32,14,0,2,1,0,2,13,0,0,0,0,6,21,3,9,2,0,0,12,4,0,0,1,0,0,5,0,0,0,0,4,4,3,6,4038341292,8252888,拉萨市城关区,拉萨市城关区蔡公堂街道,20.0,21.0,5.0,10.5,56.5,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,夺底街道,91.1599,29.7119,7,0,8,0,49,0,0,0,0,0,2,3,0,0,0,4,9,8,6,0,0,7,0,10,0,0,0,0,0,1,0,0,0,0,2,2,4,3,4103161637,8252891,拉萨市城关区,拉萨市城关区夺底街道,19.0,21.8,5.0,7.1,52.9,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,娘热街道,91.1184693,29.7001954,18,0,22,6,60,1,4,0,0,2,2,0,0,0,5,6,146,9,9,0,0,2,1,9,0,0,0,0,1,1,0,0,0,0,4,84,4,6,4103161636,8252890,拉萨市城关区,拉萨市城关区娘热街道,20.0,28.0,10.0,20.0,78.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,城关区,纳金街道,91.1823894,29.6604992,28,12,40,28,54,0,0,1,3,1,6,1,0,0,3,10,157,5,9,6,2,7,4,13,0,0,0,2,0,0,1,0,0,1,3,22,4,5,4038341293,8252889,拉萨市城关区,拉萨市城关区纳金街道,20.0,26.0,11.0,20.0,77.0,81.7,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,堆龙德庆区,东嘎街道,90.9978675,29.6528524,31,12,14,37,79,0,0,2,1,0,2,2,0,0,2,3,242,6,10,2,4,0,10,16,0,0,0,1,0,0,2,0,0,0,2,54,3,5,5200389520,11822092,拉萨市堆龙德庆区,拉萨市堆龙德庆区东嘎街道,18.0,26.0,10.0,20.0,74.0,56.285714285714285,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,堆龙德庆区,乃琼街道,90.9869332,29.633731,24,14,24,42,70,1,6,3,3,1,3,2,0,0,2,3,320,6,12,3,0,1,9,2,0,0,0,0,0,0,0,0,0,0,1,7,2,6,4102980798,11822090,拉萨市堆龙德庆区,拉萨市堆龙德庆区乃琼街道,18.0,30.0,5.0,20.0,73.0,56.285714285714285,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,堆龙德庆区,羊达街道,90.9507615,29.6664013,16,0,3,5,138,1,0,1,0,0,4,0,0,0,0,2,86,4,9,2,0,0,0,29,0,0,0,0,0,2,0,0,0,0,1,0,4,5,3753743098,11822091,拉萨市堆龙德庆区,拉萨市堆龙德庆区羊达街道,17.0,28.0,5.0,16.6,66.6,56.285714285714285,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,堆龙德庆区,柳梧街道,91.0313982,29.5678221,0,7,1,29,49,0,0,0,0,0,0,0,0,0,0,1,79,6,11,0,2,1,3,30,0,0,0,0,0,0,0,0,0,0,1,33,5,2,336294480,11822093,拉萨市堆龙德庆区,拉萨市堆龙德庆区柳梧街道,16.0,24.0,0.0,19.200000000000003,59.2,56.285714285714285,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,堆龙德庆区,古荣镇,90.7990128,29.7488102,2,0,5,5,33,1,0,0,0,0,0,0,0,0,0,2,61,4,4,2,0,0,2,16,0,0,0,0,0,0,0,0,0,0,1,26,4,3,3753727047,11822089,拉萨市堆龙德庆区,拉萨市堆龙德庆区古荣镇,17.0,26.0,0.0,12.700000000000001,55.7,56.285714285714285,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,堆龙德庆区,马镇,90.7319935,29.8604906,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3745125921,11822088,拉萨市堆龙德庆区,拉萨市堆龙德庆区马镇,16.0,9.9,0.0,2.3,28.2,56.285714285714285,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,堆龙德庆区,德庆镇,90.7122398,29.9675421,5,0,0,1,13,0,0,0,0,0,1,0,0,0,0,1,1,4,2,3,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,1,1,2,3585551624,11822087,拉萨市堆龙德庆区,拉萨市堆龙德庆区德庆镇,16.0,14.1,5.0,2.2,37.300000000000004,56.285714285714285,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,达孜区,德庆镇,91.3572786,29.6729145,21,1,0,3,42,0,0,2,1,1,3,1,0,0,0,2,7,4,8,5,0,0,2,27,0,0,1,1,1,3,0,0,0,0,2,0,4,3,3017512303,11824514,拉萨市达孜区,拉萨市达孜区德庆镇,17.0,26.0,15.0,8.7,66.7,39.81666666666667,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,达孜区,塔杰乡,91.4437162,29.7465863,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,5,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,335879942,11824513,拉萨市达孜区,拉萨市达孜区塔杰乡,16.0,11.0,0.0,2.5,29.5,39.81666666666667,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,达孜区,章多乡,91.4869418,29.7808659,1,0,0,5,46,0,10,2,0,0,0,0,0,0,0,3,78,6,4,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,5,2,2,335879944,12338747,拉萨市达孜区,拉萨市达孜区章多乡,18.0,28.0,0.0,12.3,58.3,39.81666666666667,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,达孜区,唐嘎乡,91.552497,29.8403593,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,335879946,12338746,拉萨市达孜区,拉萨市达孜区唐嘎乡,16.0,7.2,0.0,3.0,26.2,39.81666666666667,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,达孜区,雪乡,91.4865895,29.8266112,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3170115020,12338752,拉萨市达孜区,拉萨市达孜区雪乡,16.0,10.4,0.0,2.0,28.4,39.81666666666667,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,达孜区,帮堆乡,91.3749359,29.7006292,15,1,0,1,9,0,0,0,0,0,0,1,0,0,0,1,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3166490724,11824515,拉萨市达孜区,拉萨市达孜区帮堆乡,16.0,10.8,0.0,3.0,29.8,39.81666666666667,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,甘丹曲果镇,91.2541653,29.8996399,3,0,1,10,16,0,0,0,0,0,0,0,0,0,0,3,1,3,4,1,0,0,6,11,0,0,0,0,0,0,0,0,0,0,2,0,2,3,2661004015,12338737,拉萨市林周县,拉萨市林周县甘丹曲果镇,18.0,19.5,0.0,4.1,41.6,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,春堆乡,91.0309905,29.9371985,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3168235814,12338736,拉萨市林周县,拉萨市林周县春堆乡,16.0,10.3,0.0,2.0,28.3,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,松盘乡,91.2690903,29.9806919,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3170114062,12338740,拉萨市林周县,拉萨市林周县松盘乡,17.0,10.3,0.0,2.0,29.3,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,强嘎乡,91.1359463,29.9471504,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3170114061,12338735,拉萨市林周县,拉萨市林周县强嘎乡,16.0,10.2,0.0,3.0,29.2,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,卡孜乡,91.172952,29.9038088,0,0,3,1,11,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3168235813,12338734,拉萨市林周县,拉萨市林周县卡孜乡,18.0,12.1,0.0,3.0,33.1,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,边交林乡,91.4359789,29.8082309,2,1,3,4,12,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4099988851,12338738,拉萨市林周县,拉萨市林周县边交林乡,16.0,15.3,0.0,2.0,33.3,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,江热夏乡,91.3514278,29.867864,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3170114063,12338739,拉萨市林周县,拉萨市林周县江热夏乡,16.0,16.2,0.0,2.0,34.2,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,阿朗乡,91.4922772,30.1107576,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3170158436,12338742,拉萨市林周县,拉萨市林周县阿朗乡,16.0,8.7,0.0,2.0,26.7,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,唐古乡,91.5164348,30.3032094,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,4,5,2,2,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,3,4,2,2,2709802672,12338743,拉萨市林周县,拉萨市林周县唐古乡,19.0,9.5,0.0,2.9,31.4,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,林周县,旁多乡,91.3335398,30.1927636,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4007731060,-1,拉萨市林周县,拉萨市林周县旁多乡,9.0,6.0,0.0,2.2,17.2,30.43,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,当雄县,当曲卡镇,91.1091957,30.4797191,1,4,2,7,31,3,0,1,0,0,3,2,1,1,4,3,30,4,7,1,2,2,4,16,3,0,0,0,0,0,0,1,1,0,2,8,4,3,4063021208,12338731,拉萨市当雄县,拉萨市当雄县当曲卡镇,18.0,28.0,4.0,10.8,60.8,42.0875,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,当雄县,羊八井镇,90.5363469,30.0979583,2,7,0,8,17,3,1,2,1,0,1,1,0,0,0,2,497,4,6,2,7,0,2,0,3,1,0,1,0,1,0,0,0,0,1,201,2,5,298093948,12338727,拉萨市当雄县,拉萨市当雄县羊八井镇,17.0,23.4,10.0,18.0,68.4,42.0875,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,当雄县,格达乡,90.3621147,29.8882322,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,2869567476,12338724,拉萨市当雄县,拉萨市当雄县格达乡,16.0,7.0,0.0,5.4,28.4,42.0875,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,当雄县,宁中乡,90.9131121,30.3785393,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3171519053,12338728,拉萨市当雄县,拉萨市当雄县宁中乡,16.0,10.9,0.0,2.4,29.299999999999997,42.0875,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,当雄县,公塘乡,91.1071211,30.487954,1,4,2,7,26,3,0,1,0,0,3,2,1,1,4,3,28,4,8,1,2,1,0,2,0,0,0,0,0,1,0,0,0,0,2,25,4,5,3170179635,12338732,拉萨市当雄县,拉萨市当雄县公塘乡,18.0,23.8,5.0,13.3,60.099999999999994,42.0875,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,当雄县,龙仁乡,91.2886031,30.528909,3,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2,3,2,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2709804567,12338733,拉萨市当雄县,拉萨市当雄县龙仁乡,17.0,11.1,0.0,2.4,30.5,42.0875,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,当雄县,乌玛塘乡,91.4031712,30.559541,1,0,1,1,5,2,0,1,0,0,0,0,0,0,0,1,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2709804752,12338729,拉萨市当雄县,拉萨市当雄县乌玛塘乡,16.0,13.6,0.0,2.4,32.0,42.0875,48.50153846153846,41.269472182596296
西藏自治区,拉萨市,当雄县,纳木湖乡,91.0858113,30.7330431,0,2,2,0,2,2,2,0,0,0,0,0,0,1,1,1,1,3,2,0,2,2,0,2,2,2,0,0,0,0,0,0,1,1,1,1,3,2,-2,12338730,拉萨市当雄县,拉萨市当雄县纳木湖乡,9.0,13.0,3.0,2.2,27.2,42.0875,48.50153846153846,41.269472182596296
