addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
云南省,昆明市,五华区,华山街道,102.704219,25.0550933,10,173,121,137,681,428,187,8,25,64,62,38,20,167,1639,42,2712,9,22,0,31,36,36,78,73,38,1,11,7,14,9,4,19,211,4,438,8,15,7012043097,10339990,昆明市五华区,昆明市五华区华山街道,20.0,30.0,30.0,20.0,100.0,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,五华区,护国街道,102.7104418,25.0429364,3,198,127,154,734,435,209,7,33,55,60,41,23,158,1508,47,2656,8,20,0,30,38,28,103,79,40,0,12,12,8,8,1,59,449,7,539,7,13,7012043098,10339991,昆明市五华区,昆明市五华区护国街道,20.0,30.0,30.0,20.0,100.0,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,五华区,大观街道,102.6958615,25.0416043,5,204,142,158,722,416,193,6,29,51,66,37,22,150,1615,51,2613,9,19,0,24,19,18,92,64,24,0,5,9,10,5,4,30,233,6,299,7,14,7012043093,10339985,昆明市五华区,昆明市五华区大观街道,20.0,30.0,30.0,20.0,100.0,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,五华区,龙翔街道,102.6873609,25.0521556,19,187,124,150,647,386,178,10,26,46,56,28,18,131,1381,38,2108,9,21,0,52,6,27,116,63,17,1,2,14,5,4,8,23,404,7,278,8,11,7012043100,10339993,昆明市五华区,昆明市五华区龙翔街道,20.0,30.0,30.0,20.0,100.0,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,五华区,丰宁街道,102.6782355,25.0622746,14,147,71,129,532,293,130,14,9,30,49,13,13,75,895,27,1412,9,20,2,16,8,10,98,44,25,3,0,5,5,1,3,9,173,5,177,9,10,7012043094,10339986,昆明市五华区,昆明市五华区丰宁街道,20.0,30.0,30.0,20.0,100.0,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,五华区,莲华街道,102.696989,25.0696246,17,159,79,125,584,319,140,12,16,43,43,25,16,95,1054,23,1684,9,20,0,9,7,17,54,48,25,0,0,1,5,2,1,7,98,1,307,8,15,7012043099,10339992,昆明市五华区,昆明市五华区莲华街道,20.0,30.0,30.0,20.0,100.0,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,五华区,红云街道,102.723825,25.1169099,8,16,40,57,260,58,32,4,1,1,14,5,0,2,11,10,776,9,20,0,4,4,6,36,4,3,0,0,0,2,0,0,0,0,1,71,8,7,7012043096,10339989,昆明市五华区,昆明市五华区红云街道,20.0,30.0,10.0,20.0,80.0,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,五华区,黑林铺街道,102.6523383,25.0670356,23,71,65,78,318,150,73,13,3,11,21,2,1,14,130,15,545,9,19,1,7,8,12,45,14,5,1,1,2,5,0,0,2,9,1,59,6,9,7012043095,10339988,昆明市五华区,昆明市五华区黑林铺街道,20.0,30.0,23.0,20.0,93.0,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,五华区,普吉街道,102.6687422,25.102321,41,25,20,76,151,67,25,10,1,2,9,3,0,0,10,11,116,9,19,0,7,3,23,31,19,7,2,0,1,1,1,0,0,0,5,10,5,10,7012043101,10339994,昆明市五华区,昆明市五华区普吉街道,20.0,30.0,20.0,20.0,90.0,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,五华区,西翥街道,102.6620209,25.1627432,0,2,10,11,84,0,0,0,0,1,0,1,0,0,0,8,5,8,11,0,0,7,2,25,0,0,0,0,0,0,1,0,0,0,3,0,7,5,7012043103,10339995,昆明市五华区,昆明市五华区西翥街道,20.0,24.0,5.0,8.5,57.5,92.05,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,拓东街道,102.724028,25.0414557,37,173,146,156,745,357,179,12,26,43,48,37,14,135,1080,45,2305,9,21,0,30,18,10,80,67,28,0,2,5,8,2,2,23,189,3,365,7,13,7011477183,10339255,昆明市盘龙区,昆明市盘龙区拓东街道,20.0,30.0,30.0,20.0,100.0,75.18333333333334,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,鼓楼街道,102.7218511,25.0511994,34,187,119,156,726,374,177,11,26,48,56,37,13,150,1153,42,2534,9,22,0,25,24,4,78,50,26,0,2,9,9,4,2,22,64,5,178,8,12,7011477175,10339249,昆明市盘龙区,昆明市盘龙区鼓楼街道,20.0,30.0,30.0,20.0,100.0,75.18333333333334,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,东华街道,102.7359767,25.0555172,44,137,105,100,606,244,132,10,11,31,31,19,7,77,528,27,1468,9,21,8,14,12,19,93,21,13,1,2,2,3,2,1,6,52,1,110,7,11,7011477174,10339248,昆明市盘龙区,昆明市盘龙区东华街道,20.0,30.0,30.0,20.0,100.0,75.18333333333334,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,联盟街道,102.7227596,25.066901,28,131,89,131,600,272,124,10,15,33,44,28,5,82,533,21,1653,9,20,8,19,8,9,90,36,13,1,0,7,4,1,0,12,74,3,371,7,13,7011477177,10339251,昆明市盘龙区,昆明市盘龙区联盟街道,20.0,30.0,28.0,20.0,98.0,75.18333333333334,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,金辰街道,102.740607,25.0869305,18,49,60,138,480,96,41,9,2,8,19,8,0,9,105,9,1083,9,21,0,7,6,28,72,12,8,0,1,2,5,0,0,1,14,1,86,7,12,7011477176,10339250,昆明市盘龙区,昆明市盘龙区金辰街道,20.0,30.0,23.0,20.0,93.0,75.18333333333334,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,青云街道,102.78081,25.0630193,22,0,29,28,133,28,17,3,0,0,2,0,0,0,11,6,174,9,16,0,0,4,2,24,0,0,1,0,0,0,0,0,0,1,1,2,5,8,7011477180,10339252,昆明市盘龙区,昆明市盘龙区青云街道,20.0,30.0,1.0,20.0,71.0,75.18333333333334,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,龙泉街道,102.778391,25.1449958,0,0,15,37,72,6,5,0,0,0,1,0,0,0,5,10,47,8,17,0,0,3,10,20,0,0,0,0,0,0,0,0,0,4,6,10,8,7,7011477178,6453444,昆明市盘龙区,昆明市盘龙区龙泉街道,20.0,28.0,4.0,13.7,65.7,75.18333333333334,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,茨坝街道,102.7437268,25.1641357,0,21,1,14,104,1,8,0,0,0,5,0,0,0,3,6,54,8,15,0,7,1,6,40,0,1,0,0,0,4,0,0,0,0,2,6,6,3,7011477182,6453445,昆明市盘龙区,昆明市盘龙区茨坝街道,20.0,28.0,5.0,14.0,67.0,75.18333333333334,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,双龙街道,102.8481348,25.1142082,0,0,12,24,69,0,3,2,0,0,0,0,0,0,1,8,7,7,8,0,0,5,1,5,0,1,1,0,0,0,0,0,0,0,3,1,5,2,3512272420,10339253,昆明市盘龙区,昆明市盘龙区双龙街道,20.0,28.0,0.0,8.8,56.8,75.18333333333334,57.03333333333333,39.91014695591323
云南省,昆明市,盘龙区,松华街道,102.7383821,25.246296,0,3,1,3,25,0,0,0,0,0,0,0,0,0,3,16,1,7,3,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,5,0,7011477181,10339254,昆明市盘龙区,昆明市盘龙区松华街道,20.0,20.3,0.0,3.1,43.4,75.18333333333334,57.03333333333333,39.91014695591323
