addr_1 addr_2 addr_3 addr_4 lon lat
安徽省 合肥市 瑶海区 明光路街道 117.3016267 31.8584716
安徽省 合肥市 瑶海区 胜利路街道 117.2963607 31.8650544
安徽省 合肥市 瑶海区 三里街街道 117.3136977 31.8750899
安徽省 合肥市 瑶海区 铜陵路街道 117.3182129 31.8725892
安徽省 合肥市 瑶海区 七里站街道 117.333556 31.8692886
安徽省 合肥市 瑶海区 红光街道 117.341491 31.8498879
安徽省 合肥市 瑶海区 和平路街道 117.3177203 31.8566082
安徽省 合肥市 瑶海区 城东街道 117.3417161 31.8405574
安徽省 合肥市 瑶海区 长淮街道 117.3032952 31.8739579
安徽省 合肥市 瑶海区 方庙街道 117.3388735 31.8809307
安徽省 合肥市 瑶海区 嘉山路街道 117.2895887 31.8835365
安徽省 合肥市 瑶海区 大兴镇 117.3690229 31.8378793
安徽省 合肥市 庐阳区 亳州路街道 117.2557442 31.8858434
安徽省 合肥市 庐阳区 双岗街道 117.279418 31.884627
安徽省 合肥市 庐阳区 杏林街道 117.285281 31.9024105
安徽省 合肥市 庐阳区 海棠街道 117.2654178 31.8950937
安徽省 合肥市 庐阳区 杏花村街道 117.2761514 31.9009147
安徽省 合肥市 庐阳区 逍遥津街道 117.2764234 31.860893
安徽省 合肥市 庐阳区 三孝口街道 117.2745448 31.8620983
安徽省 合肥市 庐阳区 四里河街道 117.2445661 31.8854854
安徽省 合肥市 庐阳区 大杨镇 117.2070249 31.9205545
安徽省 合肥市 庐阳区 三十岗乡 117.1198146 31.92983
安徽省 合肥市 蜀山区 三里庵街道 117.2510529 31.8567947
安徽省 合肥市 蜀山区 稻香村街道 117.2464777 31.8345145
安徽省 合肥市 蜀山区 琥珀街道 117.252651 31.8718388
安徽省 合肥市 蜀山区 南七街道 117.2572672 31.8298977
安徽省 合肥市 蜀山区 西园街道 117.2267517 31.8513986
安徽省 合肥市 蜀山区 五里墩街道 117.2453453 31.8549442
安徽省 合肥市 蜀山区 荷叶地街道 117.2353668 31.8240472
安徽省 合肥市 蜀山区 笔架山街道 117.2141056 31.8258623
安徽省 合肥市 蜀山区 井岗镇 117.1809615 31.8547401
安徽省 合肥市 蜀山区 南岗镇 117.1059572 31.8507821
安徽省 合肥市 蜀山区 小庙镇 117.0126428 31.8471621
安徽省 合肥市 包河区 骆岗街道 117.3222284 31.7811721
安徽省 合肥市 包河区 常青街道 117.2556807 31.8069791
安徽省 合肥市 包河区 芜湖路街道 117.2711135 31.8417597
安徽省 合肥市 包河区 包公街道 117.2856765 31.8408097
安徽省 合肥市 包河区 望湖街道 117.2918193 31.8109756
安徽省 合肥市 包河区 义城街道 117.3372974 31.7321857
安徽省 合肥市 包河区 烟墩街道 117.2747411 31.7302692
安徽省 合肥市 包河区 万年埠街道 117.2959515 31.7074668
安徽省 合肥市 包河区 同安街道 117.2944256 31.8216057
安徽省 合肥市 包河区 淝河镇 117.311526 31.8071731
安徽省 合肥市 包河区 大圩镇 117.370183 31.7752903
安徽省 合肥市 长丰县 水湖镇 117.16012 32.4799752
安徽省 合肥市 长丰县 庄墓镇 117.1214649 32.3494806
安徽省 合肥市 长丰县 杨庙镇 117.0819687 32.1993664
安徽省 合肥市 长丰县 吴山镇 117.0632197 32.0692776
安徽省 合肥市 长丰县 岗集镇 117.1825567 31.9483688
安徽省 合肥市 长丰县 双墩镇 117.2394595 32.0371402
安徽省 合肥市 长丰县 下塘镇 117.2102099 32.1949313
安徽省 合肥市 长丰县 朱巷镇 117.2151377 32.3246643
安徽省 合肥市 长丰县 陶楼镇 117.139572 32.1324987
安徽省 合肥市 长丰县 杜集镇 117.3414001 32.3655957
安徽省 合肥市 长丰县 义井镇 117.1026442 32.2988197
