addr_1 addr_2 addr_3 addr_4 lon lat
北京市 市辖区 东城区 东华门街道 116.4010966 39.9146633
北京市 市辖区 东城区 景山街道 116.4042521 39.9253805
北京市 市辖区 东城区 交道口街道 116.3947378 39.9342778
北京市 市辖区 东城区 安定门街道 116.4064504 39.9428961
北京市 市辖区 东城区 北新桥街道 116.4183336 39.9410338
北京市 市辖区 东城区 东四街道 116.4177314 39.9292472
北京市 市辖区 东城区 朝阳门街道 116.4242076 39.9193335
北京市 市辖区 东城区 建国门街道 116.4214716 39.9126556
北京市 市辖区 东城区 东直门街道 116.4358106 39.9293011
北京市 市辖区 东城区 和平里街道 116.4172666 39.9549059
北京市 市辖区 东城区 前门街道 116.4011136 39.8924273
北京市 市辖区 东城区 崇文门外街道 116.4207538 39.8933813
北京市 市辖区 东城区 东花市街道 116.425213 39.8977782
北京市 市辖区 东城区 龙潭街道 116.4316085 39.8855535
北京市 市辖区 东城区 体育馆路街道 116.4160921 39.8855494
北京市 市辖区 东城区 天坛街道 116.3928958 39.8878583
北京市 市辖区 东城区 永定门外街道 116.3962389 39.8642402
北京市 市辖区 西城区 西长安街街道 116.3768256 39.90303
北京市 市辖区 西城区 新街口街道 116.360461 39.9388031
北京市 市辖区 西城区 月坛街道 116.3384921 39.9135891
北京市 市辖区 西城区 展览路街道 116.3365418 39.9314654
北京市 市辖区 西城区 德胜街道 116.3751863 39.9527374
北京市 市辖区 西城区 金融街街道 116.3566423 39.9119229
北京市 市辖区 西城区 什刹海街道 116.3757239 39.9321325
北京市 市辖区 西城区 大栅栏街道 116.3869006 39.8915005
北京市 市辖区 西城区 天桥街道 116.3901422 39.8824304
北京市 市辖区 西城区 椿树街道 116.3731989 39.8925236
北京市 市辖区 西城区 陶然亭街道 116.3766002 39.8788313
北京市 市辖区 西城区 广安门内街道 116.3591744 39.8949816
北京市 市辖区 西城区 牛街街道 116.3577296 39.8859696
北京市 市辖区 西城区 白纸坊街道 116.3549643 39.8796153
北京市 市辖区 西城区 广安门外街道 116.3337873 39.877879
北京市 市辖区 朝阳区 建外街道 116.4468382 39.9056161
北京市 市辖区 朝阳区 朝外街道 116.4421434 39.9193547
北京市 市辖区 朝阳区 呼家楼街道 116.4607251 39.9211852
北京市 市辖区 朝阳区 三里屯街道 116.4408423 39.9362307
北京市 市辖区 朝阳区 左家庄街道 116.4449522 39.9481532
北京市 市辖区 朝阳区 香河园街道 116.4309359 39.9598185
北京市 市辖区 朝阳区 和平街街道 116.4107031 39.9649809
北京市 市辖区 朝阳区 安贞街道 116.3943717 39.9656728
北京市 市辖区 朝阳区 亚运村街道 116.4033686 39.9834831
北京市 市辖区 朝阳区 小关街道 116.4150488 39.985826
北京市 市辖区 朝阳区 酒仙桥街道 116.4854603 39.963118
北京市 市辖区 朝阳区 麦子店街道 116.4633651 39.9342183
北京市 市辖区 朝阳区 团结湖街道 116.4576958 39.9305557
北京市 市辖区 朝阳区 六里屯街道 116.4734307 39.9284345
北京市 市辖区 朝阳区 八里庄街道 116.473131 39.9138657
北京市 市辖区 朝阳区 双井街道 116.4604415 39.8954945
北京市 市辖区 朝阳区 劲松街道 116.4586017 39.8848649
北京市 市辖区 朝阳区 潘家园街道 116.4619292 39.8703288
北京市 市辖区 朝阳区 垡头街道 116.5038594 39.866872
北京市 市辖区 朝阳区 首都机场街道 116.5856596 40.0469407
北京市 市辖区 朝阳区 南磨房地区 116.50572 39.855849
北京市 市辖区 朝阳区 高碑店地区 116.532109 39.902884
北京市 市辖区 朝阳区 将台地区 116.4827033 39.9675119
北京市 市辖区 朝阳区 太阳宫地区 116.4358754 39.9724051
北京市 市辖区 朝阳区 大屯街道 116.4056397 39.9971794
北京市 市辖区 朝阳区 望京街道 116.4823568 39.9919555
北京市 市辖区 朝阳区 小红门地区 116.46233 39.832533
北京市 市辖区 朝阳区 十八里店地区 116.498679 39.844209
北京市 市辖区 朝阳区 平房地区 116.518559 39.924625
北京市 市辖区 朝阳区 东风地区 116.4993785 39.9370235
北京市 市辖区 朝阳区 奥运村街道 116.4067294 40.0250576
北京市 市辖区 朝阳区 来广营地区 116.4268052 40.0503701
北京市 市辖区 朝阳区 常营地区 116.5883355 39.922042
北京市 市辖区 朝阳区 三间房地区 116.575379 39.920668
北京市 市辖区 朝阳区 管庄地区 116.5900807 39.9087825
北京市 市辖区 朝阳区 金盏地区 116.568902 40.003503
北京市 市辖区 朝阳区 孙河地区 116.53563 40.037488
北京市 市辖区 朝阳区 崔各庄地区 116.50379 40.018067
北京市 市辖区 朝阳区 东坝地区 116.5277605 39.9640204
北京市 市辖区 朝阳区 黑庄户地区 116.596662 39.853324
北京市 市辖区 朝阳区 豆各庄地区 116.567218 39.871684
北京市 市辖区 朝阳区 王四营地区 116.529961 39.87855
北京市 市辖区 朝阳区 东湖街道 116.4682145 40.0023039
北京市 市辖区 丰台区 右安门街道 116.3603489 39.8557029
北京市 市辖区 丰台区 太平桥街道 116.3069815 39.8728977
北京市 市辖区 丰台区 西罗园街道 116.3775039 39.8621185
北京市 市辖区 丰台区 大红门街道 116.4012827 39.8374274
北京市 市辖区 丰台区 南苑街道 116.3712794 39.8076944
北京市 市辖区 丰台区 东高地街道 116.4153826 39.8066905
北京市 市辖区 丰台区 东铁匠营街道 116.4130944 39.8615397
北京市 市辖区 丰台区 六里桥街道 116.2753811 39.8690209
北京市 市辖区 丰台区 丰台街道 116.2808926 39.8479733
北京市 市辖区 丰台区 新村街道 116.3026291 39.8386232
北京市 市辖区 丰台区 长辛店街道 116.2044366 39.8251221
北京市 市辖区 丰台区 云岗街道 116.1574389 39.8097076
北京市 市辖区 丰台区 方庄街道 116.4211296 39.8600612
北京市 市辖区 丰台区 宛平街道 116.2315862 39.8390794
北京市 市辖区 丰台区 马家堡街道 116.3592631 39.8409725
北京市 市辖区 丰台区 和义街道 116.3947074 39.8082349
北京市 市辖区 丰台区 卢沟桥街道 116.2509575 39.8723718
北京市 市辖区 丰台区 花乡街道 116.2936189 39.8108303
北京市 市辖区 丰台区 成寿寺街道 116.4294446 39.8538481
北京市 市辖区 丰台区 石榴庄街道 116.4137844 39.8378453
北京市 市辖区 丰台区 玉泉营街道 116.3244503 39.8313091
北京市 市辖区 丰台区 看丹街道 116.2735997 39.8294297
