addr_1 addr_2 addr_3 addr_4 lon lat
甘肃省 兰州市 城关区 酒泉路街道 103.8310669 36.0499514
甘肃省 兰州市 城关区 张掖路街道 103.8196284 36.0617157
甘肃省 兰州市 城关区 雁南街道 103.8767704 36.0613868
甘肃省 兰州市 城关区 临夏路街道 103.8116283 36.0594324
甘肃省 兰州市 城关区 雁北街道 103.8767704 36.0613868
甘肃省 兰州市 城关区 五泉街道 103.8316598 36.0432592
甘肃省 兰州市 城关区 白银路街道 103.8201897 36.0521933
甘肃省 兰州市 城关区 皋兰路街道 103.8382105 36.0473755
甘肃省 兰州市 城关区 广武门街道 103.8428369 36.0555326
甘肃省 兰州市 城关区 伏龙坪街道 103.8081184 36.0509143
甘肃省 兰州市 城关区 靖远路街道 103.8258061 36.0712859
甘肃省 兰州市 城关区 草场街街道 103.8318227 36.0707663
甘肃省 兰州市 城关区 火车站街道 103.8654886 36.0261705
甘肃省 兰州市 城关区 拱星墩街道 103.9037049 36.0394505
甘肃省 兰州市 城关区 东岗街道 103.9105865 36.0474537
甘肃省 兰州市 城关区 团结新村街道 103.8650705 36.0385735
甘肃省 兰州市 城关区 东岗西路街道 103.8483457 36.0477617
甘肃省 兰州市 城关区 铁路东村街道 103.8395902 36.0367915
甘肃省 兰州市 城关区 铁路西村街道 103.8309862 36.0357604
甘肃省 兰州市 城关区 渭源路街道 103.8641249 36.0559333
甘肃省 兰州市 城关区 盐场路街道 103.8367343 36.0705771
甘肃省 兰州市 城关区 嘉峪关路街道 103.8780651 36.0395707
甘肃省 兰州市 城关区 焦家湾街道 103.8960041 36.0389873
甘肃省 兰州市 城关区 青白石街道 103.9028205 36.0716825
甘肃省 兰州市 城关区 雁园街道 103.8824981 36.0662245
甘肃省 兰州市 七里河区 西园街道 103.793553 36.060683
甘肃省 兰州市 七里河区 西湖街道 103.785026 36.064516
甘肃省 兰州市 七里河区 建兰路街道 103.7701771 36.0708761
甘肃省 兰州市 七里河区 敦煌路街道 103.765299 36.075299
甘肃省 兰州市 七里河区 西站街道 103.763087 36.067596
甘肃省 兰州市 七里河区 晏家坪街道 103.785026 36.064516
甘肃省 兰州市 七里河区 龚家湾街道 103.785026 36.064516
