addr_1 addr_2 addr_3 addr_4 lon lat
广东省 广州市 荔湾区 沙面街道 113.2429491 23.1099395
广东省 广州市 荔湾区 岭南街道 113.242414 23.1127136
广东省 广州市 荔湾区 华林街道 113.243446 23.11782
广东省 广州市 荔湾区 多宝街道 113.2348478 23.115755
广东省 广州市 荔湾区 昌华街道 113.2304352 23.1181703
广东省 广州市 荔湾区 逢源街道 113.2375646 23.1261527
广东省 广州市 荔湾区 龙津街道 113.243283 23.1254374
广东省 广州市 荔湾区 金花街道 113.2443988 23.1303213
广东省 广州市 荔湾区 彩虹街道 113.2326883 23.1317667
广东省 广州市 荔湾区 南源街道 113.2292631 23.1404438
广东省 广州市 荔湾区 西村街道 113.2347751 23.1472608
广东省 广州市 荔湾区 站前街道 113.2425106 23.1426143
广东省 广州市 荔湾区 桥中街道 113.2197009 23.1230363
广东省 广州市 荔湾区 白鹤洞街道 113.2414001 23.0819969
广东省 广州市 荔湾区 冲口街道 113.2415825 23.0881211
广东省 广州市 荔湾区 花地街道 113.2289439 23.1014171
广东省 广州市 荔湾区 石围塘街道 113.2073518 23.1142336
广东省 广州市 荔湾区 茶滘街道 113.22126 23.0916668
广东省 广州市 荔湾区 东漖街道 113.2239331 23.0844128
广东省 广州市 荔湾区 海龙街道 113.2075238 23.0755665
广东省 广州市 荔湾区 东沙街道 113.2389003 23.0581737
广东省 广州市 荔湾区 中南街道 113.2157528 23.0548963
广东省 广州市 越秀区 洪桥街道 113.2647885 23.1367126
广东省 广州市 越秀区 北京街道 113.2655855 23.1309415
广东省 广州市 越秀区 六榕街道 113.2546948 23.1314126
广东省 广州市 越秀区 流花街道 113.2579938 23.1520514
广东省 广州市 越秀区 光塔街道 113.256038 23.124889
广东省 广州市 越秀区 人民街道 113.2564395 23.1174792
广东省 广州市 越秀区 东山街道 113.2908938 23.1225552
广东省 广州市 越秀区 农林街道 113.294133 23.126442
广东省 广州市 越秀区 梅花村街道 113.3040541 23.1319283
广东省 广州市 越秀区 黄花岗街道 113.3045815 23.1405741
广东省 广州市 越秀区 华乐街道 113.2803344 23.1440554
广东省 广州市 越秀区 建设街道 113.284023 23.134233
广东省 广州市 越秀区 大塘街道 113.2756318 23.1318611
广东省 广州市 越秀区 珠光街道 113.2667949 23.1210587
广东省 广州市 越秀区 大东街道 113.2789442 23.126081
广东省 广州市 越秀区 白云街道 113.2789878 23.1219173
广东省 广州市 越秀区 登峰街道 113.2744468 23.1468507
广东省 广州市 越秀区 矿泉街道 113.2416275 23.166587
广东省 广州市 海珠区 赤岗街道 113.3025974 23.1014788
广东省 广州市 海珠区 新港街道 113.2900262 23.1027363
广东省 广州市 海珠区 昌岗街道 113.2804209 23.0914076
广东省 广州市 海珠区 江南中街道 113.2658109 23.0950789
广东省 广州市 海珠区 滨江街道 113.2774758 23.1099309
广东省 广州市 海珠区 素社街道 113.2703519 23.1057616
广东省 广州市 海珠区 海幢街道 113.2557606 23.1070986
广东省 广州市 海珠区 南华西街道 113.2467797 23.1071214
广东省 广州市 海珠区 龙凤街道 113.2503478 23.0972905
广东省 广州市 海珠区 沙园街道 113.2607871 23.0879681
广东省 广州市 海珠区 南石头街道 113.2676482 23.0781229
广东省 广州市 海珠区 凤阳街道 113.2825935 23.0791494
广东省 广州市 海珠区 瑞宝街道 113.2913107 23.0695405
广东省 广州市 海珠区 江海街道 113.3308243 23.0871767
广东省 广州市 海珠区 琶洲街道 113.3348402 23.1008225
广东省 广州市 海珠区 南洲街道 113.2968199 23.0676996
广东省 广州市 海珠区 华洲街道 113.33929 23.077664
广东省 广州市 海珠区 官洲街道 113.3655891 23.0856093
广东省 广州市 天河区 五山街道 113.3480942 23.155023
广东省 广州市 天河区 员村街道 113.36045 23.1224
广东省 广州市 天河区 车陂街道 113.3942657 23.1158901
广东省 广州市 天河区 沙河街道 113.3056485 23.1529739
广东省 广州市 天河区 石牌街道 113.3344145 23.1422138
广东省 广州市 天河区 沙东街道 113.311231 23.1652338
广东省 广州市 天河区 天河南街道 113.3213303 23.1321875
广东省 广州市 天河区 林和街道 113.3171057 23.1493559
广东省 广州市 天河区 兴华街道 113.326391 23.165153
广东省 广州市 天河区 棠下街道 113.3812546 23.1354702
广东省 广州市 天河区 天园街道 113.363898 23.1265278
广东省 广州市 天河区 猎德街道 113.3323766 23.1171308
广东省 广州市 天河区 冼村街道 113.3139924 23.1261469
广东省 广州市 天河区 元岗街道 113.3348087 23.175818
广东省 广州市 天河区 黄村街道 113.40251 23.12884
广东省 广州市 天河区 长兴街道 113.3525755 23.1706017
广东省 广州市 天河区 龙洞街道 113.3648822 23.2032217
广东省 广州市 天河区 凤凰街道 113.3809786 23.2007167
广东省 广州市 天河区 前进街道 113.4054237 23.114222
广东省 广州市 天河区 珠吉街道 113.419628 23.1215618
广东省 广州市 天河区 新塘街道 113.4018301 23.154189
广东省 广州市 白云区 三元里街道 113.2584077 23.1635133
广东省 广州市 白云区 松洲街道 113.2208061 23.1721236
广东省 广州市 白云区 景泰街道 113.2669167 23.1703279
广东省 广州市 白云区 同德街道 113.232618 23.1730115
广东省 广州市 白云区 黄石街道 113.2672122 23.2097312
广东省 广州市 白云区 棠景街道 113.2467772 23.1825491
广东省 广州市 白云区 新市街道 113.251165 23.2018868
广东省 广州市 白云区 同和街道 113.3194995 23.1998005
广东省 广州市 白云区 京溪街道 113.3329868 23.191336
广东省 广州市 白云区 永平街道 113.3087982 23.2521559
广东省 广州市 白云区 嘉禾街道 113.2828244 23.2529491
广东省 广州市 白云区 均禾街道 113.2762098 23.2586954
广东省 广州市 白云区 石井街道 113.2213456 23.2130217
广东省 广州市 白云区 金沙街道 113.1994665 23.1573476
广东省 广州市 白云区 云城街道 113.2595372 23.2013651
广东省 广州市 白云区 鹤龙街道 113.265511 23.2173572
广东省 广州市 白云区 白云湖街道 113.2454267 23.2385832
广东省 广州市 白云区 石门街道 113.2112152 23.232412
广东省 广州市 白云区 龙归街道 113.314501 23.2800329
广东省 广州市 白云区 大源街道 113.3569129 23.2948862
广东省 广州市 白云区 人和镇 113.2930111 23.3371532
广东省 广州市 白云区 太和镇 113.3502975 23.2948351
广东省 广州市 白云区 钟落潭镇 113.3990248 23.3877366
广东省 广州市 白云区 江高镇 113.2293556 23.2932926
广东省 广州市 黄埔区 黄埔街道 113.4420796 23.0979038
广东省 广州市 黄埔区 红山街道 113.4697149 23.0975843
广东省 广州市 黄埔区 鱼珠街道 113.4238238 23.0995787
广东省 广州市 黄埔区 大沙街道 113.446979 23.1096712
广东省 广州市 黄埔区 文冲街道 113.4633062 23.1038097
广东省 广州市 黄埔区 穗东街道 113.5133299 23.0852539
广东省 广州市 黄埔区 南岗街道 113.5368085 23.1012976
广东省 广州市 黄埔区 长洲街道 113.4140809 23.0758223
广东省 广州市 黄埔区 夏港街道 113.5239193 23.0673568
广东省 广州市 黄埔区 萝岗街道 113.5058551 23.1779631
广东省 广州市 黄埔区 云埔街道 113.5283753 23.1306472
广东省 广州市 黄埔区 联和街道 113.4351798 23.1937314
广东省 广州市 黄埔区 永和街道 113.5604787 23.1949647
广东省 广州市 黄埔区 长岭街道 113.4752696 23.1924274
广东省 广州市 黄埔区 九佛街道 113.4922207 23.3837832
广东省 广州市 黄埔区 龙湖街道 113.5153083 23.3557717
广东省 广州市 黄埔区 新龙镇 113.5771626 23.284518
广东省 广州市 番禺区 市桥街道 113.3611754 22.9508287
广东省 广州市 番禺区 沙头街道 113.3190787 22.9361138
广东省 广州市 番禺区 东环街道 113.3580279 22.9706823
广东省 广州市 番禺区 桥南街道 113.3659834 22.930344
广东省 广州市 番禺区 小谷围街道 113.392648 23.0471409
