addr_1 addr_2 addr_3 addr_4 lon lat
贵州省 贵阳市 南明区 新华路街道 106.708202 26.550093
贵州省 贵阳市 南明区 西湖路街道 106.708202 26.550093
贵州省 贵阳市 南明区 水口寺街道 106.708202 26.550093
贵州省 贵阳市 南明区 中华南路街道 106.708202 26.550093
贵州省 贵阳市 南明区 河滨街道 106.70168 26.568806
贵州省 贵阳市 南明区 遵义路街道 106.708202 26.550093
贵州省 贵阳市 南明区 兴关路街道 106.712531 26.563235
贵州省 贵阳市 南明区 沙冲路街道 106.691245 26.543099
贵州省 贵阳市 南明区 望城街道 106.708202 26.550093
贵州省 贵阳市 南明区 太慈桥街道 106.708202 26.550093
贵州省 贵阳市 南明区 湘雅街道 106.689172 26.568032
贵州省 贵阳市 南明区 油榨街道 106.727797 26.562978
贵州省 贵阳市 南明区 中曹司街道 106.679453 26.526384
贵州省 贵阳市 南明区 二戈街道 106.73319 26.510907
贵州省 贵阳市 南明区 龙洞堡街道 106.708202 26.550093
贵州省 贵阳市 南明区 花果园街道 106.708202 26.550093
贵州省 贵阳市 南明区 小车河街道 106.708202 26.550093
贵州省 贵阳市 南明区 五里冲街道 106.708202 26.550093
贵州省 贵阳市 南明区 兰花都街道 106.67819 26.555697
贵州省 贵阳市 南明区 后巢乡 106.701026 26.551774
贵州省 贵阳市 南明区 云关乡 106.725975 26.561126
贵州省 贵阳市 南明区 小碧布依族苗族乡 106.79235 26.525977
贵州省 贵阳市 南明区 永乐乡 106.8692808 26.6012309
贵州省 贵阳市 云岩区 大营路街道 106.718675 26.597371
贵州省 贵阳市 云岩区 黔灵东路街道 106.727074 26.587579
贵州省 贵阳市 云岩区 文昌阁街道 106.71152 26.581956
贵州省 贵阳市 云岩区 盐务街街道 106.711319 26.59962
贵州省 贵阳市 云岩区 普陀路街道 106.710101 26.593918
贵州省 贵阳市 云岩区 八鸽岩街道 106.708084 26.597858
贵州省 贵阳市 云岩区 毓秀路街道 106.711077 26.588886
贵州省 贵阳市 云岩区 威清门街道 106.702009 26.584939
贵州省 贵阳市 云岩区 市西河街道 106.693725 26.575963
贵州省 贵阳市 云岩区 头桥街道 106.69036 26.583274
贵州省 贵阳市 云岩区 三桥路街道 106.678133 26.393977
贵州省 贵阳市 云岩区 马王街道 106.656267 26.589982
贵州省 贵阳市 云岩区 金关街道 106.648159 26.576616
贵州省 贵阳市 云岩区 茶园路街道 106.623841 26.596739
贵州省 贵阳市 云岩区 杨惠街道 106.610896 26.589619
贵州省 贵阳市 云岩区 渔安街道 106.743062 26.584513
贵州省 贵阳市 云岩区 水东路街道 106.766077 26.603697
贵州省 贵阳市 云岩区 黔灵镇 106.7246195 26.6160366
贵州省 贵阳市 花溪区 贵筑街道 106.661101 26.422528
贵州省 贵阳市 花溪区 阳光街道 106.671824 26.42785
贵州省 贵阳市 花溪区 清溪街道 106.678133 26.393977
贵州省 贵阳市 花溪区 溪北街道 106.658578 26.43575
贵州省 贵阳市 花溪区 黄河路街道 106.694303 26.515672
贵州省 贵阳市 花溪区 平桥街道 106.69314 26.5099198
贵州省 贵阳市 花溪区 小孟街道 106.6998901 26.4813147
贵州省 贵阳市 花溪区 金筑街道 106.65 26.4971
贵州省 贵阳市 花溪区 党武街道 106.5923071 26.3866813
贵州省 贵阳市 花溪区 青岩镇 106.6878529 26.3376009
贵州省 贵阳市 花溪区 石板镇 106.5999712 26.4629999
贵州省 贵阳市 花溪区 麦坪镇 106.5417353 26.4828199
贵州省 贵阳市 花溪区 燕楼镇 106.617 26.3274
贵州省 贵阳市 花溪区 孟关苗族布依族乡 106.744 26.4125
贵州省 贵阳市 花溪区 湖潮苗族布依族乡 106.5280215 26.4486864
贵州省 贵阳市 花溪区 久安乡 106.587 26.5203
贵州省 贵阳市 花溪区 高坡苗族乡 106.8091181 26.3002603
贵州省 贵阳市 花溪区 黔陶布依族苗族乡 106.7408751 26.3421781
贵州省 贵阳市 花溪区 马铃布依族苗族乡 106.582 26.2779
贵州省 贵阳市 乌当区 观溪路街道 106.760871 26.634036
贵州省 贵阳市 乌当区 新光路街道 106.761527 26.627663
贵州省 贵阳市 乌当区 新创路街道 106.772051 26.631289
贵州省 贵阳市 乌当区 龙广路街道 106.766213 26.635628
贵州省 贵阳市 乌当区 高新路街道 106.77184 26.631394
贵州省 贵阳市 乌当区 东风镇 106.8138499 26.6436455
贵州省 贵阳市 乌当区 水田镇 106.818839 26.7491775
贵州省 贵阳市 乌当区 羊昌镇 106.8839883 26.8356769
贵州省 贵阳市 乌当区 下坝镇 106.9239331 26.7218728
贵州省 贵阳市 乌当区 新场镇 106.770165 26.628669
贵州省 贵阳市 乌当区 百宜镇 106.9762124 26.8340938
贵州省 贵阳市 乌当区 新堡布依族乡 106.8583103 26.7928809
贵州省 贵阳市 乌当区 偏坡布依族乡 106.9235748 26.6562661
贵州省 贵阳市 白云区 泉湖街道 106.628116 26.690287
贵州省 贵阳市 白云区 大山洞街道 106.628116 26.690287
贵州省 贵阳市 白云区 云城街道 106.652693 26.677513
贵州省 贵阳市 白云区 龚家寨街道 106.652693 26.677513
贵州省 贵阳市 白云区 都拉营街道 106.652693 26.677513
贵州省 贵阳市 白云区 艳山红镇 106.610427 26.669699
贵州省 贵阳市 白云区 麦架镇 106.618 26.7257
贵州省 贵阳市 白云区 沙文镇 106.6877655 26.7323673
贵州省 贵阳市 白云区 都拉布依族乡 106.704534 26.691415
贵州省 贵阳市 白云区 牛场布依族乡 106.736 26.7576
贵州省 贵阳市 观山湖区 宾阳街道 106.607468 26.605902
贵州省 贵阳市 观山湖区 云潭街道 106.608783 26.652371
贵州省 贵阳市 观山湖区 金华园街道 106.634971 26.647418
贵州省 贵阳市 观山湖区 长岭街道 106.646738 26.623074
贵州省 贵阳市 观山湖区 观山街道 106.646738 26.623074
贵州省 贵阳市 观山湖区 世纪城街道 106.633217 26.60326
贵州省 贵阳市 观山湖区 金阳街道 106.659475 26.612594
贵州省 贵阳市 观山湖区 金华镇 106.571 26.5849
贵州省 贵阳市 观山湖区 朱昌镇 106.5477959 26.6598517
