addr_1 addr_2 addr_3 addr_4 lon lat
海南省 海口市 秀英区 秀英街道 110.2641347 20.0059782
海南省 海口市 秀英区 海秀街道 110.2605915 20.0140204
海南省 海口市 秀英区 长流镇 110.202214 20.014491
海南省 海口市 秀英区 西秀镇 110.1663755 20.0056745
海南省 海口市 秀英区 海秀镇 110.2844846 19.9946135
海南省 海口市 秀英区 石山镇 110.2052742 19.9392711
海南省 海口市 秀英区 永兴镇 110.2631979 19.8936046
海南省 海口市 秀英区 东山镇 110.2348052 19.7515732
海南省 海口市 龙华区 中山街道 110.3411275 20.0402563
海南省 海口市 龙华区 滨海街道 110.3210807 20.038495
海南省 海口市 龙华区 金贸街道 110.3129107 20.028874
海南省 海口市 龙华区 大同街道 110.3283709 20.0276971
海南省 海口市 龙华区 海垦街道 110.3014147 20.00219
海南省 海口市 龙华区 金宇街道 110.3163332 20.0020539
海南省 海口市 龙华区 城西镇 110.3319583 19.9993524
海南省 海口市 龙华区 龙桥镇 110.3611025 19.9219374
海南省 海口市 龙华区 新坡镇 110.362907 19.7774561
海南省 海口市 龙华区 遵谭镇 110.3012752 19.8140095
海南省 海口市 龙华区 龙泉镇 110.3597474 19.8554992
海南省 海口市 琼山区 国兴街道 110.359675 20.0135504
海南省 海口市 琼山区 府城街道 110.3492063 20.0050129
海南省 海口市 琼山区 滨江街道 110.3796467 19.9905503
海南省 海口市 琼山区 凤翔街道 110.3470525 19.9896278
海南省 海口市 琼山区 龙塘镇 110.4114416 19.8853002
海南省 海口市 琼山区 云龙镇 110.4679127 19.8753755
海南省 海口市 琼山区 红旗镇 110.5077365 19.8204013
海南省 海口市 琼山区 三门坡镇 110.558052 19.716546
海南省 海口市 琼山区 大坡镇 110.5642667 19.6290002
海南省 海口市 琼山区 甲子镇 110.4942701 19.6087804
海南省 海口市 琼山区 旧州镇 110.4072547 19.7632
海南省 海口市 美兰区 海府街道 110.3477043 20.0301163
海南省 海口市 美兰区 蓝天街道 110.3543508 20.0268075
海南省 海口市 美兰区 博爱街道 110.3447217 20.044482
海南省 海口市 美兰区 海甸街道 110.3524572 20.0616153
海南省 海口市 美兰区 人民街道 110.334651 20.0556435
海南省 海口市 美兰区 白龙街道 110.3619522 20.0309655
海南省 海口市 美兰区 和平南街道 110.3528863 20.037603
海南省 海口市 美兰区 白沙街道 110.353927 20.0472335
海南省 海口市 美兰区 新埠街道 110.360322 20.0552473
海南省 海口市 美兰区 灵山镇 110.4296775 19.9664583
海南省 海口市 美兰区 演丰镇 110.5563411 19.9522732
海南省 海口市 美兰区 三江镇 110.601024 19.880616
海南省 海口市 美兰区 大致坡镇 110.6831605 19.802294
海南省 三亚市 海棠区 海棠区 109.7483584 18.4020254
海南省 三亚市 吉阳区 吉阳区 109.5742278 18.2829459
海南省 三亚市 天涯区 天涯区 109.4481593 18.3011325
海南省 三亚市 崖州区 崖州区 109.167372 18.359129
海南省 儋州市 儋州市 那大镇 109.5424275 19.5167948
海南省 儋州市 儋州市 和庆镇 109.6367984 19.5271355
海南省 儋州市 儋州市 南丰镇 109.5477358 19.4198354
海南省 儋州市 儋州市 大成镇 109.3952862 19.509798
海南省 儋州市 儋州市 雅星镇 109.2650666 19.4462757
海南省 儋州市 儋州市 兰洋镇 109.6598637 19.4619177
海南省 儋州市 儋州市 光村镇 109.4771472 19.8200519
海南省 儋州市 儋州市 木棠镇 109.345846 19.805749
海南省 儋州市 儋州市 海头镇 108.9494656 19.5048999
海南省 儋州市 儋州市 峨蔓镇 109.2632178 19.8566891
海南省 儋州市 儋州市 王五镇 109.2916134 19.6554899
海南省 儋州市 儋州市 白马井镇 109.2148397 19.698303
海南省 儋州市 儋州市 中和镇 109.3452361 19.7457692
海南省 儋州市 儋州市 排浦镇 109.1592447 19.640315
海南省 儋州市 儋州市 东成镇 109.457151 19.70564
海南省 儋州市 儋州市 新州镇 109.3120471 19.7161532
海南省 省直辖县级行政区划 五指山市 通什镇 109.5129964 18.778524
海南省 省直辖县级行政区划 五指山市 南圣镇 109.5881243 18.7399142
海南省 省直辖县级行政区划 五指山市 毛阳镇 109.5281232 18.9406237
海南省 省直辖县级行政区划 五指山市 番阳镇 109.3942702 18.8773362
海南省 省直辖县级行政区划 五指山市 畅好乡 109.4782358 18.7371218
海南省 省直辖县级行政区划 五指山市 毛道乡 109.4058466 18.7933804
海南省 省直辖县级行政区划 五指山市 水满乡 109.6588899 18.8852224
海南省 省直辖县级行政区划 琼海市 嘉积镇 110.4575005 19.242508
海南省 省直辖县级行政区划 琼海市 万泉镇 110.4063214 19.245657
海南省 省直辖县级行政区划 琼海市 石壁镇 110.3039789 19.164926
海南省 省直辖县级行政区划 琼海市 中原镇 110.467589 19.147874
海南省 省直辖县级行政区划 琼海市 博鳌镇 110.5816874 19.163968
海南省 省直辖县级行政区划 琼海市 阳江镇 110.3438882 19.1015495
海南省 省直辖县级行政区划 琼海市 龙江镇 110.3215206 19.148746
海南省 省直辖县级行政区划 琼海市 潭门镇 110.611507 19.243559
海南省 省直辖县级行政区划 琼海市 塔洋镇 110.5047643 19.290066
海南省 省直辖县级行政区划 琼海市 长坡镇 110.607734 19.3422034
海南省 省直辖县级行政区划 琼海市 大路镇 110.4701568 19.383632
海南省 省直辖县级行政区划 琼海市 会山镇 110.261029 19.069405
海南省 省直辖县级行政区划 文昌市 文城镇 110.7497889 19.6139589
海南省 省直辖县级行政区划 文昌市 重兴镇 110.595562 19.413172
海南省 省直辖县级行政区划 文昌市 蓬莱镇 110.5361209 19.5370197
海南省 省直辖县级行政区划 文昌市 会文镇 110.724644 19.463367
海南省 省直辖县级行政区划 文昌市 东路镇 110.6786571 19.7408421
海南省 省直辖县级行政区划 文昌市 潭牛镇 110.7320609 19.7122376
海南省 省直辖县级行政区划 文昌市 东阁镇 110.838205 19.645635
海南省 省直辖县级行政区划 文昌市 文教镇 110.90782 19.66768
海南省 省直辖县级行政区划 文昌市 东郊镇 110.856197 19.576958
海南省 省直辖县级行政区划 文昌市 龙楼镇 110.9646045 19.6537718
海南省 省直辖县级行政区划 文昌市 昌洒镇 110.900498 19.76179
海南省 省直辖县级行政区划 文昌市 翁田镇 110.8736325 19.9325281
海南省 省直辖县级行政区划 文昌市 抱罗镇 110.7461072 19.8434544
海南省 省直辖县级行政区划 文昌市 冯坡镇 110.776567 19.967965
海南省 省直辖县级行政区划 文昌市 锦山镇 110.6913806 20.0015346
海南省 省直辖县级行政区划 文昌市 铺前镇 110.5772707 20.0273831
海南省 省直辖县级行政区划 文昌市 公坡镇 110.8040821 19.7913779
海南省 省直辖县级行政区划 万宁市 万城镇 110.3966948 18.7974862
海南省 省直辖县级行政区划 万宁市 龙滚镇 110.5134006 19.0610246
海南省 省直辖县级行政区划 万宁市 和乐镇 110.4727316 18.9051812
海南省 省直辖县级行政区划 万宁市 后安镇 110.4453775 18.8662618
海南省 省直辖县级行政区划 万宁市 大茂镇 110.3925025 18.849782
海南省 省直辖县级行政区划 万宁市 东澳镇 110.3990603 18.7168565
海南省 省直辖县级行政区划 万宁市 礼纪镇 110.3150815 18.7510842
海南省 省直辖县级行政区划 万宁市 长丰镇 110.3217776 18.803769
海南省 省直辖县级行政区划 万宁市 山根镇 110.482294 18.969483
海南省 省直辖县级行政区划 万宁市 北大镇 110.330788 18.924164
海南省 省直辖县级行政区划 万宁市 南桥镇 110.1549554 18.6839417
海南省 省直辖县级行政区划 万宁市 三更罗镇 110.180507 18.863063
海南省 省直辖县级行政区划 东方市 八所镇 108.6397541 19.1004852
海南省 省直辖县级行政区划 东方市 东河镇 108.9395416 19.0491769
海南省 省直辖县级行政区划 东方市 大田镇 108.821062 19.1085673
海南省 省直辖县级行政区划 东方市 感城镇 108.640365 18.851571
海南省 省直辖县级行政区划 东方市 板桥镇 108.689541 18.79478
海南省 省直辖县级行政区划 东方市 三家镇 108.7575136 19.2441357
海南省 省直辖县级行政区划 东方市 四更镇 108.6778429 19.2262199
海南省 省直辖县级行政区划 东方市 新龙镇 108.684686 18.952575
海南省 省直辖县级行政区划 东方市 天安乡 108.908839 19.019871
海南省 省直辖县级行政区划 东方市 江边乡 108.9732599 18.8966539
海南省 省直辖县级行政区划 定安县 定城镇 110.323769 19.6997478
海南省 省直辖县级行政区划 定安县 新竹镇 110.206504 19.621577
海南省 省直辖县级行政区划 定安县 龙湖镇 110.397491 19.57642
海南省 省直辖县级行政区划 定安县 黄竹镇 110.4412982 19.4766281
海南省 省直辖县级行政区划 定安县 雷鸣镇 110.3216747 19.5560961
海南省 省直辖县级行政区划 定安县 龙门镇 110.3263378 19.4455101
海南省 省直辖县级行政区划 定安县 龙河镇 110.2135574 19.3831313
海南省 省直辖县级行政区划 定安县 岭口镇 110.3038135 19.3451588
海南省 省直辖县级行政区划 定安县 翰林镇 110.2585445 19.333483
海南省 省直辖县级行政区划 定安县 富文镇 110.2578752 19.5531383
海南省 省直辖县级行政区划 屯昌县 屯城镇 110.0957964 19.357786
海南省 省直辖县级行政区划 屯昌县 新兴镇 110.1777234 19.5110509
海南省 省直辖县级行政区划 屯昌县 枫木镇 110.0098194 19.210943
海南省 省直辖县级行政区划 屯昌县 乌坡镇 110.0707224 19.1812883
海南省 省直辖县级行政区划 屯昌县 南吕镇 110.0769138 19.2509887
海南省 省直辖县级行政区划 屯昌县 南坤镇 109.9460752 19.3187322
海南省 省直辖县级行政区划 屯昌县 坡心镇 110.089992 19.307854
海南省 省直辖县级行政区划 屯昌县 西昌镇 110.0409347 19.4352108
海南省 省直辖县级行政区划 澄迈县 金江镇 110.0056865 19.7383584
海南省 省直辖县级行政区划 澄迈县 老城镇 110.11647 19.945385
海南省 省直辖县级行政区划 澄迈县 瑞溪镇 110.1247455 19.735498
海南省 省直辖县级行政区划 澄迈县 永发镇 110.194837 19.748335
海南省 省直辖县级行政区划 澄迈县 加乐镇 109.9965978 19.5868237
海南省 省直辖县级行政区划 澄迈县 文儒镇 110.0553703 19.5381944
海南省 省直辖县级行政区划 澄迈县 中兴镇 109.85419 19.5694809
海南省 省直辖县级行政区划 澄迈县 仁兴镇 109.893303 19.504041
海南省 省直辖县级行政区划 澄迈县 福山镇 109.9260761 19.8375397
海南省 省直辖县级行政区划 澄迈县 桥头镇 109.9270444 19.9630681
海南省 省直辖县级行政区划 澄迈县 大丰镇 110.038147 19.855536
海南省 省直辖县级行政区划 临高县 临城镇 109.6843135 19.9086497
海南省 省直辖县级行政区划 临高县 波莲镇 109.650246 19.869187
海南省 省直辖县级行政区划 临高县 东英镇 109.648634 19.959022
海南省 省直辖县级行政区划 临高县 博厚镇 109.745762 19.883721
海南省 省直辖县级行政区划 临高县 皇桐镇 109.846393 19.832887
海南省 省直辖县级行政区划 临高县 多文镇 109.7654235 19.7751442
海南省 省直辖县级行政区划 临高县 和舍镇 109.720752 19.597343
海南省 省直辖县级行政区划 临高县 南宝镇 109.5922039 19.6805842
海南省 省直辖县级行政区划 临高县 新盈镇 109.536349 19.89513
海南省 省直辖县级行政区划 临高县 调楼镇 109.5424434 19.9312613
海南省 省直辖县级行政区划 白沙黎族自治县 牙叉镇 109.4454011 19.2260317
海南省 省直辖县级行政区划 白沙黎族自治县 七坊镇 109.235744 19.299924
海南省 省直辖县级行政区划 白沙黎族自治县 邦溪镇 109.09786 19.370636
海南省 省直辖县级行政区划 白沙黎族自治县 打安镇 109.368541 19.285349
海南省 省直辖县级行政区划 白沙黎族自治县 细水乡 109.561383 19.206635
海南省 省直辖县级行政区划 白沙黎族自治县 元门乡 109.4832467 19.159638
海南省 省直辖县级行政区划 白沙黎族自治县 南开乡 109.4099885 19.0794223
海南省 省直辖县级行政区划 白沙黎族自治县 阜龙乡 109.4563234 19.3245123
海南省 省直辖县级行政区划 白沙黎族自治县 青松乡 109.270939 19.155189
海南省 省直辖县级行政区划 白沙黎族自治县 金波乡 109.1720734 19.2381023
海南省 省直辖县级行政区划 白沙黎族自治县 荣邦乡 109.173431 19.414339
海南省 省直辖县级行政区划 昌江黎族自治县 石碌镇 109.0473774 19.2599196
海南省 省直辖县级行政区划 昌江黎族自治县 叉河镇 108.954452 19.2417014
海南省 省直辖县级行政区划 昌江黎族自治县 十月田镇 108.952224 19.328109
海南省 省直辖县级行政区划 昌江黎族自治县 乌烈镇 108.793947 19.288485
海南省 省直辖县级行政区划 昌江黎族自治县 昌化镇 108.6772033 19.3311602
海南省 省直辖县级行政区划 昌江黎族自治县 海尾镇 108.8151348 19.4238715
海南省 省直辖县级行政区划 昌江黎族自治县 七叉镇 109.0672543 19.1165786
海南省 省直辖县级行政区划 昌江黎族自治县 王下乡 109.14213 19.0065471
海南省 省直辖县级行政区划 乐东黎族自治县 抱由镇 109.1694923 18.751684
海南省 省直辖县级行政区划 乐东黎族自治县 万冲镇 109.317078 18.848635
海南省 省直辖县级行政区划 乐东黎族自治县 大安镇 109.2101399 18.6941737
海南省 省直辖县级行政区划 乐东黎族自治县 志仲镇 109.2609353 18.6309503
海南省 省直辖县级行政区划 乐东黎族自治县 千家镇 109.0818769 18.5666787
海南省 省直辖县级行政区划 乐东黎族自治县 九所镇 108.950153 18.4567756
海南省 省直辖县级行政区划 乐东黎族自治县 利国镇 108.897274 18.472102
海南省 省直辖县级行政区划 乐东黎族自治县 黄流镇 108.794872 18.506684
海南省 省直辖县级行政区划 乐东黎族自治县 佛罗镇 108.7323454 18.5792949
海南省 省直辖县级行政区划 乐东黎族自治县 尖峰镇 108.7913418 18.694007
海南省 省直辖县级行政区划 乐东黎族自治县 莺歌海镇 108.693707 18.5122985
海南省 省直辖县级行政区划 陵水黎族自治县 椰林镇 110.0363472 18.5057632
