addr_1 addr_2 addr_3 addr_4 lon lat
河南省 郑州市 中原区 林山寨街道 113.6127743 34.7371591
河南省 郑州市 中原区 建设路街道 113.6064776 34.7553305
河南省 郑州市 中原区 棉纺路街道 113.6146979 34.7609238
河南省 郑州市 中原区 秦岭路街道 113.6000238 34.7637384
河南省 郑州市 中原区 桐柏路街道 113.6094445 34.7698489
河南省 郑州市 中原区 三官庙街道 113.5892929 34.7554535
河南省 郑州市 中原区 绿东村街道 113.5941412 34.7419092
河南省 郑州市 中原区 汝河路街道 113.5907364 34.7296304
河南省 郑州市 中原区 航海西路街道 113.6003387 34.734449
河南省 郑州市 中原区 中原西路街道 113.5948523 34.7474865
河南省 郑州市 中原区 西流湖街道 113.5572222 34.763725
河南省 郑州市 中原区 须水街道 113.4975296 34.7500183
河南省 郑州市 中原区 莲湖街道 113.5823 34.74874
河南省 郑州市 中原区 柳湖街道 113.5172036 34.727728
河南省 郑州市 二七区 淮河路街道 113.6262404 34.7300656
河南省 郑州市 二七区 铭功路街道 113.6511855 34.7577266
河南省 郑州市 二七区 一马路街道 113.6567546 34.7471919
河南省 郑州市 二七区 蜜蜂张街道 113.6480125 34.7510229
河南省 郑州市 二七区 五里堡街道 113.632989 34.7554921
河南省 郑州市 二七区 大学路街道 113.6408096 34.7403928
河南省 郑州市 二七区 建中街街道 113.6420836 34.7333771
河南省 郑州市 二七区 福华街街道 113.6504638 34.7319053
河南省 郑州市 二七区 德化街街道 113.6608342 34.7513421
河南省 郑州市 二七区 嵩山路街道 113.6345741 34.6959639
河南省 郑州市 二七区 京广路街道 113.660734 34.7117753
河南省 郑州市 二七区 长江路街道 113.6393362 34.7153878
河南省 郑州市 二七区 人和路街道 113.628464 34.71415
河南省 郑州市 二七区 侯寨街道 113.5822928 34.6685909
河南省 郑州市 二七区 金水源街道 113.631083 34.677881
河南省 郑州市 二七区 马寨镇 113.5262668 34.7152126
河南省 郑州市 管城回族区 北下街街道 113.6638209 34.7535481
河南省 郑州市 管城回族区 西大街街道 113.6671279 34.7510808
河南省 郑州市 管城回族区 南关街街道 113.6693197 34.743843
河南省 郑州市 管城回族区 城东路街道 113.6919509 34.752372
河南省 郑州市 管城回族区 东大街街道 113.6790558 34.749152
河南省 郑州市 管城回族区 二里岗街道 113.6927668 34.7417918
河南省 郑州市 管城回族区 陇海马路街道 113.6766958 34.7340214
河南省 郑州市 管城回族区 紫荆山南路街道 113.6792603 34.7134964
河南省 郑州市 管城回族区 航海东路街道 113.692494 34.7202525
河南省 郑州市 管城回族区 十八里河街道 113.6950019 34.6832308
河南省 郑州市 管城回族区 南曹街道 113.7476242 34.6695483
河南省 郑州市 管城回族区 金岱街道 113.7094787 34.705375
河南省 郑州市 管城回族区 圃田乡 113.816823 34.7396537
河南省 郑州市 金水区 经八路街道 113.666498 34.7739037
河南省 郑州市 金水区 花园路街道 113.6846575 34.7689167
河南省 郑州市 金水区 人民路街道 113.6783514 34.760518
河南省 郑州市 金水区 杜岭街道 113.6624071 34.7612894
河南省 郑州市 金水区 大石桥街道 113.6496528 34.7681236
河南省 郑州市 金水区 南阳路街道 113.6416109 34.7755187
河南省 郑州市 金水区 南阳新村街道 113.6309091 34.7903512
河南省 郑州市 金水区 文化路街道 113.6679654 34.7895553
河南省 郑州市 金水区 丰产路街道 113.6990855 34.785044
河南省 郑州市 金水区 东风路街道 113.6453957 34.8049062
河南省 郑州市 金水区 北林路街道 113.6824049 34.8069326
河南省 郑州市 金水区 未来路街道 113.7046271 34.7640503
河南省 郑州市 金水区 凤凰台街道 113.7127668 34.74133
河南省 郑州市 金水区 龙子湖街道 113.7908053 34.8143469
河南省 郑州市 金水区 祭城路街道 113.7573907 34.778523
河南省 郑州市 金水区 兴达路街道 113.8080221 34.8534805
河南省 郑州市 金水区 国基路街道 113.6711245 34.835342
河南省 郑州市 金水区 杨金路街道 113.7316219 34.8540984
河南省 郑州市 金水区 丰庆路街道 113.6414834 34.8221071
河南省 郑州市 上街区 济源路街道 113.3082906 34.811097
河南省 郑州市 上街区 中心路街道 113.2780902 34.8059655
河南省 郑州市 上街区 新安路街道 113.2910687 34.8162424
河南省 郑州市 上街区 工业路街道 113.2960791 34.820763
河南省 郑州市 上街区 矿山街道 113.1639311 34.7047052
河南省 郑州市 上街区 峡窝镇 113.3033693 34.7902511
河南省 郑州市 惠济区 新城街道 113.618 34.8685
河南省 郑州市 惠济区 刘寨街道 113.6166856 34.8062455
河南省 郑州市 惠济区 江山路街道 113.5872817 34.8588377
河南省 郑州市 惠济区 长兴路街道 113.6127645 34.8259391
河南省 郑州市 惠济区 迎宾路街道 113.6532378 34.8689511
河南省 郑州市 惠济区 大河路街道 113.5729931 34.890298
河南省 郑州市 惠济区 花园口镇 113.6661789 34.8760471
河南省 郑州市 惠济区 古荥镇 113.534 34.8791
河南省 郑州市 中牟县 青年路街道 114.0180626 34.7396274
河南省 郑州市 中牟县 东风路街道 114.0162867 34.7080126
河南省 郑州市 中牟县 广惠街街道 113.9473694 34.7225855
河南省 郑州市 中牟县 大孟街道 114.0128517 34.7918673
河南省 郑州市 中牟县 韩寺镇 114.1034567 34.6608254
河南省 郑州市 中牟县 官渡镇 114.0836781 34.7337569
河南省 郑州市 中牟县 狼城岗镇 114.1839927 34.8621522
河南省 郑州市 中牟县 万滩镇 113.9371785 34.8647205
河南省 郑州市 中牟县 白沙镇 113.8956543 34.7308587
河南省 郑州市 中牟县 郑庵镇 113.912001 34.675167
河南省 郑州市 中牟县 黄店镇 114.005 34.5497
河南省 郑州市 中牟县 刘集镇 113.920868 34.8046155
河南省 郑州市 中牟县 雁鸣湖镇 114.0733731 34.8653741
河南省 郑州市 中牟县 姚家镇 114.0179023 34.6593362
河南省 郑州市 中牟县 刁家乡 114.079 34.5461
河南省 郑州市 郑州经济技术开发区 九龙镇 113.8464149 34.6836419
河南省 郑州市 郑州高新技术产业开发区 石佛镇 113.5787898 34.7829502
河南省 郑州市 郑州高新技术产业开发区 沟赵乡 113.4867425 34.8179218
