addr_1 addr_2 addr_3 addr_4 lon lat
湖南省 长沙市 芙蓉区 文艺路街道 112.9865741 28.1936148
湖南省 长沙市 芙蓉区 朝阳街街道 112.9976462 28.1932366
湖南省 长沙市 芙蓉区 韭菜园街道 112.9921531 28.2039024
湖南省 长沙市 芙蓉区 五里牌街道 113.0072593 28.1976997
湖南省 长沙市 芙蓉区 火星街道 113.0224513 28.2042806
湖南省 长沙市 芙蓉区 马王堆街道 113.0239963 28.2137351
湖南省 长沙市 芙蓉区 东屯渡街道 113.0328368 28.1927827
湖南省 长沙市 芙蓉区 湘湖街道 113.0072593 28.2106341
湖南省 长沙市 芙蓉区 定王台街道 112.9761886 28.1959599
湖南省 长沙市 芙蓉区 荷花园街道 113.0168723 28.1951278
湖南省 长沙市 芙蓉区 东岸街道 113.0502739 28.2016913
湖南省 长沙市 芙蓉区 马坡岭街道 113.0550892 28.2108986
湖南省 长沙市 芙蓉区 东湖街道 113.0841636 28.1957329
湖南省 长沙市 天心区 坡子街街道 112.965451 28.1886772
湖南省 长沙市 天心区 城南路街道 112.9753371 28.1844272
湖南省 长沙市 天心区 裕南街街道 112.9645156 28.1670593
湖南省 长沙市 天心区 金盆岭街道 112.9777335 28.1657729
湖南省 长沙市 天心区 新开铺街道 112.9644298 28.1346693
湖南省 长沙市 天心区 青园街道 112.9832267 28.1224069
湖南省 长沙市 天心区 桂花坪街道 112.9750549 28.1059371
湖南省 长沙市 天心区 赤岭路街道 112.9666614 28.1490492
湖南省 长沙市 天心区 文源街道 112.9870032 28.1390591
湖南省 长沙市 天心区 先锋街道 112.9959418 28.067935
湖南省 长沙市 天心区 黑石铺街道 112.9604816 28.1024209
湖南省 长沙市 天心区 大托铺街道 112.9485347 28.0591696
湖南省 长沙市 天心区 暮云街道 112.9972043 28.0167357
湖南省 长沙市 天心区 南托街道 112.9760672 28.0247304
湖南省 长沙市 岳麓区 望月湖街道 112.9470476 28.2050334
湖南省 长沙市 岳麓区 岳麓街道 112.9241872 28.1641497
湖南省 长沙市 岳麓区 桔子洲街道 112.945844 28.1682828
湖南省 长沙市 岳麓区 银盆岭街道 112.9492807 28.2255333
湖南省 长沙市 岳麓区 观沙岭街道 112.9462766 28.2360446
湖南省 长沙市 岳麓区 望城坡街道 112.9115152 28.2085163
湖南省 长沙市 岳麓区 西湖街道 112.9387557 28.2169968
湖南省 长沙市 岳麓区 咸嘉湖街道 112.9237766 28.2224715
湖南省 长沙市 岳麓区 望岳街道 112.917 28.2359
湖南省 长沙市 岳麓区 梅溪湖街道 112.8721349 28.1885128
湖南省 长沙市 岳麓区 麓谷街道 112.8829764 28.2232646
湖南省 长沙市 岳麓区 坪塘街道 112.9063738 28.0896738
湖南省 长沙市 岳麓区 含浦街道 112.848 28.0949
湖南省 长沙市 岳麓区 天顶街道 112.88373 28.2051221
湖南省 长沙市 岳麓区 洋湖街道 112.9199707 28.1043007
湖南省 长沙市 岳麓区 学士街道 112.8664769 28.1244614
湖南省 长沙市 岳麓区 东方红街道 112.8226654 28.2418796
湖南省 长沙市 岳麓区 莲花镇 112.7741016 28.1208474
湖南省 长沙市 岳麓区 雨敞坪镇 112.6620707 28.16655
湖南省 长沙市 开福区 芙蓉北路街道 112.9808093 28.2514863
湖南省 长沙市 开福区 东风路街道 112.9869174 28.2208444
湖南省 长沙市 开福区 清水塘街道 112.9831409 28.2047344
湖南省 长沙市 开福区 望麓园街道 112.9752445 28.2081381
湖南省 长沙市 开福区 湘雅路街道 112.9735279 28.2179705
湖南省 长沙市 开福区 伍家岭街道 112.9870891 28.229995
湖南省 长沙市 开福区 新河街道 112.9720687 28.231205
湖南省 长沙市 开福区 通泰街街道 112.9687643 28.2073061
湖南省 长沙市 开福区 四方坪街道 113.0056619 28.2306687
湖南省 长沙市 开福区 洪山街道 113.0233821 28.252774
湖南省 长沙市 开福区 浏阳河街道 112.9985419 28.2523505
湖南省 长沙市 开福区 月湖街道 112.9470476 28.2050334
湖南省 长沙市 开福区 秀峰街道 112.9706953 28.3081592
湖南省 长沙市 开福区 沙坪街道 112.9944403 28.3383886
湖南省 长沙市 开福区 捞刀河街道 112.9937303 28.3078557
湖南省 长沙市 开福区 青竹湖街道 112.9593657 28.3398923
湖南省 长沙市 雨花区 侯家塘街道 112.9856299 28.1802245
湖南省 长沙市 雨花区 左家塘街道 112.9986761 28.1790139
湖南省 长沙市 雨花区 圭塘街道 113.0348967 28.1373941
湖南省 长沙市 雨花区 砂子塘街道 112.9972753 28.1652332
湖南省 长沙市 雨花区 东塘街道 112.9815582 28.1573957
湖南省 长沙市 雨花区 雨花亭街道 113.0103491 28.1495034
湖南省 长沙市 雨花区 高桥街道 113.0197905 28.174777
湖南省 长沙市 雨花区 洞井街道 113.0326301 28.1001332
湖南省 长沙市 雨花区 黎托街道 113.0536547 28.171232
湖南省 长沙市 雨花区 井湾子街道 113.0174799 28.1263751
湖南省 长沙市 雨花区 同升街道 113.0284402 28.0717187
湖南省 长沙市 雨花区 东山街道 113.0578993 28.1419352
湖南省 长沙市 雨花区 跳马镇 113.0689363 28.0551442
湖南省 长沙市 望城区 高塘岭街道 112.8084753 28.377563
湖南省 长沙市 望城区 丁字湾街道 112.8973429 28.3752868
湖南省 长沙市 望城区 大泽湖街道 112.8723334 28.3210046
湖南省 长沙市 望城区 月亮岛街道 112.8987908 28.297636
湖南省 长沙市 望城区 白沙洲街道 112.8594965 28.3168298
湖南省 长沙市 望城区 金山桥街道 112.8283667 28.2668163
湖南省 长沙市 望城区 黄金园街道 112.8204488 28.2777205
湖南省 长沙市 望城区 乌山街道 112.7502227 28.3296843
湖南省 长沙市 望城区 铜官街道 112.804393 28.4784685
湖南省 长沙市 望城区 雷锋街道 112.8413023 28.2056016
湖南省 长沙市 望城区 白马街道 112.7955687 28.2359925
湖南省 长沙市 望城区 桥驿镇 112.9259993 28.4124342
湖南省 长沙市 望城区 茶亭镇 112.9214833 28.4988618
湖南省 长沙市 望城区 靖港镇 112.788945 28.4636685
湖南省 长沙市 望城区 乔口镇 112.7306278 28.5085087
湖南省 长沙市 望城区 白箬铺镇 112.7452615 28.2059189
湖南省 长沙市 长沙县 星沙街道 113.0968307 28.2506703
湖南省 长沙市 长沙县 泉塘街道 113.0980039 28.2249329
湖南省 长沙市 长沙县 湘龙街道 113.0473265 28.2666564
湖南省 长沙市 长沙县 㮾梨街道 113.1124466 28.1801368
湖南省 长沙市 长沙县 长龙街道 113.1593226 28.2533295
湖南省 长沙市 长沙县 黄兴镇 113.1155786 28.1348233
湖南省 长沙市 长沙县 江背镇 113.3501721 28.1214446
湖南省 长沙市 长沙县 黄花镇 113.1827674 28.2383336
湖南省 长沙市 长沙县 春华镇 113.25044 28.2797842
湖南省 长沙市 长沙县 果园镇 113.2161789 28.3418
湖南省 长沙市 长沙县 路口镇 113.284 28.399
湖南省 长沙市 长沙县 高桥镇 113.3307214 28.4638705
湖南省 长沙市 长沙县 金井镇 113.3679243 28.5265927
湖南省 长沙市 长沙县 福临镇 113.2291224 28.5293022
湖南省 长沙市 长沙县 青山铺镇 113.1632867 28.4662784
湖南省 长沙市 长沙县 安沙镇 113.1087153 28.3757255
湖南省 长沙市 长沙县 北山镇 113.0149559 28.4022654
湖南省 长沙市 长沙县 开慧镇 113.207 28.5913
湖南省 长沙市 浏阳市 淮川街道 113.6207662 28.1414717
湖南省 长沙市 浏阳市 集里街道 113.6120368 28.1691071
湖南省 长沙市 浏阳市 荷花街道 113.6359262 28.1248102
湖南省 长沙市 浏阳市 关口街道 113.6361834 28.1721196
湖南省 长沙市 浏阳市 社港镇 113.5541451 28.4721536
湖南省 长沙市 浏阳市 官渡镇 113.8803456 28.3503498
湖南省 长沙市 浏阳市 张坊镇 114.1032158 28.3273316
湖南省 长沙市 浏阳市 达浒镇 113.9182759 28.4190562
湖南省 长沙市 浏阳市 沿溪镇 113.8149415 28.3280991
湖南省 长沙市 浏阳市 古港镇 113.743 28.2784
湖南省 长沙市 浏阳市 永和镇 113.844871 28.2964685
湖南省 长沙市 浏阳市 大瑶镇 113.7181676 27.971023
湖南省 长沙市 浏阳市 金刚镇 113.6880722 27.9134432
湖南省 长沙市 浏阳市 文家市镇 113.925 28.0486
湖南省 长沙市 浏阳市 枨冲镇 113.5 28.039
湖南省 长沙市 浏阳市 镇头镇 113.3273891 28.0109636
湖南省 长沙市 浏阳市 普迹镇 113.3920734 27.9785388
湖南省 长沙市 浏阳市 永安镇 113.2832638 28.2114422
湖南省 长沙市 浏阳市 北盛镇 113.4056098 28.2619054
湖南省 长沙市 浏阳市 龙伏镇 113.519 28.4315
湖南省 长沙市 浏阳市 澄潭江镇 113.7710688 27.9981938
湖南省 长沙市 浏阳市 中和镇 113.8777301 28.0841234
湖南省 长沙市 浏阳市 柏加镇 113.2289636 28.052437
湖南省 长沙市 浏阳市 洞阳镇 113.3994618 28.2139403
湖南省 长沙市 浏阳市 大围山镇 114.0078347 28.459213
湖南省 长沙市 浏阳市 沙市镇 113.425705 28.3479969
湖南省 长沙市 浏阳市 淳口镇 113.4977896 28.2940134
湖南省 长沙市 浏阳市 高坪镇 113.7952122 28.203124
湖南省 长沙市 浏阳市 官桥镇 113.3518686 27.9357338
湖南省 长沙市 浏阳市 葛家镇 113.4597378 28.0767147
湖南省 长沙市 浏阳市 蕉溪镇 113.4760674 28.2196857
湖南省 长沙市 浏阳市 小河乡 114.0500907 28.2425717
湖南省 长沙市 宁乡市 玉潭街道 112.552011 28.2589576
湖南省 长沙市 宁乡市 白马桥街道 112.5313385 28.229894
湖南省 长沙市 宁乡市 历经铺街道 112.606 28.2555
湖南省 长沙市 宁乡市 城郊街道 112.565 28.2698
湖南省 长沙市 宁乡市 道林镇 112.719 28.0113
湖南省 长沙市 宁乡市 花明楼镇 112.6291739 28.0453834
湖南省 长沙市 宁乡市 东湖塘镇 112.536 28.069
湖南省 长沙市 宁乡市 夏铎铺镇 112.6430364 28.2325718
湖南省 长沙市 宁乡市 双江口镇 112.6657365 28.3379592
湖南省 长沙市 宁乡市 煤炭坝镇 112.386 28.2343
