addr_1 addr_2 addr_3 addr_4 lon lat
吉林省 长春市 南关区 南岭街道 125.3298584 43.8534058
吉林省 长春市 南关区 自强街道 125.3234694 43.8877162
吉林省 长春市 南关区 民康街道 125.3278251 43.8792007
吉林省 长春市 南关区 新春街道 125.3309829 43.8938764
吉林省 长春市 南关区 长通街道 125.3494401 43.8991729
吉林省 长春市 南关区 全安街道 125.3382242 43.8844593
吉林省 长春市 南关区 曙光街道 125.3265112 43.8695539
吉林省 长春市 南关区 永吉街道 125.3414951 43.8700564
吉林省 长春市 南关区 桃源街道 125.3481878 43.8892857
吉林省 长春市 南关区 鸿城街道 125.3447474 43.8479457
吉林省 长春市 南关区 明珠街道 125.3111673 43.8205934
吉林省 长春市 南关区 富裕街道 125.3538753 43.8126073
吉林省 长春市 南关区 盛世街道 125.2971025 43.7971667
吉林省 长春市 南关区 幸福乡 125.3102102 43.7946676
吉林省 长春市 宽城区 站前街道 125.3099483 43.9016924
吉林省 长春市 宽城区 群英街道 125.3267286 43.9129969
吉林省 长春市 宽城区 兴业街道 125.3327702 43.9316339
吉林省 长春市 宽城区 凯旋街道 125.3159952 43.9346079
吉林省 长春市 宽城区 团山街道 125.3427752 43.9523604
吉林省 长春市 宽城区 柳影街道 125.2989161 43.9420584
吉林省 长春市 宽城区 欣园街道 125.1768937 43.982136
吉林省 长春市 宽城区 长德街道 125.5102508 44.1325041
吉林省 长春市 宽城区 新广街道 125.3197837 43.8986619
吉林省 长春市 宽城区 新隆街道 125.27959 43.9344892
吉林省 长春市 宽城区 长新街道 125.325878 43.9211155
吉林省 长春市 宽城区 兰家镇 125.2365728 44.0019665
吉林省 长春市 宽城区 米沙子镇 125.4663546 44.1400832
吉林省 长春市 宽城区 万宝镇 125.3475825 44.1423794
吉林省 长春市 宽城区 合隆镇 125.1740627 44.0582791
吉林省 长春市 朝阳区 前进街道 125.2687232 43.8434841
吉林省 长春市 朝阳区 桂林街道 125.3090378 43.8640322
吉林省 长春市 朝阳区 南湖街道 125.3017078 43.8415677
吉林省 长春市 朝阳区 永昌街道 125.3100456 43.8751292
吉林省 长春市 朝阳区 重庆街道 125.3107786 43.8878089
吉林省 长春市 朝阳区 清和街道 125.2972183 43.8866863
吉林省 长春市 朝阳区 红旗街道 125.2893386 43.8682599
吉林省 长春市 朝阳区 湖西街道 125.2759615 43.8562367
吉林省 长春市 朝阳区 富锋街道 125.2020936 43.7977264
吉林省 长春市 朝阳区 乐山镇 125.2940882 43.569608
吉林省 长春市 朝阳区 永春镇 125.2958054 43.7300412
吉林省 长春市 二道区 东盛街道 125.3679528 43.8740749
吉林省 长春市 二道区 吉林街道 125.3539619 43.8782346
吉林省 长春市 二道区 荣光街道 125.3809093 43.882371
吉林省 长春市 二道区 东站街道 125.3645776 43.8897472
吉林省 长春市 二道区 远达街道 125.3864148 43.9177264
吉林省 长春市 二道区 八里堡街道 125.3662687 43.9314378
吉林省 长春市 二道区 长青街道 125.4019666 43.898424
吉林省 长春市 二道区 东惠街道 125.3624826 43.9007277
吉林省 长春市 二道区 英俊镇 125.4595601 43.8621769
吉林省 长春市 二道区 劝农山镇 125.6420657 43.8172674
吉林省 长春市 二道区 泉眼镇 125.5715353 43.8482643
吉林省 长春市 二道区 四家乡 125.7729122 43.8263795
吉林省 长春市 绿园区 正阳街道 125.2502332 43.8917474
吉林省 长春市 绿园区 春城街道 125.2646364 43.8765528
吉林省 长春市 绿园区 青年路街道 125.284174 43.9018844
吉林省 长春市 绿园区 普阳街道 125.2768486 43.8901431
吉林省 长春市 绿园区 铁西街道 125.3031707 43.9116326
吉林省 长春市 绿园区 林园街道 125.2722216 43.9146643
吉林省 长春市 绿园区 同心街道 125.1792129 43.855145
吉林省 长春市 绿园区 迎宾街道 125.2366599 43.8968932
吉林省 长春市 绿园区 自立街道 125.2067935 43.8589737
吉林省 长春市 绿园区 合心镇 125.1426204 43.9467146
吉林省 长春市 绿园区 西新镇 125.130796 43.8927978
吉林省 长春市 绿园区 城西镇 125.242177 43.884627
吉林省 长春市 双阳区 云山街道 125.6531437 43.535467
吉林省 长春市 双阳区 平湖街道 125.7024359 43.5616488
吉林省 长春市 双阳区 奢岭街道 125.541667 43.673889
吉林省 长春市 双阳区 山河街道 125.9148013 43.4182085
吉林省 长春市 双阳区 鹿乡镇 125.560484 43.495264
吉林省 长春市 双阳区 齐家镇 125.7038728 43.686522
吉林省 长春市 双阳区 太平镇 125.7307383 43.4028438
吉林省 长春市 双阳区 双营子回族乡 125.5810652 43.5834397
吉林省 长春市 九台区 九台街道 125.8196637 44.1452103
吉林省 长春市 九台区 营城街道 125.8981152 44.1582185
吉林省 长春市 九台区 九郊街道 125.8164138 44.1323155
吉林省 长春市 九台区 西营城街道 125.778098 44.0383001
吉林省 长春市 九台区 土们岭街道 125.848353 44.159358
吉林省 长春市 九台区 苇子沟街道 125.8616053 44.2110005
吉林省 长春市 九台区 兴隆街道 125.7383792 44.308962
吉林省 长春市 九台区 纪家街道 125.6327066 44.2601933
吉林省 长春市 九台区 波泥河街道 125.8799362 43.8927783
吉林省 长春市 九台区 卡伦湖街道 125.5520593 44.0311691
吉林省 长春市 九台区 东湖街道 125.6420224 43.9536777
吉林省 长春市 九台区 龙嘉街道 125.6486495 44.0649856
吉林省 长春市 九台区 兴港街道 125.6869222 44.030602
吉林省 长春市 九台区 沐石河街道 126.0883712 44.2273545
吉林省 长春市 九台区 城子街街道 126.0057732 44.362258
吉林省 长春市 九台区 南山街道 125.8333361 44.1432867
吉林省 长春市 九台区 其塔木镇 126.3329521 44.3647958
吉林省 长春市 九台区 上河湾镇 126.1967446 44.4877087
吉林省 长春市 九台区 胡家回族乡 126.3297182 44.2716182
吉林省 长春市 九台区 莽卡满族乡 126.4113661 44.2619116
吉林省 长春市 农安县 兴农街道 125.18666 44.430613
吉林省 长春市 农安县 宝塔街道 125.18666 44.430613
吉林省 长春市 农安县 和谐街道 125.171437 44.411453
吉林省 长春市 农安县 黄龙街道 125.182146 44.424672
吉林省 长春市 农安县 农安镇 125.175389 44.431852
吉林省 长春市 农安县 伏龙泉镇 124.63382 44.4043388
吉林省 长春市 农安县 哈拉海镇 125.0919227 44.6719954
吉林省 长春市 农安县 靠山镇 125.6536308 44.7817198
吉林省 长春市 农安县 开安镇 125.2030735 44.166122
吉林省 长春市 农安县 烧锅镇 124.9919555 43.9907916
吉林省 长春市 农安县 高家店镇 125.2629161 44.6800741
吉林省 长春市 农安县 华家镇 125.1423053 44.293185
吉林省 长春市 农安县 三盛玉镇 124.7971558 44.5443769
吉林省 长春市 农安县 巴吉垒镇 124.8262722 44.3414829
吉林省 长春市 农安县 三岗镇 124.8598166 44.0997551
吉林省 长春市 农安县 前岗乡 125.2641765 44.2613979
吉林省 长春市 农安县 龙王乡 124.9388553 44.1400444
吉林省 长春市 农安县 万顺乡 124.943084 44.5194327
吉林省 长春市 农安县 杨树林乡 124.9050665 44.6704078
吉林省 长春市 农安县 永安乡 124.6851771 44.5153998
吉林省 长春市 农安县 青山口乡 125.5971913 44.8461086
吉林省 长春市 农安县 黄鱼圈乡 125.4604613 44.8147717
吉林省 长春市 农安县 新农乡 125.5319711 44.716043
吉林省 长春市 农安县 万金塔乡 125.3931311 44.6125434
吉林省 长春市 农安县 小城子乡 125.3472397 44.7718566
吉林省 长春市 长春经济技术开发区 临河街道 125.3638054 43.8592922
吉林省 长春市 长春经济技术开发区 东方广场街道 125.4352965 43.8768204
吉林省 长春市 长春经济技术开发区 会展街道 125.3885301 43.847585
吉林省 长春市 长春经济技术开发区 世纪街道 125.3907263 43.861853
吉林省 长春市 长春经济技术开发区 兴隆山镇 125.4666812 43.9587317
吉林省 长春市 长春净月高新技术产业开发区 永兴街道 125.4363177 43.7733622
吉林省 长春市 长春净月高新技术产业开发区 净月街道 125.4360444 43.8332321
吉林省 长春市 长春净月高新技术产业开发区 福祉街道 125.3988514 43.7858673
吉林省 长春市 长春净月高新技术产业开发区 德正街道 125.3729104 43.799585
吉林省 长春市 长春净月高新技术产业开发区 彩织街道 125.36607 43.823155
吉林省 长春市 长春净月高新技术产业开发区 德容街道 125.3737602 43.7742516
吉林省 长春市 长春净月高新技术产业开发区 博硕街道 125.421273 43.8277554
吉林省 长春市 长春净月高新技术产业开发区 德馨街道 125.3603375 43.7812175
吉林省 长春市 长春净月高新技术产业开发区 永顺街道 125.4234617 43.7585524
吉林省 长春市 长春净月高新技术产业开发区 新立城镇 125.3849345 43.7681149
吉林省 长春市 长春净月高新技术产业开发区 新湖镇 125.3756838 43.6116678
吉林省 长春市 长春净月高新技术产业开发区 玉潭镇 125.4341019 43.7813307
吉林省 长春市 长春高新技术产业开发区 硅谷街道 125.2292142 43.799913
吉林省 长春市 长春高新技术产业开发区 北湖街道 125.4192473 43.9680133
吉林省 长春市 长春高新技术产业开发区 超越街道 125.2418068 43.776054
吉林省 长春市 长春高新技术产业开发区 飞跃街道 125.2365853 43.8087075
吉林省 长春市 长春高新技术产业开发区 双德街道 125.2764725 43.8293234
吉林省 长春市 长春高新技术产业开发区 奋进乡 125.4053586 44.0072343
吉林省 长春市 长春汽车经济技术开发区 锦程街道 125.219247 43.8512595
吉林省 长春市 长春汽车经济技术开发区 东风街道 125.2495955 43.8635709
吉林省 长春市 长春汽车经济技术开发区 富民街道 125.1732237 43.8484213
吉林省 长春市 长春汽车经济技术开发区 前程街道 125.366804 43.876782
吉林省 长春市 长春汽车经济技术开发区 广兴街道 125.2480781 43.8762611
吉林省 长春市 长春汽车经济技术开发区 锦绣街道 125.2252713 43.846295
吉林省 长春市 榆树市 华昌街道 126.5212703 44.828188
吉林省 长春市 榆树市 正阳街道 126.5456737 44.8132395
吉林省 长春市 榆树市 培英街道 126.5581653 44.8240398
吉林省 长春市 榆树市 城郊街道 126.5499178 44.831212
吉林省 长春市 榆树市 五棵树镇 126.1464914 44.7845431
吉林省 长春市 榆树市 弓棚镇 126.3119083 44.9831433
吉林省 长春市 榆树市 闵家镇 126.4273457 44.7785409
吉林省 长春市 榆树市 大坡镇 126.4702942 44.6044945
吉林省 长春市 榆树市 黑林镇 126.6760524 44.5505317
吉林省 长春市 榆树市 土桥镇 126.9512547 44.709178
吉林省 长春市 榆树市 新立镇 126.7360782 44.6781284
吉林省 长春市 榆树市 大岭镇 126.6341707 45.0333208
吉林省 长春市 榆树市 于家镇 126.8928134 44.8667358
吉林省 长春市 榆树市 泗河镇 126.8829792 44.9746187
吉林省 长春市 榆树市 八号镇 126.3581572 45.0823319
吉林省 长春市 榆树市 刘家镇 126.2967833 44.7980337
吉林省 长春市 榆树市 秀水镇 126.4324448 44.6589502
吉林省 长春市 榆树市 保寿镇 126.5997142 44.6246274
吉林省 长春市 榆树市 新庄镇 126.7613805 45.0273807
吉林省 长春市 榆树市 育民乡 126.548299 45.1631161
吉林省 长春市 榆树市 红星乡 126.4124662 45.1303782
吉林省 长春市 榆树市 太安乡 126.4943829 45.0147569
吉林省 长春市 榆树市 先峰乡 126.2564372 44.8585829
吉林省 长春市 榆树市 青山乡 126.8985577 45.0868789
吉林省 长春市 榆树市 延和朝鲜族乡 126.9209173 45.1163022
吉林省 长春市 榆树市 恩育乡 126.4148537 44.9251476
吉林省 长春市 榆树市 城发乡 126.6835421 44.8499109
吉林省 长春市 榆树市 环城乡 126.5836372 44.8020427
吉林省 长春市 德惠市 胜利街道 125.7169575 44.5375509
吉林省 长春市 德惠市 建设街道 125.6809922 44.5351466
吉林省 长春市 德惠市 惠发街道 125.7106353 44.5171143
吉林省 长春市 德惠市 夏家店街道 125.8374448 44.536432
吉林省 长春市 德惠市 大青嘴镇 125.8352907 44.4212888
吉林省 长春市 德惠市 郭家镇 125.4560043 44.4773228
吉林省 长春市 德惠市 松花江镇 125.9482036 44.6875176
吉林省 长春市 德惠市 达家沟镇 125.8143647 44.6607382
吉林省 长春市 德惠市 大房身镇 125.9289998 44.5640054
吉林省 长春市 德惠市 岔路口镇 126.1758034 44.6361842
吉林省 长春市 德惠市 朱城子镇 125.5652007 44.2867091
吉林省 长春市 德惠市 布海镇 125.7535299 44.3846801
吉林省 长春市 德惠市 天台镇 125.5631066 44.5891125
吉林省 长春市 德惠市 菜园子镇 125.8294915 44.7440885
吉林省 长春市 德惠市 同太乡 125.4731553 44.3885151
吉林省 长春市 德惠市 边岗乡 125.6816035 44.6241897
吉林省 长春市 德惠市 五台乡 126.0927679 44.5078782
吉林省 长春市 德惠市 朝阳乡 126.3100654 44.5751995
吉林省 长春市 公主岭市 河南街道 124.8123722 43.4988371
吉林省 长春市 公主岭市 河北街道 124.8063812 43.5044342
吉林省 长春市 公主岭市 东三街道 124.8170433 43.5046073
吉林省 长春市 公主岭市 岭东街道 124.8299837 43.5089438
吉林省 长春市 公主岭市 铁北街道 124.8106108 43.5121192
吉林省 长春市 公主岭市 岭西街道 124.7892419 43.4942472
吉林省 长春市 公主岭市 刘房子街道 124.9 43.566667
吉林省 长春市 公主岭市 南崴子街道 124.7365126 43.4579709
吉林省 长春市 公主岭市 环岭街道 124.8185129 43.5473078
吉林省 长春市 公主岭市 苇子沟街道 124.826725 43.502692
吉林省 长春市 公主岭市 二十家子镇 124.789444 43.395
吉林省 长春市 公主岭市 黑林子镇 124.8639828 43.6897735
吉林省 长春市 公主岭市 陶家屯镇 125.000556 43.637778
吉林省 长春市 公主岭市 范家屯镇 125.0728182 43.7104434
吉林省 长春市 公主岭市 响水镇 125.1682837 43.6630938
吉林省 长春市 公主岭市 大岭镇 124.9971957 43.8677627
吉林省 长春市 公主岭市 怀德镇 124.7684099 43.8809183
吉林省 长春市 公主岭市 双城堡镇 124.6758453 44.0804785
吉林省 长春市 公主岭市 双龙镇 124.6108673 43.890733
吉林省 长春市 公主岭市 杨大城子镇 124.4268463 43.9388368
吉林省 长春市 公主岭市 毛城子镇 124.2917488 43.8745248
吉林省 长春市 公主岭市 玻璃城子镇 124.1626595 43.9236926
吉林省 长春市 公主岭市 朝阳坡镇 124.710756 43.5945681
吉林省 长春市 公主岭市 大榆树镇 124.6671802 43.7322264
吉林省 长春市 公主岭市 秦家屯镇 124.5921213 43.7971875
吉林省 长春市 公主岭市 八屋镇 124.4000301 43.7995817
吉林省 长春市 公主岭市 十屋镇 124.2266092 43.7837515
吉林省 长春市 公主岭市 桑树台镇 124.1601017 43.7501442
吉林省 长春市 公主岭市 龙山乡 124.803167 43.302724
吉林省 长春市 公主岭市 永发乡 124.8951151 43.8276868
吉林省 吉林市 昌邑区 兴华街道 126.5625963 43.8837847
吉林省 吉林市 昌邑区 文庙街道 126.565356 43.8406585
吉林省 吉林市 昌邑区 东局子街道 126.5857994 43.8426156
吉林省 吉林市 昌邑区 新地号街道 126.579133 43.8534244
吉林省 吉林市 昌邑区 延安街道 126.5812427 43.8651657
吉林省 吉林市 昌邑区 站前街道 126.5689654 43.8554168
吉林省 吉林市 昌邑区 民主街道 126.5628087 43.8618935
