addr_1 addr_2 addr_3 addr_4 lon lat
青海省 西宁市 城东区 东关大街街道 101.7973223 36.6214376
青海省 西宁市 城东区 清真巷街道 101.7906168 36.6080166
青海省 西宁市 城东区 大众街街道 101.7963409 36.5975196
青海省 西宁市 城东区 周家泉街道 101.8067295 36.6147638
青海省 西宁市 城东区 火车站街道 101.8269403 36.6178693
青海省 西宁市 城东区 八一路街道 101.8071536 36.5832234
青海省 西宁市 城东区 林家崖街道 101.8020438 36.6264396
青海省 西宁市 城东区 乐家湾镇 101.8717227 36.5654231
青海省 西宁市 城东区 韵家口镇 101.8685174 36.580567
青海省 西宁市 城中区 人民街街道 101.7754677 36.6187824
青海省 西宁市 城中区 南滩街道 101.777502 36.6063058
青海省 西宁市 城中区 仓门街街道 101.7839567 36.617738
青海省 西宁市 城中区 礼让街街道 101.7788841 36.6265619
青海省 西宁市 城中区 饮马街街道 101.7877059 36.6243599
青海省 西宁市 城中区 南川东路街道 101.7615823 36.5806593
青海省 西宁市 城中区 南川西路街道 101.7371488 36.6026091
青海省 西宁市 城中区 总寨镇 101.6850307 36.5405885
青海省 西宁市 城西区 西关大街街道 101.7643938 36.621706
青海省 西宁市 城西区 古城台街道 101.7547064 36.626378
青海省 西宁市 城西区 虎台街道 101.7372889 36.6297021
青海省 西宁市 城西区 胜利路街道 101.7598681 36.6349537
青海省 西宁市 城西区 兴海路街道 101.7722278 36.6314164
青海省 西宁市 城西区 文汇路街道 101.7325102 36.6466374
青海省 西宁市 城西区 通海路街道 101.6747975 36.6494757
青海省 西宁市 城西区 彭家寨镇 101.7016732 36.6401924
青海省 西宁市 城北区 朝阳街道 101.7801903 36.6516094
青海省 西宁市 城北区 小桥大街街道 101.7483361 36.6636912
青海省 西宁市 城北区 马坊街道 101.6901862 36.6706965
青海省 西宁市 城北区 火车西站街道 101.694737 36.661054
青海省 西宁市 城北区 大堡子镇 101.6409966 36.6699324
青海省 西宁市 城北区 廿里铺镇 101.7558075 36.7204437
青海省 西宁市 湟中区 田家寨镇 101.7966358 36.4523574
青海省 西宁市 湟中区 上新庄镇 101.5979067 36.4291624
青海省 西宁市 湟中区 鲁沙尔镇 101.571895 36.4997744
青海省 西宁市 湟中区 甘河滩镇 101.5138433 36.5462415
青海省 西宁市 湟中区 共和镇 101.40348 36.596166
青海省 西宁市 湟中区 多巴镇 101.5228265 36.6625557
青海省 西宁市 湟中区 拦隆口镇 101.4839441 36.7661503
青海省 西宁市 湟中区 上五庄镇 101.4175948 36.8253443
青海省 西宁市 湟中区 李家山镇 101.5556722 36.8024312
青海省 西宁市 湟中区 西堡镇 101.613729 36.5680841
青海省 西宁市 湟中区 群加藏族乡 101.6893555 36.2587983
青海省 西宁市 湟中区 土门关乡 101.7237854 36.4419353
青海省 西宁市 湟中区 汉东回族乡 101.4914179 36.5647557
青海省 西宁市 湟中区 大才回族乡 101.4740681 36.513716
青海省 西宁市 湟中区 海子沟乡 101.6509431 36.7170584
青海省 西宁市 大通回族土族自治县 桥头镇 101.6816907 36.9277499
青海省 西宁市 大通回族土族自治县 城关镇 101.5418457 37.0326299
