addr_1 addr_2 addr_3 addr_4 lon lat
陕西省 西安市 新城区 西一路街道 108.9546015 34.2636312
陕西省 西安市 新城区 长乐中路街道 108.9975746 34.2720417
陕西省 西安市 新城区 中山门街道 108.9638157 34.2732721
陕西省 西安市 新城区 韩森寨街道 109.0042972 34.2571328
陕西省 西安市 新城区 解放门街道 108.9616887 34.2755012
陕西省 西安市 新城区 自强路街道 108.9473184 34.2829334
陕西省 西安市 新城区 太华路街道 108.970706 34.2894585
陕西省 西安市 新城区 长乐西路街道 108.97763 34.269115
陕西省 西安市 新城区 胡家庙街道 108.99686 34.2777521
陕西省 西安市 碑林区 南院门街道 108.937256 34.2592341
陕西省 西安市 碑林区 柏树林街道 108.9606744 34.2564728
陕西省 西安市 碑林区 长乐坊街道 108.9706037 34.2657335
陕西省 西安市 碑林区 东关南街街道 108.969864 34.2589718
陕西省 西安市 碑林区 太乙路街道 108.963476 34.2478436
陕西省 西安市 碑林区 文艺路街道 108.9476322 34.2461147
陕西省 西安市 碑林区 长安路街道 108.943241 34.240145
陕西省 西安市 碑林区 张家村街道 108.9305702 34.2490753
陕西省 西安市 莲湖区 青年路街道 108.9349488 34.2724853
陕西省 西安市 莲湖区 北院门街道 108.9395545 34.2649822
陕西省 西安市 莲湖区 北关街道 108.9435466 34.2836458
陕西省 西安市 莲湖区 红庙坡街道 108.9237142 34.2876754
陕西省 西安市 莲湖区 环城西路街道 108.9148973 34.2648667
陕西省 西安市 莲湖区 西关街道 108.9029846 34.2520851
陕西省 西安市 莲湖区 土门街道 108.8784985 34.2701371
陕西省 西安市 莲湖区 桃园路街道 108.8847084 34.2699609
陕西省 西安市 莲湖区 枣园街道 108.8692239 34.2710634
陕西省 西安市 灞桥区 纺织城街道 109.059227 34.2698116
陕西省 西安市 灞桥区 十里铺街道 109.0204568 34.2899452
陕西省 西安市 灞桥区 红旗街道 109.0507006 34.2441119
陕西省 西安市 灞桥区 席王街道 109.0583532 34.289321
陕西省 西安市 灞桥区 洪庆街道 109.1121632 34.3155512
陕西省 西安市 灞桥区 狄寨街道 109.1129478 34.210438
陕西省 西安市 灞桥区 灞桥街道 109.0765104 34.3142205
陕西省 西安市 灞桥区 新筑街道 109.0448617 34.3789812
陕西省 西安市 灞桥区 新合街道 109.1001156 34.4185215
陕西省 西安市 未央区 张家堡街道 108.9404769 34.3286482
陕西省 西安市 未央区 三桥街道 108.8259758 34.29321
陕西省 西安市 未央区 辛家庙街道 109.0036279 34.3126069
陕西省 西安市 未央区 徐家湾街道 108.9604505 34.3492658
陕西省 西安市 未央区 大明宫街道 108.9595492 34.3132685
陕西省 西安市 未央区 谭家街道 108.961674 34.3432799
陕西省 西安市 未央区 草滩街道 108.9632827 34.390692
陕西省 西安市 未央区 六村堡街道 108.8669338 34.3247951
陕西省 西安市 未央区 未央宫街道 108.8963858 34.2965318
陕西省 西安市 未央区 汉城街道 108.9086431 34.3374903
陕西省 西安市 未央区 未央湖街道 108.9852261 34.4020986
陕西省 西安市 未央区 建章路街道 108.8378523 34.3330097
陕西省 西安市 雁塔区 小寨路街道 108.9397292 34.2262453
陕西省 西安市 雁塔区 大雁塔街道 108.9610676 34.22705
陕西省 西安市 雁塔区 长延堡街道 108.9510969 34.1975372
陕西省 西安市 雁塔区 电子城街道 108.9142404 34.2052121
陕西省 西安市 雁塔区 等驾坡街道 109.0110105 34.2345406
陕西省 西安市 雁塔区 鱼化寨街道 108.8353794 34.2184937
陕西省 西安市 雁塔区 丈八沟街道 108.8731047 34.2182897
陕西省 西安市 雁塔区 曲江街道 108.9911613 34.2124398
陕西省 西安市 雁塔区 杜城街道 108.8902847 34.1806852
陕西省 西安市 雁塔区 漳浒寨街道 108.8161561 34.2470794
陕西省 西安市 阎良区 凤凰路街道 109.2160037 34.6598573
陕西省 西安市 阎良区 新华路街道 109.2386058 34.6592332
陕西省 西安市 阎良区 振兴街道 109.1900107 34.6680543
陕西省 西安市 阎良区 新兴街道 109.2733484 34.6669144
陕西省 西安市 阎良区 北屯街道 109.2283162 34.6174237
陕西省 西安市 阎良区 武屯街道 109.2951874 34.6380726
陕西省 西安市 阎良区 关山街道 109.3757703 34.6921982
陕西省 西安市 临潼区 骊山街道 109.2074101 34.374257
陕西省 西安市 临潼区 秦陵街道 109.2254574 34.3817485
陕西省 西安市 临潼区 新丰街道 109.2700516 34.4234629
陕西省 西安市 临潼区 代王街道 109.2949878 34.3963547
陕西省 西安市 临潼区 斜口街道 109.1514174 34.3601133
陕西省 西安市 临潼区 行者街道 109.2010515 34.3973151
陕西省 西安市 临潼区 零口街道 109.360982 34.477488
陕西省 西安市 临潼区 相桥街道 109.3674481 34.6160986
陕西省 西安市 临潼区 雨金街道 109.244498 34.5150225
陕西省 西安市 临潼区 新市街道 109.1718466 34.5379648
陕西省 西安市 临潼区 徐杨街道 109.1423898 34.6165022
陕西省 西安市 临潼区 西泉街道 109.1387863 34.4070049
陕西省 西安市 临潼区 栎阳街道 109.2077888 34.5852569
陕西省 西安市 临潼区 马额街道 109.384693 34.403221
陕西省 西安市 临潼区 何寨街道 109.3184091 34.5161338
陕西省 西安市 临潼区 交口街道 109.296837 34.5504403
陕西省 西安市 临潼区 油槐街道 109.385531 34.558492
陕西省 西安市 临潼区 北田街道 109.1820891 34.4566894
陕西省 西安市 临潼区 铁炉街道 109.4359796 34.3945945
陕西省 西安市 临潼区 任留街道 109.2371943 34.4914264
陕西省 西安市 临潼区 穆寨街道 109.3676827 34.3662749
陕西省 西安市 临潼区 小金街道 109.412778 34.338136
陕西省 西安市 临潼区 仁宗街道 109.3178635 34.3511575
陕西省 西安市 长安区 韦曲街道 108.9414047 34.1627564
陕西省 西安市 长安区 郭杜街道 108.8644254 34.1618878
陕西省 西安市 长安区 滦镇街道 108.819076 34.0662678
陕西省 西安市 长安区 引镇街道 109.097655 34.082681
陕西省 西安市 长安区 王寺街道 108.7846163 34.2603487
陕西省 西安市 长安区 马王街道 108.7125 34.204167
陕西省 西安市 长安区 太乙宫街道 109.0011872 34.0278031
陕西省 西安市 长安区 东大街道 108.7663304 34.0443388
陕西省 西安市 长安区 子午街道 108.89362 34.058048
陕西省 西安市 长安区 斗门街道 108.752591 34.217416
陕西省 西安市 长安区 细柳街道 108.7880353 34.1579835
陕西省 西安市 长安区 杜曲街道 109.001647 34.110024
陕西省 西安市 长安区 大兆街道 109.0512127 34.1362749
陕西省 西安市 长安区 黄良街道 108.8981368 34.1000122
陕西省 西安市 长安区 兴隆街道 108.813942 34.1166371
陕西省 西安市 长安区 王曲街道 108.964059 34.076776
陕西省 西安市 长安区 鸣犊街道 109.102641 34.130525
陕西省 西安市 长安区 王莽街道 109.0515265 34.0567965
陕西省 西安市 长安区 五台街道 108.9699635 34.0337989
陕西省 西安市 长安区 高桥街道 108.7134328 34.2491426
陕西省 西安市 长安区 五星街道 108.7827505 34.0663238
陕西省 西安市 长安区 灵沼街道 108.723116 34.1609668
陕西省 西安市 长安区 杨庄街道 109.1421655 34.0406649
陕西省 西安市 长安区 砲里街道 109.1355145 34.1682189
陕西省 西安市 长安区 魏寨街道 109.172579 34.1079483
陕西省 西安市 高陵区 鹿苑街道 109.0861893 34.53727
陕西省 西安市 高陵区 泾渭街道 109.0049086 34.4483824
陕西省 西安市 高陵区 崇皇街道 109.015753 34.5049319
陕西省 西安市 高陵区 姬家街道 109.0149895 34.4789575
陕西省 西安市 高陵区 耿镇街道 109.1000122 34.4384681
陕西省 西安市 高陵区 张卜街道 109.1178253 34.4831961
陕西省 西安市 高陵区 通远街道 109.040389 34.553531
陕西省 西安市 鄠邑区 甘亭街道 108.5989237 34.1096766
陕西省 西安市 鄠邑区 余下街道 108.625057 34.0646714
陕西省 西安市 鄠邑区 玉蝉街道 108.5697355 34.1070083
陕西省 西安市 鄠邑区 五竹街道 108.6527891 34.1101049
陕西省 西安市 鄠邑区 大王街道 108.6408124 34.2054937
陕西省 西安市 鄠邑区 秦渡街道 108.7498604 34.1067163
陕西省 西安市 鄠邑区 草堂街道 108.7181834 34.0417895
陕西省 西安市 鄠邑区 庞光街道 108.6698009 34.0371083
陕西省 西安市 鄠邑区 祖庵街道 108.487502 34.1058954
陕西省 西安市 鄠邑区 渭丰街道 108.6023391 34.2014981
陕西省 西安市 鄠邑区 涝店街道 108.5540692 34.1721259
陕西省 西安市 鄠邑区 甘河街道 108.5148419 34.1585434
陕西省 西安市 鄠邑区 蒋村街道 108.473519 34.082935
陕西省 西安市 鄠邑区 石井街道 108.5895294 34.0432628
陕西省 西安市 蓝田县 蓝关街道 109.318666 34.152899
陕西省 西安市 蓝田县 洩湖镇 109.244671 34.2035775
陕西省 西安市 蓝田县 华胥镇 109.1810944 34.2261077
陕西省 西安市 蓝田县 前卫镇 109.2222545 34.1267596
陕西省 西安市 蓝田县 汤峪镇 109.2125731 34.0217591
陕西省 西安市 蓝田县 焦岱镇 109.2438057 34.061415
陕西省 西安市 蓝田县 玉山镇 109.5013435 34.2069446
陕西省 西安市 蓝田县 三里镇 109.3039109 34.1724567
陕西省 西安市 蓝田县 普化镇 109.3965533 34.1552935
陕西省 西安市 蓝田县 葛牌镇 109.5017385 33.9124577
陕西省 西安市 蓝田县 灞源镇 109.682517 34.1485338
陕西省 西安市 蓝田县 九间房镇 109.5073041 34.1871905
陕西省 西安市 蓝田县 蓝桥镇 109.4580734 34.0740264
陕西省 西安市 蓝田县 辋川镇 109.3598021 34.0551579
陕西省 西安市 蓝田县 厚镇 109.507993 34.259794
陕西省 西安市 蓝田县 三官庙镇 109.4153435 34.2533028
陕西省 西安市 蓝田县 安村镇 109.2825888 34.1310008
陕西省 西安市 蓝田县 孟村镇 109.2146092 34.1649356
陕西省 西安市 蓝田县 小寨镇 109.2857258 34.0467782
陕西省 西安市 周至县 二曲街道 108.2088788 34.1630807
陕西省 西安市 周至县 哑柏镇 108.0854234 34.1833729
陕西省 西安市 周至县 终南镇 108.360168 34.146772
陕西省 西安市 周至县 马召镇 108.189758 34.0704148
陕西省 西安市 周至县 集贤镇 108.4001323 34.0860243
陕西省 西安市 周至县 楼观镇 108.299116 34.093008
陕西省 西安市 周至县 尚村镇 108.4659817 34.1559481
陕西省 西安市 周至县 广济镇 108.1479414 34.114679
陕西省 西安市 周至县 厚畛子镇 107.837424 33.853009
陕西省 西安市 周至县 青化镇 108.0238373 34.1857473
陕西省 西安市 周至县 竹峪镇 108.0405727 34.1364399
陕西省 西安市 周至县 翠峰镇 108.0714059 34.1288862
陕西省 西安市 周至县 四屯镇 108.1419101 34.1692296
陕西省 西安市 周至县 司竹镇 108.3003324 34.1504722
陕西省 西安市 周至县 九峰镇 108.4242725 34.0823654
陕西省 西安市 周至县 富仁镇 108.326292 34.1814916
陕西省 西安市 周至县 骆峪镇 108.1057975 34.08769
陕西省 西安市 周至县 陈河镇 108.1453993 33.9745913
陕西省 西安市 周至县 板房子镇 108.0006297 33.8174732
陕西省 西安市 周至县 王家河镇 108.2091072 33.8764242
陕西省 铜川市 王益区 七一路街道 109.089297 35.073547
陕西省 铜川市 王益区 红旗街街道 109.070487 35.0643
陕西省 铜川市 王益区 桃园街道 109.075615 35.068925
陕西省 铜川市 王益区 青年路街道 109.097925 35.0848726
陕西省 铜川市 王益区 王家河街道 109.0460718 35.0732666
陕西省 铜川市 王益区 王益街道 109.089308 35.0740983
陕西省 铜川市 王益区 黄堡镇 109.0211943 35.0041443
陕西省 铜川市 印台区 城关街道 109.0973058 35.1083793
陕西省 铜川市 印台区 三里洞街道 109.0976302 35.0941066
陕西省 铜川市 印台区 王石凹街道 109.1963487 35.1066435
陕西省 铜川市 印台区 印台街道 109.0907735 35.1371575
陕西省 铜川市 印台区 陈炉镇 109.1557406 35.0255369
