addr_1 addr_2 addr_3 addr_4 lon lat
山东省 济南市 历下区 解放路街道 117.0308538 36.6646823
山东省 济南市 历下区 千佛山街道 117.0340616 36.6423759
山东省 济南市 历下区 趵突泉街道 117.0117791 36.6590914
山东省 济南市 历下区 泉城路街道 117.0174031 36.6667669
山东省 济南市 历下区 大明湖街道 117.0267433 36.6700573
山东省 济南市 历下区 东关街道 117.0268015 36.6785881
山东省 济南市 历下区 文东街道 117.0431456 36.6599583
山东省 济南市 历下区 建新街道 117.0433849 36.6704027
山东省 济南市 历下区 甸柳街道 117.0613763 36.6590627
山东省 济南市 历下区 燕山街道 117.0562695 36.6589053
山东省 济南市 历下区 姚家街道 117.071393 36.6658894
山东省 济南市 历下区 龙洞街道 117.0951506 36.6402723
山东省 济南市 历下区 智远街道 117.1126824 36.7039125
山东省 济南市 市中区 大观园街道 116.9894424 36.6587613
山东省 济南市 市中区 杆石桥街道 116.9837594 36.6513057
山东省 济南市 市中区 四里村街道 116.9922055 36.6431917
山东省 济南市 市中区 魏家庄街道 116.9964973 36.6672469
山东省 济南市 市中区 二七街道 116.996367 36.636359
山东省 济南市 市中区 七里山街道 116.9906524 36.6290545
山东省 济南市 市中区 六里山街道 116.9957135 36.6195448
山东省 济南市 市中区 舜玉路街道 117.0110282 36.6260993
山东省 济南市 市中区 泺源街道 117.0075729 36.6632698
山东省 济南市 市中区 王官庄街道 116.9546318 36.6283857
山东省 济南市 市中区 舜耕街道 117.0306879 36.6306026
山东省 济南市 市中区 白马山街道 116.927012 36.6294044
山东省 济南市 市中区 七贤街道 116.9530702 36.6116318
山东省 济南市 市中区 十六里河街道 116.9980543 36.6024511
山东省 济南市 市中区 兴隆街道 117.0299073 36.6000929
山东省 济南市 市中区 党家街道 116.8956676 36.5837696
山东省 济南市 市中区 陡沟街道 116.8890251 36.6038419
山东省 济南市 槐荫区 振兴街街道 116.9732925 36.6530613
山东省 济南市 槐荫区 中大槐树街道 116.96089 36.6575886
山东省 济南市 槐荫区 道德街街道 116.9589802 36.6515894
山东省 济南市 槐荫区 西市场街道 116.9713935 36.6599136
山东省 济南市 槐荫区 五里沟街道 116.9743027 36.6582328
山东省 济南市 槐荫区 营市街街道 116.9572965 36.6523684
山东省 济南市 槐荫区 青年公园街道 116.9786636 36.6535211
山东省 济南市 槐荫区 南辛庄街道 116.9594634 36.6461113
山东省 济南市 槐荫区 段店北路街道 116.9392983 36.6545414
山东省 济南市 槐荫区 张庄路街道 116.92659 36.6553933
山东省 济南市 槐荫区 匡山街道 116.9453006 36.6708718
山东省 济南市 槐荫区 美里湖街道 116.9263679 36.7025486
山东省 济南市 槐荫区 腊山街道 116.8450312 36.6367152
山东省 济南市 槐荫区 兴福街道 116.8846094 36.6715457
山东省 济南市 槐荫区 玉清湖街道 116.8440421 36.6451073
山东省 济南市 槐荫区 吴家堡街道 116.9054553 36.6972703
山东省 济南市 天桥区 无影山街道 116.9719816 36.6837525
山东省 济南市 天桥区 天桥东街街道 116.9932169 36.6741767
山东省 济南市 天桥区 北村街道 116.9863797 36.6963778
山东省 济南市 天桥区 南村街道 116.9874445 36.6902066
山东省 济南市 天桥区 堤口路街道 116.9623692 36.682586
山东省 济南市 天桥区 北坦街道 117.0030607 36.6757077
山东省 济南市 天桥区 制锦市街道 117.0051699 36.6684089
山东省 济南市 天桥区 宝华街道 116.9765703 36.6746657
山东省 济南市 天桥区 官扎营街道 116.986425 36.6768257
山东省 济南市 天桥区 纬北路街道 116.9979429 36.6753151
山东省 济南市 天桥区 药山街道 116.9592501 36.7173135
山东省 济南市 天桥区 北园街道 117.0323842 36.695187
山东省 济南市 天桥区 泺口街道 116.9790172 36.7118094
山东省 济南市 天桥区 桑梓店街道 116.9140006 36.7806956
山东省 济南市 天桥区 大桥街道 117.0265199 36.7799
山东省 济南市 历城区 山大路街道 117.0502729 36.67373
山东省 济南市 历城区 洪家楼街道 117.0517737 36.6844369
山东省 济南市 历城区 东风街道 117.0755004 36.6882968
山东省 济南市 历城区 全福街道 117.0504992 36.6990607
山东省 济南市 历城区 华山街道 117.0456704 36.7176135
山东省 济南市 历城区 荷花路街道 117.1005055 36.7551354
山东省 济南市 历城区 王舍人街道 117.1408788 36.7209146
山东省 济南市 历城区 鲍山街道 117.1840378 36.7152182
山东省 济南市 历城区 郭店街道 117.225278 36.7230523
山东省 济南市 历城区 唐冶街道 117.2252753 36.6855701
山东省 济南市 历城区 港沟街道 117.1994832 36.6752277
山东省 济南市 历城区 董家街道 117.2349641 36.7545448
山东省 济南市 历城区 彩石街道 117.2732764 36.6414742
山东省 济南市 历城区 仲宫街道 117.0205708 36.4990344
山东省 济南市 历城区 柳埠街道 117.1146902 36.4360389
山东省 济南市 历城区 唐王街道 117.2888666 36.7963837
山东省 济南市 历城区 西营街道 117.2193038 36.5018747
山东省 济南市 长清区 文昌街道 116.7461293 36.5598627
山东省 济南市 长清区 崮云湖街道 116.772253 36.5345142
山东省 济南市 长清区 平安街道 116.795742 36.5964081
山东省 济南市 长清区 五峰山街道 116.8191264 36.4415161
山东省 济南市 长清区 归德街道 116.669852 36.4897611
山东省 济南市 长清区 张夏街道 116.8980717 36.4515791
山东省 济南市 长清区 万德街道 116.917 36.3352
山东省 济南市 长清区 孝里街道 116.6268682 36.3914058
山东省 济南市 长清区 马山镇 116.7733383 36.3825788
山东省 济南市 长清区 双泉镇 116.7122697 36.3456879
山东省 济南市 章丘区 明水街道 117.5422667 36.7141595
山东省 济南市 章丘区 双山街道 117.5420876 36.6855427
山东省 济南市 章丘区 枣园街道 117.4578655 36.7294046
山东省 济南市 章丘区 龙山街道 117.3741208 36.7355185
山东省 济南市 章丘区 埠村街道 117.461579 36.6348293
山东省 济南市 章丘区 圣井街道 117.4255493 36.6728354
山东省 济南市 章丘区 普集街道 117.6411329 36.703867
山东省 济南市 章丘区 绣惠街道 117.4921433 36.8138514
山东省 济南市 章丘区 相公庄街道 117.5510195 36.7591779
山东省 济南市 章丘区 文祖街道 117.5189742 36.6036593
山东省 济南市 章丘区 官庄街道 117.609415 36.6721365
