addr_1 addr_2 addr_3 addr_4 lon lat
四川省 成都市 锦江区 锦官驿街道 104.083535 30.6498998
四川省 成都市 锦江区 东湖街道 104.0931985 30.6181508
四川省 成都市 锦江区 锦华路街道 104.0931027 30.6043335
四川省 成都市 锦江区 春熙路街道 104.0717857 30.6562765
四川省 成都市 锦江区 书院街街道 104.0852728 30.664222
四川省 成都市 锦江区 牛市口街道 104.097277 30.6407413
四川省 成都市 锦江区 沙河街道 104.1139881 30.6307815
四川省 成都市 锦江区 狮子山街道 104.1163618 30.6148091
四川省 成都市 锦江区 成龙路街道 104.1291399 30.6001568
四川省 成都市 锦江区 柳江街道 104.0842016 30.5876664
四川省 成都市 锦江区 三圣街道 104.1396621 30.591407
四川省 成都市 青羊区 草市街街道 104.0688871 30.6761618
四川省 成都市 青羊区 西御河街道 104.0678621 30.6659744
四川省 成都市 青羊区 少城街道 104.0536533 30.665812
四川省 成都市 青羊区 草堂街道 104.0324048 30.661089
四川省 成都市 青羊区 府南街道 104.0213465 30.6795923
四川省 成都市 青羊区 光华街道 104.0055205 30.668021
四川省 成都市 青羊区 金沙街道 104.0006865 30.6866451
四川省 成都市 青羊区 黄田坝街道 103.9619961 30.6929934
四川省 成都市 青羊区 苏坡街道 103.9814752 30.6794384
四川省 成都市 青羊区 文家街道 103.9248703 30.6985042
四川省 成都市 青羊区 蔡桥街道 103.9516079 30.6705701
四川省 成都市 青羊区 康河街道 103.9183145 30.6921698
四川省 成都市 金牛区 西安路街道 104.0420687 30.6737837
四川省 成都市 金牛区 西华街道 104.0221006 30.728702
四川省 成都市 金牛区 荷花池街道 104.0744413 30.6902829
四川省 成都市 金牛区 驷马桥街道 104.0852265 30.6858781
四川省 成都市 金牛区 茶店子街道 104.0269023 30.6955962
四川省 成都市 金牛区 抚琴街道 104.0446826 30.6905663
四川省 成都市 金牛区 九里堤街道 104.0482842 30.7046214
四川省 成都市 金牛区 五块石街道 104.0644096 30.7097949
四川省 成都市 金牛区 营门口街道 104.0348844 30.7031513
四川省 成都市 金牛区 金泉街道 103.984224 30.7204689
四川省 成都市 金牛区 沙河源街道 104.0536688 30.7222533
四川省 成都市 金牛区 天回镇街道 104.1134454 30.7636909
四川省 成都市 金牛区 凤凰山街道 104.0844653 30.7359928
四川省 成都市 武侯区 浆洗街街道 104.0502513 30.6471385
四川省 成都市 武侯区 望江路街道 104.0835351 30.6396866
四川省 成都市 武侯区 玉林街道 104.0587775 30.6296421
四川省 成都市 武侯区 火车南站街道 104.0690317 30.612784
四川省 成都市 武侯区 晋阳街道 103.9983061 30.6491622
四川省 成都市 武侯区 红牌楼街道 104.0213817 30.6376616
四川省 成都市 武侯区 簇桥街道 103.9889858 30.6052729
四川省 成都市 武侯区 机投桥街道 103.979415 30.6516903
四川省 成都市 武侯区 金花桥街道 103.9551251 30.6399561
四川省 成都市 武侯区 簇锦街道 103.9939752 30.6238144
四川省 成都市 武侯区 华兴街道 104.0033156 30.5965922
四川省 成都市 武侯区 芳草街街道 104.0519805 30.6270927
四川省 成都市 武侯区 肖家河街道 104.0371684 30.6090908
四川省 成都市 武侯区 石羊街道 104.0476107 30.5688578
四川省 成都市 武侯区 桂溪街道 104.0667245 30.5752664
四川省 成都市 成华区 猛追湾街道 104.0936462 30.673492
四川省 成都市 成华区 双桥子街道 104.1060097 30.6575231
四川省 成都市 成华区 府青路街道 104.1034259 30.6918446
四川省 成都市 成华区 二仙桥街道 104.1346594 30.6922457
四川省 成都市 成华区 跳蹬河街道 104.1214108 30.6733524
四川省 成都市 成华区 双水碾街道 104.0753525 30.7061187
四川省 成都市 成华区 万年场街道 104.1245785 30.6524282
四川省 成都市 成华区 保和街道 104.1465378 30.6364583
四川省 成都市 成华区 青龙街道 104.1099971 30.7058451
四川省 成都市 成华区 龙潭街道 104.1759492 30.6957167
四川省 成都市 成华区 白莲池街道 104.1323154 30.725256
四川省 成都市 龙泉驿区 龙泉街道 104.261627 30.5653651
四川省 成都市 龙泉驿区 大面街道 104.1891192 30.5892695
四川省 成都市 龙泉驿区 十陵街道 104.1780388 30.6527454
四川省 成都市 龙泉驿区 同安街道 104.306937 30.603899
四川省 成都市 龙泉驿区 西河街道 104.227279 30.653613
四川省 成都市 龙泉驿区 柏合街道 104.2012774 30.5049999
四川省 成都市 龙泉驿区 东安街道 104.2556619 30.5846706
四川省 成都市 龙泉驿区 洛带镇 104.3270704 30.6393918
四川省 成都市 龙泉驿区 洪安镇 104.2899784 30.6879398
四川省 成都市 龙泉驿区 山泉镇 104.3152203 30.5415865
四川省 成都市 青白江区 大弯街道 104.2438428 30.8883445
四川省 成都市 青白江区 大同街道 104.2938359 30.8714576
四川省 成都市 青白江区 弥牟镇 104.2006823 30.8839394
四川省 成都市 青白江区 城厢镇 104.3157552 30.8566905
四川省 成都市 青白江区 姚渡镇 104.348328 30.8277108
四川省 成都市 青白江区 清泉镇 104.3915903 30.7488234
四川省 成都市 青白江区 福洪镇 104.331677 30.73924
四川省 成都市 新都区 大丰街道 104.051828 30.7654568
四川省 成都市 新都区 三河街道 104.1297 30.7836762
四川省 成都市 新都区 新都街道 104.1779765 30.8038844
四川省 成都市 新都区 新繁街道 104.0124443 30.8784241
四川省 成都市 新都区 石板滩街道 104.2649302 30.7288095
四川省 成都市 新都区 斑竹园街道 104.0682185 30.8185283
四川省 成都市 新都区 桂湖街道 104.1530444 30.826934
四川省 成都市 新都区 清流镇 104.035902 30.940961
四川省 成都市 新都区 军屯镇 104.1511605 30.8973536
四川省 成都市 温江区 柳城街道 103.837711 30.7
四川省 成都市 温江区 公平街道 103.880016 30.699
四川省 成都市 温江区 涌泉街道 103.87242 30.678066
四川省 成都市 温江区 天府街道 103.794594 30.685735
四川省 成都市 温江区 金马街道 103.8158121 30.6504856
四川省 成都市 温江区 永宁街道 103.9054349 30.7301787
四川省 成都市 温江区 和盛镇 103.770099 30.752024
四川省 成都市 温江区 万春镇 103.808617 30.739683
四川省 成都市 温江区 寿安镇 103.7504529 30.8141722
四川省 成都市 双流区 东升街道 103.9249168 30.5719446
四川省 成都市 双流区 西航港街道 104.008255 30.5529344
