addr_1 addr_2 addr_3 addr_4 lon lat
天津市 市辖区 和平区 劝业场街道 117.1906037 39.1222333
天津市 市辖区 和平区 小白楼街道 117.2056727 39.119425
天津市 市辖区 和平区 五大道街道 117.1903193 39.1111726
天津市 市辖区 和平区 新兴街道 117.1823125 39.1019611
天津市 市辖区 和平区 南营门街道 117.1852915 39.1148528
天津市 市辖区 和平区 南市街道 117.1782524 39.1309348
天津市 市辖区 河东区 大王庄街道 117.21537 39.1254618
天津市 市辖区 河东区 大直沽街道 117.2372873 39.1114516
天津市 市辖区 河东区 中山门街道 117.2590998 39.1057225
天津市 市辖区 河东区 富民路街道 117.2455889 39.0898256
天津市 市辖区 河东区 二号桥街道 117.2798531 39.0977424
天津市 市辖区 河东区 春华街道 117.2105815 39.140459
天津市 市辖区 河东区 唐家口街道 117.228363 39.1305652
天津市 市辖区 河东区 向阳楼街道 117.2461207 39.1351167
天津市 市辖区 河东区 常州道街道 117.2438417 39.145637
天津市 市辖区 河东区 上杭路街道 117.2513326 39.1220313
天津市 市辖区 河东区 东新街道 117.2704256 39.1414686
天津市 市辖区 河东区 鲁山道街道 117.2741953 39.1492034
天津市 市辖区 河东区 天津铁厂街道 113.7458004 36.5808245
天津市 市辖区 河西区 大营门街道 117.2114204 39.1126025
天津市 市辖区 河西区 下瓦房街道 117.2191182 39.1030649
天津市 市辖区 河西区 桃园街道 117.2074034 39.1006379
天津市 市辖区 河西区 挂甲寺街道 117.2296374 39.0868965
天津市 市辖区 河西区 马场街道 117.182545 39.0944315
天津市 市辖区 河西区 越秀路街道 117.2089187 39.0950504
天津市 市辖区 河西区 友谊路街道 117.1975947 39.076786
天津市 市辖区 河西区 天塔街道 117.1788388 39.080922
天津市 市辖区 河西区 尖山街道 117.2264127 39.0708539
天津市 市辖区 河西区 陈塘庄街道 117.2410846 39.0783452
天津市 市辖区 河西区 柳林街道 117.2705115 39.0696931
天津市 市辖区 河西区 东海街道 117.2512402 39.0526997
天津市 市辖区 河西区 梅江街道 117.2077223 39.0630258
天津市 市辖区 河西区 太湖路街道 117.2397116 39.0410295
天津市 市辖区 南开区 长虹街道 117.1462151 39.1399063
天津市 市辖区 南开区 鼓楼街道 117.1690781 39.1416492
天津市 市辖区 南开区 兴南街道 117.1670843 39.1345256
天津市 市辖区 南开区 广开街道 117.1602668 39.1344657
天津市 市辖区 南开区 万兴街道 117.1544699 39.1154492
天津市 市辖区 南开区 学府街道 117.1588605 39.1110018
天津市 市辖区 南开区 向阳路街道 117.1248934 39.1374714
天津市 市辖区 南开区 嘉陵道街道 117.1347511 39.1257142
天津市 市辖区 南开区 王顶堤街道 117.1387535 39.101605
天津市 市辖区 南开区 水上公园街道 117.1473341 39.0943653
天津市 市辖区 南开区 体育中心街道 117.1651004 39.0706956
天津市 市辖区 南开区 华苑街道 117.1313174 39.0811936
天津市 市辖区 河北区 光复道街道 117.1934024 39.1426041
天津市 市辖区 河北区 望海楼街道 117.196465 39.1524399
天津市 市辖区 河北区 鸿顺里街道 117.1896697 39.1575863
天津市 市辖区 河北区 新开河街道 117.1776226 39.174558
天津市 市辖区 河北区 铁东路街道 117.197633 39.1880747
天津市 市辖区 河北区 建昌道街道 117.2235985 39.1721707
天津市 市辖区 河北区 宁园街道 117.2124659 39.1604723
天津市 市辖区 河北区 王串场街道 117.2137682 39.1520303
天津市 市辖区 河北区 江都路街道 117.2383161 39.1551274
天津市 市辖区 河北区 月牙河街道 117.2398124 39.1630933
天津市 市辖区 红桥区 西于庄街道 117.158469 39.165835
天津市 市辖区 红桥区 咸阳北路街道 117.1412345 39.1850444
天津市 市辖区 红桥区 丁字沽街道 117.1569423 39.1729765
天津市 市辖区 红桥区 西沽街道 117.1296132 39.1640722
天津市 市辖区 红桥区 三条石街道 117.1636325 39.1539521
天津市 市辖区 红桥区 邵公庄街道 117.1292035 39.1522108
天津市 市辖区 红桥区 芥园街道 117.1489753 39.1473843
天津市 市辖区 红桥区 铃铛阁街道 117.1524103 39.1430467
天津市 市辖区 红桥区 和苑街道 117.1018954 39.1580649
天津市 市辖区 东丽区 张贵庄街道 117.3079208 39.0867448
天津市 市辖区 东丽区 丰年村街道 117.3281528 39.0824652
天津市 市辖区 东丽区 万新街道 117.2772287 39.1185895
天津市 市辖区 东丽区 无瑕街道 117.4933306 39.0417839
天津市 市辖区 东丽区 新立街道 117.3535096 39.0770165
天津市 市辖区 东丽区 华明街道 117.3737192 39.1742468
天津市 市辖区 东丽区 金钟街道 117.2614255 39.2092202
天津市 市辖区 东丽区 军粮城街道 117.446783 39.0608727
天津市 市辖区 东丽区 金桥街道 117.4057618 39.0716159
天津市 市辖区 东丽区 华新街道 117.4063937 39.1667623
天津市 市辖区 东丽区 东丽湖街道 117.4511268 39.1828003
天津市 市辖区 西青区 西营门街道 117.0928605 39.1656242
天津市 市辖区 西青区 李七庄街道 117.1654619 39.0423408
天津市 市辖区 西青区 赤龙南街道 117.2615582 39.0005346
天津市 市辖区 西青区 赤龙北街道 117.2562015 39.0069673
天津市 市辖区 西青区 津门湖街道 117.1955198 39.0461287
天津市 市辖区 西青区 中北镇 117.0845643 39.1146761
天津市 市辖区 西青区 杨柳青镇 117.0049907 39.1315402
天津市 市辖区 西青区 辛口镇 116.9631241 39.088559
天津市 市辖区 西青区 张家窝镇 117.0364495 39.0528236
天津市 市辖区 西青区 精武镇 117.108286 39.0421348
天津市 市辖区 西青区 大寺镇 117.2338257 39.0191116
天津市 市辖区 西青区 王稳庄镇 117.2589132 38.894711
天津市 市辖区 津南区 双新街道 117.274493 39.0155398
天津市 市辖区 津南区 双林街道 117.2888794 39.0476244
天津市 市辖区 津南区 海棠街道 117.3501125 38.9812504
天津市 市辖区 津南区 咸水沽镇 117.3886162 38.9782582
天津市 市辖区 津南区 葛沽镇 117.5018532 38.9876766
天津市 市辖区 津南区 小站镇 117.4298413 38.9108317
天津市 市辖区 津南区 双港镇 117.3119977 39.0418311
天津市 市辖区 津南区 辛庄镇 117.3372443 39.0217049
天津市 市辖区 津南区 双桥河镇 117.4380276 38.9906215
天津市 市辖区 津南区 八里台镇 117.3372021 38.9462146
天津市 市辖区 津南区 北闸口镇 117.3997593 38.9493216
天津市 市辖区 北辰区 果园新村街道 117.1319402 39.2201728
天津市 市辖区 北辰区 集贤里街道 117.1260149 39.2293686
天津市 市辖区 北辰区 普东街道 117.1950555 39.2051643
天津市 市辖区 北辰区 瑞景街道 117.100013 39.1940926
天津市 市辖区 北辰区 佳荣里街道 117.1155107 39.1932022
天津市 市辖区 北辰区 青源街道 117.0706929 39.2085306
天津市 市辖区 北辰区 广源街道 117.0840822 39.2112457
天津市 市辖区 北辰区 双环邨街道 117.126833 39.1993791
天津市 市辖区 北辰区 天穆镇 117.1439317 39.2004405
天津市 市辖区 北辰区 北仓镇 117.1158422 39.2361921
天津市 市辖区 北辰区 双街镇 117.1040944 39.266016
天津市 市辖区 北辰区 双口镇 117.0206877 39.2350101
天津市 市辖区 北辰区 青光镇 117.0412701 39.1919641
天津市 市辖区 北辰区 宜兴埠镇 117.2178534 39.2152321
天津市 市辖区 北辰区 小淀镇 117.2252969 39.2477195
天津市 市辖区 北辰区 大张庄镇 117.2222401 39.2899929
天津市 市辖区 北辰区 西堤头镇 117.3468872 39.2531655
天津市 市辖区 武清区 杨村街道 117.0698541 39.3825768
天津市 市辖区 武清区 下朱庄街道 117.0849815 39.3342289
天津市 市辖区 武清区 东蒲洼街道 117.000814 39.3928047
天津市 市辖区 武清区 黄庄街道 117.0393252 39.3580544
天津市 市辖区 武清区 徐官屯街道 117.0784103 39.396296
天津市 市辖区 武清区 运河西街道 117.0411188 39.3786617
天津市 市辖区 武清区 梅厂镇 117.1946491 39.3692052
天津市 市辖区 武清区 大碱厂镇 117.0850834 39.4729077
天津市 市辖区 武清区 崔黄口镇 117.1760583 39.5174216
天津市 市辖区 武清区 大良镇 117.0889186 39.542285
天津市 市辖区 武清区 下伍旗镇 117.0549088 39.6156682
天津市 市辖区 武清区 南蔡村镇 117.0107703 39.4810953
天津市 市辖区 武清区 大孟庄镇 116.9849887 39.5260447
天津市 市辖区 武清区 泗村店镇 116.948103 39.4787279
天津市 市辖区 武清区 河西务镇 116.9534835 39.6225614
天津市 市辖区 武清区 城关镇 116.8671005 39.5312577
天津市 市辖区 武清区 东马圈镇 116.839731 39.4461682
天津市 市辖区 武清区 黄花店镇 116.9023231 39.3514925
天津市 市辖区 武清区 石各庄镇 116.899979 39.2972962
天津市 市辖区 武清区 王庆坨镇 116.9259106 39.1712182
天津市 市辖区 武清区 汊沽港镇 116.9331579 39.2701533
天津市 市辖区 武清区 河北屯镇 117.1226608 39.5787026
天津市 市辖区 武清区 上马台镇 117.2550305 39.3903138
天津市 市辖区 武清区 大王古庄镇 116.8198716 39.5709963
天津市 市辖区 武清区 陈咀镇 117.0019829 39.2920117
天津市 市辖区 武清区 豆张庄镇 116.9421267 39.3989335
天津市 市辖区 武清区 曹子里镇 117.1301496 39.4125986
天津市 市辖区 武清区 大黄堡镇 117.2513318 39.4500774
天津市 市辖区 武清区 高村镇 116.87608 39.6376381
天津市 市辖区 武清区 白古屯镇 116.9011855 39.5492934
天津市 市辖区 宝坻区 海滨街道 117.310207 39.7272585
天津市 市辖区 宝坻区 宝平街道 117.2911829 39.7165722
天津市 市辖区 宝坻区 钰华街道 117.3035263 39.697992
天津市 市辖区 宝坻区 周良街道 117.3744257 39.5619102
天津市 市辖区 宝坻区 潮阳街道 117.2774041 39.6536568
天津市 市辖区 宝坻区 朝霞街道 117.2784634 39.7404299
天津市 市辖区 宝坻区 大口屯镇 117.2317231 39.584003
天津市 市辖区 宝坻区 王卜庄镇 117.4406202 39.6849574
天津市 市辖区 宝坻区 方家庄镇 117.4229857 39.7292801
天津市 市辖区 宝坻区 林亭口镇 117.5088349 39.634133
天津市 市辖区 宝坻区 八门城镇 117.6074234 39.5784386
天津市 市辖区 宝坻区 大钟庄镇 117.5658128 39.6890179
天津市 市辖区 宝坻区 新安镇 117.5336511 39.7551761
天津市 市辖区 宝坻区 霍各庄镇 117.3840546 39.7566898
天津市 市辖区 宝坻区 新开口镇 117.1932311 39.681244
天津市 市辖区 宝坻区 大唐庄镇 117.4360421 39.4059467
天津市 市辖区 宝坻区 牛道口镇 117.2554709 39.7923572
天津市 市辖区 宝坻区 史各庄镇 117.2151513 39.7467961
天津市 市辖区 宝坻区 郝各庄镇 117.3139711 39.6310935
天津市 市辖区 宝坻区 牛家牌镇 117.2913099 39.52166
天津市 市辖区 宝坻区 尔王庄镇 117.3601097 39.3975261
天津市 市辖区 宝坻区 黄庄镇 117.5193439 39.4957682
天津市 市辖区 宝坻区 口东镇 117.3634285 39.6568132
天津市 市辖区 宝坻区 大白庄镇 117.382464 39.4458903
天津市 市辖区 滨海新区 塘沽街道 117.6967844 39.0074149
天津市 市辖区 滨海新区 杭州道街道 117.6523352 39.0397939
天津市 市辖区 滨海新区 新河街道 117.6192471 39.0737542
天津市 市辖区 滨海新区 大沽街道 117.6827256 38.9724521
天津市 市辖区 滨海新区 新北街道 117.6550976 39.054587
天津市 市辖区 滨海新区 北塘街道 117.7018212 39.0993103
天津市 市辖区 滨海新区 胡家园街道 117.5757996 39.0115643
天津市 市辖区 滨海新区 新港街道 117.7213591 38.998598
天津市 市辖区 滨海新区 新村街道 117.6427741 39.015534
天津市 市辖区 滨海新区 天津经济技术开发区东区泰达街道 117.7020735 39.025783
天津市 市辖区 滨海新区 汉沽街道 117.7956457 39.2554009
天津市 市辖区 滨海新区 寨上街道 117.8193588 39.243119
天津市 市辖区 滨海新区 茶淀街道 117.7758803 39.2441031
天津市 市辖区 滨海新区 大港街道 117.4549066 38.8511706
天津市 市辖区 滨海新区 古林街道 117.489163 38.8570765
天津市 市辖区 滨海新区 海滨街道 117.3951047 38.67515
天津市 市辖区 滨海新区 新城镇 117.6067517 38.9875824
天津市 市辖区 滨海新区 杨家泊镇 117.8974833 39.2946565
天津市 市辖区 滨海新区 太平镇 117.3245366 38.6190267
天津市 市辖区 滨海新区 小王庄镇 117.1566557 38.7499385
天津市 市辖区 滨海新区 中塘镇 117.3793407 38.8655818
天津市 市辖区 宁河区 芦台街道 117.8162475 39.3272121
天津市 市辖区 宁河区 桥北街道 117.7950154 39.3395199
天津市 市辖区 宁河区 宁河镇 117.7684597 39.4647517
天津市 市辖区 宁河区 苗庄镇 117.8113015 39.4280765
天津市 市辖区 宁河区 丰台镇 117.7506756 39.5465667
天津市 市辖区 宁河区 岳龙镇 117.8666 39.572502
天津市 市辖区 宁河区 板桥镇 117.8026129 39.4858127
天津市 市辖区 宁河区 潘庄镇 117.4696588 39.3441779
天津市 市辖区 宁河区 造甲城镇 117.4256168 39.2818179
天津市 市辖区 宁河区 七里海镇 117.6676355 39.3086671
天津市 市辖区 宁河区 大北涧沽镇 117.7351481 39.340278
天津市 市辖区 宁河区 东棘坨镇 117.5504456 39.4190893
天津市 市辖区 宁河区 北淮淀镇 117.5748378 39.262231
天津市 市辖区 宁河区 俵口镇 117.5706348 39.3297856
天津市 市辖区 宁河区 廉庄镇 117.7627768 39.4047788
天津市 市辖区 静海区 华康街道 117.0849603 38.975959
天津市 市辖区 静海区 朝阳街道 116.940451 38.9253519
天津市 市辖区 静海区 静海镇 116.9165895 38.9292975
天津市 市辖区 静海区 唐官屯镇 116.9042376 38.7076433
天津市 市辖区 静海区 独流镇 116.9056204 39.0207619
天津市 市辖区 静海区 王口镇 116.754149 38.9328603
天津市 市辖区 静海区 台头镇 116.7826858 39.0212495
天津市 市辖区 静海区 子牙镇 116.769511 38.8224875
天津市 市辖区 静海区 陈官屯镇 116.9071725 38.8199114
天津市 市辖区 静海区 中旺镇 117.1302193 38.6370851
天津市 市辖区 静海区 大邱庄镇 117.0579981 38.8317556
天津市 市辖区 静海区 蔡公庄镇 117.0757602 38.7886044
天津市 市辖区 静海区 梁头镇 116.8485151 38.934353
天津市 市辖区 静海区 团泊镇 117.1576368 38.9023108
天津市 市辖区 静海区 双塘镇 116.9063009 38.8715112
天津市 市辖区 静海区 大丰堆镇 117.0005163 38.8960756
天津市 市辖区 静海区 沿庄镇 116.8269262 38.8155251
天津市 市辖区 静海区 西翟庄镇 117.0060282 38.7645752
天津市 市辖区 静海区 良王庄乡 116.9693729 39.0250777
天津市 市辖区 静海区 杨成庄乡 117.0463579 38.944535
天津市 市辖区 蓟州区 文昌街道 117.420911 40.0404301
天津市 市辖区 蓟州区 渔阳镇 117.4001091 40.0330604
天津市 市辖区 蓟州区 洇溜镇 117.3990631 39.9834482
天津市 市辖区 蓟州区 官庄镇 117.3037958 40.0615908
天津市 市辖区 蓟州区 马伸桥镇 117.5980234 40.0832352
天津市 市辖区 蓟州区 下营镇 117.4434047 40.1827157
天津市 市辖区 蓟州区 邦均镇 117.2939204 39.9892185
天津市 市辖区 蓟州区 别山镇 117.4884819 39.9584354
天津市 市辖区 蓟州区 尤古庄镇 117.2454905 39.9085539
天津市 市辖区 蓟州区 上仓镇 117.3951414 39.9047015
天津市 市辖区 蓟州区 下仓镇 117.4167147 39.7880836
天津市 市辖区 蓟州区 罗庄子镇 117.4129885 40.1378256
天津市 市辖区 蓟州区 白涧镇 117.2162973 39.9971581
天津市 市辖区 蓟州区 侯家营镇 117.2484463 39.8550345
天津市 市辖区 蓟州区 桑梓镇 117.1652736 39.908744
天津市 市辖区 蓟州区 东施古镇 117.3226249 39.885819
天津市 市辖区 蓟州区 下窝头镇 117.4002265 39.8624084
