addr_1 addr_2 addr_3 addr_4 lon lat
新疆维吾尔自治区 乌鲁木齐市 天山区 燕儿窝街道 87.5951115 43.737889
新疆维吾尔自治区 乌鲁木齐市 天山区 胜利路街道 87.6156096 43.765712
新疆维吾尔自治区 乌鲁木齐市 天山区 团结路街道 87.6163725 43.776546
新疆维吾尔自治区 乌鲁木齐市 天山区 解放南路街道 87.6124861 43.7872744
新疆维吾尔自治区 乌鲁木齐市 天山区 新华南路街道 87.6066799 43.7778758
新疆维吾尔自治区 乌鲁木齐市 天山区 和平路街道 87.6304555 43.7847769
新疆维吾尔自治区 乌鲁木齐市 天山区 解放北路街道 87.6209165 43.7947205
新疆维吾尔自治区 乌鲁木齐市 天山区 幸福路街道 87.6511598 43.7803385
新疆维吾尔自治区 乌鲁木齐市 天山区 东门街道 87.6298645 43.7981494
新疆维吾尔自治区 乌鲁木齐市 天山区 新华北路街道 87.6104285 43.7964489
新疆维吾尔自治区 乌鲁木齐市 天山区 青年路街道 87.6220311 43.805079
新疆维吾尔自治区 乌鲁木齐市 天山区 碱泉街道 87.6427076 43.7997903
新疆维吾尔自治区 乌鲁木齐市 天山区 延安路街道 87.6436195 43.7628936
新疆维吾尔自治区 乌鲁木齐市 天山区 红雁街道 87.6452245 43.7389568
新疆维吾尔自治区 乌鲁木齐市 天山区 南草滩街道 87.4572229 43.6556006
新疆维吾尔自治区 乌鲁木齐市 天山区 东泉路街道 87.6499128 43.7957874
新疆维吾尔自治区 乌鲁木齐市 沙依巴克区 长江路街道 87.5923037 43.7877769
新疆维吾尔自治区 乌鲁木齐市 沙依巴克区 和田街街道 87.6000461 43.7906
新疆维吾尔自治区 乌鲁木齐市 沙依巴克区 扬子江路街道 87.5956919 43.798691
新疆维吾尔自治区 乌鲁木齐市 沙依巴克区 友好南路街道 87.5864362 43.8108238
新疆维吾尔自治区 乌鲁木齐市 沙依巴克区 友好北路街道 87.5921095 43.821264
新疆维吾尔自治区 乌鲁木齐市 沙依巴克区 八一街道 87.5828443 43.8166963
新疆维吾尔自治区 乌鲁木齐市 沙依巴克区 炉院街街道 87.5909863 43.775258
新疆维吾尔自治区 乌鲁木齐市 沙依巴克区 西山街道 87.5353841 43.801365
