addr_1 addr_2 addr_3 addr_4 lon lat
西藏自治区 拉萨市 城关区 八廓街道 91.1313483 29.6516869
西藏自治区 拉萨市 城关区 吉日街道 91.1362811 29.6523753
西藏自治区 拉萨市 城关区 吉崩岗街道 91.1301674 29.6578417
西藏自治区 拉萨市 城关区 扎细街道 91.1436485 29.6753084
西藏自治区 拉萨市 城关区 公德林街道 91.1157307 29.6674153
西藏自治区 拉萨市 城关区 嘎玛贡桑街道 91.1521483 29.6600852
西藏自治区 拉萨市 城关区 两岛街道 91.1265224 29.6421365
西藏自治区 拉萨市 城关区 金珠西路街道 91.0496986 29.6398055
西藏自治区 拉萨市 城关区 蔡公堂街道 91.2199142 29.6415548
西藏自治区 拉萨市 城关区 夺底街道 91.1599 29.7119
西藏自治区 拉萨市 城关区 娘热街道 91.1184693 29.7001954
西藏自治区 拉萨市 城关区 纳金街道 91.1823894 29.6604992
西藏自治区 拉萨市 堆龙德庆区 东嘎街道 90.9978675 29.6528524
西藏自治区 拉萨市 堆龙德庆区 乃琼街道 90.9869332 29.633731
西藏自治区 拉萨市 堆龙德庆区 羊达街道 90.9507615 29.6664013
西藏自治区 拉萨市 堆龙德庆区 柳梧街道 91.0313982 29.5678221
西藏自治区 拉萨市 堆龙德庆区 古荣镇 90.7990128 29.7488102
西藏自治区 拉萨市 堆龙德庆区 马镇 90.7319935 29.8604906
西藏自治区 拉萨市 堆龙德庆区 德庆镇 90.7122398 29.9675421
西藏自治区 拉萨市 达孜区 德庆镇 91.3572786 29.6729145
西藏自治区 拉萨市 达孜区 塔杰乡 91.4437162 29.7465863
西藏自治区 拉萨市 达孜区 章多乡 91.4869418 29.7808659
西藏自治区 拉萨市 达孜区 唐嘎乡 91.552497 29.8403593
西藏自治区 拉萨市 达孜区 雪乡 91.4865895 29.8266112
西藏自治区 拉萨市 达孜区 帮堆乡 91.3749359 29.7006292
西藏自治区 拉萨市 林周县 甘丹曲果镇 91.2541653 29.8996399
西藏自治区 拉萨市 林周县 春堆乡 91.0309905 29.9371985
西藏自治区 拉萨市 林周县 松盘乡 91.2690903 29.9806919
西藏自治区 拉萨市 林周县 强嘎乡 91.1359463 29.9471504
西藏自治区 拉萨市 林周县 卡孜乡 91.172952 29.9038088
西藏自治区 拉萨市 林周县 边交林乡 91.4359789 29.8082309
西藏自治区 拉萨市 林周县 江热夏乡 91.3514278 29.867864
西藏自治区 拉萨市 林周县 阿朗乡 91.4922772 30.1107576
西藏自治区 拉萨市 林周县 唐古乡 91.5164348 30.3032094
西藏自治区 拉萨市 林周县 旁多乡 91.3335398 30.1927636
西藏自治区 拉萨市 当雄县 当曲卡镇 91.1091957 30.4797191
