addr_1 addr_2 addr_3 addr_4 lon lat
云南省 昆明市 五华区 华山街道 102.704219 25.0550933
云南省 昆明市 五华区 护国街道 102.7104418 25.0429364
云南省 昆明市 五华区 大观街道 102.6958615 25.0416043
云南省 昆明市 五华区 龙翔街道 102.6873609 25.0521556
云南省 昆明市 五华区 丰宁街道 102.6782355 25.0622746
云南省 昆明市 五华区 莲华街道 102.696989 25.0696246
云南省 昆明市 五华区 红云街道 102.723825 25.1169099
云南省 昆明市 五华区 黑林铺街道 102.6523383 25.0670356
云南省 昆明市 五华区 普吉街道 102.6687422 25.102321
云南省 昆明市 五华区 西翥街道 102.6620209 25.1627432
云南省 昆明市 盘龙区 拓东街道 102.724028 25.0414557
云南省 昆明市 盘龙区 鼓楼街道 102.7218511 25.0511994
云南省 昆明市 盘龙区 东华街道 102.7359767 25.0555172
云南省 昆明市 盘龙区 联盟街道 102.7227596 25.066901
云南省 昆明市 盘龙区 金辰街道 102.740607 25.0869305
云南省 昆明市 盘龙区 青云街道 102.78081 25.0630193
云南省 昆明市 盘龙区 龙泉街道 102.778391 25.1449958
云南省 昆明市 盘龙区 茨坝街道 102.7437268 25.1641357
云南省 昆明市 盘龙区 双龙街道 102.8481348 25.1142082
云南省 昆明市 盘龙区 松华街道 102.7383821 25.246296
云南省 昆明市 盘龙区 滇源街道 102.8771329 25.2953257
云南省 昆明市 盘龙区 阿子营街道 102.777985 25.3402215
云南省 昆明市 官渡区 关上街道 102.7404839 25.0143614
云南省 昆明市 官渡区 太和街道 102.7194236 25.0261189
云南省 昆明市 官渡区 吴井街道 102.7352194 25.0292789
云南省 昆明市 官渡区 金马街道 102.745 25.0408
云南省 昆明市 官渡区 小板桥街道 102.773 24.9786
云南省 昆明市 官渡区 官渡街道 102.7554702 24.9599345
云南省 昆明市 官渡区 矣六街道 102.788 24.944
云南省 昆明市 官渡区 六甲街道 102.709 24.9657
云南省 昆明市 官渡区 大板桥街道 102.877 25.05
云南省 昆明市 官渡区 阿拉街道 102.788349 24.998478
云南省 昆明市 官渡区 长水街道 102.9261553 25.0699125
云南省 昆明市 官渡区 小哨街道 102.9508102 25.1965295
云南省 昆明市 西山区 西苑街道 102.6661688 25.0434032
云南省 昆明市 西山区 马街街道 102.6350961 25.0269148
云南省 昆明市 西山区 金碧街道 102.698482 25.0307662
云南省 昆明市 西山区 永昌街道 102.7043729 25.0191485
云南省 昆明市 西山区 前卫街道 102.7042306 24.9966765
云南省 昆明市 西山区 福海街道 102.689 25.0172
云南省 昆明市 西山区 棕树营街道 102.6777773 25.0398712
云南省 昆明市 西山区 碧鸡街道 102.6225 24.985833
云南省 昆明市 西山区 海口街道 102.6062332 24.7885722
云南省 昆明市 西山区 团结街道 102.534 25.077
云南省 昆明市 东川区 铜都街道 103.1802985 26.0854699
云南省 昆明市 东川区 碧谷街道 103.1686248 26.1181849
云南省 昆明市 东川区 汤丹镇 103.0660754 26.1806687
云南省 昆明市 东川区 因民镇 102.9422173 26.2863427
云南省 昆明市 东川区 阿旺镇 103.2516866 25.9199779
云南省 昆明市 东川区 乌龙镇 103.0959251 26.0246469
云南省 昆明市 东川区 红土地镇 103.0154515 26.0280954
云南省 昆明市 东川区 拖布卡镇 103.041 26.3685
云南省 昆明市 东川区 舍块乡 102.8284275 26.2421108
云南省 昆明市 呈贡区 龙城街道 102.7962827 24.891439
云南省 昆明市 呈贡区 洛龙街道 102.8273059 24.8859707
云南省 昆明市 呈贡区 斗南街道 102.79 24.9134
云南省 昆明市 呈贡区 乌龙街道 102.8026562 24.8607826
云南省 昆明市 呈贡区 吴家营街道 102.845907 24.899963
云南省 昆明市 呈贡区 雨花街道 102.8282616 24.8389609
云南省 昆明市 呈贡区 七甸街道 102.9467974 24.9567126
云南省 昆明市 呈贡区 洛羊街道 102.807 24.9298
云南省 昆明市 呈贡区 大渔街道 102.792 24.8298
云南省 昆明市 呈贡区 马金铺街道 102.8043553 24.7884851
云南省 昆明市 晋宁区 昆阳街道 102.60121 24.6670067
云南省 昆明市 晋宁区 宝峰街道 102.552996 24.5553668
云南省 昆明市 晋宁区 晋城街道 102.7480514 24.7062474
云南省 昆明市 晋宁区 二街镇 102.488031 24.6986979
云南省 昆明市 晋宁区 上蒜镇 102.6883397 24.684404
云南省 昆明市 晋宁区 六街镇 102.6845305 24.5351614
云南省 昆明市 晋宁区 双河彝族乡 102.4314517 24.5654833
云南省 昆明市 晋宁区 夕阳彝族乡 102.2879286 24.4637206
云南省 昆明市 富民县 永定街道 102.4932544 25.2259924
云南省 昆明市 富民县 大营街道 102.5248641 25.2235624
云南省 昆明市 富民县 罗免镇 102.4583562 25.3371079
云南省 昆明市 富民县 赤鹫镇 102.508 25.3548
云南省 昆明市 富民县 东村镇 102.6741901 25.519288
云南省 昆明市 富民县 款庄镇 102.6727007 25.4529621
云南省 昆明市 富民县 散旦镇 102.655822 25.304065
云南省 昆明市 宜良县 匡远街道 103.1496431 24.9192114
云南省 昆明市 宜良县 汤池街道 103.037 24.9622
云南省 昆明市 宜良县 南羊街道 103.159773 24.916247
云南省 昆明市 宜良县 北古城镇 103.1843348 24.9735701
云南省 昆明市 宜良县 狗街镇 103.14 24.7922
云南省 昆明市 宜良县 竹山镇 103.1151661 24.575274
云南省 昆明市 宜良县 马街镇 103.213 25.203
云南省 昆明市 宜良县 耿家营彝族苗族乡 103.2304762 25.0322313
云南省 昆明市 宜良县 九乡彝族回族乡 103.379 25.1011
云南省 昆明市 石林彝族自治县 鹿阜街道 103.2893719 24.7677302
云南省 昆明市 石林彝族自治县 石林街道 103.3219085 24.824132
云南省 昆明市 石林彝族自治县 板桥街道 103.2582162 24.6817398
云南省 昆明市 石林彝族自治县 西街口镇 103.5111138 24.8261
云南省 昆明市 石林彝族自治县 长湖镇 103.4041307 24.7089204
云南省 昆明市 石林彝族自治县 圭山镇 103.5546116 24.6454098
云南省 昆明市 石林彝族自治县 大可乡 103.2422808 24.6106168
云南省 昆明市 嵩明县 嵩阳街道 103.0389076 25.334539
云南省 昆明市 嵩明县 杨桥街道 103.02979 25.344533
云南省 昆明市 嵩明县 小街镇 103.1205181 25.3105778
云南省 昆明市 嵩明县 杨林镇 103.0643427 25.2260117
云南省 昆明市 嵩明县 牛栏江镇 103.1314171 25.2748329
云南省 昆明市 禄劝彝族苗族自治县 屏山街道 102.4658327 25.5586696
云南省 昆明市 禄劝彝族苗族自治县 崇德街道 102.5101286 25.4987475
云南省 昆明市 禄劝彝族苗族自治县 撒营盘镇 102.5247581 26.0030007
云南省 昆明市 禄劝彝族苗族自治县 转龙镇 102.8556365 25.9067907
云南省 昆明市 禄劝彝族苗族自治县 茂山镇 102.49906 25.667761
云南省 昆明市 禄劝彝族苗族自治县 团街镇 102.5269244 25.7651809
云南省 昆明市 禄劝彝族苗族自治县 中屏镇 102.618539 25.867261
云南省 昆明市 禄劝彝族苗族自治县 皎平渡镇 102.449 26.1271
云南省 昆明市 禄劝彝族苗族自治县 乌东德镇 102.5335946 26.2589791
云南省 昆明市 禄劝彝族苗族自治县 翠华镇 102.58469 25.631582
云南省 昆明市 禄劝彝族苗族自治县 九龙镇 102.79894 25.74251
云南省 昆明市 禄劝彝族苗族自治县 云龙乡 102.4255205 25.8466868
