addr_1 addr_2 addr_3 addr_4 lon lat
浙江省 杭州市 上城区 清波街道 120.1564266 30.2409992
浙江省 杭州市 上城区 湖滨街道 120.1659292 30.257916
浙江省 杭州市 上城区 小营街道 120.1721223 30.2420829
浙江省 杭州市 上城区 南星街道 120.1576771 30.2097152
浙江省 杭州市 上城区 紫阳街道 120.1718533 30.2214689
浙江省 杭州市 上城区 望江街道 120.1938406 30.2377572
浙江省 杭州市 上城区 凯旋街道 120.1994267 30.2699621
浙江省 杭州市 上城区 采荷街道 120.193951 30.2578492
浙江省 杭州市 上城区 闸弄口街道 120.186526 30.2914991
浙江省 杭州市 上城区 四季青街道 120.1982241 30.2548183
浙江省 杭州市 上城区 彭埠街道 120.2243461 30.2909421
浙江省 杭州市 上城区 笕桥街道 120.2139911 30.3184113
浙江省 杭州市 上城区 丁兰街道 120.2131157 30.3603021
浙江省 杭州市 上城区 九堡街道 120.2679308 30.3137648
浙江省 杭州市 拱墅区 米市巷街道 120.1458221 30.2886357
浙江省 杭州市 拱墅区 湖墅街道 120.1402931 30.2957108
浙江省 杭州市 拱墅区 小河街道 120.1272088 30.3079915
浙江省 杭州市 拱墅区 和睦街道 120.1203205 30.3104438
浙江省 杭州市 拱墅区 拱宸桥街道 120.1398208 30.3237537
浙江省 杭州市 拱墅区 大关街道 120.1517651 30.3077177
浙江省 杭州市 拱墅区 上塘街道 120.1506271 30.3144543
浙江省 杭州市 拱墅区 祥符街道 120.1019047 30.325797
浙江省 杭州市 拱墅区 康桥街道 120.1442204 30.3673984
浙江省 杭州市 拱墅区 半山街道 120.1746926 30.3521725
浙江省 杭州市 拱墅区 天水街道 120.1576647 30.2692979
浙江省 杭州市 拱墅区 武林街道 120.1616144 30.261717
浙江省 杭州市 拱墅区 长庆街道 120.1683531 30.2625852
浙江省 杭州市 拱墅区 潮鸣街道 120.1770973 30.262968
浙江省 杭州市 拱墅区 朝晖街道 120.1549923 30.2924795
浙江省 杭州市 拱墅区 文晖街道 120.1762176 30.2954168
浙江省 杭州市 拱墅区 东新街道 120.1665769 30.3130964
浙江省 杭州市 拱墅区 石桥街道 120.1845968 30.3401509
浙江省 杭州市 西湖区 北山街道 120.1448624 30.2712778
浙江省 杭州市 西湖区 西溪街道 120.1446817 30.2777392
浙江省 杭州市 西湖区 翠苑街道 120.1192235 30.2761999
浙江省 杭州市 西湖区 古荡街道 120.1139972 30.2789383
浙江省 杭州市 西湖区 西湖街道 120.1065023 30.2477733
浙江省 杭州市 西湖区 留下街道 120.0480285 30.2316096
浙江省 杭州市 西湖区 转塘街道 120.0741512 30.1615766
浙江省 杭州市 西湖区 蒋村街道 120.0596699 30.2830441
浙江省 杭州市 西湖区 灵隐街道 120.1218627 30.2609841
浙江省 杭州市 西湖区 文新街道 120.0991537 30.2785799
浙江省 杭州市 西湖区 三墩镇 120.0799906 30.3237201
浙江省 杭州市 西湖区 双浦镇 120.117024 30.1152744
浙江省 杭州市 滨江区 西兴街道 120.2282341 30.1897132
浙江省 杭州市 滨江区 长河街道 120.1852244 30.1801009
浙江省 杭州市 滨江区 浦沿街道 120.1571482 30.1672131
浙江省 杭州市 萧山区 城厢街道 120.2695902 30.1629635
浙江省 杭州市 萧山区 北干街道 120.2726294 30.1840307
浙江省 杭州市 萧山区 蜀山街道 120.2566657 30.1271279
浙江省 杭州市 萧山区 新塘街道 120.3045014 30.1508967
浙江省 杭州市 萧山区 靖江街道 120.4718214 30.2324562
浙江省 杭州市 萧山区 南阳街道 120.4394846 30.2647286
浙江省 杭州市 萧山区 闻堰街道 120.1792288 30.1255185
浙江省 杭州市 萧山区 宁围街道 120.2755776 30.2177403
