addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
北京市,市辖区,东城区,东华门街道,116.4010966,39.9146633,65,187,130,221,601,912,61,7,30,27,77,22,15,71,876,102,8441,8,19,7,14,13,30,90,97,6,0,3,2,8,2,2,10,164,9,2143,8,13,8985515547,15716134,市辖区东城区,市辖区东城区东华门街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,景山街道,116.4042521,39.9253805,78,177,129,225,502,884,79,6,20,26,75,24,16,74,813,96,7756,8,19,0,37,11,12,81,130,3,0,2,7,13,2,2,10,130,17,907,8,11,8985515548,15716132,市辖区东城区,市辖区东城区景山街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,交道口街道,116.3947378,39.9342778,46,164,101,198,492,860,83,6,15,29,91,21,11,45,687,95,8676,8,17,0,22,14,11,57,92,15,2,0,4,17,1,2,4,114,14,355,8,12,8985515555,15716130,市辖区东城区,市辖区东城区交道口街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,安定门街道,116.4064504,39.9428961,78,147,144,299,507,975,79,7,13,19,95,24,11,65,668,96,6010,8,15,12,37,1,29,25,114,10,2,0,3,13,4,2,8,178,15,457,8,12,8985515556,15716129,市辖区东城区,市辖区东城区安定门街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,北新桥街道,116.4183336,39.9410338,86,135,175,287,540,976,79,9,17,25,96,23,12,85,967,96,5142,8,16,16,16,19,39,47,140,16,0,2,3,14,5,1,15,116,12,451,7,9,8985515557,15716131,市辖区东城区,市辖区东城区北新桥街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,东四街道,116.4177314,39.9292472,107,149,174,263,528,919,85,7,23,26,79,25,16,96,1197,98,6916,8,21,8,37,10,20,57,88,6,0,2,3,8,3,3,10,80,15,719,8,9,8985515558,15716133,市辖区东城区,市辖区东城区东四街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,朝阳门街道,116.4242076,39.9193335,126,149,171,267,583,984,73,5,22,23,72,29,14,130,1207,98,6742,8,23,14,16,18,33,94,63,3,0,4,3,8,2,4,9,83,17,766,6,9,8985515559,15716135,市辖区东城区,市辖区东城区朝阳门街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,建国门街道,116.4214716,39.9126556,118,155,138,266,599,901,52,4,28,21,67,24,13,119,910,99,6922,8,22,26,6,16,31,103,74,2,0,3,2,10,2,5,12,74,16,707,7,10,8985515579,15716136,市辖区东城区,市辖区东城区建国门街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,东直门街道,116.4358106,39.9293011,150,118,186,314,508,987,99,6,23,23,77,20,11,125,1250,73,5214,8,20,16,40,14,45,49,104,13,0,4,4,4,6,1,24,197,8,484,6,10,8985515580,15716128,市辖区东城区,市辖区东城区东直门街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,和平里街道,116.4172666,39.9549059,129,149,183,414,482,1045,90,7,7,22,84,18,7,73,580,79,4487,8,16,10,16,14,65,62,132,6,0,4,3,10,1,1,6,18,10,452,7,10,8985515581,13298685,市辖区东城区,市辖区东城区和平里街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,前门街道,116.4011136,39.8924273,78,158,122,315,600,928,50,6,30,15,69,16,6,57,523,96,5875,8,21,0,27,15,48,89,137,6,1,7,3,7,3,1,12,80,15,498,8,12,8985515582,15716141,市辖区东城区,市辖区东城区前门街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,崇文门外街道,116.4207538,39.8933813,107,123,141,321,575,859,43,7,24,15,79,14,11,72,584,82,5352,8,20,0,28,12,37,107,123,3,2,4,1,16,1,1,18,67,24,485,7,11,8985515583,15716142,市辖区东城区,市辖区东城区崇文门外街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,东花市街道,116.425213,39.8977782,108,109,140,325,610,871,38,7,24,15,74,15,13,101,708,83,5351,8,21,15,17,35,41,107,119,4,3,1,1,10,2,2,12,55,18,513,8,14,8985515584,15716137,市辖区东城区,市辖区东城区东花市街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,龙潭街道,116.4316085,39.8855535,130,93,127,362,532,831,45,11,18,18,79,7,10,87,406,62,4184,8,18,13,8,22,52,81,87,3,0,6,1,12,1,2,13,46,13,479,6,7,8985515585,15716140,市辖区东城区,市辖区东城区龙潭街道,20.0,30.0,30.0,20.0,100.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,体育馆路街道,116.4160921,39.8855494,96,132,115,349,554,892,46,7,24,17,84,14,8,60,460,80,4608,8,20,0,20,15,37,90,103,6,0,6,2,13,1,0,10,46,15,329,6,8,8985515586,15716139,市辖区东城区,市辖区东城区体育馆路街道,20.0,30.0,28.0,20.0,98.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,天坛街道,116.3928958,39.8878583,65,175,119,331,598,926,81,8,30,14,66,17,4,51,418,89,5335,8,21,0,25,5,36,83,112,4,1,6,1,6,1,0,0,106,9,705,8,10,8985515587,15716138,市辖区东城区,市辖区东城区天坛街道,20.0,30.0,26.0,20.0,96.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,东城区,永定门外街道,116.3962389,39.8642402,110,112,107,383,478,923,95,7,12,15,74,9,1,18,227,97,3767,8,19,27,7,0,63,58,144,9,1,0,1,11,1,0,1,13,20,424,8,11,10806949232,15715291,市辖区东城区,市辖区东城区永定门外街道,20.0,30.0,28.0,20.0,98.0,99.52941176470588,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,西长安街街道,116.3768256,39.90303,75,176,142,326,627,980,69,7,42,27,67,19,5,67,610,65,8557,8,20,13,41,4,42,65,114,5,1,5,2,10,3,0,8,26,8,596,8,12,8986305149,13210714,市辖区西城区,市辖区西城区西长安街街道,20.0,30.0,28.0,20.0,98.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,新街口街道,116.360461,39.9388031,117,113,162,377,528,948,104,7,22,29,87,17,9,47,364,40,6210,8,22,24,10,18,45,81,102,14,1,5,5,15,4,0,2,52,14,459,6,10,8986305150,13202425,市辖区西城区,市辖区西城区新街口街道,20.0,30.0,28.0,20.0,98.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,月坛街道,116.3384921,39.9135891,217,111,159,466,511,1130,63,5,32,17,77,11,4,69,334,52,4593,8,21,18,12,44,17,54,123,2,1,1,2,9,0,0,2,24,14,327,6,9,8986305151,13210712,市辖区西城区,市辖区西城区月坛街道,20.0,30.0,23.0,20.0,93.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,展览路街道,116.3365418,39.9314654,159,98,178,404,503,1015,67,5,28,26,72,13,3,73,333,45,4880,8,22,10,14,23,69,42,170,8,1,3,2,11,2,1,5,41,1,741,7,8,8986305152,13202424,市辖区西城区,市辖区西城区展览路街道,20.0,30.0,30.0,20.0,100.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,德胜街道,116.3751863,39.9527374,122,119,143,386,510,892,102,9,15,28,92,14,9,52,438,54,5192,8,17,16,17,10,40,63,119,6,0,0,4,7,4,0,2,19,2,626,8,9,8986305153,13202423,市辖区西城区,市辖区西城区德胜街道,20.0,30.0,28.0,20.0,98.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,金融街街道,116.3566423,39.9119229,145,160,135,382,541,984,61,7,39,27,81,17,3,57,373,63,6294,8,21,28,4,38,68,71,119,11,3,11,3,8,1,0,20,112,4,376,7,11,8986305154,13210713,市辖区西城区,市辖区西城区金融街街道,20.0,30.0,28.0,20.0,98.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,什刹海街道,116.3757239,39.9321325,100,146,132,317,500,910,78,8,27,30,93,16,7,44,540,73,7707,8,20,0,16,8,19,52,83,10,1,0,8,14,2,0,3,39,2,990,8,9,8986305155,13202426,市辖区西城区,市辖区西城区什刹海街道,20.0,30.0,28.0,20.0,98.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,大栅栏街道,116.3869006,39.8915005,63,177,141,311,616,931,91,8,33,16,68,19,3,56,539,79,6063,8,20,0,32,25,32,71,161,6,1,2,1,11,3,0,3,118,4,864,8,10,8986305156,13210719,市辖区西城区,市辖区西城区大栅栏街道,20.0,30.0,28.0,20.0,98.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,天桥街道,116.3901422,39.8824304,69,166,124,357,581,1008,102,9,26,20,72,23,2,45,381,96,4635,8,20,0,31,23,42,64,132,6,1,0,2,9,0,0,0,43,5,415,8,9,8986305157,13202422,市辖区西城区,市辖区西城区天桥街道,20.0,30.0,21.0,20.0,91.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,椿树街道,116.3731989,39.8925236,109,145,158,374,663,965,146,8,45,19,68,22,3,65,492,60,5785,8,22,0,43,8,41,59,103,4,1,3,4,8,3,0,7,41,5,468,7,9,8985515588,13210718,市辖区西城区,市辖区西城区椿树街道,20.0,30.0,28.0,20.0,98.0,96.53333333333333,77.71924198250728,77.71924198250728
北京市,市辖区,西城区,陶然亭街道,116.3766002,39.8788313,91,141,176,388,612,1014,134,9,27,21,74,19,2,34,337,87,4562,8,20,0,8,34,32,89,96,14,2,3,1,8,0,0,4,25,11,505,7,10,8985515589,13202421,市辖区西城区,市辖区西城区陶然亭街道,20.0,30.0,23.0,20.0,93.0,96.53333333333333,77.71924198250728,77.71924198250728
