addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
甘肃省,兰州市,城关区,酒泉路街道,103.8310669,36.0499514,118,203,195,146,503,318,78,3,62,31,51,24,7,197,712,43,6366,9,21,0,24,45,43,98,56,13,0,18,7,13,7,2,70,181,8,1319,8,7,11637481789,7034375,兰州市城关区,兰州市城关区酒泉路街道,20.0,30.0,30.0,20.0,100.0,96.56,75.43185840707964,48.116617647058824
甘肃省,兰州市,城关区,张掖路街道,103.8196284,36.0617157,121,215,167,148,465,252,66,2,56,29,44,23,8,156,524,42,5689,9,18,14,59,38,16,59,52,13,0,14,5,7,6,0,30,156,4,864,8,12,11637224128,7034374,兰州市城关区,兰州市城关区张掖路街道,20.0,30.0,28.0,20.0,98.0,96.56,75.43185840707964,48.116617647058824
甘肃省,兰州市,城关区,雁南街道,103.8767704,36.0613868,0,145,168,133,525,229,48,9,18,17,35,9,5,85,279,24,4426,9,14,0,13,25,6,102,28,5,0,1,1,3,1,1,13,22,5,561,6,6,8063069867,17205648,兰州市城关区,兰州市城关区雁南街道,20.0,30.0,30.0,20.0,100.0,96.56,75.43185840707964,48.116617647058824
甘肃省,兰州市,城关区,临夏路街道,103.8116283,36.0594324,139,214,139,145,483,240,60,1,49,26,41,23,7,140,484,42,5305,9,19,32,83,9,15,77,43,10,0,8,8,6,3,1,25,151,6,812,8,9,11637224127,7034373,兰州市城关区,兰州市城关区临夏路街道,20.0,30.0,30.0,20.0,100.0,96.56,75.43185840707964,48.116617647058824
甘肃省,兰州市,城关区,雁北街道,103.8767704,36.0613868,0,147,171,133,531,229,50,9,18,17,36,10,5,87,285,24,4464,9,14,0,13,25,6,101,27,5,0,1,1,3,1,1,11,21,5,573,6,6,-2,7034361,兰州市城关区,兰州市城关区雁北街道,13.0,30.0,30.0,20.0,93.0,96.56,75.43185840707964,48.116617647058824
甘肃省,兰州市,城关区,五泉街道,103.8316598,36.0432592,121,182,177,135,452,299,71,3,62,30,50,21,7,191,688,38,5871,9,20,11,5,38,29,103,51,10,0,9,5,14,6,2,45,118,12,1297,8,8,11637481790,7034370,兰州市城关区,兰州市城关区五泉街道,20.0,30.0,30.0,20.0,100.0,96.56,75.43185840707964,48.116617647058824
甘肃省,兰州市,城关区,白银路街道,103.8201897,36.0521933,127,192,172,133,466,274,57,1,59,30,51,24,9,172,558,47,5858,9,19,10,61,43,28,74,52,10,0,12,7,10,8,2,55,207,6,1115,7,10,11637224129,7034372,兰州市城关区,兰州市城关区白银路街道,20.0,30.0,30.0,20.0,100.0,96.56,75.43185840707964,48.116617647058824
甘肃省,兰州市,城关区,皋兰路街道,103.8382105,36.0473755,48,195,221,164,476,330,83,6,62,34,58,24,6,207,751,41,6602,9,20,0,14,36,56,87,60,13,0,21,9,17,3,2,61,200,10,1238,8,8,11637481788,7034360,兰州市城关区,兰州市城关区皋兰路街道,20.0,30.0,30.0,20.0,100.0,96.56,75.43185840707964,48.116617647058824
甘肃省,兰州市,城关区,广武门街道,103.8428369,36.0555326,39,230,232,179,567,364,87,6,63,34,61,23,6,214,788,41,7198,9,19,2,15,43,46,48,46,18,0,25,7,12,5,1,51,146,3,954,8,10,11684580562,7034371,兰州市城关区,兰州市城关区广武门街道,20.0,30.0,30.0,20.0,100.0,96.56,75.43185840707964,48.116617647058824
甘肃省,兰州市,城关区,伏龙坪街道,103.8081184,36.0509143,146,188,123,129,468,215,55,0,43,26,38,22,7,138,431,46,5028,9,19,62,50,12,16,90,23,5,0,1,5,5,2,1,5,32,5,611,6,11,11637224130,7034376,兰州市城关区,兰州市城关区伏龙坪街道,20.0,28.0,30.0,20.0,98.0,96.56,75.43185840707964,48.116617647058824
