addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
贵州省,贵阳市,南明区,新华路街道,106.708202,26.550093,121,54,84,76,167,50,5,0,3,6,4,2,1,3,32,3,203,7,14,4,0,15,7,26,4,0,0,0,0,0,0,0,0,0,0,8,1,7,-1,-1,贵阳市南明区,贵阳市南明区新华路街道,3.0,28.0,5.0,20.0,56.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,西湖路街道,106.708202,26.550093,121,54,84,76,167,50,5,0,3,6,4,2,1,3,32,3,203,7,14,4,0,15,7,26,4,0,0,0,0,0,0,0,0,0,0,8,1,7,-1,-1,贵阳市南明区,贵阳市南明区西湖路街道,3.0,28.0,5.0,20.0,56.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,水口寺街道,106.708202,26.550093,121,54,84,76,167,50,5,0,3,6,4,2,1,3,32,3,203,7,14,4,0,15,7,26,4,0,0,0,0,0,0,0,0,0,0,8,1,7,-1,-1,贵阳市南明区,贵阳市南明区水口寺街道,3.0,28.0,5.0,20.0,56.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,中华南路街道,106.708202,26.550093,121,54,84,76,167,50,5,0,3,6,4,2,1,3,32,3,203,7,14,4,0,15,7,26,4,0,0,0,0,0,0,0,0,0,0,8,1,7,-1,-1,贵阳市南明区,贵阳市南明区中华南路街道,3.0,28.0,5.0,20.0,56.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,河滨街道,106.70168,26.568806,125,140,131,103,205,112,12,2,5,9,16,3,4,22,90,14,432,7,13,40,26,14,26,24,16,5,0,2,2,2,1,1,0,19,2,96,6,11,-1,-1,贵阳市南明区,贵阳市南明区河滨街道,5.0,30.0,28.0,20.0,83.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,遵义路街道,106.708202,26.550093,121,54,84,76,167,50,5,0,3,6,4,2,1,3,32,3,203,7,14,4,0,15,7,26,4,0,0,0,0,0,0,0,0,0,0,8,1,7,-1,-1,贵阳市南明区,贵阳市南明区遵义路街道,3.0,28.0,5.0,20.0,56.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,兴关路街道,106.712531,26.563235,136,103,105,84,179,77,10,1,4,9,14,3,4,18,82,10,309,8,12,13,6,8,11,27,1,4,0,1,3,2,1,0,0,14,0,50,5,10,-1,-1,贵阳市南明区,贵阳市南明区兴关路街道,5.0,30.0,26.0,20.0,81.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,沙冲路街道,106.691245,26.543099,92,22,70,82,142,70,3,0,1,3,0,0,1,0,18,0,207,7,12,6,0,4,10,17,4,0,0,0,0,0,0,0,0,0,0,8,4,5,-1,-1,贵阳市南明区,贵阳市南明区沙冲路街道,0.0,28.0,5.0,20.0,53.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,望城街道,106.708202,26.550093,121,54,84,76,167,50,5,0,3,6,4,2,1,3,32,3,203,7,14,4,0,15,7,26,4,0,0,0,0,0,0,0,0,0,0,8,1,7,-1,-1,贵阳市南明区,贵阳市南明区望城街道,3.0,28.0,5.0,20.0,56.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,太慈桥街道,106.708202,26.550093,121,54,84,76,167,50,5,0,3,6,4,2,1,3,32,3,203,7,14,4,0,15,7,26,4,0,0,0,0,0,0,0,0,0,0,8,1,7,-1,-1,贵阳市南明区,贵阳市南明区太慈桥街道,3.0,28.0,5.0,20.0,56.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,湘雅街道,106.689172,26.568032,139,122,145,106,201,113,8,2,3,5,10,1,3,8,62,9,348,7,13,43,12,27,34,3,23,0,0,0,1,0,0,0,0,3,2,55,5,8,-1,-1,贵阳市南明区,贵阳市南明区湘雅街道,5.0,30.0,13.0,20.0,68.0,57.96521739130435,44.654794520547945,32.414900662251654
贵州省,贵阳市,南明区,油榨街道,106.727797,26.562978,97,54,66,56,138,50,10,1,5,8,10,3,3,16,67,4,231,8,13,14,13,2,4,32,7,0,0,0,2,0,0,0,0,4,1,8,3,3,-1,-1,贵阳市南明区,贵阳市南明区油榨街道,4.0,30.0,14.0,20.0,68.0,57.96521739130435,44.654794520547945,32.414900662251654
