addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
河南省,郑州市,中原区,林山寨街道,113.6127743,34.7371591,8,61,11,80,120,581,24,1,13,15,37,6,1,18,42,19,1373,8,13,2,12,4,20,5,67,2,1,0,1,4,0,0,1,9,1,123,5,7,6823410652,-1,郑州市中原区,郑州市中原区林山寨街道,12.0,30.0,23.0,20.0,85.0,77.03571428571429,58.705027932960895,42.67827320632347
河南省,郑州市,中原区,建设路街道,113.6064776,34.7553305,20,59,45,80,148,474,27,1,9,10,31,7,1,19,35,15,1361,8,13,0,12,0,8,24,75,5,0,1,4,12,0,1,4,5,3,239,5,6,6823410651,-1,郑州市中原区,郑州市中原区建设路街道,12.0,30.0,24.0,20.0,86.0,77.03571428571429,58.705027932960895,42.67827320632347
河南省,郑州市,中原区,棉纺路街道,113.6146979,34.7609238,28,57,50,88,187,428,32,1,9,12,37,7,1,16,38,15,1328,8,13,0,10,11,13,34,56,4,0,0,3,10,1,1,6,7,2,17,6,9,6823410654,-1,郑州市中原区,郑州市中原区棉纺路街道,12.0,30.0,30.0,20.0,92.0,77.03571428571429,58.705027932960895,42.67827320632347
河南省,郑州市,中原区,秦岭路街道,113.6000238,34.7637384,26,43,54,86,150,407,19,1,7,7,30,6,1,13,22,11,1123,8,13,0,8,2,9,29,41,0,0,0,0,5,0,0,0,4,1,24,4,7,6823410655,-1,郑州市中原区,郑州市中原区秦岭路街道,12.0,30.0,14.0,20.0,76.0,77.03571428571429,58.705027932960895,42.67827320632347
河南省,郑州市,中原区,桐柏路街道,113.6094445,34.7698489,34,36,60,87,179,371,19,1,8,5,30,6,1,12,29,10,961,8,14,2,6,10,9,40,44,1,0,0,0,4,1,0,0,2,1,4,5,7,6823410659,-1,郑州市中原区,郑州市中原区桐柏路街道,12.0,30.0,17.0,20.0,79.0,77.03571428571429,58.705027932960895,42.67827320632347
河南省,郑州市,中原区,三官庙街道,113.5892929,34.7554535,41,41,53,76,156,416,20,2,7,7,24,5,1,14,25,13,1061,8,11,4,12,1,8,20,38,0,0,0,0,3,0,0,0,5,2,338,6,5,6823410657,-1,郑州市中原区,郑州市中原区三官庙街道,12.0,30.0,15.0,20.0,77.0,77.03571428571429,58.705027932960895,42.67827320632347
河南省,郑州市,中原区,绿东村街道,113.5941412,34.7419092,35,59,23,80,160,430,17,2,9,6,25,6,1,18,32,12,1237,8,13,2,4,0,10,23,82,1,0,0,2,1,0,0,2,8,3,373,4,6,6823410653,-1,郑州市中原区,郑州市中原区绿东村街道,12.0,30.0,23.0,20.0,85.0,77.03571428571429,58.705027932960895,42.67827320632347
河南省,郑州市,中原区,汝河路街道,113.5907364,34.7296304,30,31,31,79,135,359,6,1,2,4,14,0,0,4,23,9,902,7,10,6,6,0,18,19,62,0,0,0,0,2,0,0,0,0,1,0,3,3,6887462728,-1,郑州市中原区,郑州市中原区汝河路街道,12.0,30.0,10.0,20.0,72.0,77.03571428571429,58.705027932960895,42.67827320632347
河南省,郑州市,中原区,航海西路街道,113.6003387,34.734449,22,42,20,79,108,493,18,1,10,8,28,5,1,18,30,11,1243,8,13,2,8,4,12,10,84,2,1,0,2,1,0,0,4,11,1,49,4,3,6887462727,-1,郑州市中原区,郑州市中原区航海西路街道,12.0,30.0,23.0,20.0,85.0,77.03571428571429,58.705027932960895,42.67827320632347
河南省,郑州市,中原区,中原西路街道,113.5948523,34.7474865,34,51,35,85,150,447,20,2,8,7,29,7,1,18,35,13,1231,8,12,0,4,0,6,18,71,1,0,0,0,3,0,0,0,7,3,594,5,5,6823410663,-1,郑州市中原区,郑州市中原区中原西路街道,12.0,30.0,16.0,20.0,78.0,77.03571428571429,58.705027932960895,42.67827320632347
