addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
湖南省,长沙市,芙蓉区,文艺路街道,112.9865741,28.1936148,10,139,111,123,480,195,29,0,17,37,59,8,4,28,181,24,5374,8,14,0,39,14,41,53,34,3,0,1,10,10,2,2,11,22,3,1585,7,7,8529450723,12458528,长沙市芙蓉区,长沙市芙蓉区文艺路街道,20.0,28.0,30.0,20.0,98.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,朝阳街街道,112.9976462,28.1932366,21,137,103,131,583,176,21,0,21,39,59,7,3,29,175,20,5447,8,14,0,35,8,12,44,41,1,0,0,8,8,2,0,5,25,1,875,5,7,8529450722,12458527,长沙市芙蓉区,长沙市芙蓉区朝阳街街道,20.0,28.0,28.0,20.0,96.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,韭菜园街道,112.9921531,28.2039024,10,113,119,133,575,144,30,0,14,35,59,7,3,26,166,26,4733,8,15,0,15,14,16,34,26,3,0,2,1,7,5,1,4,19,2,271,6,9,8529450724,12458526,长沙市芙蓉区,长沙市芙蓉区韭菜园街道,20.0,28.0,30.0,20.0,98.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,五里牌街道,113.0072593,28.1976997,25,120,75,118,535,143,11,0,18,25,45,8,2,21,89,17,4476,7,15,6,26,26,16,36,32,2,0,0,2,4,2,0,5,17,2,474,5,8,8529450721,12458525,长沙市芙蓉区,长沙市芙蓉区五里牌街道,20.0,28.0,28.0,20.0,96.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,火星街道,113.0224513,28.2042806,22,87,83,75,475,98,7,3,12,9,27,5,0,7,49,12,1707,7,17,6,11,22,10,107,10,1,0,1,2,6,2,0,2,3,1,198,3,7,8529450718,16244342,长沙市芙蓉区,长沙市芙蓉区火星街道,20.0,30.0,25.0,20.0,95.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,马王堆街道,113.0239963,28.2137351,45,71,93,95,476,75,14,4,16,7,25,5,0,7,30,15,1265,7,18,10,7,16,17,140,5,1,0,1,1,7,2,0,0,0,1,157,4,6,8529450719,16244340,长沙市芙蓉区,长沙市芙蓉区马王堆街道,20.0,30.0,20.0,20.0,90.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,东屯渡街道,113.0328368,28.1927827,36,91,92,94,364,98,5,1,8,6,24,2,0,3,38,9,1642,7,16,2,15,13,13,40,22,0,0,5,1,1,0,0,0,9,2,77,5,6,8529447316,16244339,长沙市芙蓉区,长沙市芙蓉区东屯渡街道,20.0,30.0,21.0,20.0,91.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,湘湖街道,113.0072593,28.2106341,34,112,82,133,545,118,19,2,6,17,37,7,2,17,67,14,2495,8,17,4,2,15,9,119,3,0,0,2,1,4,0,0,0,1,1,425,4,8,8529450720,16244341,长沙市芙蓉区,长沙市芙蓉区湘湖街道,20.0,30.0,16.0,20.0,86.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,定王台街道,112.9761886,28.1959599,0,130,106,114,434,178,29,0,15,37,61,11,4,28,181,21,4343,8,12,0,33,25,44,108,31,8,0,2,4,11,1,2,13,86,4,1303,8,7,8529450726,12458529,长沙市芙蓉区,长沙市芙蓉区定王台街道,20.0,28.0,30.0,20.0,98.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,荷花园街道,113.0168723,28.1951278,35,106,71,89,491,120,4,0,15,15,34,6,1,8,59,13,3444,8,14,8,24,23,17,72,25,1,0,0,0,1,0,0,2,10,2,175,5,7,8529450717,12458524,长沙市芙蓉区,长沙市芙蓉区荷花园街道,20.0,28.0,18.0,20.0,86.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,东岸街道,113.0502739,28.2016913,4,59,83,78,265,53,13,2,7,3,22,5,1,3,17,7,667,7,21,0,13,16,12,25,8,1,1,1,0,4,0,0,0,1,1,77,3,7,8529447314,16244344,长沙市芙蓉区,长沙市芙蓉区东岸街道,20.0,30.0,11.0,20.0,81.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,马坡岭街道,113.0550892,28.2108986,13,50,85,85,188,24,20,4,8,3,25,5,1,1,5,8,760,6,20,0,5,22,14,10,2,2,1,0,0,4,0,0,0,1,1,118,1,10,8529447315,16244345,长沙市芙蓉区,长沙市芙蓉区马坡岭街道,20.0,30.0,11.0,20.0,81.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,芙蓉区,东湖街道,113.0841636,28.1957329,8,50,56,66,280,27,20,1,0,5,22,3,1,2,51,2,751,9,20,0,9,11,8,89,14,0,0,0,2,4,0,1,2,46,1,116,6,9,8529447313,16244343,长沙市芙蓉区,长沙市芙蓉区东湖街道,17.0,30.0,20.0,20.0,87.0,91.0,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,坡子街街道,112.965451,28.1886772,0,111,134,113,407,189,31,2,13,36,55,9,4,23,163,21,4120,9,13,0,11,18,12,84,22,1,0,2,4,7,1,1,2,39,2,287,6,8,5839885525,8542184,长沙市天心区,长沙市天心区坡子街街道,20.0,30.0,30.0,20.0,100.0,85.94285714285715,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,城南路街道,112.9753371,28.1844272,0,114,111,110,452,193,27,1,17,37,61,12,4,27,170,23,5347,8,14,0,18,18,27,88,19,4,0,3,9,15,0,1,3,29,2,1085,7,8,5839885658,12458533,长沙市天心区,长沙市天心区城南路街道,20.0,30.0,25.0,20.0,95.0,85.94285714285715,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,裕南街街道,112.9645156,28.1670593,19,75,108,125,368,174,21,4,16,23,42,3,1,10,71,11,3674,9,15,0,9,11,9,50,5,1,0,0,2,3,0,0,0,0,2,336,7,11,8528946257,16244338,长沙市天心区,长沙市天心区裕南街街道,20.0,30.0,15.0,20.0,85.0,85.94285714285715,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,金盆岭街道,112.9777335,28.1657729,17,98,84,130,330,146,9,4,20,35,53,3,1,7,53,13,5135,8,15,0,8,6,14,61,22,2,2,3,4,8,0,0,1,4,1,568,6,9,8528946256,16280318,长沙市天心区,长沙市天心区金盆岭街道,20.0,30.0,21.0,20.0,91.0,85.94285714285715,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,新开铺街道,112.9644298,28.1346693,36,85,98,110,192,75,17,3,8,9,19,1,0,2,22,5,1883,8,13,6,8,16,8,4,3,1,0,0,0,2,0,0,0,0,1,62,4,4,8528946260,16244227,长沙市天心区,长沙市天心区新开铺街道,20.0,30.0,10.0,20.0,80.0,85.94285714285715,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,青园街道,112.9832267,28.1224069,18,56,58,84,299,87,13,4,9,9,29,2,0,2,18,5,1362,8,10,6,12,10,14,26,7,1,0,5,1,1,1,0,2,8,2,296,3,5,8528946287,12458064,长沙市天心区,长沙市天心区青园街道,20.0,30.0,28.0,20.0,98.0,85.94285714285715,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,桂花坪街道,112.9750549,28.1059371,14,34,56,56,245,56,4,2,9,2,21,2,0,2,19,4,792,7,12,0,8,14,15,55,3,0,0,1,0,1,0,0,0,1,1,132,5,7,5839698822,8541782,长沙市天心区,长沙市天心区桂花坪街道,19.0,30.0,11.0,20.0,80.0,85.94285714285715,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,赤岭路街道,112.9666614,28.1490492,25,82,91,129,271,113,20,4,12,17,28,2,0,5,28,9,2751,8,15,4,11,9,4,27,20,0,1,1,1,2,0,0,0,7,1,513,7,9,8528946258,16244337,长沙市天心区,长沙市天心区赤岭路街道,20.0,30.0,21.0,20.0,91.0,85.94285714285715,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,文源街道,112.9870032,28.1390591,27,81,66,126,274,111,14,3,14,17,40,4,0,4,24,7,2825,7,13,0,13,9,13,56,15,7,0,0,4,3,0,0,0,1,1,393,6,9,8528946259,16244336,长沙市天心区,长沙市天心区文源街道,20.0,30.0,16.0,20.0,86.0,85.94285714285715,65.90176470588234,38.57181724845996
湖南省,长沙市,天心区,先锋街道,112.9959418,28.067935,12,62,57,49,114,46,4,0,1,11,15,1,0,0,30,2,469,7,11,2,6,6,14,24,6,1,0,0,3,2,0,0,0,9,1,145,6,10,8528946290,16280321,长沙市天心区,长沙市天心区先锋街道,17.0,28.0,21.0,20.0,86.0,85.94285714285715,65.90176470588234,38.57181724845996
