addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
江苏省,南京市,玄武区,梅园新村街道,118.8091014,32.047963,49,125,53,74,198,232,58,3,11,12,32,19,4,42,261,19,3946,8,14,6,21,5,6,7,19,1,0,2,2,4,0,1,1,15,1,119,7,9,10016086253,14568453,南京市玄武区,南京市玄武区梅园新村街道,20.0,30.0,25.0,20.0,95.0,91.85714285714286,76.34158415841584,56.745416666666664
江苏省,南京市,玄武区,新街口街道,118.7839384,32.0557056,47,143,73,89,275,236,79,4,11,21,39,23,7,59,339,20,3432,9,14,0,37,18,20,29,38,17,0,3,5,4,5,2,11,66,3,595,7,11,10015466540,14567603,南京市玄武区,南京市玄武区新街口街道,20.0,30.0,30.0,20.0,100.0,91.85714285714286,76.34158415841584,56.745416666666664
江苏省,南京市,玄武区,玄武门街道,118.7810357,32.0624183,74,159,84,100,241,230,79,3,10,21,28,23,7,61,316,19,2720,9,14,0,34,2,21,25,21,15,0,1,4,3,1,2,4,22,3,280,8,9,10018192630,14571680,南京市玄武区,南京市玄武区玄武门街道,20.0,30.0,30.0,20.0,100.0,91.85714285714286,76.34158415841584,56.745416666666664
江苏省,南京市,玄武区,锁金村街道,118.8113046,32.0738665,60,98,50,87,114,117,31,2,4,6,16,8,1,4,54,34,1087,9,16,9,18,7,1,12,15,4,1,2,1,0,0,0,0,2,3,453,6,10,10021721124,14576085,南京市玄武区,南京市玄武区锁金村街道,20.0,30.0,12.0,20.0,82.0,91.85714285714286,76.34158415841584,56.745416666666664
江苏省,南京市,玄武区,红山街道,118.8244078,32.104482,74,50,55,123,186,107,54,4,0,11,26,8,1,11,96,14,2070,9,16,0,10,10,23,38,9,4,1,0,1,6,1,0,1,1,1,150,4,8,10023818532,14578371,南京市玄武区,南京市玄武区红山街道,20.0,30.0,18.0,20.0,88.0,91.85714285714286,76.34158415841584,56.745416666666664
江苏省,南京市,玄武区,孝陵卫街道,118.8551769,32.0357982,30,73,48,93,179,133,31,1,1,8,5,1,3,17,72,13,785,9,17,5,12,0,10,25,21,3,0,0,2,2,0,1,3,17,2,189,7,10,10023839250,14578411,南京市玄武区,南京市玄武区孝陵卫街道,20.0,30.0,25.0,20.0,95.0,91.85714285714286,76.34158415841584,56.745416666666664
江苏省,南京市,玄武区,玄武湖街道,118.8186917,32.074782,58,80,32,73,102,104,26,2,3,3,14,7,0,1,35,32,906,9,13,0,0,3,6,8,7,3,1,2,3,0,0,0,0,3,3,420,6,10,10023833328,14578395,南京市玄武区,南京市玄武区玄武湖街道,20.0,30.0,13.0,20.0,83.0,91.85714285714286,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,秦虹街道,118.7958546,32.0067164,71,116,103,138,247,205,29,4,6,8,34,9,2,13,112,14,3648,9,21,24,27,3,16,55,22,3,0,0,2,6,3,1,1,6,2,543,5,10,10023197004,14577871,南京市秦淮区,南京市秦淮区秦虹街道,20.0,30.0,30.0,20.0,100.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,夫子庙街道,118.7773852,32.0157931,85,137,141,122,338,207,44,5,7,15,49,20,4,22,229,18,5511,9,19,8,25,20,10,73,16,8,0,0,1,7,0,0,1,25,6,764,9,12,10015708734,14568042,南京市秦淮区,南京市秦淮区夫子庙街道,20.0,30.0,23.0,20.0,93.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,红花街道,118.8078782,32.012607,69,112,92,132,254,197,19,5,4,8,31,4,3,20,105,12,3953,9,18,14,14,11,11,37,10,0,0,0,0,4,0,0,0,3,1,525,4,5,10023520115,14578184,南京市秦淮区,南京市秦淮区红花街道,20.0,30.0,13.0,20.0,83.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,双塘街道,118.7692532,32.0196919,83,139,138,111,340,212,49,5,6,17,41,14,4,28,260,18,5226,9,17,12,22,27,10,42,11,8,0,0,1,5,0,0,0,14,3,548,8,8,10015682434,14568017,南京市秦淮区,南京市秦淮区双塘街道,20.0,30.0,21.0,20.0,91.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,中华门街道,118.7756359,32.0127206,83,126,137,113,308,198,39,6,6,13,37,13,4,13,169,16,4855,9,19,10,25,26,9,61,20,5,0,0,1,6,1,0,1,16,5,461,8,12,10023486731,14578147,南京市秦淮区,南京市秦淮区中华门街道,20.0,30.0,28.0,20.0,98.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,五老村街道,118.7924153,32.0389053,49,167,106,95,319,289,74,3,10,22,50,21,7,51,375,17,5912,9,16,8,19,11,7,98,54,13,2,2,5,11,6,0,9,58,3,1266,8,10,10015618773,14567942,南京市秦淮区,南京市秦淮区五老村街道,20.0,30.0,28.0,20.0,98.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,洪武路街道,118.7877478,32.0300827,69,137,123,98,354,275,60,3,7,16,49,17,4,48,364,22,6335,9,17,9,16,24,6,68,52,14,2,2,4,9,1,1,9,59,1,1297,7,8,10015695679,14568036,南京市秦淮区,南京市秦淮区洪武路街道,20.0,30.0,30.0,20.0,100.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,大光路街道,118.8008361,32.0270605,71,151,102,99,337,250,50,4,8,13,45,13,5,42,289,21,5887,9,18,14,23,10,11,35,33,2,2,2,2,5,1,0,7,14,1,1015,4,7,10023808122,14578352,南京市秦淮区,南京市秦淮区大光路街道,20.0,30.0,28.0,20.0,98.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,瑞金路街道,118.8077949,32.0388112,52,139,71,100,230,251,61,5,9,13,38,18,5,46,274,17,4819,8,15,6,24,4,10,20,33,5,0,1,1,4,0,0,1,11,1,575,6,9,10023808121,14578351,南京市秦淮区,南京市秦淮区瑞金路街道,20.0,30.0,23.0,20.0,93.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,月牙湖街道,118.8271033,32.0306571,67,131,33,98,148,192,25,4,6,10,16,2,4,23,89,11,2491,8,16,0,0,10,14,12,19,4,1,0,2,1,0,1,7,10,2,464,4,7,10023546177,14578216,南京市秦淮区,南京市秦淮区月牙湖街道,20.0,30.0,25.0,20.0,95.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,光华路街道,118.8285794,32.013319,26,95,36,114,171,137,11,1,1,7,17,4,2,17,49,5,2018,8,17,10,30,6,16,20,13,0,0,1,0,1,0,0,2,1,1,11,6,7,9689175360,14578220,南京市秦淮区,南京市秦淮区光华路街道,20.0,30.0,13.0,20.0,83.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,秦淮区,朝天宫街道,118.7763048,32.0344413,69,141,138,114,348,273,81,4,7,23,47,21,6,53,373,21,6288,9,16,0,11,22,15,62,28,13,1,1,0,10,2,1,4,90,1,870,7,8,10015642229,14567970,南京市秦淮区,南京市秦淮区朝天宫街道,20.0,30.0,25.0,20.0,95.0,93.91666666666667,76.34158415841584,56.745416666666664
江苏省,南京市,建邺区,莫愁湖街道,118.753732,32.0288641,74,99,145,158,251,180,43,2,4,10,32,6,5,20,204,12,4217,9,15,4,5,22,17,35,10,2,0,0,2,3,2,0,0,6,2,802,5,4,10015324265,14567315,南京市建邺区,南京市建邺区莫愁湖街道,20.0,30.0,26.0,20.0,96.0,88.83333333333333,76.34158415841584,56.745416666666664
江苏省,南京市,建邺区,沙洲街道,118.7163831,31.9869448,55,75,104,181,282,97,33,4,7,4,19,4,1,3,63,4,1034,8,17,8,10,38,26,37,9,4,0,1,1,2,0,0,1,11,1,127,5,7,10182342308,14886506,南京市建邺区,南京市建邺区沙洲街道,19.0,30.0,23.0,20.0,92.0,88.83333333333333,76.34158415841584,56.745416666666664
江苏省,南京市,建邺区,双闸街道,118.7015555,31.9879298,58,55,126,167,266,94,27,3,4,5,17,4,1,2,57,3,771,9,16,13,11,22,50,40,8,4,0,0,2,2,0,0,0,5,1,99,7,8,10182342309,14886507,南京市建邺区,南京市建邺区双闸街道,18.0,30.0,20.0,20.0,88.0,88.83333333333333,76.34158415841584,56.745416666666664
江苏省,南京市,建邺区,江心洲街道,118.6958366,32.0098152,60,47,69,206,143,48,17,1,3,3,11,1,0,1,33,6,881,9,13,4,0,7,24,24,4,0,0,0,1,0,0,0,0,1,1,80,7,7,4285750077,14561621,南京市建邺区,南京市建邺区江心洲街道,20.0,30.0,11.0,20.0,81.0,88.83333333333333,76.34158415841584,56.745416666666664
江苏省,南京市,建邺区,兴隆街道,118.7212053,32.0208008,72,60,121,243,197,96,27,3,3,2,23,4,1,2,77,7,2450,8,17,5,12,2,39,24,11,4,0,1,0,7,0,1,0,0,3,395,4,7,10015492698,14567680,南京市建邺区,南京市建邺区兴隆街道,20.0,30.0,12.0,20.0,82.0,88.83333333333333,76.34158415841584,56.745416666666664
江苏省,南京市,建邺区,南苑街道,118.7449633,32.0210267,72,105,122,191,234,119,35,2,4,4,24,5,3,7,104,10,3380,9,15,2,3,30,21,31,6,3,1,0,2,4,2,0,0,4,1,587,7,6,10015467464,14567731,南京市建邺区,南京市建邺区南苑街道,20.0,30.0,24.0,20.0,94.0,88.83333333333333,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,宁海路街道,118.7590592,32.0739815,83,164,111,98,184,169,50,4,6,15,23,10,7,34,127,14,2193,9,16,23,19,20,19,34,27,4,0,1,1,3,1,3,7,14,2,89,5,8,10041136780,14604271,南京市鼓楼区,南京市鼓楼区宁海路街道,20.0,30.0,30.0,20.0,100.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,华侨路街道,118.767588,32.0481118,35,110,95,127,300,257,91,3,12,22,40,20,7,62,357,18,5128,9,14,7,14,11,18,32,39,16,1,0,7,7,2,1,10,44,1,430,7,8,10041136752,14604270,南京市鼓楼区,南京市鼓楼区华侨路街道,20.0,30.0,30.0,20.0,100.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,湖南路街道,118.7750124,32.0680761,65,171,101,102,185,230,72,2,9,20,20,15,7,56,254,19,2047,9,16,0,27,7,12,25,28,11,0,1,4,3,1,1,15,39,3,114,8,11,10041169581,14604292,南京市鼓楼区,南京市鼓楼区湖南路街道,20.0,30.0,30.0,20.0,100.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,中央门街道,118.7596038,32.0831389,76,146,118,89,213,172,30,3,5,11,23,11,4,29,91,12,1396,9,15,6,14,13,13,31,26,2,0,0,3,4,1,1,3,15,3,124,5,8,10041169582,14604293,南京市鼓楼区,南京市鼓楼区中央门街道,20.0,30.0,30.0,20.0,100.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,挹江门街道,118.7504826,32.0862655,89,127,113,87,207,149,13,3,6,7,22,8,4,25,65,10,1347,9,15,2,8,27,15,39,27,0,1,0,2,5,3,0,2,10,4,42,4,7,10041151596,14604276,南京市鼓楼区,南京市鼓楼区挹江门街道,20.0,30.0,28.0,20.0,98.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,江东街道,118.733107,32.0445062,109,88,87,186,121,119,25,3,6,6,18,3,1,7,64,9,3206,9,14,14,16,7,40,8,23,1,0,2,0,2,1,0,0,4,1,358,8,7,10015583316,14567768,南京市鼓楼区,南京市鼓楼区江东街道,20.0,30.0,19.0,20.0,89.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,凤凰街道,118.742667,32.0496839,108,103,115,142,158,161,41,4,9,12,23,8,4,14,95,7,3430,9,14,16,4,17,28,6,13,3,0,3,0,3,0,0,0,3,1,611,5,6,10015575155,14567751,南京市鼓楼区,南京市鼓楼区凤凰街道,20.0,30.0,13.0,20.0,83.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,下关街道,118.7444453,32.0922046,76,86,104,77,172,127,7,2,0,5,20,8,4,7,35,9,1114,9,15,12,23,33,19,29,35,0,1,0,1,5,4,1,1,12,2,40,6,10,10041029945,14604195,南京市鼓楼区,南京市鼓楼区下关街道,20.0,30.0,25.0,20.0,95.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,热河南路街道,118.7348586,32.0829326,82,94,108,61,157,121,14,3,4,4,16,7,3,10,40,9,1588,9,16,9,16,22,1,33,5,0,0,0,0,2,2,0,0,2,1,306,6,7,10015735999,14568089,南京市鼓楼区,南京市鼓楼区热河南路街道,20.0,30.0,17.0,20.0,87.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,幕府山街道,118.7768013,32.1129303,38,81,52,57,124,112,14,1,0,5,16,4,2,11,27,5,122,8,15,8,7,5,0,13,8,1,0,0,0,2,0,0,0,0,1,5,4,4,10180577910,14884082,南京市鼓楼区,南京市鼓楼区幕府山街道,20.0,30.0,5.0,20.0,75.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,建宁路街道,118.7593508,32.0934393,65,121,117,87,184,182,11,2,1,8,19,9,4,26,70,13,697,9,16,12,11,30,15,28,20,0,0,0,0,6,2,1,0,4,1,14,4,8,10041104840,14604261,南京市鼓楼区,南京市鼓楼区建宁路街道,20.0,30.0,21.0,20.0,91.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,宝塔桥街道,118.7545017,32.1130132,34,46,64,75,112,88,6,1,2,1,19,5,3,2,16,6,174,8,15,4,5,0,6,16,5,0,0,0,0,1,0,0,0,0,1,9,3,5,10111059656,14707584,南京市鼓楼区,南京市鼓楼区宝塔桥街道,20.0,30.0,10.0,20.0,80.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,鼓楼区,小市街道,118.7902776,32.0948578,88,108,73,105,133,147,22,2,0,11,20,5,2,17,65,10,666,9,16,0,23,27,21,28,48,8,1,0,3,5,2,0,4,17,1,69,7,11,10180577911,14884083,南京市鼓楼区,南京市鼓楼区小市街道,20.0,30.0,23.0,20.0,93.0,91.61538461538461,76.34158415841584,56.745416666666664
江苏省,南京市,浦口区,泰山街道,118.7121258,32.1386119,47,33,150,192,182,124,32,4,9,3,18,7,6,8,45,11,874,7,19,15,8,40,38,19,32,11,0,1,0,3,3,0,5,14,2,211,6,8,10021370470,14570085,南京市浦口区,南京市浦口区泰山街道,20.0,30.0,23.0,20.0,93.0,78.19999999999999,76.34158415841584,56.745416666666664
江苏省,南京市,浦口区,顶山街道,118.6812689,32.1045779,42,93,85,193,117,99,14,5,3,3,15,5,1,0,4,13,491,7,13,16,28,12,21,10,12,0,1,1,0,5,0,0,0,0,3,14,4,6,9692354472,14575663,南京市浦口区,南京市浦口区顶山街道,20.0,30.0,10.0,20.0,80.0,78.19999999999999,76.34158415841584,56.745416666666664
江苏省,南京市,浦口区,沿江街道,118.735666,32.1527976,41,21,106,157,127,87,20,3,7,2,17,10,2,8,32,6,464,7,15,0,0,24,48,27,7,0,0,0,0,6,3,1,0,2,1,10,5,8,10168969346,14861507,南京市浦口区,南京市浦口区沿江街道,20.0,30.0,19.0,20.0,89.0,78.19999999999999,76.34158415841584,56.745416666666664
