addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
江西省,南昌市,东湖区,滕王阁街道,115.8808094,28.6815509,94,102,147,162,260,350,148,2,194,58,60,30,7,59,283,305,5046,8,18,16,22,32,26,24,47,30,0,25,13,12,4,2,17,74,66,947,7,10,2470715299,3807657,南昌市东湖区,南昌市东湖区滕王阁街道,20.0,30.0,30.0,20.0,100.0,96.0,77.78434782608696,44.306518987341775
江西省,南昌市,东湖区,百花洲街道,115.8850454,28.6847023,81,102,157,168,266,366,151,1,158,58,65,30,7,61,281,310,5273,9,18,20,23,15,21,18,63,30,0,31,18,17,8,1,15,76,84,1020,8,11,2470715300,3227170,南昌市东湖区,南昌市东湖区百花洲街道,20.0,30.0,30.0,20.0,100.0,96.0,77.78434782608696,44.306518987341775
江西省,南昌市,东湖区,墩子塘街道,115.8944918,28.6882675,68,116,160,155,247,380,133,0,129,54,70,30,7,61,273,318,4847,9,17,11,8,16,20,35,70,24,0,16,27,12,10,0,10,25,47,502,7,11,2470715298,3227169,南昌市东湖区,南昌市东湖区墩子塘街道,20.0,28.0,28.0,20.0,96.0,96.0,77.78434782608696,44.306518987341775
江西省,南昌市,东湖区,大院街道,115.9071448,28.677669,77,169,176,140,297,455,139,2,123,71,90,35,9,63,291,399,5861,9,18,18,10,12,27,46,47,13,0,42,3,6,1,0,7,70,37,910,7,11,2470715507,3227143,南昌市东湖区,南昌市东湖区大院街道,20.0,30.0,28.0,20.0,98.0,96.0,77.78434782608696,44.306518987341775
江西省,南昌市,东湖区,豫章街道,115.8890897,28.692823,73,101,120,149,248,325,124,0,120,48,62,25,5,52,251,269,3955,9,17,17,15,14,19,26,60,18,0,21,19,15,10,0,9,16,51,549,8,14,2470715301,3227192,南昌市东湖区,南昌市东湖区豫章街道,20.0,28.0,28.0,20.0,96.0,96.0,77.78434782608696,44.306518987341775
江西省,南昌市,东湖区,董家窑街道,115.9000559,28.6954485,66,93,116,121,233,315,99,0,107,48,63,24,2,41,215,269,3628,9,18,8,6,26,23,23,51,6,0,11,14,10,4,0,7,6,35,279,7,13,2470714569,3227136,南昌市东湖区,南昌市东湖区董家窑街道,20.0,28.0,28.0,20.0,96.0,96.0,77.78434782608696,44.306518987341775
江西省,南昌市,东湖区,彭家桥街道,115.9139827,28.7134284,22,53,101,68,204,190,19,2,31,19,21,7,1,9,17,132,652,9,17,12,13,19,12,29,37,3,0,6,2,4,1,0,1,3,17,114,5,9,2470714568,3227139,南昌市东湖区,南昌市东湖区彭家桥街道,20.0,30.0,25.0,20.0,95.0,96.0,77.78434782608696,44.306518987341775
江西省,南昌市,东湖区,扬子洲镇,115.9113573,28.7254989,22,27,80,36,214,107,12,2,23,11,13,3,1,4,7,110,408,9,16,6,4,5,3,27,18,0,0,1,5,1,0,0,1,0,20,30,3,6,2447975119,3328254,南昌市东湖区,南昌市东湖区扬子洲镇,20.0,30.0,17.0,20.0,87.0,96.0,77.78434782608696,44.306518987341775
江西省,南昌市,西湖区,南浦街道,115.8862538,28.6710262,107,131,166,138,266,398,155,2,160,62,70,33,8,60,297,338,5611,8,17,0,18,31,27,41,76,46,0,30,8,24,8,3,16,76,86,1410,8,13,2481072648,4676918,南昌市西湖区,南昌市西湖区南浦街道,20.0,30.0,30.0,20.0,100.0,97.5,77.78434782608696,44.306518987341775
江西省,南昌市,西湖区,朝阳洲街道,115.8719795,28.6646322,79,97,142,104,233,268,130,3,112,38,50,18,7,41,209,253,4641,8,16,22,8,31,20,78,35,26,1,43,4,5,3,3,10,34,33,920,8,13,2481079763,4659758,南昌市西湖区,南昌市西湖区朝阳洲街道,20.0,30.0,30.0,20.0,100.0,97.5,77.78434782608696,44.306518987341775
