addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
辽宁省,沈阳市,和平区,浑河湾街道,123.3775783,41.7584042,40,31,58,115,204,24,8,5,2,4,14,2,2,1,28,6,530,9,11,20,7,6,20,18,3,2,2,0,0,0,0,0,0,0,1,60,7,4,6480340038,9597403,沈阳市和平区,沈阳市和平区浑河湾街道,20.0,30.0,5.0,20.0,75.0,88.0,46.7585635359116,39.88470675575353
辽宁省,沈阳市,和平区,新华街道,123.383988,41.7751369,37,28,68,101,300,40,11,4,4,8,18,4,3,5,69,9,732,9,13,0,10,12,7,59,0,0,1,0,0,2,0,0,0,2,1,121,7,3,6480340046,9597411,沈阳市和平区,沈阳市和平区新华街道,20.0,30.0,12.0,20.0,82.0,88.0,46.7585635359116,39.88470675575353
辽宁省,沈阳市,和平区,马路湾街道,123.4046193,41.7764813,37,63,96,70,394,63,12,5,7,14,29,7,3,15,97,8,1185,9,14,0,7,21,5,59,1,3,0,2,3,2,0,1,0,3,2,69,5,6,6480340041,9597406,沈阳市和平区,沈阳市和平区马路湾街道,20.0,30.0,20.0,20.0,90.0,88.0,46.7585635359116,39.88470675575353
辽宁省,沈阳市,和平区,南湖街道,123.4166375,41.7595995,57,62,93,69,270,50,13,3,3,13,20,9,2,14,80,7,851,9,10,10,1,8,10,60,5,1,0,1,1,2,2,0,5,26,1,249,6,8,6480340042,9597407,沈阳市和平区,沈阳市和平区南湖街道,20.0,30.0,28.0,20.0,98.0,88.0,46.7585635359116,39.88470675575353
辽宁省,沈阳市,和平区,长白街道,123.3845889,41.7418166,57,24,51,92,97,31,7,4,0,3,16,2,0,4,15,4,278,9,10,10,8,19,16,9,3,0,1,0,1,4,1,0,1,7,2,13,7,6,6480340037,9597402,沈阳市和平区,沈阳市和平区长白街道,19.0,30.0,23.0,20.0,92.0,88.0,46.7585635359116,39.88470675575353
辽宁省,沈阳市,和平区,太原街街道,123.3979624,41.7901184,19,29,109,74,389,51,7,3,8,13,29,4,3,9,76,10,1124,9,16,5,2,20,6,76,18,4,0,0,3,6,1,1,3,28,1,137,5,9,6480340045,9597410,沈阳市和平区,沈阳市和平区太原街街道,20.0,30.0,30.0,20.0,100.0,88.0,46.7585635359116,39.88470675575353
辽宁省,沈阳市,和平区,北市场街道,123.4186405,41.8067975,50,52,123,131,392,81,11,3,9,14,36,1,2,11,81,16,1157,8,15,6,9,21,17,56,9,1,0,1,1,1,0,0,1,3,2,114,4,10,6480340036,9597401,沈阳市和平区,沈阳市和平区北市场街道,20.0,30.0,20.0,20.0,90.0,88.0,46.7585635359116,39.88470675575353
辽宁省,沈阳市,和平区,南市场街道,123.413032,41.7815599,38,63,99,61,440,72,11,1,9,16,35,5,3,12,108,12,1661,9,15,0,1,27,4,57,5,0,1,1,4,5,1,0,3,8,3,68,5,9,6480340043,9597408,沈阳市和平区,沈阳市和平区南市场街道,20.0,30.0,28.0,20.0,98.0,88.0,46.7585635359116,39.88470675575353
辽宁省,沈阳市,和平区,沈水湾街道,123.4028165,41.7442079,73,23,65,80,174,43,10,5,1,5,16,4,2,8,54,5,431,9,11,0,8,12,7,15,12,1,0,0,2,3,0,0,0,4,2,2,6,4,6480340044,9597409,沈阳市和平区,沈阳市和平区沈水湾街道,20.0,30.0,19.0,20.0,89.0,88.0,46.7585635359116,39.88470675575353
辽宁省,沈阳市,和平区,浑河站西街道,123.3538313,41.721128,16,26,28,42,55,2,0,0,0,0,5,0,0,0,1,1,143,9,7,0,2,8,9,6,2,0,0,0,0,1,0,0,0,0,1,1,2,2,6480340039,9597404,沈阳市和平区,沈阳市和平区浑河站西街道,16.0,26.0,5.0,19.0,66.0,88.0,46.7585635359116,39.88470675575353
