addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
内蒙古自治区,呼和浩特市,新城区,海拉尔东路街道,111.6519445,40.8387997,55,48,38,57,227,254,2,2,3,2,17,2,0,1,19,11,407,7,12,10,8,0,13,43,24,0,0,0,0,3,0,0,0,0,2,104,5,5,6274419404,10415512,呼和浩特市新城区,呼和浩特市新城区海拉尔东路街道,20.0,30.0,10.0,20.0,80.0,72.5,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,新城区,锡林北路街道,111.6583657,40.8324646,31,59,38,60,238,285,2,1,5,7,26,2,0,2,25,13,462,9,13,10,10,11,12,17,50,1,0,0,0,4,1,0,0,2,3,30,3,6,-2,10415515,呼和浩特市新城区,呼和浩特市新城区锡林北路街道,13.0,30.0,17.0,20.0,80.0,72.5,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,新城区,中山东路街道,111.67182,40.818109,31,49,47,84,298,354,7,0,4,9,52,2,0,2,32,18,465,7,14,1,13,4,14,33,41,0,0,2,1,6,0,0,1,12,1,132,5,6,-1,-1,呼和浩特市新城区,呼和浩特市新城区中山东路街道,5.0,28.0,23.0,20.0,76.0,72.5,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,新城区,东街街道,111.6860752,40.8222243,19,35,35,53,268,342,7,0,5,10,33,3,0,2,32,15,393,6,13,4,17,0,15,36,29,0,0,0,3,9,0,0,1,2,1,65,4,5,6274419403,10415517,呼和浩特市新城区,呼和浩特市新城区东街街道,20.0,28.0,19.0,20.0,87.0,72.5,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,新城区,西街街道,111.6683354,40.8283498,29,47,40,68,250,306,2,0,4,8,35,2,0,2,30,16,510,8,13,10,16,14,11,25,52,1,0,2,0,3,1,0,0,4,2,33,4,6,6274419406,10415513,呼和浩特市新城区,呼和浩特市新城区西街街道,20.0,28.0,19.0,20.0,87.0,72.5,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,新城区,东风路街道,111.6933325,40.8313974,19,29,31,60,221,287,6,0,5,7,25,2,0,2,15,20,363,7,12,2,15,6,12,39,38,0,0,0,0,4,0,0,1,2,1,31,3,7,6274419402,10415518,呼和浩特市新城区,呼和浩特市新城区东风路街道,20.0,28.0,14.0,20.0,82.0,72.5,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,新城区,迎新路街道,111.719608,40.8354704,7,56,37,83,185,249,5,0,4,2,15,0,0,1,5,25,217,5,14,0,2,4,11,46,29,0,0,0,0,3,0,0,0,3,2,27,4,4,6274419409,10415516,呼和浩特市新城区,呼和浩特市新城区迎新路街道,20.0,28.0,13.0,20.0,81.0,72.5,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,新城区,成吉思汗大街街道,111.692547,40.875258,40,10,15,46,36,86,0,3,0,0,1,1,0,0,2,14,19,5,7,0,2,4,6,5,14,0,1,0,0,0,0,0,0,0,2,0,3,1,-1,-1,呼和浩特市新城区,呼和浩特市新城区成吉思汗大街街道,5.0,26.7,0.0,8.9,40.6,72.5,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,新城区,保合少镇,111.937,40.9165,2,3,0,21,19,3,0,0,0,0,0,0,0,0,0,1,14,2,3,0,1,0,4,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,6274419400,10415520,呼和浩特市新城区,呼和浩特市新城区保合少镇,16.0,18.4,0.0,4.5,38.9,72.5,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,回民区,新华西路街道,111.6448704,40.8178689,22,45,68,80,297,270,3,1,6,3,41,2,0,1,29,16,579,8,12,4,10,6,9,46,29,0,0,0,1,7,0,0,0,2,4,32,4,5,6274656206,10401813,呼和浩特市回民区,呼和浩特市回民区新华西路街道,20.0,30.0,17.0,20.0,87.0,82.25,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,回民区,中山西路街道,111.6577883,40.8022766,21,34,64,74,297,292,4,1,5,8,46,3,0,1,31,14,609,8,9,5,3,10,23,46,38,2,0,0,1,10,0,0,0,4,3,38,5,6,6274656208,10401810,呼和浩特市回民区,呼和浩特市回民区中山西路街道,20.0,30.0,19.0,20.0,89.0,82.25,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,回民区,光明路街道,111.6368526,40.8167173,23,43,76,71,314,240,3,1,3,3,31,2,0,1,27,18,546,8,11,0,10,7,7,33,25,0,0,0,0,4,0,0,0,0,3,13,3,5,6274656201,10401814,呼和浩特市回民区,呼和浩特市回民区光明路街道,20.0,30.0,10.0,20.0,80.0,82.25,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,回民区,海拉尔西路街道,111.6289703,40.830988,56,36,47,50,281,175,1,0,1,1,14,1,0,0,6,14,334,7,11,2,6,2,7,27,12,0,0,0,0,0,0,0,0,0,1,27,2,3,6274656202,10401811,呼和浩特市回民区,呼和浩特市回民区海拉尔西路街道,20.0,28.0,5.0,20.0,73.0,82.25,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,回民区,环河街街道,111.6434675,40.8103871,20,44,76,76,294,279,3,1,6,3,39,2,0,1,28,16,526,7,11,8,14,15,15,47,33,0,0,0,1,12,0,0,0,2,5,51,5,6,6274656203,10401809,呼和浩特市回民区,呼和浩特市回民区环河街街道,20.0,30.0,17.0,20.0,87.0,82.25,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,回民区,通道街街道,111.6508019,40.8112666,25,46,66,81,295,303,3,1,6,5,48,2,0,1,28,16,621,7,12,6,10,2,11,56,34,0,0,0,2,12,0,0,0,10,4,42,5,7,6274656205,10401812,呼和浩特市回民区,呼和浩特市回民区通道街街道,20.0,30.0,21.0,20.0,91.0,82.25,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,回民区,钢铁路街道,111.6187595,40.8089374,28,31,69,41,291,158,2,1,1,1,20,1,0,0,4,13,416,8,11,2,2,9,5,39,26,0,0,1,0,0,0,0,0,0,2,96,2,2,6274656200,10401815,呼和浩特市回民区,呼和浩特市回民区钢铁路街道,20.0,30.0,5.0,20.0,75.0,82.25,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,回民区,攸攸板镇,111.588145,40.8321176,57,16,50,22,168,56,0,0,1,0,4,1,0,0,1,7,166,7,9,6,2,11,4,17,16,0,0,1,0,1,0,0,0,0,1,14,6,3,6274656207,10401808,呼和浩特市回民区,呼和浩特市回民区攸攸板镇,20.0,26.0,10.0,20.0,76.0,82.25,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,玉泉区,小召前街街道,111.6528907,40.7995096,19,30,58,68,298,265,4,1,5,5,40,3,0,1,26,17,592,8,10,7,8,9,26,42,36,2,0,2,0,14,0,0,0,3,5,105,6,5,6274613303,10402012,呼和浩特市玉泉区,呼和浩特市玉泉区小召前街街道,20.0,30.0,13.0,20.0,83.0,78.35555555555555,58.01315789473684,49.33317025440313
内蒙古自治区,呼和浩特市,玉泉区,兴隆巷街道,111.654662,40.7953204,19,28,49,71,286,252,4,1,3,6,38,2,0,1,24,18,584,8,10,6,5,6,25,42,29,2,0,2,0,13,0,0,0,2,4,106,6,5,6274613305,10402010,呼和浩特市玉泉区,呼和浩特市玉泉区兴隆巷街道,20.0,30.0,12.0,20.0,82.0,78.35555555555555,58.01315789473684,49.33317025440313
