addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
宁夏回族自治区,银川市,兴庆区,凤凰北街街道,106.2586681,38.4802533,0,28,87,57,181,336,3,4,7,3,17,0,0,2,12,12,606,8,9,0,2,6,7,24,24,0,0,1,0,1,0,0,0,0,1,71,5,3,5928834098,8737310,银川市兴庆区,银川市兴庆区凤凰北街街道,20.0,30.0,10.0,20.0,80.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,解放西街街道,106.2675942,38.4704104,17,14,98,67,206,380,2,4,3,2,21,0,0,1,16,11,687,8,9,0,3,10,19,55,44,0,0,1,1,4,0,0,0,0,3,78,6,2,5928840418,8737345,银川市兴庆区,银川市兴庆区解放西街街道,20.0,30.0,15.0,20.0,85.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,文化街街道,106.2811457,38.4706984,21,3,90,67,210,362,2,3,1,1,25,1,0,1,10,11,674,7,9,0,2,11,13,45,63,0,0,0,0,3,0,0,0,1,4,30,3,3,5928846901,8737360,银川市兴庆区,银川市兴庆区文化街街道,20.0,30.0,11.0,20.0,81.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,富宁街街道,106.2635481,38.4663348,16,15,97,65,212,370,4,4,3,2,24,0,0,1,16,12,701,8,9,0,0,23,22,52,54,0,0,1,1,4,0,0,0,0,3,142,5,3,5928859050,8737799,银川市兴庆区,银川市兴庆区富宁街街道,20.0,30.0,15.0,20.0,85.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,新华街街道,106.2778952,38.4631227,23,3,96,66,223,369,2,3,1,1,24,1,0,1,11,10,628,7,9,4,0,22,29,57,79,1,0,0,1,3,0,0,1,9,4,268,5,4,5928859051,8737802,银川市兴庆区,银川市兴庆区新华街街道,20.0,30.0,23.0,20.0,93.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,玉皇阁北街街道,106.2855418,38.4760759,23,9,75,70,194,351,2,6,1,1,23,0,0,1,10,11,632,7,8,0,2,14,5,31,62,0,0,0,0,3,0,0,0,0,3,22,3,3,5929045975,8737804,银川市兴庆区,银川市兴庆区玉皇阁北街街道,20.0,30.0,10.0,20.0,80.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,前进街街道,106.2709643,38.4650785,19,12,94,65,225,375,4,5,2,1,22,0,0,1,13,10,632,7,9,0,0,16,23,62,66,0,0,0,1,3,0,0,0,4,4,210,7,3,5929045974,8737800,银川市兴庆区,银川市兴庆区前进街街道,20.0,30.0,19.0,20.0,89.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,中山南街街道,106.2860917,38.462343,23,5,86,61,208,371,3,2,1,1,25,1,0,1,10,10,628,7,9,8,0,16,19,43,63,1,0,0,0,3,0,0,1,8,2,184,5,4,5929088039,8737805,银川市兴庆区,银川市兴庆区中山南街街道,20.0,30.0,18.0,20.0,88.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,银古路街道,106.2897569,38.4522926,23,2,69,64,236,331,4,3,0,1,24,2,0,1,11,11,687,6,7,18,0,21,10,21,45,1,0,0,0,1,0,0,1,2,1,109,4,4,5929088038,8737803,银川市兴庆区,银川市兴庆区银古路街道,20.0,30.0,9.0,19.0,78.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,胜利街街道,106.2698707,38.4312486,22,0,49,52,96,197,3,4,0,0,13,0,0,1,7,2,429,5,7,0,0,9,12,4,20,0,0,0,0,3,0,0,0,1,1,7,2,3,5929088037,8737801,银川市兴庆区,银川市兴庆区胜利街街道,17.0,30.0,6.0,19.0,72.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,丽景街街道,106.2876639,38.489899,6,23,41,58,123,289,1,9,0,0,21,0,0,0,0,6,289,6,6,0,0,7,6,17,34,0,1,0,0,5,0,0,0,0,1,30,4,2,5929088036,8737700,银川市兴庆区,银川市兴庆区丽景街街道,20.0,30.0,5.0,18.0,73.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,星河街街道,106.495193,38.366329,4,1,12,5,272,22,8,1,0,4,5,0,0,0,0,1,34,4,6,0,0,1,1,127,8,0,0,0,0,3,0,0,0,0,1,3,3,2,-1,-1,银川市兴庆区,银川市兴庆区星河街街道,1.0,30.0,5.0,9.7,45.7,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,掌政镇,106.3571878,38.4033062,0,0,14,29,23,27,2,1,0,0,4,0,0,0,0,2,75,4,6,0,0,0,17,1,14,0,0,0,0,3,0,0,0,0,1,57,2,3,3247451167,11940721,银川市兴庆区,银川市兴庆区掌政镇,17.0,24.9,5.0,18.0,64.9,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,大新镇,106.3102353,38.4431533,23,4,39,38,166,159,4,3,0,0,19,2,0,1,2,3,444,4,7,4,0,7,6,46,15,1,0,0,0,3,1,0,0,0,1,94,2,3,3247452407,11940720,银川市兴庆区,银川市兴庆区大新镇,18.0,30.0,10.0,19.0,77.0,73.1125,60.550909090909094,46.82098765432099
宁夏回族自治区,银川市,兴庆区,通贵乡,106.4862479,38.4955901,2,6,2,2,5,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5928834099,11940722,银川市兴庆区,银川市兴庆区通贵乡,17.0,12.9,0.0,2.0,31.9,73.1125,60.550909090909094,46.82098765432099
