addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
青海省,西宁市,城东区,东关大街街道,101.7973223,36.6214376,64,35,64,51,247,52,29,2,4,8,15,6,4,7,51,17,1148,8,16,6,5,14,16,49,11,3,0,1,7,7,2,2,2,8,3,159,7,9,6139005298,9108822,西宁市城东区,西宁市城东区东关大街街道,20.0,30.0,30.0,20.0,100.0,84.44444444444444,52.64266666666666,40.00371287128713
青海省,西宁市,城东区,清真巷街道,101.7906168,36.6080166,79,23,79,50,267,56,22,2,4,8,17,6,4,7,54,15,1098,8,16,7,0,3,9,34,6,0,0,0,4,1,2,0,1,5,1,160,5,5,6139005302,9108825,西宁市城东区,西宁市城东区清真巷街道,20.0,30.0,27.0,20.0,97.0,84.44444444444444,52.64266666666666,40.00371287128713
青海省,西宁市,城东区,大众街街道,101.7963409,36.5975196,48,14,47,33,225,42,17,4,1,8,15,3,3,6,41,11,783,7,14,16,3,9,9,33,3,1,0,0,0,0,0,0,1,6,2,44,3,5,6139005297,9108821,西宁市城东区,西宁市城东区大众街街道,20.0,30.0,13.0,20.0,83.0,84.44444444444444,52.64266666666666,40.00371287128713
青海省,西宁市,城东区,周家泉街道,101.8067295,36.6147638,37,14,52,37,255,46,26,2,4,8,13,6,4,6,44,15,986,8,14,10,10,24,8,38,22,16,1,0,7,5,0,0,0,6,1,237,5,9,6139005304,9108827,西宁市城东区,西宁市城东区周家泉街道,20.0,30.0,21.0,20.0,91.0,84.44444444444444,52.64266666666666,40.00371287128713
青海省,西宁市,城东区,火车站街道,101.8269403,36.6178693,12,10,36,25,149,31,25,2,1,7,9,1,2,0,14,5,616,8,12,0,0,6,0,21,0,1,0,0,0,0,0,0,0,1,1,68,6,6,6139005299,-1,西宁市城东区,西宁市城东区火车站街道,12.0,30.0,6.0,20.0,68.0,84.44444444444444,52.64266666666666,40.00371287128713
青海省,西宁市,城东区,八一路街道,101.8071536,36.5832234,25,11,25,32,149,11,1,4,0,0,7,1,0,2,15,3,451,6,9,8,0,9,6,15,0,0,0,0,0,3,0,0,0,1,1,18,2,4,6139005296,9108820,西宁市城东区,西宁市城东区八一路街道,18.0,30.0,6.0,20.0,74.0,84.44444444444444,52.64266666666666,40.00371287128713
青海省,西宁市,城东区,林家崖街道,101.8020438,36.6264396,35,25,63,47,216,47,28,2,4,8,13,6,3,6,45,14,961,8,14,10,2,18,12,34,13,11,0,1,2,1,0,1,0,6,2,99,8,7,6139005301,9108824,西宁市城东区,西宁市城东区林家崖街道,20.0,30.0,23.0,20.0,93.0,84.44444444444444,52.64266666666666,40.00371287128713
青海省,西宁市,城东区,乐家湾镇,101.8717227,36.5654231,17,10,11,18,109,3,0,7,0,1,7,2,0,0,22,3,591,6,11,6,3,7,2,24,1,0,2,0,0,4,0,0,0,18,2,153,4,6,6139005300,9108823,西宁市城东区,西宁市城东区乐家湾镇,18.0,28.0,11.0,20.0,77.0,84.44444444444444,52.64266666666666,40.00371287128713
青海省,西宁市,城东区,韵家口镇,101.8685174,36.580567,10,10,21,22,117,3,0,5,0,1,9,2,0,0,23,4,665,8,11,6,3,6,11,50,1,0,1,0,0,3,2,0,0,0,1,237,5,6,6139005303,9108826,西宁市城东区,西宁市城东区韵家口镇,19.0,28.0,10.0,20.0,77.0,84.44444444444444,52.64266666666666,40.00371287128713
青海省,西宁市,城中区,人民街街道,101.7754677,36.6187824,88,40,55,62,233,36,15,1,4,10,18,5,4,6,44,18,1162,8,15,19,9,25,6,51,11,1,0,3,1,3,1,1,3,22,6,236,6,6,6138535442,9108077,西宁市城中区,西宁市城中区人民街街道,20.0,30.0,30.0,20.0,100.0,81.15,52.64266666666666,40.00371287128713
