addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
陕西省,西安市,新城区,西一路街道,108.9546015,34.2636312,0,215,167,162,449,858,46,1,8,22,40,19,7,59,537,111,31869,9,16,0,10,33,24,91,103,9,0,2,3,4,1,0,6,109,11,2279,7,9,3079707887,17687514,西安市新城区,西安市新城区西一路街道,20.0,30.0,28.0,20.0,98.0,94.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,新城区,长乐中路街道,108.9975746,34.2720417,40,116,104,90,363,626,34,8,1,8,34,3,0,33,162,42,17777,9,13,5,4,13,18,37,87,2,0,1,2,8,1,0,12,31,4,2967,5,6,11233404688,17688993,西安市新城区,西安市新城区长乐中路街道,20.0,30.0,28.0,20.0,98.0,94.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,新城区,中山门街道,108.9638157,34.2732721,15,191,151,134,429,764,46,1,6,22,40,11,6,58,529,79,26876,9,17,0,54,32,31,74,129,8,0,0,0,2,4,1,10,62,5,3124,8,8,11250452164,17688990,西安市新城区,西安市新城区中山门街道,20.0,30.0,25.0,20.0,95.0,94.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,新城区,韩森寨街道,109.0042972,34.2571328,38,72,114,85,360,593,30,4,1,11,37,3,0,27,156,42,15315,9,15,0,19,20,17,43,116,2,0,0,3,10,0,0,0,1,2,2015,7,4,3079728730,17688994,西安市新城区,西安市新城区韩森寨街道,20.0,30.0,16.0,20.0,86.0,94.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,新城区,解放门街道,108.9616887,34.2755012,13,189,139,132,408,747,44,1,7,22,39,10,6,57,541,81,27009,9,16,0,57,16,28,79,159,7,0,0,0,4,4,2,8,56,4,2535,8,9,11250452163,17687515,西安市新城区,西安市新城区解放门街道,20.0,30.0,25.0,20.0,95.0,94.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,新城区,自强路街道,108.9473184,34.2829334,0,173,115,157,392,749,45,5,7,19,31,11,6,50,452,69,28752,8,17,0,33,12,16,42,98,1,0,0,5,9,1,3,8,22,8,2918,8,10,11250452169,17688988,西安市新城区,西安市新城区自强路街道,20.0,30.0,30.0,20.0,100.0,94.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,新城区,太华路街道,108.970706,34.2894585,41,99,108,140,338,678,39,3,3,9,36,6,4,41,235,26,16720,8,17,0,3,13,15,33,54,4,0,0,1,3,0,0,0,1,1,1384,8,5,3079707879,17688989,西安市新城区,西安市新城区太华路街道,20.0,30.0,16.0,20.0,86.0,94.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,新城区,长乐西路街道,108.97763,34.269115,32,140,167,143,379,785,54,1,3,12,40,8,2,42,276,60,20749,9,16,0,20,13,11,55,76,4,0,0,2,5,0,0,12,22,10,3440,6,5,11233404690,17688992,西安市新城区,西安市新城区长乐西路街道,20.0,30.0,23.0,20.0,93.0,94.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,新城区,胡家庙街道,108.99686,34.2777521,39,107,103,100,329,643,28,9,1,5,35,2,0,33,137,38,16918,9,14,6,4,9,14,42,87,7,0,1,3,7,1,0,10,64,3,3051,8,9,11230879655,17688991,西安市新城区,西安市新城区胡家庙街道,20.0,30.0,28.0,20.0,98.0,94.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,碑林区,南院门街道,108.937256,34.2592341,0,237,143,196,479,808,35,4,9,24,42,12,8,70,556,134,34559,8,18,0,44,16,33,63,107,9,0,3,6,5,5,1,13,216,21,7892,8,8,3079707885,17690646,西安市碑林区,西安市碑林区南院门街道,20.0,30.0,30.0,20.0,100.0,96.25,57.49825581395349,38.41949924127466
陕西省,西安市,碑林区,柏树林街道,108.9606744,34.2564728,42,201,192,166,476,886,50,1,11,25,40,18,5,60,564,113,28943,9,16,0,53,23,28,64,93,7,0,0,3,4,1,0,5,38,17,2382,7,7,3079707886,17690647,西安市碑林区,西安市碑林区柏树林街道,20.0,30.0,28.0,20.0,98.0,96.25,57.49825581395349,38.41949924127466
陕西省,西安市,碑林区,长乐坊街道,108.9706037,34.2657335,30,191,180,147,429,820,57,1,8,16,47,16,4,53,501,80,23214,9,16,0,52,20,25,59,90,5,0,0,1,3,2,0,10,35,14,3516,7,8,11233404689,17690648,西安市碑林区,西安市碑林区长乐坊街道,20.0,30.0,28.0,20.0,98.0,96.25,57.49825581395349,38.41949924127466
陕西省,西安市,碑林区,东关南街街道,108.969864,34.2589718,43,191,189,156,454,865,55,1,7,21,49,15,4,55,500,87,22700,9,16,0,47,21,23,43,87,4,0,0,3,3,2,0,2,22,19,2718,8,7,3079707878,17690649,西安市碑林区,西安市碑林区东关南街街道,20.0,30.0,28.0,20.0,98.0,96.25,57.49825581395349,38.41949924127466
陕西省,西安市,碑林区,太乙路街道,108.963476,34.2478436,49,172,185,141,465,827,63,3,9,16,41,13,2,66,486,103,21599,9,18,0,31,26,23,31,107,3,0,0,0,5,6,1,2,26,13,2579,7,5,3079712103,17690650,西安市碑林区,西安市碑林区太乙路街道,20.0,30.0,25.0,20.0,95.0,96.25,57.49825581395349,38.41949924127466
陕西省,西安市,碑林区,文艺路街道,108.9476322,34.2461147,39,170,164,169,549,818,51,3,18,24,37,17,3,80,586,124,27906,9,19,0,27,20,20,41,92,1,0,2,1,8,0,1,12,85,21,3373,8,7,3079717743,17690651,西安市碑林区,西安市碑林区文艺路街道,20.0,30.0,25.0,20.0,95.0,96.25,57.49825581395349,38.41949924127466
陕西省,西安市,碑林区,长安路街道,108.943241,34.240145,45,143,142,163,540,833,45,4,17,21,43,14,3,85,561,128,23551,9,19,7,7,12,16,44,86,0,0,2,1,5,0,0,14,50,20,2820,7,8,11233404692,17690652,西安市碑林区,西安市碑林区长安路街道,20.0,30.0,23.0,20.0,93.0,96.25,57.49825581395349,38.41949924127466
陕西省,西安市,碑林区,张家村街道,108.9305702,34.2490753,30,173,129,176,527,788,36,7,12,23,44,11,5,87,608,135,31021,8,18,0,20,24,33,78,96,1,1,0,1,4,0,0,2,18,14,2743,8,5,3060737529,17690653,西安市碑林区,西安市碑林区张家村街道,20.0,30.0,23.0,20.0,93.0,96.25,57.49825581395349,38.41949924127466
陕西省,西安市,莲湖区,青年路街道,108.9349488,34.2724853,0,221,135,177,456,789,34,6,9,20,33,12,8,60,534,110,34745,8,17,0,33,15,16,78,82,5,0,4,10,10,2,1,8,117,17,7868,8,9,11250452165,17690654,西安市莲湖区,西安市莲湖区青年路街道,20.0,30.0,30.0,20.0,100.0,93.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,莲湖区,北院门街道,108.9395545,34.2649822,0,272,152,189,475,830,37,4,8,22,42,12,8,64,538,127,35099,8,16,0,28,11,23,87,99,8,0,6,10,7,4,2,13,268,21,8625,7,9,2603038463,17690655,西安市莲湖区,西安市莲湖区北院门街道,20.0,30.0,30.0,20.0,100.0,93.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,莲湖区,北关街道,108.9435466,34.2836458,0,176,102,164,376,760,43,6,7,19,30,10,6,50,453,67,28591,8,17,0,35,18,13,43,72,1,0,0,4,9,0,2,9,23,10,3291,7,10,11250452168,17690656,西安市莲湖区,西安市莲湖区北关街道,20.0,30.0,25.0,20.0,95.0,93.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,莲湖区,红庙坡街道,108.9237142,34.2876754,25,117,90,133,301,663,21,8,6,15,28,7,5,38,226,67,28329,8,17,0,14,21,18,30,92,1,2,0,0,0,0,0,1,19,11,3106,7,4,3060737051,17692120,西安市莲湖区,西安市莲湖区红庙坡街道,20.0,30.0,13.0,20.0,83.0,93.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,莲湖区,环城西路街道,108.9148973,34.2648667,15,182,112,156,464,731,23,10,4,20,31,7,4,61,415,101,34141,8,15,0,55,9,25,47,72,1,1,0,1,5,1,2,11,33,15,3994,8,8,11250452166,17692121,西安市莲湖区,西安市莲湖区环城西路街道,20.0,30.0,30.0,20.0,100.0,93.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,莲湖区,西关街道,108.9029846,34.2520851,33,139,103,172,463,674,33,11,3,7,35,11,4,96,279,63,21872,8,15,1,6,12,19,78,52,4,2,0,1,1,0,0,5,41,9,2810,7,6,3060726439,17692122,西安市莲湖区,西安市莲湖区西关街道,20.0,30.0,23.0,20.0,93.0,93.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,莲湖区,土门街道,108.8784985,34.2701371,23,55,77,85,315,530,4,12,0,3,25,5,2,48,73,23,17889,9,12,5,14,8,16,31,77,0,3,0,0,8,1,0,4,1,3,2213,5,5,11250452172,17692123,西安市莲湖区,西安市莲湖区土门街道,20.0,30.0,13.0,20.0,83.0,93.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,莲湖区,桃园路街道,108.8847084,34.2699609,22,57,73,92,321,551,5,10,0,4,27,5,3,53,75,31,20181,9,11,5,17,10,18,29,78,1,2,0,1,7,1,0,8,6,2,2174,5,6,11250452167,17692124,西安市莲湖区,西安市莲湖区桃园路街道,20.0,30.0,23.0,20.0,93.0,93.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,莲湖区,枣园街道,108.8692239,34.2710634,27,55,74,75,305,465,4,14,0,3,27,3,2,43,53,6,14332,9,11,0,18,2,19,26,82,1,2,0,1,5,1,0,5,9,2,2347,4,5,3060737049,17692125,西安市莲湖区,西安市莲湖区枣园街道,20.0,30.0,23.0,20.0,93.0,93.33333333333333,57.49825581395349,38.41949924127466
陕西省,西安市,灞桥区,纺织城街道,109.059227,34.2698116,14,29,47,130,123,341,8,0,1,5,19,2,0,19,43,59,228,6,14,0,0,7,24,6,112,0,0,1,4,5,2,0,14,12,11,24,4,6,11250452161,-1,西安市灞桥区,西安市灞桥区纺织城街道,12.0,28.0,28.0,20.0,88.0,65.51111111111112,57.49825581395349,38.41949924127466
