addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
山东省,济南市,历下区,解放路街道,117.0308538,36.6646823,53,255,293,233,1091,976,177,8,18,30,63,14,21,39,325,83,5247,9,21,0,38,55,37,165,165,29,1,6,5,7,0,2,2,47,18,764,7,10,5197390512,8785209,济南市历下区,济南市历下区解放路街道,20.0,30.0,25.0,20.0,95.0,94.46153846153847,69.35714285714286,48.93987865416437
山东省,济南市,历下区,千佛山街道,117.0340616,36.6423759,102,151,209,124,462,668,110,5,11,14,32,5,11,15,132,59,3137,8,18,9,8,7,10,20,72,14,0,0,4,1,2,0,3,11,3,166,5,8,5197334873,8785207,济南市历下区,济南市历下区千佛山街道,20.0,30.0,28.0,20.0,98.0,94.46153846153847,69.35714285714286,48.93987865416437
山东省,济南市,历下区,趵突泉街道,117.0117791,36.6590914,132,266,334,260,761,1052,181,2,20,33,64,23,20,41,318,96,5326,8,21,6,53,83,43,105,143,20,1,1,6,9,3,3,11,60,16,967,8,12,5197367062,8719013,济南市历下区,济南市历下区趵突泉街道,20.0,30.0,30.0,20.0,100.0,94.46153846153847,69.35714285714286,48.93987865416437
山东省,济南市,历下区,泉城路街道,117.0174031,36.6667669,129,293,337,278,945,1072,174,2,19,29,68,23,23,39,348,93,5367,8,21,0,18,74,41,128,160,32,0,1,1,6,2,3,9,66,15,885,8,10,5197241873,8710731,济南市历下区,济南市历下区泉城路街道,20.0,30.0,30.0,20.0,100.0,94.46153846153847,69.35714285714286,48.93987865416437
山东省,济南市,历下区,大明湖街道,117.0267433,36.6700573,42,259,280,231,1086,962,162,6,17,26,64,14,18,38,320,87,5144,9,21,0,33,58,20,219,132,22,1,6,3,5,0,2,0,46,16,634,8,9,5197241874,8710732,济南市历下区,济南市历下区大明湖街道,20.0,30.0,23.0,20.0,93.0,94.46153846153847,69.35714285714286,48.93987865416437
山东省,济南市,历下区,东关街道,117.0268015,36.6785881,17,226,281,229,1019,951,105,3,13,19,54,8,15,31,286,77,4028,9,20,6,40,30,21,131,109,9,0,0,2,5,0,2,0,6,10,247,6,11,5197241875,8780769,济南市历下区,济南市历下区东关街道,20.0,30.0,23.0,20.0,93.0,94.46153846153847,69.35714285714286,48.93987865416437
山东省,济南市,历下区,文东街道,117.0431456,36.6599583,130,170,268,203,1190,944,188,12,29,28,45,13,17,32,328,70,4644,9,20,0,43,43,34,132,121,34,2,3,4,8,0,3,4,27,14,872,8,11,-2,8785208,济南市历下区,济南市历下区文东街道,13.0,30.0,25.0,20.0,88.0,94.46153846153847,69.35714285714286,48.93987865416437
山东省,济南市,历下区,建新街道,117.0433849,36.6704027,131,219,262,227,1321,1028,178,16,33,30,47,14,18,32,342,65,4849,9,20,0,49,22,50,372,127,18,2,2,4,10,1,4,10,57,15,388,8,13,5197241876,8781764,济南市历下区,济南市历下区建新街道,20.0,30.0,30.0,20.0,100.0,94.46153846153847,69.35714285714286,48.93987865416437
山东省,济南市,历下区,甸柳街道,117.0613763,36.6590627,152,182,198,206,1319,858,182,16,40,33,39,15,14,28,300,43,4463,9,19,55,21,37,45,158,130,37,3,13,6,9,4,4,6,84,3,822,7,9,-2,8871923,济南市历下区,济南市历下区甸柳街道,13.0,30.0,30.0,20.0,93.0,94.46153846153847,69.35714285714286,48.93987865416437
山东省,济南市,历下区,燕山街道,117.0562695,36.6589053,148,169,214,193,1363,876,189,16,36,34,42,15,16,28,299,51,4570,9,19,26,13,43,43,148,114,38,5,11,4,8,3,4,5,82,3,913,8,9,5197390514,8871922,济南市历下区,济南市历下区燕山街道,20.0,30.0,30.0,20.0,100.0,94.46153846153847,69.35714285714286,48.93987865416437
