addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
四川省,成都市,锦江区,锦官驿街道,104.083535,30.6498998,38,233,147,133,701,308,55,9,135,41,52,32,18,75,848,41,9133,8,21,0,44,21,19,112,46,8,0,9,3,5,2,2,11,122,1,1109,7,11,7823258521,9425400,成都市锦江区,成都市锦江区锦官驿街道,20.0,30.0,30.0,20.0,100.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,东湖街道,104.0931985,30.6181508,46,127,95,141,463,219,38,21,54,24,42,17,6,34,493,12,6216,8,23,2,11,9,15,38,17,4,5,0,5,5,1,0,5,45,1,590,7,8,7823258527,9425408,成都市锦江区,成都市锦江区东湖街道,20.0,30.0,28.0,20.0,98.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,锦华路街道,104.0931027,30.6043335,48,105,96,167,314,169,32,20,42,14,31,5,5,24,347,11,4996,8,21,6,15,15,23,24,15,1,4,0,1,5,0,0,0,21,1,605,7,8,7823258547,11516693,成都市锦江区,成都市锦江区锦华路街道,20.0,30.0,21.0,20.0,91.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,春熙路街道,104.0717857,30.6562765,0,277,145,118,697,299,88,5,157,49,54,32,16,81,916,50,9790,8,20,0,47,33,4,117,54,13,0,9,0,9,1,3,13,154,2,1156,8,11,7823258520,9817850,成都市锦江区,成都市锦江区春熙路街道,20.0,30.0,25.0,20.0,95.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,书院街街道,104.0852728,30.664222,46,271,135,124,626,298,61,10,155,44,57,41,20,89,948,58,9403,9,19,0,50,7,18,93,16,7,0,27,4,7,5,2,5,111,9,1227,7,7,7823258524,9425401,成都市锦江区,成都市锦江区书院街街道,20.0,30.0,30.0,20.0,100.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,牛市口街道,104.097277,30.6407413,52,164,107,133,584,256,39,19,67,32,50,20,10,67,736,24,7942,9,19,16,11,16,12,75,38,2,0,5,4,7,5,0,4,121,1,923,7,11,7823258525,9425403,成都市锦江区,成都市锦江区牛市口街道,20.0,30.0,28.0,20.0,98.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,沙河街道,104.1139881,30.6307815,56,130,97,164,395,215,30,18,38,27,43,15,11,53,684,12,6121,8,19,0,8,5,17,33,14,4,2,3,5,5,1,0,8,85,3,604,7,12,7823258526,9425407,成都市锦江区,成都市锦江区沙河街道,20.0,30.0,28.0,20.0,98.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,狮子山街道,104.1163618,30.6148091,48,113,94,161,290,170,32,23,43,22,37,6,9,29,517,9,4975,9,19,0,17,3,11,60,25,13,2,5,3,5,2,3,4,92,2,786,8,14,7823258546,9425409,成都市锦江区,成都市锦江区狮子山街道,20.0,30.0,30.0,20.0,100.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,成龙路街道,104.1291399,30.6001568,30,78,50,135,270,95,26,11,45,10,28,6,5,16,369,6,4101,9,19,21,3,17,13,36,15,2,3,3,1,3,1,1,3,59,2,445,8,9,10673706802,9425410,成都市锦江区,成都市锦江区成龙路街道,20.0,30.0,30.0,20.0,100.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,柳江街道,104.0842016,30.5876664,40,73,123,203,265,134,20,8,17,5,19,4,0,5,170,11,3563,8,18,3,3,20,25,22,15,4,0,1,0,0,0,0,0,7,1,449,7,13,10673820222,17924099,成都市锦江区,成都市锦江区柳江街道,20.0,30.0,11.0,20.0,81.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,锦江区,三圣街道,104.1396621,30.591407,29,39,29,102,234,61,27,7,34,3,15,4,2,10,242,5,3107,9,18,3,0,12,15,33,7,4,1,9,2,4,2,0,0,53,1,518,8,10,10673820223,17924100,成都市锦江区,成都市锦江区三圣街道,20.0,30.0,26.0,20.0,96.0,96.0909090909091,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,草市街街道,104.0688871,30.6761618,34,301,126,109,595,286,81,13,163,50,59,47,18,74,1023,66,9884,8,22,0,32,12,19,83,31,13,1,16,12,5,5,5,16,232,9,1190,7,14,7541222091,9817879,成都市青羊区,成都市青羊区草市街街道,20.0,30.0,30.0,20.0,100.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,西御河街道,104.0678621,30.6659744,9,336,140,125,615,326,94,6,175,55,59,34,17,85,927,57,10037,8,21,0,51,23,11,110,51,16,0,32,6,2,5,2,13,144,6,1043,8,14,7619523053,9817848,成都市青羊区,成都市青羊区西御河街道,20.0,30.0,30.0,20.0,100.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,少城街道,104.0536533,30.665812,4,292,129,114,664,319,94,9,189,51,59,34,15,88,915,62,10528,8,22,0,57,18,19,82,47,25,1,55,9,11,5,1,13,87,10,1154,8,16,7619523045,9817881,成都市青羊区,成都市青羊区少城街道,20.0,30.0,30.0,20.0,100.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,草堂街道,104.0324048,30.661089,18,206,104,106,575,245,65,21,151,49,55,23,5,68,674,50,9265,8,23,0,23,23,10,57,24,9,1,18,4,3,4,0,7,62,8,1094,7,13,7622830176,11124849,成都市青羊区,成都市青羊区草堂街道,20.0,30.0,28.0,20.0,98.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,府南街道,104.0213465,30.6795923,53,151,75,139,451,215,45,23,90,32,56,19,11,57,515,44,8183,8,19,14,25,4,14,74,31,2,2,15,3,8,1,0,10,75,7,1058,6,10,7543711448,11124853,成都市青羊区,成都市青羊区府南街道,20.0,30.0,28.0,20.0,98.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,光华街道,104.0055205,30.668021,58,110,69,133,457,141,32,21,53,26,47,15,5,36,374,39,7340,8,17,2,16,7,16,48,27,1,2,6,3,5,1,1,6,37,4,744,5,10,7543720708,11124866,成都市青羊区,成都市青羊区光华街道,20.0,30.0,30.0,20.0,100.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,金沙街道,104.0006865,30.6866451,68,113,58,126,323,159,20,22,36,18,48,11,14,36,297,30,5053,7,17,2,6,3,24,30,18,4,2,2,1,6,2,1,7,26,6,541,5,10,7543592396,11126244,成都市青羊区,成都市青羊区金沙街道,20.0,30.0,30.0,20.0,100.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,黄田坝街道,103.9619961,30.6929934,25,69,25,63,194,58,12,9,0,7,24,2,11,5,63,25,1054,8,16,0,0,10,4,44,0,0,1,0,0,5,0,0,0,0,7,14,3,8,7825973894,11126562,成都市青羊区,成都市青羊区黄田坝街道,20.0,30.0,5.0,20.0,75.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,苏坡街道,103.9814752,30.6794384,40,88,51,94,289,110,20,15,12,12,39,6,12,20,152,35,3185,7,17,19,45,10,18,40,16,2,2,1,4,6,1,8,4,45,4,472,7,9,7543828231,11126406,成都市青羊区,成都市青羊区苏坡街道,20.0,30.0,30.0,20.0,100.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,文家街道,103.9248703,30.6985042,13,17,41,68,172,19,11,2,0,2,8,0,0,0,5,12,240,8,12,0,0,14,25,32,2,0,0,0,1,3,0,0,0,1,4,38,6,5,7825975717,11519304,成都市青羊区,成都市青羊区文家街道,20.0,30.0,11.0,20.0,81.0,93.58333333333333,65.6015325670498,39.274943566591425
四川省,成都市,青羊区,蔡桥街道,103.9516079,30.6705701,23,55,28,66,202,54,14,7,1,6,21,4,9,3,45,17,581,8,15,0,4,2,14,21,9,0,2,0,1,4,0,0,0,5,5,119,4,9,7622840427,11205941,成都市青羊区,成都市青羊区蔡桥街道,20.0,30.0,20.0,20.0,90.0,93.58333333333333,65.6015325670498,39.274943566591425
