addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
浙江省,杭州市,上城区,清波街道,120.1564266,30.2409992,43,235,278,151,385,725,66,2,47,20,48,20,9,44,320,65,4300,9,19,0,14,30,15,33,64,11,0,4,1,6,4,2,3,61,7,359,9,10,5322427569,8504430,杭州市上城区,杭州市上城区清波街道,20.0,30.0,30.0,20.0,100.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,湖滨街道,120.1659292,30.257916,45,338,421,175,522,978,74,6,47,27,63,23,11,66,417,108,4343,9,19,8,74,61,21,134,155,8,0,22,11,12,6,2,30,140,19,1001,8,11,5289271244,8504429,杭州市上城区,杭州市上城区湖滨街道,20.0,30.0,30.0,20.0,100.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,小营街道,120.1721223,30.2420829,53,299,352,199,439,900,56,4,52,27,66,22,9,51,313,91,4366,9,19,12,24,75,34,59,169,8,0,4,4,10,5,5,5,53,12,590,8,11,5293483125,8504434,杭州市上城区,杭州市上城区小营街道,20.0,30.0,30.0,20.0,100.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,南星街道,120.1576771,30.2097152,29,192,147,102,172,454,34,5,12,9,23,5,0,6,56,33,2740,9,16,0,21,10,29,10,60,2,1,5,0,4,1,0,0,3,4,422,7,8,5322427567,8504432,杭州市上城区,杭州市上城区南星街道,20.0,30.0,18.0,20.0,88.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,紫阳街道,120.1718533,30.2214689,60,178,240,175,259,655,35,5,30,14,38,13,3,11,119,48,2996,9,18,17,53,25,33,37,83,4,1,6,2,9,2,0,3,6,10,732,7,12,5288970845,8504431,杭州市上城区,杭州市上城区紫阳街道,20.0,30.0,28.0,20.0,98.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,望江街道,120.1938406,30.2377572,42,284,336,193,356,806,33,4,30,17,49,14,6,26,128,68,2972,8,14,8,24,63,42,64,115,7,2,14,3,7,1,0,2,9,10,580,6,9,5322427568,8504433,杭州市上城区,杭州市上城区望江街道,20.0,30.0,28.0,20.0,98.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,凯旋街道,120.1994267,30.2699621,30,350,528,153,568,1021,27,4,8,14,59,5,1,21,98,95,2619,9,14,6,12,31,25,78,162,1,0,0,1,12,0,0,0,12,13,136,6,8,5468835081,9086418,杭州市上城区,杭州市上城区凯旋街道,20.0,30.0,21.0,20.0,91.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,采荷街道,120.193951,30.2578492,46,366,422,172,519,1031,30,4,34,21,62,14,6,41,155,97,3006,9,14,6,58,42,19,62,148,4,1,2,2,9,0,0,1,9,20,232,6,8,5468835082,9086403,杭州市上城区,杭州市上城区采荷街道,20.0,30.0,23.0,20.0,93.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,闸弄口街道,120.186526,30.2914991,58,377,432,181,748,977,42,6,3,14,55,7,2,17,111,88,3559,9,17,6,44,11,24,194,87,7,1,0,4,8,0,0,2,14,15,901,7,10,5468835084,9088442,杭州市上城区,杭州市上城区闸弄口街道,20.0,30.0,23.0,20.0,93.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,四季青街道,120.1982241,30.2548183,41,303,404,158,442,922,21,4,30,17,55,12,5,24,107,85,2557,9,14,8,62,50,23,82,141,5,1,3,2,9,0,0,2,10,17,289,5,7,5468835083,9086435,杭州市上城区,杭州市上城区四季青街道,20.0,30.0,23.0,20.0,93.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,彭埠街道,120.2243461,30.2909421,51,204,503,264,398,870,6,1,0,4,36,2,0,0,11,48,775,8,15,8,20,82,37,25,97,0,0,0,1,7,0,0,0,0,6,38,7,10,5468835085,9088437,杭州市上城区,杭州市上城区彭埠街道,20.0,30.0,10.0,20.0,80.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,笕桥街道,120.2139911,30.3184113,65,181,297,254,483,687,17,2,3,11,24,3,0,0,10,35,962,8,19,0,12,20,32,62,68,2,0,0,3,3,2,0,0,0,5,35,5,11,5468835086,10706644,杭州市上城区,杭州市上城区笕桥街道,20.0,30.0,20.0,20.0,90.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,丁兰街道,120.2131157,30.3603021,27,98,326,265,226,552,6,2,2,8,26,1,0,0,2,40,441,9,22,0,21,86,25,23,93,0,1,0,1,5,0,0,0,1,9,34,4,10,5468840508,10706643,杭州市上城区,杭州市上城区丁兰街道,20.0,30.0,16.0,20.0,86.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,上城区,九堡街道,120.2679308,30.3137648,64,150,163,392,319,635,10,1,4,5,21,3,0,5,27,37,175,8,16,6,43,53,81,86,155,1,0,0,4,4,2,0,2,19,10,56,7,11,5365291101,10706642,杭州市上城区,杭州市上城区九堡街道,20.0,30.0,28.0,20.0,98.0,93.42857142857143,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,米市巷街道,120.1458221,30.2886357,42,364,415,208,485,1043,79,10,24,19,80,13,4,46,330,118,5529,8,16,7,39,64,23,48,113,9,0,4,3,11,1,1,11,55,24,816,7,9,5094909629,8280750,杭州市拱墅区,杭州市拱墅区米市巷街道,20.0,30.0,30.0,20.0,100.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,湖墅街道,120.1402931,30.2957108,29,396,391,215,440,1018,67,9,18,17,79,11,2,34,263,113,5500,8,15,12,49,33,41,41,83,9,1,0,2,13,0,0,8,32,21,796,7,9,5094909628,8280751,杭州市拱墅区,杭州市拱墅区湖墅街道,20.0,30.0,23.0,20.0,93.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,小河街道,120.1272088,30.3079915,41,377,337,267,411,926,41,7,3,10,77,6,0,20,145,85,4306,8,14,0,58,51,32,51,117,4,1,0,2,12,1,0,0,15,11,564,7,9,5094909631,8308932,杭州市拱墅区,杭州市拱墅区小河街道,20.0,30.0,26.0,20.0,96.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,和睦街道,120.1203205,30.3104438,52,387,322,285,400,969,34,6,3,9,70,8,0,11,125,76,3434,8,13,0,42,53,26,48,106,2,2,0,0,9,1,0,0,5,9,393,7,9,5094909632,8308931,杭州市拱墅区,杭州市拱墅区和睦街道,20.0,30.0,20.0,20.0,90.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,拱宸桥街道,120.1398208,30.3237537,33,278,284,232,482,813,54,4,2,6,58,2,0,0,63,63,4415,9,14,2,30,50,17,108,114,4,0,1,2,14,0,0,0,10,12,873,8,9,5094909630,8308929,杭州市拱墅区,杭州市拱墅区拱宸桥街道,20.0,30.0,21.0,20.0,91.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,大关街道,120.1517651,30.3077177,39,367,343,189,553,944,67,6,5,14,73,6,2,15,151,103,5603,8,15,4,53,33,25,47,115,11,1,0,1,8,0,0,0,15,15,782,6,11,5094909627,8280749,杭州市拱墅区,杭州市拱墅区大关街道,20.0,30.0,21.0,20.0,91.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,上塘街道,120.1506271,30.3144543,42,353,338,178,566,905,65,5,1,9,66,3,1,9,117,90,5272,8,15,2,62,20,15,66,96,11,2,0,1,7,0,0,0,7,15,675,5,9,5094909626,8280744,杭州市拱墅区,杭州市拱墅区上塘街道,20.0,30.0,21.0,20.0,91.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,祥符街道,120.1019047,30.325797,50,224,297,393,271,828,13,5,2,5,39,5,2,7,71,50,1619,9,11,18,43,18,53,24,97,2,1,0,1,4,0,0,0,1,5,84,7,7,5094909633,8308930,杭州市拱墅区,杭州市拱墅区祥符街道,20.0,30.0,16.0,20.0,86.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,康桥街道,120.1442204,30.3673984,8,22,272,245,238,240,14,3,1,4,14,0,0,0,2,22,749,9,16,0,0,24,43,36,32,2,0,1,1,3,0,0,0,0,6,75,5,10,5094909634,8308928,杭州市拱墅区,杭州市拱墅区康桥街道,20.0,30.0,15.0,20.0,85.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,半山街道,120.1746926,30.3521725,26,90,259,203,322,476,31,1,2,10,24,1,0,0,8,27,1584,8,15,0,16,36,35,35,60,3,0,0,4,7,0,0,0,1,7,591,6,9,5094909635,8308927,杭州市拱墅区,杭州市拱墅区半山街道,20.0,30.0,16.0,20.0,86.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,天水街道,120.1576647,30.2692979,34,376,458,155,524,976,71,6,47,28,66,28,9,75,443,109,5269,9,19,8,63,119,43,87,187,13,0,8,3,12,0,1,9,110,16,558,8,8,5176752299,16613273,杭州市拱墅区,杭州市拱墅区天水街道,20.0,30.0,25.0,20.0,95.0,92.55555555555556,65.63350785340315,52.055677655677655
浙江省,杭州市,拱墅区,武林街道,120.1616144,30.261717,29,318,419,161,502,983,67,5,48,26,66,26,12,68,432,108,4586,9,19,3,59,77,28,142,167,13,0,14,8,14,1,1,20,137,20,762,7,10,5176752298,16613272,杭州市拱墅区,杭州市拱墅区武林街道,20.0,30.0,30.0,20.0,100.0,92.55555555555556,65.63350785340315,52.055677655677655
