addr_1 addr_2 addr_3 addr_4 lon lat
重庆市 市辖区 万州区 高笋塘街道 108.3736514 30.8127341
重庆市 市辖区 万州区 太白街道 108.357828 30.82482
重庆市 市辖区 万州区 牌楼街道 108.383 30.793
重庆市 市辖区 万州区 双河口街道 108.381 30.7582
重庆市 市辖区 万州区 龙都街道 108.4070726 30.7666192
重庆市 市辖区 万州区 周家坝街道 108.3643331 30.8428198
重庆市 市辖区 万州区 沙河街道 108.3493129 30.8274949
重庆市 市辖区 万州区 钟鼓楼街道 108.3831348 30.8219104
重庆市 市辖区 万州区 百安坝街道 108.4364947 30.7687129
重庆市 市辖区 万州区 五桥街道 108.4484346 30.7710432
重庆市 市辖区 万州区 陈家坝街道 108.3982983 30.8105826
重庆市 市辖区 万州区 高峰街道 108.341871 30.712774
重庆市 市辖区 万州区 天城街道 108.369 30.8688
重庆市 市辖区 万州区 九池街道 108.3731009 30.7908413
重庆市 市辖区 万州区 小周镇 108.518781 30.9354448
重庆市 市辖区 万州区 大周镇 108.4975428 30.8881432
重庆市 市辖区 万州区 新乡镇 108.272785 30.499991
重庆市 市辖区 万州区 孙家镇 108.013738 30.729773
重庆市 市辖区 万州区 龙沙镇 108.237014 30.639654
重庆市 市辖区 万州区 响水镇 108.1934221 30.6553
重庆市 市辖区 万州区 武陵镇 108.2495967 30.5068764
重庆市 市辖区 万州区 瀼渡镇 108.305575 30.592924
重庆市 市辖区 万州区 甘宁镇 108.2805 30.669112
重庆市 市辖区 万州区 熊家镇 108.4329211 30.9023645
重庆市 市辖区 万州区 高梁镇 108.302243 30.823943
重庆市 市辖区 万州区 李河镇 108.262162 30.816087
重庆市 市辖区 万州区 分水镇 108.083329 30.719703
重庆市 市辖区 万州区 余家镇 107.953767 30.811502
重庆市 市辖区 万州区 后山镇 108.028663 30.825888
重庆市 市辖区 万州区 弹子镇 108.0061024 30.8569394
重庆市 市辖区 万州区 长岭镇 108.4861343 30.7690059
重庆市 市辖区 万州区 新田镇 108.401927 30.698658
重庆市 市辖区 万州区 白羊镇 108.610984 30.816403
重庆市 市辖区 万州区 龙驹镇 108.635182 30.610897
重庆市 市辖区 万州区 走马镇 108.4391051 30.5693911
重庆市 市辖区 万州区 罗田镇 108.565233 30.5171269
重庆市 市辖区 万州区 太龙镇 108.536 30.9058
重庆市 市辖区 万州区 长滩镇 108.599762 30.739163
重庆市 市辖区 万州区 太安镇 108.659205 30.795537
重庆市 市辖区 万州区 白土镇 108.811405 30.59722
重庆市 市辖区 万州区 郭村镇 108.168 30.5634
重庆市 市辖区 万州区 柱山乡 108.2737364 30.7334371
重庆市 市辖区 万州区 铁峰乡 108.3963828 30.9683667
重庆市 市辖区 万州区 溪口乡 108.339241 30.610196
重庆市 市辖区 万州区 长坪乡 108.248412 30.44274
重庆市 市辖区 万州区 燕山乡 108.309082 30.554348
重庆市 市辖区 万州区 梨树乡 108.747579 30.664378
重庆市 市辖区 万州区 普子乡 108.8184376 30.5706593
重庆市 市辖区 万州区 地宝土家族乡 108.8957914 30.6593213
重庆市 市辖区 万州区 恒合土家族乡 108.754155 30.531465
重庆市 市辖区 万州区 黄柏乡 108.59377 30.9191258
重庆市 市辖区 万州区 茨竹乡 108.5058394 30.6599775
重庆市 市辖区 涪陵区 敦仁街道 107.3981397 29.7131327
重庆市 市辖区 涪陵区 崇义街道 107.3870885 29.7125792
重庆市 市辖区 涪陵区 荔枝街道 107.3957186 29.7052604
重庆市 市辖区 涪陵区 江北街道 107.3895901 29.7230557
重庆市 市辖区 涪陵区 江东街道 107.4161327 29.7004257
重庆市 市辖区 涪陵区 李渡街道 107.2815972 29.7457349
重庆市 市辖区 涪陵区 龙桥街道 107.3012054 29.7290026
重庆市 市辖区 涪陵区 白涛街道 107.4969332 29.5528185
重庆市 市辖区 涪陵区 马鞍街道 107.272271 29.74549
重庆市 市辖区 涪陵区 蔺市街道 107.1952493 29.6633325
重庆市 市辖区 涪陵区 义和街道 107.2185685 29.7324994
重庆市 市辖区 涪陵区 南沱镇 107.5276555 29.8559232
重庆市 市辖区 涪陵区 青羊镇 107.2 29.5265
重庆市 市辖区 涪陵区 百胜镇 107.392609 29.813513
重庆市 市辖区 涪陵区 珍溪镇 107.4675186 29.9010827
重庆市 市辖区 涪陵区 清溪镇 107.4626732 29.7992404
重庆市 市辖区 涪陵区 焦石镇 107.600172 29.7187489
重庆市 市辖区 涪陵区 马武镇 107.3139002 29.5923389
重庆市 市辖区 涪陵区 龙潭镇 107.1056799 29.4465261
重庆市 市辖区 涪陵区 新妙镇 107.0519903 29.6578217
重庆市 市辖区 涪陵区 石沱镇 107.1421149 29.7084462
重庆市 市辖区 涪陵区 同乐镇 107.1964362 29.4607399
重庆市 市辖区 涪陵区 大顺镇 107.060015 29.5037901
重庆市 市辖区 涪陵区 增福镇 106.9880857 29.5117254
重庆市 市辖区 涪陵区 罗云镇 107.5978978 29.7795881
重庆市 市辖区 涪陵区 大木乡 107.6661572 29.6240254
重庆市 市辖区 涪陵区 武陵山乡 107.559668 29.530383
重庆市 市辖区 渝中区 七星岗街道 106.566709 29.553801
重庆市 市辖区 渝中区 解放碑街道 106.575248 29.557541
重庆市 市辖区 渝中区 两路口街道 106.552807 29.552856
重庆市 市辖区 渝中区 上清寺街道 106.54805 29.559837
重庆市 市辖区 渝中区 菜园坝街道 106.547102 29.547525
重庆市 市辖区 渝中区 南纪门街道 106.569858 29.551949
重庆市 市辖区 渝中区 朝天门街道 106.582812 29.556411
重庆市 市辖区 渝中区 大溪沟街道 106.559941 29.563019
重庆市 市辖区 渝中区 大坪街道 106.518015 29.538603
重庆市 市辖区 渝中区 化龙桥街道 106.525123 29.549043
重庆市 市辖区 渝中区 石油路街道 106.5096 29.543484
重庆市 市辖区 大渡口区 新山村街道 106.4832555 29.4846783
重庆市 市辖区 大渡口区 跃进村街道 106.4920975 29.4901077
重庆市 市辖区 大渡口区 九宫庙街道 106.4802347 29.4798517
重庆市 市辖区 大渡口区 茄子溪街道 106.4954504 29.4348104
重庆市 市辖区 大渡口区 春晖路街道 106.4675784 29.4591812
重庆市 市辖区 大渡口区 八桥镇 106.4765196 29.4808317
重庆市 市辖区 大渡口区 建胜镇 106.490123 29.4314955
重庆市 市辖区 大渡口区 跳磴镇 106.4274627 29.4065438
重庆市 市辖区 江北区 华新街街道 106.5342499 29.571892
重庆市 市辖区 江北区 江北城街道 106.5688136 29.5804146
重庆市 市辖区 江北区 石马河街道 106.4803884 29.5864044
重庆市 市辖区 江北区 大石坝街道 106.4883567 29.5715569
重庆市 市辖区 江北区 寸滩街道 106.5688874 29.6059123
重庆市 市辖区 江北区 观音桥街道 106.527832 29.5828377
