addr_1 addr_2 addr_3 addr_4 lon lat
福建省 福州市 鼓楼区 鼓东街道 119.2973613 26.0959852
福建省 福州市 鼓楼区 鼓西街道 119.2850017 26.09163
福建省 福州市 鼓楼区 温泉街道 119.3065452 26.0939425
福建省 福州市 鼓楼区 东街街道 119.2993784 26.0875059
福建省 福州市 鼓楼区 南街街道 119.2868041 26.0837672
福建省 福州市 鼓楼区 安泰街道 119.2969583 26.0788234
福建省 福州市 鼓楼区 华大街道 119.2976188 26.1107838
福建省 福州市 鼓楼区 水部街道 119.3110084 26.0793731
福建省 福州市 鼓楼区 五凤街道 119.2750453 26.1105141
福建省 福州市 鼓楼区 洪山镇 119.2702388 26.0673832
福建省 福州市 台江区 瀛洲街道 119.3213939 26.0588648
福建省 福州市 台江区 后洲街道 119.3056029 26.0586342
福建省 福州市 台江区 义洲街道 119.2915248 26.0611779
福建省 福州市 台江区 新港街道 119.3131542 26.0665751
福建省 福州市 台江区 上海街道 119.2907523 26.0701988
福建省 福州市 台江区 苍霞街道 119.2914789 26.0516286
福建省 福州市 台江区 茶亭街道 119.303584 26.0711625
福建省 福州市 台江区 洋中街道 119.299246 26.0584917
福建省 福州市 台江区 鳌峰街道 119.3471431 26.0557806
福建省 福州市 台江区 宁化街道 119.2800235 26.0623345
福建省 福州市 仓山区 仓前街道 119.310568 26.0467129
福建省 福州市 仓山区 东升街道 119.3221517 26.0290518
福建省 福州市 仓山区 对湖街道 119.3063383 26.0432216
福建省 福州市 仓山区 临江街道 119.3165445 26.0505371
福建省 福州市 仓山区 三叉街街道 119.3283462 26.0337643
福建省 福州市 仓山区 上渡街道 119.291954 26.0377553
福建省 福州市 仓山区 下渡街道 119.3292045 26.0473948
福建省 福州市 仓山区 金山街道 119.2496713 26.0422244
福建省 福州市 仓山区 仓山镇 119.3101659 26.0371055
福建省 福州市 仓山区 城门镇 119.3639837 25.9951435
福建省 福州市 仓山区 盖山镇 119.3299336 26.0239449
福建省 福州市 仓山区 建新镇 119.2333354 26.0694364
福建省 福州市 仓山区 螺洲镇 119.344206 25.985322
福建省 福州市 马尾区 罗星街道 119.4443679 25.9849938
福建省 福州市 马尾区 马尾镇 119.4239831 26.0232174
福建省 福州市 马尾区 亭江镇 119.5065845 26.0717718
福建省 福州市 马尾区 琅岐镇 119.5732149 26.0861662
福建省 福州市 晋安区 茶园街道 119.315071 26.114168
福建省 福州市 晋安区 王庄街道 119.3216005 26.0828593
福建省 福州市 晋安区 象园街道 119.3234324 26.0695065
福建省 福州市 晋安区 鼓山镇 119.3479791 26.0755405
福建省 福州市 晋安区 新店镇 119.3064713 26.1307846
福建省 福州市 晋安区 岳峰镇 119.3354267 26.0996549
福建省 福州市 晋安区 宦溪镇 119.3526005 26.1759197
福建省 福州市 晋安区 寿山乡 119.2740153 26.1896396
福建省 福州市 晋安区 日溪乡 119.270834 26.3509094
福建省 福州市 长乐区 吴航街道 119.5230102 25.9584595
福建省 福州市 长乐区 航城街道 119.5003937 25.9572804
福建省 福州市 长乐区 营前街道 119.4650192 25.966327
福建省 福州市 长乐区 漳港街道 119.628117 25.9208235
福建省 福州市 长乐区 文武砂街道 119.5758324 25.8964964
福建省 福州市 长乐区 首占镇 119.4859373 25.933695
福建省 福州市 长乐区 玉田镇 119.4536342 25.876316
福建省 福州市 长乐区 松下镇 119.5972152 25.7640739
福建省 福州市 长乐区 江田镇 119.5785459 25.825894
福建省 福州市 长乐区 古槐镇 119.5386039 25.8839522
福建省 福州市 长乐区 鹤上镇 119.5487854 25.9521873
福建省 福州市 长乐区 湖南镇 119.6419367 25.9672332
福建省 福州市 长乐区 金峰镇 119.6276085 25.9808602
福建省 福州市 长乐区 文岭镇 119.6518509 25.9979986
福建省 福州市 长乐区 梅花镇 119.6798599 26.0183129
福建省 福州市 长乐区 潭头镇 119.6017412 26.0317633
福建省 福州市 长乐区 罗联乡 119.4696618 25.8554766
福建省 福州市 长乐区 猴屿乡 119.5362551 26.0589699
福建省 福州市 闽侯县 甘蔗街道 119.1378558 26.1503627
福建省 福州市 闽侯县 白沙镇 119.0682076 26.2095978
福建省 福州市 闽侯县 南屿镇 119.2179038 25.9776994
福建省 福州市 闽侯县 尚干镇 119.36814 25.9220654
福建省 福州市 闽侯县 祥谦镇 119.3818209 25.9331125
福建省 福州市 闽侯县 青口镇 119.3743233 25.8978005
福建省 福州市 闽侯县 南通镇 119.2557531 25.9379114
福建省 福州市 闽侯县 上街镇 119.2014205 26.0768111
福建省 福州市 闽侯县 荆溪镇 119.1736397 26.1311687
福建省 福州市 闽侯县 竹岐乡 119.102165 26.148599
