addr_1 addr_2 addr_3 addr_4 lon lat
广西壮族自治区 南宁市 兴宁区 民生街道 108.334744 22.8397936
广西壮族自治区 南宁市 兴宁区 朝阳街道 108.3160114 22.8253965
广西壮族自治区 南宁市 兴宁区 兴东街道 108.3434944 22.8665647
广西壮族自治区 南宁市 兴宁区 三塘镇 108.4150875 22.8806753
广西壮族自治区 南宁市 兴宁区 五塘镇 108.5449047 22.9424707
广西壮族自治区 南宁市 兴宁区 昆仑镇 108.6829942 23.0638077
广西壮族自治区 南宁市 青秀区 新竹街道 108.3410392 22.8206838
广西壮族自治区 南宁市 青秀区 中山街道 108.3481401 22.7961196
广西壮族自治区 南宁市 青秀区 建政街道 108.3539163 22.8365307
广西壮族自治区 南宁市 青秀区 南湖街道 108.3688724 22.8273742
广西壮族自治区 南宁市 青秀区 津头街道 108.3550827 22.8077347
广西壮族自治区 南宁市 青秀区 刘圩镇 108.640064 22.729788
广西壮族自治区 南宁市 青秀区 南阳镇 108.792329 22.7700826
广西壮族自治区 南宁市 青秀区 伶俐镇 108.7602553 22.8556817
广西壮族自治区 南宁市 青秀区 长塘镇 108.6500155 22.833888
广西壮族自治区 南宁市 江南区 福建园街道 108.3108079 22.7993868
广西壮族自治区 南宁市 江南区 江南街道 108.2754992 22.8022551
广西壮族自治区 南宁市 江南区 沙井街道 108.244 22.7839
广西壮族自治区 南宁市 江南区 那洪街道 108.2876781 22.7816646
广西壮族自治区 南宁市 江南区 金凯街道 108.3019307 22.7698017
广西壮族自治区 南宁市 江南区 吴圩镇 108.216483 22.649079
广西壮族自治区 南宁市 江南区 苏圩镇 108.0947683 22.5477042
广西壮族自治区 南宁市 江南区 延安镇 108.1118201 22.4446681
广西壮族自治区 南宁市 江南区 江西镇 108.0977925 22.7782596
广西壮族自治区 南宁市 西乡塘区 衡阳街道 108.2982058 22.854274
广西壮族自治区 南宁市 西乡塘区 北湖街道 108.3142528 22.8625419
广西壮族自治区 南宁市 西乡塘区 西乡塘街道 108.2885378 22.8355444
广西壮族自治区 南宁市 西乡塘区 安吉街道 108.291 22.8864
广西壮族自治区 南宁市 西乡塘区 华强街道 108.3091103 22.8224165
广西壮族自治区 南宁市 西乡塘区 新阳街道 108.2980177 22.8161987
广西壮族自治区 南宁市 西乡塘区 上尧街道 108.2478219 22.8407582
广西壮族自治区 南宁市 西乡塘区 安宁街道 108.3094582 22.8796484
广西壮族自治区 南宁市 西乡塘区 石埠街道 108.1822876 22.8230464
广西壮族自治区 南宁市 西乡塘区 心圩街道 108.257 22.8692
广西壮族自治区 南宁市 西乡塘区 金陵镇 108.0452746 22.9227932
