addr_1 addr_2 addr_3 addr_4 lon lat
河北省 石家庄市 长安区 建北街道 114.5160318 38.0635524
河北省 石家庄市 长安区 青园街道 114.5112035 38.0439737
河北省 石家庄市 长安区 广安街道 114.51979 38.0468936
河北省 石家庄市 长安区 育才街道 114.5304254 38.0526563
河北省 石家庄市 长安区 跃进街道 114.5497448 38.0544235
河北省 石家庄市 长安区 河东街道 114.5450689 38.0411376
河北省 石家庄市 长安区 长丰街道 114.5428222 38.0688712
河北省 石家庄市 长安区 谈固街道 114.5688644 38.0502137
河北省 石家庄市 长安区 中山东路街道 114.4990852 38.0456134
河北省 石家庄市 长安区 阜康街道 114.4923667 38.0587177
河北省 石家庄市 长安区 建安街道 114.500922 38.0574138
河北省 石家庄市 长安区 胜北街道 114.508569 38.07218
河北省 石家庄市 长安区 西兆通镇 114.5961014 38.0756729
河北省 石家庄市 长安区 南村镇 114.6367852 38.0606362
河北省 石家庄市 长安区 高营镇 114.5381784 38.0775042
河北省 石家庄市 长安区 桃园镇 114.5138064 38.085118
河北省 石家庄市 桥西区 东里街道 114.4622556 38.0284489
河北省 石家庄市 桥西区 中山街道 114.4776342 38.0390319
河北省 石家庄市 桥西区 南长街道 114.4756416 38.0220024
河北省 石家庄市 桥西区 维明街道 114.4618084 38.0403843
河北省 石家庄市 桥西区 友谊街道 114.4428 38.0408296
河北省 石家庄市 桥西区 红旗街道 114.4545656 37.9982358
河北省 石家庄市 桥西区 新石街道 114.4672466 38.0049526
河北省 石家庄市 桥西区 苑东街道 114.4101415 38.0379851
河北省 石家庄市 桥西区 西里街道 114.4292604 38.0276483
河北省 石家庄市 桥西区 振头街道 114.4395752 38.0108579
河北省 石家庄市 桥西区 留营街道 114.4053582 38.0617399
河北省 石家庄市 桥西区 长兴街道 114.3933712 38.0504184
河北省 石家庄市 桥西区 彭后街道 114.4903433 38.0276168
河北省 石家庄市 桥西区 东风街道 114.5018756 38.0255358
河北省 石家庄市 桥西区 东华街道 114.4906252 38.0393277
河北省 石家庄市 桥西区 休门街道 114.500834 38.037899
河北省 石家庄市 桥西区 汇通街道 114.4812331 38.002112
河北省 石家庄市 新华区 革新街街道 114.471172 38.050628
河北省 石家庄市 新华区 新华路街道 114.489885 38.054239
河北省 石家庄市 新华区 宁安街道 114.481288 38.054017
河北省 石家庄市 新华区 东焦街道 114.473836 38.053693
河北省 石家庄市 新华区 西苑街道 114.456311 38.051103
河北省 石家庄市 新华区 合作路街道 114.489885 38.054239
河北省 石家庄市 新华区 联盟街道 114.47022 38.07685
河北省 石家庄市 新华区 石岗街道 114.489885 38.054239
河北省 石家庄市 新华区 天苑街道 114.452629 38.086255
河北省 石家庄市 新华区 北苑街道 114.449666 38.066199
河北省 石家庄市 新华区 赵陵铺路街道 114.475832 38.092247
河北省 石家庄市 新华区 西三庄街道 114.4457441 38.0790503
河北省 石家庄市 新华区 大郭街道 114.4076986 38.0735729
河北省 石家庄市 新华区 杜北街道 114.431012 38.1266494
河北省 石家庄市 新华区 赵佗路街道 114.489885 38.054239
河北省 石家庄市 井陉矿区 矿市街道 114.0558758 38.0679578
河北省 石家庄市 井陉矿区 四微街道 114.1472626 38.0162826
河北省 石家庄市 井陉矿区 贾庄镇 114.0359614 38.1052404
河北省 石家庄市 井陉矿区 凤山镇 114.0453285 38.0456061
河北省 石家庄市 井陉矿区 横涧乡 114.0594689 38.0602127
河北省 石家庄市 裕华区 裕兴街道 114.5365502 38.0083313
河北省 石家庄市 裕华区 裕强街道 114.5644484 38.003402
河北省 石家庄市 裕华区 东苑街道 114.5316547 38.0293062
河北省 石家庄市 裕华区 建通街道 114.5037169 38.0057285
河北省 石家庄市 裕华区 槐底街道 114.5321444 38.0217962
河北省 石家庄市 裕华区 裕华路街道 114.5110192 38.025981
河北省 石家庄市 裕华区 裕东街道 114.5722654 38.0267997
河北省 石家庄市 裕华区 裕翔街道 114.506653 37.9832058
河北省 石家庄市 裕华区 建华南街道 114.5373111 37.9952078
河北省 石家庄市 裕华区 方村镇 114.5531324 37.9794119
河北省 石家庄市 藁城区 廉州镇 114.8386744 38.0365243
河北省 石家庄市 藁城区 兴安镇 114.902401 38.035626
河北省 石家庄市 藁城区 贾市庄镇 114.9372295 37.8763158
河北省 石家庄市 藁城区 南营镇 114.8102 37.9563119
河北省 石家庄市 藁城区 梅花镇 114.8203495 37.8882399
河北省 石家庄市 藁城区 岗上镇 114.6899351 38.0436226
河北省 石家庄市 藁城区 南董镇 114.767231 38.1019411
河北省 石家庄市 藁城区 张家庄镇 114.7365251 38.1537045
河北省 石家庄市 藁城区 南孟镇 114.7738185 38.180722
河北省 石家庄市 藁城区 增村镇 114.7387245 38.2416377
河北省 石家庄市 藁城区 常安镇 114.9285606 37.9375231
河北省 石家庄市 藁城区 西关镇 114.7949168 38.2692823
河北省 石家庄市 藁城区 九门回族乡 114.7322229 38.110557
河北省 石家庄市 鹿泉区 获鹿镇 114.3170571 38.0878408
河北省 石家庄市 鹿泉区 铜冶镇 114.3790054 37.9676135
河北省 石家庄市 鹿泉区 寺家庄镇 114.4486678 37.9398823
河北省 石家庄市 鹿泉区 上庄镇 114.3775248 38.0352814
河北省 石家庄市 鹿泉区 李村镇 114.3410466 38.1955975
河北省 石家庄市 鹿泉区 宜安镇 114.2772349 38.1904152
河北省 石家庄市 鹿泉区 黄壁庄镇 114.3151154 38.2473754
河北省 石家庄市 鹿泉区 大河镇 114.3796277 38.1351304
河北省 石家庄市 鹿泉区 山尹村镇 114.4064069 37.9181165
河北省 石家庄市 鹿泉区 石井乡 114.2721247 38.1139459
河北省 石家庄市 鹿泉区 白鹿泉乡 114.269346 38.0711783
河北省 石家庄市 鹿泉区 上寨乡 114.3148684 37.93687
河北省 石家庄市 栾城区 栾城镇 114.6519713 37.8845246
河北省 石家庄市 栾城区 冶河镇 114.5928608 37.9416253
河北省 石家庄市 栾城区 窦妪镇 114.5052867 37.8991039
河北省 石家庄市 栾城区 楼底镇 114.5745199 37.9559567
河北省 石家庄市 栾城区 南高乡 114.732384 37.8522902
河北省 石家庄市 栾城区 柳林屯乡 114.7257428 37.8864049
河北省 石家庄市 栾城区 西营乡 114.5784359 37.8319522
河北省 石家庄市 井陉县 微水镇 114.1426062 38.0274391
河北省 石家庄市 井陉县 上安镇 114.2024114 38.0626735
河北省 石家庄市 井陉县 天长镇 114.0191281 37.9925608
河北省 石家庄市 井陉县 秀林镇 114.0875735 37.9978607
河北省 石家庄市 井陉县 南峪镇 113.9330348 37.993771
河北省 石家庄市 井陉县 威州镇 114.1511893 38.1100121
河北省 石家庄市 井陉县 小作镇 114.0216927 38.1196675
河北省 石家庄市 井陉县 南障城镇 114.0743146 37.9107851
河北省 石家庄市 井陉县 苍岩山镇 114.1307723 37.8447493
河北省 石家庄市 井陉县 测鱼镇 114.0870334 37.7957659
河北省 石家庄市 井陉县 吴家窑乡 114.2602694 37.9619716
河北省 石家庄市 井陉县 北正乡 114.0779543 38.0609492
河北省 石家庄市 井陉县 于家乡 114.031713 37.9411262
河北省 石家庄市 井陉县 孙庄乡 114.1379285 38.1496607
河北省 石家庄市 井陉县 南陉乡 114.0552413 38.1809895
河北省 石家庄市 井陉县 辛庄乡 113.9029884 38.0927805
河北省 石家庄市 井陉县 南王庄乡 114.1607058 37.9331891
河北省 石家庄市 正定县 诸福屯街道 114.6500641 38.1536977
河北省 石家庄市 正定县 三里屯街道 114.6014141 38.1670366
