addr_1 addr_2 addr_3 addr_4 lon lat
黑龙江省 哈尔滨市 道里区 兆麟街道 126.6230895 45.7690121
黑龙江省 哈尔滨市 道里区 新阳路街道 126.6118314 45.7570034
黑龙江省 哈尔滨市 道里区 抚顺街道 126.6095258 45.7558612
黑龙江省 哈尔滨市 道里区 共乐街道 126.6048799 45.7488353
黑龙江省 哈尔滨市 道里区 新华街道 126.583908 45.7326935
黑龙江省 哈尔滨市 道里区 城乡路街道 126.5745026 45.72271
黑龙江省 哈尔滨市 道里区 工农街道 126.5547034 45.7354757
黑龙江省 哈尔滨市 道里区 尚志街道 126.6169034 45.7682853
黑龙江省 哈尔滨市 道里区 斯大林街道 126.6221379 45.7771908
黑龙江省 哈尔滨市 道里区 通江街道 126.6092878 45.7735121
黑龙江省 哈尔滨市 道里区 经纬街道 126.6134343 45.7631907
黑龙江省 哈尔滨市 道里区 工程街道 126.6042143 45.7693758
黑龙江省 哈尔滨市 道里区 安静街道 126.6070056 45.762062
黑龙江省 哈尔滨市 道里区 安和街道 126.6050159 45.7537763
黑龙江省 哈尔滨市 道里区 正阳河街道 126.5823263 45.7549748
黑龙江省 哈尔滨市 道里区 建国街道 126.5914342 45.7434591
黑龙江省 哈尔滨市 道里区 康安街道 126.5766207 45.739423
黑龙江省 哈尔滨市 道里区 爱建街道 126.5937356 45.7605852
黑龙江省 哈尔滨市 道里区 群力街道 126.5302998 45.7223619
黑龙江省 哈尔滨市 道里区 太平镇 126.185 45.6296
黑龙江省 哈尔滨市 道里区 新发镇 126.4783438 45.6664938
黑龙江省 哈尔滨市 道里区 新农镇 126.3463134 45.63788
黑龙江省 哈尔滨市 道里区 榆树镇 126.46 45.5898
黑龙江省 哈尔滨市 南岗区 花园街道 126.6397928 45.7490118
黑龙江省 哈尔滨市 南岗区 奋斗路街道 126.6599836 45.7457735
黑龙江省 哈尔滨市 南岗区 革新街道 126.6487239 45.7458443
黑龙江省 哈尔滨市 南岗区 文化街道 126.6390872 45.7385526
黑龙江省 哈尔滨市 南岗区 大成街道 126.6615836 45.7598405
黑龙江省 哈尔滨市 南岗区 芦家街道 126.6647512 45.7520025
黑龙江省 哈尔滨市 南岗区 荣市街道 126.6439019 45.7527725
黑龙江省 哈尔滨市 南岗区 燎原街道 126.6671784 45.7734003
黑龙江省 哈尔滨市 南岗区 松花江街道 126.6268658 45.7546957
黑龙江省 哈尔滨市 南岗区 曲线街道 126.6183937 45.7426587
黑龙江省 哈尔滨市 南岗区 通达街道 126.6173485 45.7372567
黑龙江省 哈尔滨市 南岗区 七政街道 126.6093659 45.7355176
黑龙江省 哈尔滨市 南岗区 和兴路街道 126.6123074 45.7212046
黑龙江省 哈尔滨市 南岗区 哈西街道 126.5942625 45.7087529
黑龙江省 哈尔滨市 南岗区 保健路街道 126.6169286 45.6929229
黑龙江省 哈尔滨市 南岗区 先锋路街道 126.6818943 45.7515778
黑龙江省 哈尔滨市 南岗区 新春街道 126.7047419 45.7468581
黑龙江省 哈尔滨市 南岗区 跃进街道 126.6243209 45.6708723
黑龙江省 哈尔滨市 南岗区 王岗镇 126.5538856 45.6662373
黑龙江省 哈尔滨市 南岗区 红旗满族乡 126.5212134 45.5791505
黑龙江省 哈尔滨市 道外区 靖宇街道 126.6388658 45.7809059
黑龙江省 哈尔滨市 道外区 太古街道 126.6463979 45.7822935
黑龙江省 哈尔滨市 道外区 东莱街道 126.6440106 45.7769407
黑龙江省 哈尔滨市 道外区 滨江街道 126.6467203 45.7752811
黑龙江省 哈尔滨市 道外区 仁里街道 126.6499295 45.7864778
黑龙江省 哈尔滨市 道外区 南市街道 126.6535747 45.7810546
黑龙江省 哈尔滨市 道外区 崇俭街道 126.6577678 45.7868982
黑龙江省 哈尔滨市 道外区 振江街道 126.6640202 45.7954735
黑龙江省 哈尔滨市 道外区 东原街道 126.6506614 45.793789
黑龙江省 哈尔滨市 道外区 大兴街道 126.6356682 45.7887848
黑龙江省 哈尔滨市 道外区 胜利街道 126.6239094 45.7778297
黑龙江省 哈尔滨市 道外区 南马街道 126.638363 45.7670733
黑龙江省 哈尔滨市 道外区 民强街道 126.6865591 45.779066
黑龙江省 哈尔滨市 道外区 大有坊街道 126.6869996 45.7717471
黑龙江省 哈尔滨市 道外区 南直路街道 126.6947 45.7773023
黑龙江省 哈尔滨市 道外区 化工街道 126.7353173 45.7681425
黑龙江省 哈尔滨市 道外区 火车头街道 126.6997825 45.7845979
黑龙江省 哈尔滨市 道外区 新一街道 126.7117803 45.7925974
黑龙江省 哈尔滨市 道外区 三棵树大街街道 126.6922977 45.79806
黑龙江省 哈尔滨市 道外区 水泥路街道 126.7171173 45.8301031
