addr_1 addr_2 addr_3 addr_4 lon lat
江苏省 南京市 玄武区 梅园新村街道 118.8091014 32.047963
江苏省 南京市 玄武区 新街口街道 118.7839384 32.0557056
江苏省 南京市 玄武区 玄武门街道 118.7810357 32.0624183
江苏省 南京市 玄武区 锁金村街道 118.8113046 32.0738665
江苏省 南京市 玄武区 红山街道 118.8244078 32.104482
江苏省 南京市 玄武区 孝陵卫街道 118.8551769 32.0357982
江苏省 南京市 玄武区 玄武湖街道 118.8186917 32.074782
江苏省 南京市 秦淮区 秦虹街道 118.7958546 32.0067164
江苏省 南京市 秦淮区 夫子庙街道 118.7773852 32.0157931
江苏省 南京市 秦淮区 红花街道 118.8078782 32.012607
江苏省 南京市 秦淮区 双塘街道 118.7692532 32.0196919
江苏省 南京市 秦淮区 中华门街道 118.7756359 32.0127206
江苏省 南京市 秦淮区 五老村街道 118.7924153 32.0389053
江苏省 南京市 秦淮区 洪武路街道 118.7877478 32.0300827
江苏省 南京市 秦淮区 大光路街道 118.8008361 32.0270605
江苏省 南京市 秦淮区 瑞金路街道 118.8077949 32.0388112
江苏省 南京市 秦淮区 月牙湖街道 118.8271033 32.0306571
江苏省 南京市 秦淮区 光华路街道 118.8285794 32.013319
江苏省 南京市 秦淮区 朝天宫街道 118.7763048 32.0344413
江苏省 南京市 建邺区 莫愁湖街道 118.753732 32.0288641
江苏省 南京市 建邺区 沙洲街道 118.7163831 31.9869448
江苏省 南京市 建邺区 双闸街道 118.7015555 31.9879298
江苏省 南京市 建邺区 江心洲街道 118.6958366 32.0098152
江苏省 南京市 建邺区 兴隆街道 118.7212053 32.0208008
江苏省 南京市 建邺区 南苑街道 118.7449633 32.0210267
江苏省 南京市 鼓楼区 宁海路街道 118.7590592 32.0739815
江苏省 南京市 鼓楼区 华侨路街道 118.767588 32.0481118
江苏省 南京市 鼓楼区 湖南路街道 118.7750124 32.0680761
江苏省 南京市 鼓楼区 中央门街道 118.7596038 32.0831389
江苏省 南京市 鼓楼区 挹江门街道 118.7504826 32.0862655
江苏省 南京市 鼓楼区 江东街道 118.733107 32.0445062
江苏省 南京市 鼓楼区 凤凰街道 118.742667 32.0496839
江苏省 南京市 鼓楼区 下关街道 118.7444453 32.0922046
江苏省 南京市 鼓楼区 热河南路街道 118.7348586 32.0829326
江苏省 南京市 鼓楼区 幕府山街道 118.7768013 32.1129303
江苏省 南京市 鼓楼区 建宁路街道 118.7593508 32.0934393
江苏省 南京市 鼓楼区 宝塔桥街道 118.7545017 32.1130132
江苏省 南京市 鼓楼区 小市街道 118.7902776 32.0948578
江苏省 南京市 浦口区 泰山街道 118.7121258 32.1386119
江苏省 南京市 浦口区 顶山街道 118.6812689 32.1045779
江苏省 南京市 浦口区 沿江街道 118.735666 32.1527976
