addr_1 addr_2 addr_3 addr_4 lon lat
江西省 南昌市 东湖区 滕王阁街道 115.8808094 28.6815509
江西省 南昌市 东湖区 百花洲街道 115.8850454 28.6847023
江西省 南昌市 东湖区 墩子塘街道 115.8944918 28.6882675
江西省 南昌市 东湖区 大院街道 115.9071448 28.677669
江西省 南昌市 东湖区 豫章街道 115.8890897 28.692823
江西省 南昌市 东湖区 董家窑街道 115.9000559 28.6954485
江西省 南昌市 东湖区 彭家桥街道 115.9139827 28.7134284
江西省 南昌市 东湖区 扬子洲镇 115.9113573 28.7254989
江西省 南昌市 西湖区 南浦街道 115.8862538 28.6710262
江西省 南昌市 西湖区 朝阳洲街道 115.8719795 28.6646322
江西省 南昌市 西湖区 广润门街道 115.8911629 28.6780385
江西省 南昌市 西湖区 绳金塔街道 115.8939103 28.6660761
江西省 南昌市 西湖区 丁公路街道 115.9057934 28.6753801
江西省 南昌市 西湖区 南站街道 115.9115669 28.6674977
江西省 南昌市 西湖区 桃源街道 115.8825903 28.6665054
江西省 南昌市 西湖区 朝农街道 115.8629527 28.6399293
江西省 南昌市 西湖区 桃花街道 115.8777113 28.6566512
江西省 南昌市 西湖区 九洲街道 115.8724371 28.6238696
江西省 南昌市 青云谱区 洪都街道 115.9188855 28.6412005
江西省 南昌市 青云谱区 京山街道 115.9008208 28.6393597
江西省 南昌市 青云谱区 三家店街道 115.9117747 28.6333072
江西省 南昌市 青云谱区 岱山街道 115.9018076 28.6175471
江西省 南昌市 青云谱区 徐家坊街道 115.9086363 28.6567761
江西省 南昌市 青云谱区 青云谱镇 115.9365637 28.6235604
江西省 南昌市 青山湖区 青山路街道 115.9316177 28.7222556
江西省 南昌市 青山湖区 上海路街道 115.9328142 28.6606028
江西省 南昌市 青山湖区 南钢街道 115.9832015 28.6575251
江西省 南昌市 青山湖区 站东街道 115.9181777 28.6621466
江西省 南昌市 青山湖区 京东镇 115.9629793 28.6868982
江西省 南昌市 青山湖区 罗家镇 115.9831772 28.6287111
江西省 南昌市 青山湖区 湖坊镇 115.9291557 28.6669716
江西省 南昌市 青山湖区 塘山镇 115.945335 28.7130507
江西省 南昌市 新建区 站前街道 115.724584 28.7159655
江西省 南昌市 新建区 幸福街道 115.7289555 28.7029181
江西省 南昌市 新建区 蛟桥街道 115.8397805 28.7401655
江西省 南昌市 新建区 长堎街道 115.8163004 28.7001501
江西省 南昌市 新建区 欣悦湖街道 115.7953819 28.6911218
江西省 南昌市 新建区 望城镇 115.7947563 28.6762436
江西省 南昌市 新建区 西山镇 115.6166826 28.5597526
江西省 南昌市 新建区 石岗镇 115.6305248 28.4478493
