addr_1 addr_2 addr_3 addr_4 lon lat
辽宁省 沈阳市 和平区 浑河湾街道 123.3775783 41.7584042
辽宁省 沈阳市 和平区 新华街道 123.383988 41.7751369
辽宁省 沈阳市 和平区 马路湾街道 123.4046193 41.7764813
辽宁省 沈阳市 和平区 南湖街道 123.4166375 41.7595995
辽宁省 沈阳市 和平区 长白街道 123.3845889 41.7418166
辽宁省 沈阳市 和平区 太原街街道 123.3979624 41.7901184
辽宁省 沈阳市 和平区 北市场街道 123.4186405 41.8067975
辽宁省 沈阳市 和平区 南市场街道 123.413032 41.7815599
辽宁省 沈阳市 和平区 沈水湾街道 123.4028165 41.7442079
辽宁省 沈阳市 和平区 浑河站西街道 123.3538313 41.721128
辽宁省 沈阳市 沈河区 滨河街道 123.4498176 41.7780028
辽宁省 沈阳市 沈河区 万莲街道 123.4697649 41.7759854
辽宁省 沈阳市 沈河区 朱剪炉街道 123.4332224 41.8028847
辽宁省 沈阳市 沈河区 北站街道 123.4364767 41.8137278
辽宁省 沈阳市 沈河区 风雨坛街道 123.4347388 41.7854302
辽宁省 沈阳市 沈河区 皇城街道 123.4485682 41.7956027
辽宁省 沈阳市 沈河区 五里河街道 123.4363146 41.7611494
辽宁省 沈阳市 沈河区 南塔街道 123.4541751 41.7628317
辽宁省 沈阳市 沈河区 泉园街道 123.5056879 41.7760915
辽宁省 沈阳市 沈河区 马官桥街道 123.5564191 41.8244241
辽宁省 沈阳市 沈河区 东陵街道 123.5316133 41.8064825
辽宁省 沈阳市 大东区 大北街道 123.4537739 41.8100976
辽宁省 沈阳市 大东区 万泉街道 123.4704859 41.7905543
辽宁省 沈阳市 大东区 文官街道 123.4997568 41.9044583
辽宁省 沈阳市 大东区 二台子街道 123.4900374 41.8401326
辽宁省 沈阳市 大东区 津桥街道 123.4686719 41.8080316
辽宁省 沈阳市 大东区 东站街道 123.5118229 41.8360272
辽宁省 沈阳市 大东区 长安街道 123.493295 41.7884016
辽宁省 沈阳市 大东区 东塔街道 123.4924626 41.8022638
辽宁省 沈阳市 大东区 上园街道 123.4720211 41.8319583
辽宁省 沈阳市 大东区 前进街道 123.5325556 41.8707556
辽宁省 沈阳市 皇姑区 三台子街道 123.422923 41.8815
辽宁省 沈阳市 皇姑区 黄河街道 123.4128265 41.8231118
辽宁省 沈阳市 皇姑区 华山街道 123.3924204 41.8163528
辽宁省 沈阳市 皇姑区 明廉街道 123.3589519 41.8279411
辽宁省 沈阳市 皇姑区 新乐街道 123.4118345 41.8328265
辽宁省 沈阳市 皇姑区 舍利塔街道 123.3735731 41.838
辽宁省 沈阳市 皇姑区 北塔街道 123.4263569 41.8238605
辽宁省 沈阳市 皇姑区 陵东街道 123.4466949 41.8738865
辽宁省 沈阳市 皇姑区 鸭绿江街道 123.431463 41.892598
辽宁省 沈阳市 皇姑区 四台子街道 123.3988727 41.8995487
辽宁省 沈阳市 铁西区 昆明湖街道 123.2883893 41.7675169
辽宁省 沈阳市 铁西区 工人村街道 123.3226725 41.7838263
辽宁省 沈阳市 铁西区 启工街道 123.3295782 41.8198861
辽宁省 沈阳市 铁西区 笃工街道 123.3620392 41.8085839
辽宁省 沈阳市 铁西区 兴华街道 123.3546557 41.7817094
辽宁省 沈阳市 铁西区 霁虹街道 123.382883 41.8015804
辽宁省 沈阳市 铁西区 凌空街道 123.3637511 41.7688411
辽宁省 沈阳市 铁西区 重工街道 123.3228653 41.7988346
辽宁省 沈阳市 铁西区 兴顺街道 123.3501858 41.7957523
辽宁省 沈阳市 铁西区 大青中朝友谊街道 123.222057 41.7519418
辽宁省 沈阳市 铁西区 翟家街道 123.2382232 41.710004
辽宁省 沈阳市 铁西区 大潘街道 123.1278492 41.6888404
辽宁省 沈阳市 铁西区 彰驿站街道 123.0810715 41.6526803
辽宁省 沈阳市 铁西区 高花街道 123.0748058 41.6871098
辽宁省 沈阳市 苏家屯区 解放街道 123.3482874 41.6792249
