addr_1 addr_2 addr_3 addr_4 lon lat
内蒙古自治区 呼和浩特市 新城区 海拉尔东路街道 111.6519445 40.8387997
内蒙古自治区 呼和浩特市 新城区 锡林北路街道 111.6583657 40.8324646
内蒙古自治区 呼和浩特市 新城区 中山东路街道 111.67182 40.818109
内蒙古自治区 呼和浩特市 新城区 东街街道 111.6860752 40.8222243
内蒙古自治区 呼和浩特市 新城区 西街街道 111.6683354 40.8283498
内蒙古自治区 呼和浩特市 新城区 东风路街道 111.6933325 40.8313974
内蒙古自治区 呼和浩特市 新城区 迎新路街道 111.719608 40.8354704
内蒙古自治区 呼和浩特市 新城区 成吉思汗大街街道 111.692547 40.875258
内蒙古自治区 呼和浩特市 新城区 保合少镇 111.937 40.9165
内蒙古自治区 呼和浩特市 回民区 新华西路街道 111.6448704 40.8178689
内蒙古自治区 呼和浩特市 回民区 中山西路街道 111.6577883 40.8022766
内蒙古自治区 呼和浩特市 回民区 光明路街道 111.6368526 40.8167173
内蒙古自治区 呼和浩特市 回民区 海拉尔西路街道 111.6289703 40.830988
内蒙古自治区 呼和浩特市 回民区 环河街街道 111.6434675 40.8103871
内蒙古自治区 呼和浩特市 回民区 通道街街道 111.6508019 40.8112666
内蒙古自治区 呼和浩特市 回民区 钢铁路街道 111.6187595 40.8089374
内蒙古自治区 呼和浩特市 回民区 攸攸板镇 111.588145 40.8321176
内蒙古自治区 呼和浩特市 玉泉区 小召前街街道 111.6528907 40.7995096
内蒙古自治区 呼和浩特市 玉泉区 兴隆巷街道 111.654662 40.7953204
内蒙古自治区 呼和浩特市 玉泉区 长和廊街道 111.6467382 40.792592
内蒙古自治区 呼和浩特市 玉泉区 石东路街道 111.6731171 40.7822567
内蒙古自治区 呼和浩特市 玉泉区 大南街街道 111.6452787 40.804563
内蒙古自治区 呼和浩特市 玉泉区 鄂尔多斯路街道 111.6223155 40.793785
内蒙古自治区 呼和浩特市 玉泉区 西菜园街道 111.6262467 40.7838536
内蒙古自治区 呼和浩特市 玉泉区 昭君路街道 111.6689022 40.7745492
内蒙古自治区 呼和浩特市 玉泉区 小黑河镇 111.6189388 40.7668839
内蒙古自治区 呼和浩特市 赛罕区 人民路街道 111.6781513 40.802904
内蒙古自治区 呼和浩特市 赛罕区 大学西路街道 111.6961959 40.8068528
内蒙古自治区 呼和浩特市 赛罕区 乌兰察布东路街道 111.7086755 40.8227875
内蒙古自治区 呼和浩特市 赛罕区 大学东路街道 111.6951965 40.8156523
内蒙古自治区 呼和浩特市 赛罕区 中专路街道 111.7224002 40.8175494
内蒙古自治区 呼和浩特市 赛罕区 昭乌达南路街道 111.720441 40.818151
内蒙古自治区 呼和浩特市 赛罕区 巴彦街道 111.8362035 40.8870053
内蒙古自治区 呼和浩特市 赛罕区 敕勒川路街道 111.754288 40.8150231
内蒙古自治区 呼和浩特市 赛罕区 榆林镇 112.0272895 40.8776805
内蒙古自治区 呼和浩特市 赛罕区 黄合少镇 111.978515 40.7406843
内蒙古自治区 呼和浩特市 赛罕区 金河镇 111.7517419 40.7454363
内蒙古自治区 呼和浩特市 土默特左旗 察素齐镇 111.1617992 40.7274131
内蒙古自治区 呼和浩特市 土默特左旗 毕克齐镇 111.2947 40.7378084
内蒙古自治区 呼和浩特市 土默特左旗 善岱镇 111.0939853 40.5328788
内蒙古自治区 呼和浩特市 土默特左旗 台阁牧镇 111.5019431 40.7787348
内蒙古自治区 呼和浩特市 土默特左旗 白庙子镇 111.5498465 40.6686048
内蒙古自治区 呼和浩特市 土默特左旗 沙尔沁镇 111.7281498 40.5450058
内蒙古自治区 呼和浩特市 土默特左旗 敕勒川镇 110.9043448 40.5964252
内蒙古自治区 呼和浩特市 土默特左旗 北什轴乡 111.2868491 40.6181847
内蒙古自治区 呼和浩特市 土默特左旗 塔布赛乡 111.2464038 40.5708687
内蒙古自治区 呼和浩特市 托克托县 双河镇 111.22491 40.2700531
内蒙古自治区 呼和浩特市 托克托县 新营子镇 111.3689785 40.2470365
内蒙古自治区 呼和浩特市 托克托县 五申镇 111.1419795 40.4019589
内蒙古自治区 呼和浩特市 托克托县 伍什家镇 111.3152506 40.3556076
内蒙古自治区 呼和浩特市 托克托县 古城镇 111.3453678 40.5248083
内蒙古自治区 呼和浩特市 和林格尔县 城关镇 111.8170309 40.3999927
内蒙古自治区 呼和浩特市 和林格尔县 盛乐镇 111.8909548 40.6182081
内蒙古自治区 呼和浩特市 和林格尔县 新店子镇 112.1166567 40.2473775
内蒙古自治区 呼和浩特市 和林格尔县 巧什营镇 111.5833723 40.5156818
内蒙古自治区 呼和浩特市 和林格尔县 舍必崖乡 111.652263 40.4021918
内蒙古自治区 呼和浩特市 和林格尔县 大红城乡 111.7598911 40.1820853
内蒙古自治区 呼和浩特市 和林格尔县 羊群沟乡 111.9901847 40.1294453
内蒙古自治区 呼和浩特市 和林格尔县 黑老夭乡 112.0834446 40.427322
内蒙古自治区 呼和浩特市 清水河县 城关镇 111.6692298 39.9115873
内蒙古自治区 呼和浩特市 清水河县 宏河镇 111.6315945 40.0614073
内蒙古自治区 呼和浩特市 清水河县 喇嘛湾镇 111.3847447 40.0738545
内蒙古自治区 呼和浩特市 清水河县 老牛湾镇 111.4658329 39.6919393
内蒙古自治区 呼和浩特市 清水河县 窑沟乡 111.416747 39.8274112
内蒙古自治区 呼和浩特市 清水河县 北堡乡 111.83776 39.6559447
内蒙古自治区 呼和浩特市 清水河县 韭菜庄乡 111.9080443 39.8455094
内蒙古自治区 呼和浩特市 清水河县 五良太乡 111.7759568 40.0497203
内蒙古自治区 呼和浩特市 武川县 可可以力更镇 111.449963 41.084053
内蒙古自治区 呼和浩特市 武川县 哈乐镇 111.6746963 41.2233212
内蒙古自治区 呼和浩特市 武川县 西乌兰不浪镇 110.9598852 41.1171827
内蒙古自治区 呼和浩特市 武川县 大青山乡 111.4363348 41.0015792
内蒙古自治区 呼和浩特市 武川县 上秃亥乡 111.3016045 41.1832724
内蒙古自治区 呼和浩特市 武川县 得胜沟乡 111.156 40.9983
内蒙古自治区 呼和浩特市 武川县 二份子乡 110.719258 41.362309
内蒙古自治区 呼和浩特市 武川县 哈拉合少乡 110.914 40.9737
内蒙古自治区 呼和浩特市 武川县 耗赖山乡 111.544 41.3058
内蒙古自治区 包头市 东河区 和平路街道 110.0188632 40.5857033
内蒙古自治区 包头市 东河区 财神庙街道 110.0186667 40.5943142
内蒙古自治区 包头市 东河区 西脑包街道 110.0038198 40.588318
内蒙古自治区 包头市 东河区 南门外街道 110.0268348 40.5806399
内蒙古自治区 包头市 东河区 南圪洞街道 110.0321702 40.5892004
内蒙古自治区 包头市 东河区 东站街道 110.0120752 40.5773744
内蒙古自治区 包头市 东河区 回民街道 110.0307865 40.5975906
内蒙古自治区 包头市 东河区 天骄街道 110.0223418 40.558268
内蒙古自治区 包头市 东河区 河东街道 110.0486065 40.5706712
内蒙古自治区 包头市 东河区 铁西街道 109.9822125 40.5926438
内蒙古自治区 包头市 东河区 东兴街道 110.1409036 40.5664114
内蒙古自治区 包头市 东河区 杨圪塄街道 110.0612467 40.5787269
内蒙古自治区 包头市 东河区 河东镇 110.0684516 40.5708976
内蒙古自治区 包头市 东河区 沙尔沁镇 110.3174758 40.5696363
内蒙古自治区 包头市 昆都仑区 少先路街道 109.8277244 40.6483955
内蒙古自治区 包头市 昆都仑区 沼潭街道 109.833765 40.6074211
内蒙古自治区 包头市 昆都仑区 林荫路街道 109.813783 40.6481915
内蒙古自治区 包头市 昆都仑区 友谊大街街道 109.7969698 40.6502368
内蒙古自治区 包头市 昆都仑区 阿尔丁大街街道 109.8305058 40.6609303
内蒙古自治区 包头市 昆都仑区 团结大街街道 109.7945306 40.6707588
内蒙古自治区 包头市 昆都仑区 鞍山道街道 109.8151507 40.6699713
内蒙古自治区 包头市 昆都仑区 前进道街道 109.805778 40.6595196
内蒙古自治区 包头市 昆都仑区 市府东路街道 109.8409279 40.6479261
内蒙古自治区 包头市 昆都仑区 白云路街道 109.8051091 40.6518463
内蒙古自治区 包头市 昆都仑区 黄河西路街道 109.8222976 40.6338699
内蒙古自治区 包头市 昆都仑区 昆工路街道 109.7974047 40.6378017
内蒙古自治区 包头市 昆都仑区 昆北街道 109.8382355 40.6919672
内蒙古自治区 包头市 昆都仑区 昆河镇 109.7977366 40.6181232
内蒙古自治区 包头市 昆都仑区 卜尔汉图镇 109.6790858 40.6787391
内蒙古自治区 包头市 青山区 先锋道街道 109.8811792 40.6721729
内蒙古自治区 包头市 青山区 幸福路街道 109.8728084 40.6641314
内蒙古自治区 包头市 青山区 万青路街道 109.86168 40.6469771
内蒙古自治区 包头市 青山区 富强路街道 109.8684675 40.6786264
内蒙古自治区 包头市 青山区 科学路街道 109.8572181 40.6651503
内蒙古自治区 包头市 青山区 青山路街道 109.9007137 40.661693
内蒙古自治区 包头市 青山区 自由路街道 109.8854094 40.6563309
内蒙古自治区 包头市 青山区 乌素图街道 109.9469827 40.6543517
内蒙古自治区 包头市 青山区 青福镇 109.9117575 40.6478662
内蒙古自治区 包头市 青山区 兴胜镇 109.9244468 40.6705688
内蒙古自治区 包头市 石拐区 石拐街道 110.2642465 40.6757036
内蒙古自治区 包头市 石拐区 大发街道 110.0624918 40.6798567
内蒙古自治区 包头市 石拐区 大磁街道 110.0606706 40.6689617
内蒙古自治区 包头市 石拐区 五当沟街道 110.2633488 40.6614823
内蒙古自治区 包头市 石拐区 白狐沟街道 110.309024 40.6540839
内蒙古自治区 包头市 石拐区 大德恒街道 110.0577865 40.6623333
内蒙古自治区 包头市 石拐区 五当召镇 110.3121117 40.7819616
内蒙古自治区 包头市 石拐区 吉忽伦图苏木 110.2494539 40.7799664
内蒙古自治区 包头市 白云鄂博矿区 矿山路街道 109.9668055 41.7737102
内蒙古自治区 包头市 白云鄂博矿区 通阳道街道 109.9646215 41.7660502
内蒙古自治区 包头市 九原区 沙河街道 109.9641594 40.5992652
内蒙古自治区 包头市 九原区 赛汗街道 109.9201875 40.6156529
内蒙古自治区 包头市 九原区 萨如拉街道 109.8158381 40.5551213
内蒙古自治区 包头市 九原区 白音席勒街道 109.9751932 40.6192153
内蒙古自治区 包头市 九原区 麻池镇 109.8243636 40.5788739
内蒙古自治区 包头市 九原区 哈林格尔镇 109.7465194 40.5999885
内蒙古自治区 包头市 九原区 哈业胡同镇 109.4872655 40.6326316
内蒙古自治区 包头市 九原区 阿嘎如泰苏木 109.5973666 40.6604059
