addr_1 addr_2 addr_3 addr_4 lon lat
宁夏回族自治区 银川市 兴庆区 凤凰北街街道 106.2586681 38.4802533
宁夏回族自治区 银川市 兴庆区 解放西街街道 106.2675942 38.4704104
宁夏回族自治区 银川市 兴庆区 文化街街道 106.2811457 38.4706984
宁夏回族自治区 银川市 兴庆区 富宁街街道 106.2635481 38.4663348
宁夏回族自治区 银川市 兴庆区 新华街街道 106.2778952 38.4631227
宁夏回族自治区 银川市 兴庆区 玉皇阁北街街道 106.2855418 38.4760759
宁夏回族自治区 银川市 兴庆区 前进街街道 106.2709643 38.4650785
宁夏回族自治区 银川市 兴庆区 中山南街街道 106.2860917 38.462343
宁夏回族自治区 银川市 兴庆区 银古路街道 106.2897569 38.4522926
宁夏回族自治区 银川市 兴庆区 胜利街街道 106.2698707 38.4312486
宁夏回族自治区 银川市 兴庆区 丽景街街道 106.2876639 38.489899
宁夏回族自治区 银川市 兴庆区 星河街街道 106.495193 38.366329
宁夏回族自治区 银川市 兴庆区 掌政镇 106.3571878 38.4033062
宁夏回族自治区 银川市 兴庆区 大新镇 106.3102353 38.4431533
宁夏回族自治区 银川市 兴庆区 通贵乡 106.4862479 38.4955901
宁夏回族自治区 银川市 兴庆区 月牙湖乡 106.5628827 38.5989936
宁夏回族自治区 银川市 西夏区 西花园路街道 106.1603441 38.48793
宁夏回族自治区 银川市 西夏区 北京西路街道 106.1241143 38.4852778
宁夏回族自治区 银川市 西夏区 文昌路街道 106.1082102 38.487326
宁夏回族自治区 银川市 西夏区 朔方路街道 106.1298062 38.493882
宁夏回族自治区 银川市 西夏区 宁华路街道 106.0713226 38.4867507
宁夏回族自治区 银川市 西夏区 贺兰山西路街道 106.1674295 38.5014607
宁夏回族自治区 银川市 西夏区 怀远路街道 106.1383663 38.5361177
宁夏回族自治区 银川市 西夏区 兴泾镇 106.091 38.3836
宁夏回族自治区 银川市 西夏区 镇北堡镇 106.0638617 38.6225753
宁夏回族自治区 银川市 金凤区 满城北街街道 106.1805555 38.5074682
宁夏回族自治区 银川市 金凤区 黄河东路街道 106.1846209 38.481388
宁夏回族自治区 银川市 金凤区 长城中路街道 106.2373767 38.452869
宁夏回族自治区 银川市 金凤区 北京中路街道 106.2260591 38.4739615
宁夏回族自治区 银川市 金凤区 上海西路街道 106.2256599 38.4951473
宁夏回族自治区 银川市 金凤区 贺兰山中路街道 106.2265499 38.5188131
宁夏回族自治区 银川市 金凤区 良田镇 106.244799 38.46798
宁夏回族自治区 银川市 金凤区 丰登镇 106.245 38.5516
宁夏回族自治区 银川市 永宁县 团结西路街道 106.2575339 38.2732277
宁夏回族自治区 银川市 永宁县 杨和镇 106.2488109 38.2778432
宁夏回族自治区 银川市 永宁县 李俊镇 106.119612 38.184269
宁夏回族自治区 银川市 永宁县 望远镇 106.2657347 38.3830743
宁夏回族自治区 银川市 永宁县 望洪镇 106.2271688 38.1992553
宁夏回族自治区 银川市 永宁县 闽宁镇 105.969 38.2539
宁夏回族自治区 银川市 永宁县 胜利乡 106.212696 38.3115702
宁夏回族自治区 银川市 贺兰县 富兴街街道 106.344152 38.552771
宁夏回族自治区 银川市 贺兰县 习岗镇 106.3375781 38.5628846
宁夏回族自治区 银川市 贺兰县 金贵镇 106.4029892 38.4931833
宁夏回族自治区 银川市 贺兰县 立岗镇 106.4312985 38.6482525
宁夏回族自治区 银川市 贺兰县 洪广镇 106.2818922 38.7329665
宁夏回族自治区 银川市 贺兰县 常信乡 106.3298227 38.6738669
宁夏回族自治区 银川市 灵武市 城区街道 106.3369018 38.0831533
宁夏回族自治区 银川市 灵武市 东塔镇 106.3391651 38.0829877
宁夏回族自治区 银川市 灵武市 郝家桥镇 106.289204 38.0071471
宁夏回族自治区 银川市 灵武市 崇兴镇 106.298551 38.031366
宁夏回族自治区 银川市 灵武市 宁东镇 106.5790249 38.1592552
宁夏回族自治区 银川市 灵武市 马家滩镇 106.672834 37.899412
宁夏回族自治区 银川市 灵武市 临河镇 106.3684426 38.3208701
宁夏回族自治区 银川市 灵武市 梧桐树乡 106.281583 38.165651
宁夏回族自治区 银川市 灵武市 白土岗乡 106.33742 37.830559
宁夏回族自治区 石嘴山市 大武口区 长胜街道 106.3226725 39.0126529
宁夏回族自治区 石嘴山市 大武口区 朝阳街道 106.3702091 39.0101244
宁夏回族自治区 石嘴山市 大武口区 人民路街道 106.378408 39.0176502
宁夏回族自治区 石嘴山市 大武口区 长城街道 106.3741876 39.0216648
宁夏回族自治区 石嘴山市 大武口区 青山街道 106.3664646 39.0146451
宁夏回族自治区 石嘴山市 大武口区 石炭井街道 106.355995 39.054827
宁夏回族自治区 石嘴山市 大武口区 白芨沟街道 106.361207 39.023323
宁夏回族自治区 石嘴山市 大武口区 沟口街道 106.4433145 39.0418196
宁夏回族自治区 石嘴山市 大武口区 长兴街道 106.3935284 39.041877
宁夏回族自治区 石嘴山市 大武口区 锦林街道 106.3338624 38.96682
宁夏回族自治区 石嘴山市 大武口区 星海镇 106.4295575 38.9763997
宁夏回族自治区 石嘴山市 惠农区 育才路街道 106.7583575 39.2192023
宁夏回族自治区 石嘴山市 惠农区 南街街道 106.7680233 39.2245747
宁夏回族自治区 石嘴山市 惠农区 中街街道 106.7751798 39.2363413
宁夏回族自治区 石嘴山市 惠农区 北街街道 106.7795025 39.2399574
宁夏回族自治区 石嘴山市 惠农区 河滨街街道 106.767279 39.3100413
宁夏回族自治区 石嘴山市 惠农区 火车站街道 106.7219308 39.2605064
宁夏回族自治区 石嘴山市 惠农区 红果子镇 106.659049 39.169447
宁夏回族自治区 石嘴山市 惠农区 尾闸镇 106.739382 39.1617823
宁夏回族自治区 石嘴山市 惠农区 园艺镇 106.774158 39.22429
宁夏回族自治区 石嘴山市 惠农区 庙台乡 106.742213 39.108202
宁夏回族自治区 石嘴山市 惠农区 礼和乡 106.8009281 39.0712682
宁夏回族自治区 石嘴山市 惠农区 燕子墩乡 106.586405 39.060716
宁夏回族自治区 石嘴山市 平罗县 城关镇 106.5406353 38.9065635
宁夏回族自治区 石嘴山市 平罗县 黄渠桥镇 106.629825 39.014793
宁夏回族自治区 石嘴山市 平罗县 宝丰镇 106.728226 39.048956
宁夏回族自治区 石嘴山市 平罗县 头闸镇 106.673813 38.929455
宁夏回族自治区 石嘴山市 平罗县 姚伏镇 106.4639699 38.7427393
宁夏回族自治区 石嘴山市 平罗县 崇岗镇 106.2580803 38.9139148
宁夏回族自治区 石嘴山市 平罗县 陶乐镇 106.6886427 38.811313
宁夏回族自治区 石嘴山市 平罗县 高庄乡 106.5918105 38.9843417
宁夏回族自治区 石嘴山市 平罗县 灵沙乡 106.745193 38.995346
宁夏回族自治区 石嘴山市 平罗县 渠口乡 106.61842 38.8732884
宁夏回族自治区 石嘴山市 平罗县 通伏乡 106.53 38.734
宁夏回族自治区 石嘴山市 平罗县 高仁乡 106.6386896 38.7163825
宁夏回族自治区 石嘴山市 平罗县 红崖子乡 106.8720108 39.0195277
宁夏回族自治区 吴忠市 利通区 金积镇 106.12342 37.930009
宁夏回族自治区 吴忠市 利通区 金银滩镇 106.268287 37.916824
宁夏回族自治区 吴忠市 利通区 高闸镇 106.1810438 37.8685106
宁夏回族自治区 吴忠市 利通区 扁担沟镇 106.2291273 37.7986319
宁夏回族自治区 吴忠市 利通区 上桥镇 106.209 37.9733
宁夏回族自治区 吴忠市 利通区 古城镇 106.1873978 37.9891899
宁夏回族自治区 吴忠市 利通区 金星镇 106.2031126 37.9864188
