addr_1 addr_2 addr_3 addr_4 lon lat
上海市 市辖区 黄浦区 南京东路街道 121.4642644 31.2311363
上海市 市辖区 黄浦区 外滩街道 121.4769284 31.2414303
上海市 市辖区 黄浦区 半淞园路街道 121.4827018 31.2090944
上海市 市辖区 黄浦区 小东门街道 121.4965796 31.2219356
上海市 市辖区 黄浦区 豫园街道 121.4830613 31.2273624
上海市 市辖区 黄浦区 老西门街道 121.4816021 31.2171507
上海市 市辖区 黄浦区 五里桥街道 121.4770209 31.2028865
上海市 市辖区 黄浦区 打浦桥街道 121.4687168 31.2056211
上海市 市辖区 黄浦区 淮海中路街道 121.4712274 31.2169213
上海市 市辖区 黄浦区 瑞金二路街道 121.4625343 31.2192886
上海市 市辖区 徐汇区 天平路街道 121.4341523 31.2048835
上海市 市辖区 徐汇区 湖南路街道 121.4376026 31.2134661
上海市 市辖区 徐汇区 斜土路街道 121.459028 31.2028079
上海市 市辖区 徐汇区 枫林路街道 121.4582988 31.1915884
上海市 市辖区 徐汇区 长桥街道 121.4320545 31.1339122
上海市 市辖区 徐汇区 田林街道 121.4182666 31.1760472
上海市 市辖区 徐汇区 虹梅路街道 121.3914601 31.1743059
上海市 市辖区 徐汇区 康健新村街道 121.4181872 31.1577189
上海市 市辖区 徐汇区 徐家汇街道 121.4412116 31.1931669
上海市 市辖区 徐汇区 凌云路街道 121.4096242 31.1404652
上海市 市辖区 徐汇区 龙华街道 121.4460408 31.1706425
上海市 市辖区 徐汇区 漕河泾街道 121.4250325 31.1676393
上海市 市辖区 徐汇区 华泾镇 121.4511781 31.1196072
上海市 市辖区 长宁区 华阳路街道 121.4175849 31.217428
上海市 市辖区 长宁区 江苏路街道 121.4270996 31.2212882
上海市 市辖区 长宁区 新华路街道 121.4215227 31.2069116
上海市 市辖区 长宁区 周家桥街道 121.4025546 31.2192688
上海市 市辖区 长宁区 天山路街道 121.4023565 31.210868
上海市 市辖区 长宁区 仙霞新村街道 121.3901537 31.2058946
上海市 市辖区 长宁区 虹桥街道 121.4045052 31.1991038
上海市 市辖区 长宁区 程家桥街道 121.3638893 31.1963932
上海市 市辖区 长宁区 北新泾街道 121.3699314 31.220607
上海市 市辖区 长宁区 新泾镇 121.3679466 31.2140354
上海市 市辖区 静安区 江宁路街道 121.443156 31.241971
上海市 市辖区 静安区 石门二路街道 121.4528511 31.2376942
上海市 市辖区 静安区 南京西路街道 121.4477857 31.2244219
上海市 市辖区 静安区 静安寺街道 121.438873 31.2264779
上海市 市辖区 静安区 曹家渡街道 121.4352329 31.2313924
上海市 市辖区 静安区 天目西路街道 121.4566157 31.2489416
上海市 市辖区 静安区 北站街道 121.465466 31.2426182
上海市 市辖区 静安区 宝山路街道 121.4641571 31.2635668
上海市 市辖区 静安区 共和新路街道 121.4577842 31.2755249
上海市 市辖区 静安区 大宁路街道 121.4524519 31.2870872
上海市 市辖区 静安区 彭浦新村街道 121.4419913 31.3143232
上海市 市辖区 静安区 临汾路街道 121.45581 31.312325
上海市 市辖区 静安区 芷江西路街道 121.4602505 31.2603114
上海市 市辖区 静安区 彭浦镇 121.4356141 31.2850073
上海市 市辖区 普陀区 曹杨新村街道 121.4056342 31.243704
上海市 市辖区 普陀区 长风新村街道 121.4061499 31.2318238
上海市 市辖区 普陀区 长寿路街道 121.429651 31.2412717
上海市 市辖区 普陀区 甘泉路街道 121.426058 31.2635326
上海市 市辖区 普陀区 石泉路街道 121.4196271 31.257175
上海市 市辖区 普陀区 宜川路街道 121.4395862 31.2573832
上海市 市辖区 普陀区 万里街道 121.400429 31.2738576
上海市 市辖区 普陀区 真如镇街道 121.3963144 31.2585858
