addr_1 addr_2 addr_3 addr_4 lon lat
山西省 太原市 小店区 坞城街道 112.5734817 37.805296
山西省 太原市 小店区 营盘街道 112.5656292 37.8313111
山西省 太原市 小店区 北营街道 112.6399975 37.8079806
山西省 太原市 小店区 平阳路街道 112.5436596 37.8128557
山西省 太原市 小店区 黄陵街道 112.6109615 37.7750066
山西省 太原市 小店区 小店街道 112.5579099 37.7311007
山西省 太原市 小店区 龙城街道 112.5678037 37.7680038
山西省 太原市 小店区 北格镇 112.532 37.6368
山西省 太原市 小店区 西温庄乡 112.622 37.7269
山西省 太原市 小店区 刘家堡乡 112.468 37.6486
山西省 太原市 迎泽区 柳巷街道 112.5602263 37.8649188
山西省 太原市 迎泽区 文庙街道 112.5829101 37.8621775
山西省 太原市 迎泽区 庙前街道 112.5411524 37.8633985
山西省 太原市 迎泽区 迎泽街道 112.5558936 37.8498603
山西省 太原市 迎泽区 桥东街道 112.5737456 37.8511234
山西省 太原市 迎泽区 老军营街道 112.537778 37.8490783
山西省 太原市 迎泽区 郝庄镇 112.5927904 37.8541124
山西省 太原市 杏花岭区 巨轮街道 112.5551981 37.8926457
山西省 太原市 杏花岭区 三桥街道 112.5403687 37.8784295
山西省 太原市 杏花岭区 鼓楼街道 112.5554992 37.8747201
山西省 太原市 杏花岭区 杏花岭街道 112.569571 37.8742153
山西省 太原市 杏花岭区 坝陵桥街道 112.569782 37.8833203
山西省 太原市 杏花岭区 大东关街道 112.5862409 37.8725497
山西省 太原市 杏花岭区 职工新街街道 112.6026888 37.8788044
山西省 太原市 杏花岭区 敦化坊街道 112.5837951 37.8972431
山西省 太原市 杏花岭区 涧河街道 112.5651792 37.9203898
山西省 太原市 杏花岭区 杨家峪街道 112.6251496 37.8929785
山西省 太原市 杏花岭区 享堂街道 112.600689 37.90204
山西省 太原市 杏花岭区 中涧河镇 112.5713829 37.9147627
山西省 太原市 尖草坪区 尖草坪街道 112.539861 37.9262861
山西省 太原市 尖草坪区 光社街道 112.5547182 37.9453369
山西省 太原市 尖草坪区 上兰街道 112.441 38.0071
山西省 太原市 尖草坪区 南寨街道 112.5331726 37.9859735
山西省 太原市 尖草坪区 迎新街街道 112.5130617 37.9588665
山西省 太原市 尖草坪区 古城街道 112.525722 37.9155494
山西省 太原市 尖草坪区 汇丰街道 112.5141085 37.8960296
山西省 太原市 尖草坪区 柴村街道 112.4932877 37.9291202
山西省 太原市 尖草坪区 新城街道 112.5522281 37.9670861
山西省 太原市 尖草坪区 向阳镇 112.4989695 37.9917767
山西省 太原市 尖草坪区 阳曲镇 112.5818332 37.9911324
山西省 太原市 尖草坪区 柏板乡 112.476 38.0264
山西省 太原市 尖草坪区 西墕乡 112.5349266 38.0235079
山西省 太原市 万柏林区 千峰街道 112.5080108 37.8620808
山西省 太原市 万柏林区 下元街道 112.5172327 37.848125
山西省 太原市 万柏林区 和平街道 112.4850199 37.8693577
山西省 太原市 万柏林区 兴华街道 112.5190983 37.8744993
山西省 太原市 万柏林区 万柏林街道 112.5018307 37.8858865
山西省 太原市 万柏林区 杜儿坪街道 112.4138796 37.8405266
山西省 太原市 万柏林区 白家庄街道 112.4290603 37.8362071
山西省 太原市 万柏林区 南寒街道 112.454314 37.8522677
山西省 太原市 万柏林区 东社街道 112.456046 37.8885898
山西省 太原市 万柏林区 小井峪街道 112.4913146 37.8497747
山西省 太原市 万柏林区 西铭街道 112.4326091 37.862576
山西省 太原市 万柏林区 长风西街街道 112.5191195 37.8244203
山西省 太原市 万柏林区 神堂沟街道 112.4619509 37.819601
山西省 太原市 万柏林区 王化街道 112.3498961 37.8963649
山西省 太原市 晋源区 义井街道 112.5168715 37.7974182
山西省 太原市 晋源区 罗城街道 112.4776826 37.765866
山西省 太原市 晋源区 晋源街道 112.506654 37.717741
山西省 太原市 晋源区 金胜镇 112.485505 37.782905
山西省 太原市 晋源区 晋祠镇 112.4360396 37.6978314
山西省 太原市 晋源区 姚村镇 112.3837479 37.6494515
山西省 太原市 清徐县 清源镇 112.3538125 37.6049576
山西省 太原市 清徐县 徐沟镇 112.506 37.5579
山西省 太原市 清徐县 东于镇 112.261 37.5986
山西省 太原市 清徐县 孟封镇 112.394 37.4921
山西省 太原市 清徐县 马峪乡 112.306335 37.6211295
山西省 太原市 清徐县 柳杜乡 112.3238879 37.523466
山西省 太原市 清徐县 西谷乡 112.4 37.5718
山西省 太原市 清徐县 王答乡 112.476 37.5933
山西省 太原市 清徐县 集义乡 112.562 37.5487
山西省 太原市 阳曲县 黄寨镇 112.6814732 38.0639624
山西省 太原市 阳曲县 大盂镇 112.7144079 38.1765846
山西省 太原市 阳曲县 东黄水镇 112.7805986 38.0712997
山西省 太原市 阳曲县 泥屯镇 112.5381134 38.088028
山西省 太原市 阳曲县 高村乡 112.6794446 38.1653894
山西省 太原市 阳曲县 侯村乡 112.6527561 38.0216626
山西省 太原市 阳曲县 凌井店乡 112.929 38.0507
山西省 太原市 阳曲县 西凌井乡 112.415 38.135
山西省 太原市 阳曲县 杨兴乡 112.8890397 38.2484343
山西省 太原市 娄烦县 娄烦镇 111.799019 38.069066
山西省 太原市 娄烦县 静游镇 111.834 38.1513
